id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name
NM_009743	chr2	152780664	152831728	-	2416.0	1	Bcl2l1|Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1|RP23-106A3.4|2 H1|2 75.41 cM|protein-coding	214.136	294.559	263.526	205.805	46.628	Bcl2l1
NM_007791	chr1	135729197	135752229	+	1762.0	1	Csrp1|AA408841|AA959891|AW545626|CRP1|Csrp|-|1 E4|1|protein-coding	56.416000000000004	142.137	187.80700000000002	70.928	50.056000000000004	Csrp1
NM_001289915	chr13	43785112	43803133	+	2127.0	1	Cd83|-|-|13 A4-5|13 21.6 cM|protein-coding	49.848	154.856	157.944	49.516000000000005	52.428999999999995	Cd83
NM_009403	chr4	63832824	63861284	-	2222.0	1	Tnfsf8|CD153|CD30LG|Cd30l|-|4 C1|4 34.06 cM|protein-coding	102.469	193.292	193.636	119.675	33.691	Tnfsf8
NR_002896	chr19	8723487	8726326	+	466.0	1	Snhg1|-|-|19 A|19|ncRNA	509.999	510.26599999999996	383.189	370.296	82.431	Snhg1
NM_010807	chr4	129513581	129515981	+	1597.0	1	Marcksl1|AL022768|AW215397|AW536807|D4Bc1|F52|MacMARCKS|Macs2|Macs3|Mlp|Mrp|RP23-209C6.6|4 D2.2|4 63.26 cM|protein-coding	106.069	167.049	245.65099999999998	102.984	141.696	Marcksl1
NM_010583	chr11	46325148	46389515	-	4255.0	1	Itk|Emt|Tcsk|Tsk|RP23-273O7.1|11 B1.1|11 27.75 cM|protein-coding	172.37900000000002	296.373	237.215	183.479	135.196	Itk
NM_001077509	chr4	150927999	150946102	+	2105.0	1	Tnfrsf9|4-1BB|A930040I11Rik|AA408498|AI325004|CDw137|Cd137|ILA|Ly63|RP23-272N19.6|4 E2|4 81.52 cM|protein-coding	121.78200000000001	232.856	160.391	126.07	34.679	Tnfrsf9
NM_019511	chr11	6658533	6677475	+	1216.0	1	Ramp3|AI850306|RP23-169J19.5|11 A1|11 4.61 cM|protein-coding	67.756	176.796	169.516	74.994	113.007	Ramp3
NM_025359	chr12	36014555	36042478	-	1915.0	1	Tspan13|1100001I23Rik|NET-6|Tm4sf13|RP23-282B14.3|12|12 B2|protein-coding	64.645	153.19299999999998	146.362	63.563	48.46	Tspan13
NM_001110211	chr11	54978962	55033471	-	2616.0	1	Anxa6|AW107198|Anx6|AnxVI|Cabm|Camb|-|11 B1.3|11 32.13 cM|protein-coding	73.563	166.517	167.912	96.32	73.34	Anxa6
NM_023380	chr16	75858794	75909266	-	1835.0	1	Samsn1|4930571B16Rik|930571B16Rik|Hacs1|SLy2|-|16 C3.1|16|protein-coding	130.657	231.456	181.02599999999998	132.097	87.62100000000001	Samsn1
NR_035430	chr12	55370695	55491306	+	58.0	1	Mir1198|Mirn1198|mmu-mir-1198|-|X|X 3.52 cM|ncRNA	195.81099999999998	223.757	198.855	140.16	27.631999999999998	Mir1198
NM_183031	chr14	121952331	121965193	-	2938.0	1	Gpr183|Ebi2|-|14 E5|14|protein-coding	72.661	150.455	141.727	70.625	40.666	Gpr183
NM_008416	chr8	84976909	84978748	-	1837.0	1	Junb|-|-|8 C2-D1|8 41.41 cM|protein-coding	302.617	370.673	345.25	320.078	181.046	Junb
NM_001044741	chr15	98632328	98644536	+	2553.0	1	Cacnb3|Beta3|CAB3|Ca(v)beta3|Cchb3|-|15 F1|15 54.64 cM|protein-coding	37.591	110.969	139.03799999999998	53.905	54.636	Cacnb3
NM_175329	chr10	75935573	75937734	+	942.0	1	Chchd10|1620401E04Rik|AI267078|Ndg2|-|10 C1|10|protein-coding	159.624	227.63400000000001	210.878	191.237	33.533	Chchd10
NM_021494	chr7	109893781	109960422	-	4930.0	1	Dennd5a|1500012B19Rik|AJ245569|AW496491|ORF37|Rab6ip1|mKIAA1091|-|7 F1|7|protein-coding	55.925	123.508	126.59700000000001	54.085	44.673	Dennd5a
NM_007564	chr12	80107760	80113013	-	2980.0	1	Zfp36l1|AW742437|AW743212|Berg36|Brf1|D530020L18Rik|ERF1|TIS11b|cMG1|-|12 C3|12|protein-coding	91.26899999999999	167.582	158.697	74.57600000000001	116.272	Zfp36l1
NM_007720	chr9	120092133	120094906	+	1152.0	1	Ccr8|C-C|C-C CKR-8|CC-CKR-8|CCR-8|CKR-8|Cmkbr8|mCCR8|-|9 F4|9|protein-coding	51.583999999999996	159.156	99.195	85.935	9.065	Ccr8
NM_011521	chr2	164424247	164443188	-	2453.0	1	Sdc4|AA959608|AW108331|Synd4|ryudocan|syndecan-4|RP23-462O16.6|2 H3|2 85.16 cM|protein-coding	32.375	87.882	106.375	39.547	12.625	Sdc4
NM_022018	chr1	151571373	151719347	+	3923.0	1	Fam129a|AI256368|AU019833|Niban|-|1 G2|1|protein-coding	84.63799999999999	142.49200000000002	151.722	98.07600000000001	44.358999999999995	Fam129a
NR_045893	chr11	6525591	6528760	-	588.0	1	Gm11974|OTTMUSG00000005115|-|11 A1|11|ncRNA	202.84	217.69400000000002	186.75900000000001	144.33700000000002	36.049	Gm11974
NM_001085390	chr19	53529318	53541322	+	1150.0	1	Dusp5|Gm337|-|19 D2|19|protein-coding	311.394	440.292	265.062	367.115	75.661	Dusp5
NM_146200	chr7	126546911	126566366	-	2859.0	1	Eif3c|110kDa|3230401O13Rik|Eif3s8|NIPIL(A3)|NipilA3|Xs|Xsl|-|7 F4|7 69.14 cM|protein-coding	441.755	470.889	373.27099999999996	437.43	101.319	Eif3c
NM_009637	chr6	140624298	140677418	+	902.0	1	Aebp2|AU023766|B230313N05Rik|-|6|6 G1|protein-coding	176.227	207.16	224.81	193.06799999999998	60.01	Aebp2
NM_078478	chr14	37120445	37135322	-	2894.0	1	Ghitm|1010001P14Rik|C77840|MICS1|PTD010|Tmbim5|-|14 B|14 21.29 cM|protein-coding	220.328	278.811	225.53900000000002	233.53599999999997	63.07899999999999	Ghitm
NM_009898	chr7	126699774	126704816	-	1646.0	1	Coro1a|Clabp|Lmb3|TACO|p57|-|7 F3|7 69.25 cM|protein-coding	248.646	413.925	442.039	275.235	653.0269999999999	Coro1a
NM_001130176	chr1	135840861	135852261	+	1094.0	1	Tnnt2|Tnt|cTnT|-|1 E4|1 59.32 cM|protein-coding	21.26	63.028	89.275	20.938000000000002	4.773	Tnnt2
NR_028101	chr15	34440506	34443233	-	473.0	1	Gm12191|OTTMUSG00000005566|mCG_20799|11 B1.2|11|pseudo	448.228	458.597	404.66900000000004	397.28	222.97400000000002	Gm12191
NM_013614	chr12	17544873	17551502	+	2533.0	1	Odc1|ODC|-|12 A1.1|12 8.11 cM|protein-coding	80.623	136.809	112.913	70.164	29.677	Odc1
NM_008091	chr2	9857078	9878600	-	3207.0	1	Gata3|Gata-3|jal|RP23-276D17.1|2 A1|2 6.69 cM|protein-coding	36.694	89.041	93.225	38.158	18.474	Gata3
NM_001025245	chr18	82475123	82558703	+	4814.0	1	Mbp|C76307|Hmbpr|R75289|golli-mbp|mld|shi|-|18 E2-E4|18 55.84 cM|protein-coding	191.859	200.895	178.618	138.892	51.184	Mbp
NM_001163485	chr15	34440508	34443276	-	512.0	1	Rpl30|-|-|15 B3.1|15 14.33 cM|protein-coding	414.086	423.74199999999996	373.92400000000004	367.01800000000003	205.99	Rpl30
NR_033136	chr7	44812256	44816658	-	1813.0	1	Atf5|AFTA|Atf7|Atfx|ODA-10|-|7 B4|7|protein-coding	178.195	195.05700000000002	171.808	137.885	52.24100000000001	Atf5
NM_007837	chr10	127290793	127296288	+	865.0	1	Ddit3|CHOP-10|CHOP10|chop|gadd153|-|10 D3|10|protein-coding	158.378	176.301	163.077	129.15	42.555	Ddit3
NM_001048177	chr19	29251803	29313080	+	4946.0	1	Jak2|Fd17|-|19 C1|19 23.73 cM|protein-coding	94.0	132.329	143.734	92.948	66.63600000000001	Jak2
NM_001171001	chr6	29859596	29912310	+	4899.0	1	Ahcyl2|4631427C17Rik|AI227036|Adohcyase3|mKIAA0828|-|6 A3.3|6|protein-coding	48.828	91.34100000000001	88.277	40.650999999999996	19.302	Ahcyl2
NM_001166402	chr10	19000910	19011963	-	4327.0	1	Tnfaip3|A20|Tnfip3|-|10 A3|10 8.08 cM|protein-coding	129.61700000000002	165.562	147.566	106.25299999999999	71.354	Tnfaip3
NM_010493	chr9	21015960	21028796	+	2530.0	1	Icam1|CD54|Icam-1|Ly-47|MALA-2|-|9 A3|9 7.69 cM|protein-coding	80.47	109.016	152.879	101.90700000000001	55.99100000000001	Icam1
NM_009627	chr7	110627669	110629819	+	1375.0	1	Adm|AM|-|7 F1|7 57.7 cM|protein-coding	15.635	48.656000000000006	76.117	17.159000000000002	12.633	Adm
NM_009895	chr9	107296689	107301961	+	2156.0	1	Cish|AI385595|CIS1|Cis|F17|F23|-|9 F1|9 57.99 cM|protein-coding	197.21599999999998	249.63299999999998	191.046	218.541	49.541000000000004	Cish
NM_172397	chr11	106156256	106160142	-	2943.0	1	Limd2|0610025L06Rik|AI413966|RP23-81G14.8|11 E1|11|protein-coding	95.45	139.892	190.655	82.585	213.86	Limd2
NM_025840	chr12	36091835	36156825	-	1857.0	1	Bzw2|1110001I24Rik|Bdm2|HSPC028|-|12|12 B2|protein-coding	106.29299999999999	153.963	126.684	108.819	46.911	Bzw2
NR_105967	chr2	93421929	93422007	-	78.0	1	Mir7001|mmu-mir-7001|-|-|ncRNA	51.57899999999999	76.87	87.042	43.078	21.21	Mir7001
NM_011291	chr1	16101296	16104433	-	924.0	1	Rpl7|Rpl7a|Surf-3|-|1 A3|1|protein-coding	296.48400000000004	310.62	294.173	305.856	140.66299999999998	Rpl7
NR_030484	chr5	98475556	98475664	-	108.0	1	Mir703|Mirn703|mmu-mir-703|-|5|5|ncRNA	132.708	191.024	118.911	119.096	61.751999999999995	Mir703
NM_001045514	chr4	63367128	63403445	-	5451.0	1	Akna|AI597013|mKIAA1968|RP23-340H1.6|4 C1|4|protein-coding	63.604	97.53399999999999	118.256	55.027	97.281	Akna
NM_028782	chr17	56614298	56626903	-	2946.0	1	Lonp1|1200017E13Rik|LON|Prss15|-|17|17 D|protein-coding	193.706	200.553	164.735	169.405	35.782	Lonp1
NM_008368	chr15	78480549	78495066	-	2684.0	1	Il2rb|CD122|IL-15Rbeta|IL15Rbeta|Il-2/15Rbeta|Il-2Rbeta|p70|-|15 E|15 37.52 cM|protein-coding	128.893	176.06900000000002	131.917	149.192	34.98	Il2rb
NM_025284	chr6	72957347	72958483	-	560.0	1	Tmsb10|Ptmb10|Tb10|-|6 C1|6|protein-coding	137.77200000000002	209.137	255.109	162.715	324.22900000000004	Tmsb10
NM_001164040	chr15	74955106	74959905	+	1858.0	1	Ly6e|9804|Ly67|RIG-E|Sca-2|TSA-1|Tsa1|-|15 D3|15 34.29 cM|protein-coding	218.38099999999997	286.55	431.159	181.273	713.107	Ly6e
NM_029508	chr19	36379067	36456204	+	1498.0	1	Pcgf5|0610009F02Rik|1110054A01Rik|5830406C17Rik|5830443C21Rik|9530023M17Rik|AI324127|-|19 C2|19|protein-coding	65.268	108.939	82.56299999999999	68.836	27.61	Pcgf5
NM_001159482	chr11	78188427	78192193	+	1363.0	1	Rab34|AI326479|Narr|Rah|Rah1|RP23-185A18.5|11 B5|11 46.74 cM|protein-coding	38.28	69.69	61.663999999999994	36.104	5.69	Rab34
NM_009302	chr7	110221703	110283506	+	4021.0	1	Swap70|70kDa|AV235546|-|7 F1|7 57.7 cM|protein-coding	40.626	73.811	71.291	39.400999999999996	26.538	Swap70
NM_026240	chr18	56432132	56503792	+	2589.0	1	Gramd3|9030613F08Rik|9130427A09Rik|AW061306|NS3TP2|-|18|18 D2|protein-coding	13.71	37.816	87.169	13.216	77.2	Gramd3
NM_133810	chr1	53755512	53785215	-	3268.0	1	Stk17b|3110009A03Rik|AI120141|Drak2|-|1 C1.1|1|protein-coding	52.346000000000004	90.505	118.155	49.983000000000004	125.831	Stk17b
NM_011341	chr4	155992914	156013610	+	5165.0	1	Sdf4|Cab45|RP23-118E21.4|4 E2|4|protein-coding	95.508	121.395	127.552	107.20200000000001	53.161	Sdf4
NM_010362	chr19	47854989	47864788	+	1153.0	1	Gsto1|AA407097|AI194287|AU018802|GSTO 1-1|GSTX|SPG-R|p28|-|19 D1|19|protein-coding	72.294	109.30799999999999	81.089	60.635	36.14	Gsto1
NM_178407	chr5	62602446	62766177	-	7327.0	1	Arap2|Centd1|Gm148|mKIAA0580|-|5 C3.1|5|protein-coding	30.697	62.074	73.308	39.671	25.105	Arap2
NM_008494	chr5	140607341	140615545	+	2274.0	1	Lfng|AW061165|-|5 G2|5 79.15 cM|protein-coding	76.112	118.669	143.975	67.843	173.695	Lfng
NM_008511	chr6	145121739	145174928	+	2292.0	1	Lrmp|D6Int3|D6Int4|D6Int5|D6Int7|D6Int8|Jaw1|RP24-216M19.3|6 G3|6 77.34 cM|protein-coding	21.649	52.268	65.828	28.028000000000002	25.534000000000002	Lrmp
NM_011454	chr13	32965513	32979037	+	1850.0	1	Serpinb6b|NK13|Spi12|ovalbumin|RP23-391I11.3|13 A3.3|13 13.78 cM|protein-coding	67.007	128.66	95.594	89.291	61.285	Serpinb6b
NM_001142950	chr18	64499647	64516557	-	2633.0	1	Nars|3010001M15Rik|AA960128|ASNRS|C78150|-|18 E1|18|protein-coding	310.529	317.415	241.155	291.869	71.59	Nars
NM_019777	chr1	131254602	131279563	-	3179.0	1	Ikbke|AW558201|IKK-i|IKKepsilon|Ikki|-|1 E4|1|protein-coding	44.505	63.468999999999994	97.906	48.678000000000004	54.528999999999996	Ikbke
NM_021519	chr2	25557900	25562082	+	662.0	1	Edf1|0610008L11Rik|AA409425|RP23-464C2.4|2 A3|2|protein-coding	166.68200000000002	198.90099999999998	173.976	171.59099999999998	97.932	Edf1
NM_011803	chr13	5861489	5870393	+	4211.0	1	Klf6|AI448727|BCD1|C86813|CPBP|Copeb|FM2|FM6|Ierepo1|Ierepo3|R75280|Zf9|-|13 A1|13|protein-coding	171.483	235.83599999999998	162.363	189.248	97.395	Klf6
NM_018796	chr1	63176831	63180486	+	1925.0	1	Eef1b2|2810017J07Rik|Eef1b|RP23-13C17.3|1 C2|1|protein-coding	385.11699999999996	377.88800000000003	342.151	364.981	185.554	Eef1b2
NM_001081029	chr5	9100737	9118983	+	981.0	1	Tmem243|4930420K17Rik|E030031F02Rik|-|5 A1|5|protein-coding	38.832	68.157	83.133	47.032	41.95	Tmem243
NM_198411	chr12	112588784	112615557	+	4577.0	1	Inf2|2610204M08Rik|AA589465|AW125550|EG629699|-|12 F1|12|protein-coding	20.226	43.799	65.24	23.176	24.465999999999998	Inf2
NM_177876	chr5	124004641	124032260	-	2506.0	1	Vps37b|2300007F24Rik|AI415429|BC026744|-|5 F|5|protein-coding	47.577	102.111	97.48200000000001	44.93899999999999	122.544	Vps37b
NM_021887	chr7	125603429	125633570	+	2596.0	1	Il21r|NILR|-|7|7 F4|protein-coding	105.17299999999999	129.083	118.23899999999999	109.92200000000001	39.133	Il21r
NM_177584	chr16	45224337	45252895	+	3224.0	1	Btla|A630002H24|-|16 B5|16|protein-coding	77.758	97.35600000000001	99.07700000000001	80.486	26.924	Btla
NR_029468	chr4	132308678	132311024	+	601.0	1	Snhg12|2310005L22Rik|-|4 D2.3|4|ncRNA	142.59799999999998	141.70600000000002	116.709	89.694	48.516999999999996	Snhg12
NM_009008	chr15	78559169	78572783	-	3027.0	1	Rac2|AI323801|AI452260|-|15 E1|15|protein-coding	91.583	134.186	182.297	90.22399999999999	238.94099999999997	Rac2
NR_024067	chr1	9942025	9944118	-	403.0	1	Snhg6|1110008H02Rik|-|1 A2|1|ncRNA	171.479	175.111	143.908	159.224	16.934	Snhg6
NM_025846	chr7	114046782	114117781	-	2267.0	1	Rras2|2610016H24Rik|C86394|TC21|-|7 F2|7|protein-coding	61.965	97.65100000000001	73.048	53.948	36.397	Rras2
NM_026377	chr19	47731756	47735588	+	1577.0	1	Sfr1|6330577E15Rik|Meir5|-|19 D2|19|protein-coding	107.919	126.219	120.31200000000001	109.742	45.667	Sfr1
NM_010136	chr9	118478189	118486132	+	3707.0	1	Eomes|C77258|TBR-2|Tbr2|-|9 F3|9 70.21 cM|protein-coding	52.896	103.219	50.873000000000005	59.912	3.64	Eomes
NM_010431	chr12	73907867	73947530	+	4744.0	1	Hif1a|AA959795|HIF1alpha|MOP1|bHLHe78|-|12 C3|12 31.99 cM|protein-coding	132.55200000000002	161.254	146.64700000000002	148.001	70.226	Hif1a
NM_016888	chr11	22834739	22859735	-	2695.0	1	B3gnt2|AA408337|AA409404|AW260308|B3Galt6|B3gnt1|BGnT-1|BGnT-2|BGnT1|BGnT2|Beta3gnt|RP23-242C19.1|11 A3.2|11 14.22 cM|protein-coding	105.835	133.035	117.022	113.351	48.381	B3gnt2
NM_013885	chr4	135213970	135272760	-	4056.0	1	Clic4|D0Jmb3|TU-74|mc3s5|mtCLIC|RP23-230K10.1|4 D3|4|protein-coding	96.824	124.729	115.014	117.414	34.874	Clic4
NM_001146196	chr12	40059771	40134228	-	2979.0	1	Scin|AW545522|adseverin|-|12 B1|12|protein-coding	14.898	46.465	41.915	14.324000000000002	13.398	Scin
NM_053109	chr6	129180615	129186535	+	1207.0	1	Clec2d|Clr-b|Clrb|Ocil|-|6 F3|6|protein-coding	103.50200000000001	126.51	112.09200000000001	98.572	57.867	Clec2d
NM_001008705	chr5	145140397	145148074	+	698.0	1	Bud31|C77604|EDG-2|EDG2|G10|-|5 G2|5|protein-coding	156.584	172.141	149.3	148.403	70.661	Bud31
NM_175093	chr2	152337425	152344060	-	2046.0	1	Trib3|Ifld2|Nipk|SINK|SKIP3|TRB-3|Trb3|RP23-396N8.1|2 G3|2 74.83 cM|protein-coding	70.727	92.81299999999999	74.762	62.213	20.619	Trib3
NM_025327	chr3	89246438	89249722	+	509.0	1	Krtcap2|0610010I12Rik|Kcp2|-|3|3 F2|protein-coding	185.00400000000002	194.055	176.614	171.423	95.375	Krtcap2
NM_001109745	chr6	87842615	87851106	-	2150.0	1	Cnbp|AA408710|Cnbp1|Znf9|-|6|6 D1-D2|protein-coding	522.094	491.68699999999995	377.05300000000005	452.98900000000003	163.611	Cnbp
NM_012032	chr2	163623273	163645143	-	3682.0	1	Serinc3|AA959945|AA960047|AIGP1|DIFF33|TMS-1|Tde1|RP23-144O20.3|2 H3|2|protein-coding	128.05700000000002	161.536	202.05200000000002	115.59299999999999	256.18	Serinc3
NM_007987	chr19	34290659	34327770	+	1475.0	1	Fas|AI196731|APO1|APT1|CD95|TNFR6|Tnfrsf6|lpr|-|19 C1|19 29.48 cM|protein-coding	45.658	72.66199999999999	71.262	53.669	24.57	Fas
NM_010876	chr5	134220259	134229625	-	2709.0	1	Ncf1|NCF-47K|NOXO2|Ncf-1|p47-phox|p47<phox>|p47phox|-|5 G2|5 74.47 cM|protein-coding	61.415	133.017	128.012	59.684	218.172	Ncf1
NM_001130452	chr11	96817414	96824127	-	3491.0	1	Nfe2l1|AA408798|AW212678|LCR-F1|Lcrf1|NRF1|TCF-11|TCF11|RP23-353J21.3|11 D-E|11 60.12 cM|protein-coding	89.602	112.76899999999999	99.454	91.811	38.43	Nfe2l1
NM_001164074	chr17	70844205	70853532	-	1375.0	1	Tgif1|AA959811|AI462167|Tgif|-|17 E1.3|17|protein-coding	145.717	146.139	128.914	111.491	61.626000000000005	Tgif1
NR_030457	chr14	54616677	54616785	-	108.0	1	Mir686|Mirn686|mmu-mir-686|-|14|14|ncRNA	211.86700000000002	230.47	208.283	232.505	94.78200000000001	Mir686
NM_001005866	chr5	122870675	122988533	-	4980.0	1	Kdm2b|Cxxc2|E430001G17|Fbl10|Fbxl10|Jhdm1b|PCCX2|mKIAA3014|-|5 F|5|protein-coding	52.418	71.598	71.229	52.324	23.4	Kdm2b
NM_001168492	chr19	53903351	53929861	+	1791.0	1	Pdcd4|D19Ucla1|Ma3|Tis|-|19 D2|19 48.73 cM|protein-coding	64.862	92.637	103.63	47.165	122.537	Pdcd4
NM_008638	chr6	83305704	83317604	-	2060.0	1	Mthfd2|AW558851|NMDMC|-|6 C3|6 35.94 cM|protein-coding	233.03599999999997	245.41099999999997	179.917	226.165	47.809	Mthfd2
NM_017472	chr10	42502054	42535369	+	1371.0	1	Snx3|SDP3|-|10 B2|10 22.89 cM|protein-coding	200.55200000000002	228.479	166.10299999999998	190.05900000000003	88.428	Snx3
NM_199449	chr15	57694667	57839832	+	4368.0	1	Zhx2|Afr-1|Afr1|Raf|mKIAA0854|-|15 D1|15 24.01 cM|protein-coding	54.803000000000004	72.319	72.248	50.56399999999999	28.820999999999998	Zhx2
NM_028696	chr1	51469488	51478399	-	2830.0	1	Nabp1|4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2|-|1|1 C1|protein-coding	91.931	120.389	89.92	94.743	30.252	Nabp1
NM_033042	chr4	152116343	152120119	+	1602.0	1	Tnfrsf25|APO-3|DDR3|DR3|LARD|TR3|TRAMP|Tnfrsf12|WSL-1|WSL-LR|Wsl|RP23-284C20.2|4|4 E1|protein-coding	42.117	59.711999999999996	64.77	40.731	24.204	Tnfrsf25
NM_013562	chr12	40203129	40223189	-	1802.0	1	Ifrd1|Ifnl|PC4|Tis7|-|12 B1|12 18.06 cM|protein-coding	129.468	144.608	125.73899999999999	129.423	49.863	Ifrd1
NM_146217	chr8	111033842	111055569	+	3692.0	1	Aars|AI316495|C76919|sti|-|8 E1|8|protein-coding	166.803	175.373	137.619	158.10399999999998	35.554	Aars
NM_026603	chr5	123907275	123928832	+	2226.0	1	Denr|1500003K04Rik|-|5 F|5|protein-coding	79.335	102.745	81.045	82.015	23.55	Denr
NM_016861	chr19	40222239	40271616	-	1496.0	1	Pdlim1|Clim1|mClim1|-|19|19 D1|protein-coding	28.798000000000002	57.324	45.465	27.436	21.115	Pdlim1
NM_007405	chr15	98589986	98607633	-	6001.0	1	Adcy6|AC6|mKIAA0422|-|15|15 F|protein-coding	19.896	42.227	49.923	23.011	24.967	Adcy6
NM_001160379	chr9	85320439	85327150	-	5445.0	1	Fam46a|D930050G01Rik|-|9 E3.1|9|protein-coding	16.848	40.468	42.303999999999995	21.38	12.172	Fam46a
NM_009044	chr11	23741729	23770970	-	2572.0	1	Rel|c-Rel|-|11 A3.2|11 14.36 cM|protein-coding	53.949	70.304	62.192	43.111999999999995	26.372	Rel
NM_001033140	chr7	30321409	30322375	-	964.0	1	Sdhaf1|0610010E21Rik|AI430885|AW490662|Lyrm8|-|7 B1|7|protein-coding	78.164	79.957	84.59899999999999	61.20399999999999	33.787	Sdhaf1
NM_033374	chr11	34226821	34783905	-	6362.0	1	Dock2|AI662014|AW122239|CED-5|Hch|MBC|RP23-32J15.2|11|11 A5|protein-coding	33.839	59.666000000000004	78.35300000000001	37.277	77.297	Dock2
NM_001111102	chr3	88483205	88503352	-	2054.0	1	Lmna|Dhe|-|3 F1|3 38.84 cM|protein-coding	12.752	34.510999999999996	36.399	14.582	6.997000000000001	Lmna
NM_001271477	chr17	32412461	32420975	-	2671.0	1	Pglyrp2|C730002N09Rik|PGRP-L|Pglyrpl|tagL|-|17 B1|17|protein-coding	5.0680000000000005	19.332	37.73	4.586	10.742	Pglyrp2
NM_177643	chr1	136624901	136630391	+	5267.0	1	Zfp281|Znf281|-|1 E4|1|protein-coding	60.748999999999995	72.437	79.244	61.937	28.721	Zfp281
