id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name
NM_008522	chr9	111019292	111042766	+	2723.0	1	Ltf|Csp82|Lf|MMS10R|Ms10r|-|9 F|9 60.79 cM|protein-coding	88.633	197.812	239.102	38.625	649.955	76.75399999999999	129.774	277.103	126.83	487.00199999999995	490.416	52.271	34.582	636.316	599.15	Ltf
NM_011313	chr3	90612894	90614414	+	714.0	1	S100a6|2A9|5B10|CALCYCLIN|Cacy|PRA|-|3 F1-F2|3 39.35 cM|protein-coding	42.143	101.102	131.404	20.646	391.656	63.614	101.618	242.17	123.678	417.282	395.866	45.815	35.42	609.237	610.185	S100a6
NM_016740	chr3	93520496	93526288	+	499.0	1	S100a11|EMAPI|Emap1|S100a14|S100c|cal|-|3|3 E-F|protein-coding	62.568000000000005	103.794	129.009	58.648	339.103	82.536	122.88	254.136	132.77700000000002	543.565	499.662	73.15899999999999	62.118	686.797	570.802	S100a11
NM_001301305	chr6	136923661	136941503	-	1139.0	1	Arhgdib|D4|Gdid4|Ly-GDI|-|6 G1|6|protein-coding	176.903	253.511	343.675	174.46599999999998	745.2610000000001	206.262	258.314	378.25300000000004	263.538	588.169	543.799	202.255	174.33900000000003	729.299	659.9989999999999	Arhgdib
NM_009983	chr7	142375916	142387870	-	1943.0	1	Ctsd|CD|CatD|-|7 F5|7|protein-coding	98.48200000000001	122.84700000000001	137.70600000000002	88.196	352.61	157.99200000000002	187.19400000000002	325.466	188.8	436.223	401.529	131.679	122.154	563.88	637.068	Ctsd
NM_009663	chr5	149265058	149288047	+	847.0	1	Alox5ap|Flap|-|5 G3|5|protein-coding	28.252	75.68	110.48100000000001	16.551	352.74	51.707	86.772	205.638	88.43	387.895	366.95300000000003	38.803000000000004	30.519000000000002	548.516	482.80300000000005	Alox5ap
NM_013706	chr4	134093538	134095073	-	499.0	1	Cd52|AI463198|B7|B7-Ag|CAMPATH-1|CLS1|MB7|RP23-314D24.5|4 D3|4 66.5 cM|protein-coding	213.738	334.624	417.27	232.855	739.747	217.03599999999997	287.506	363.435	281.529	563.141	517.347	261.296	210.575	721.887	679.456	Cd52
NM_001033632	chr7	141015812	141016892	-	537.0	1	Ifitm6|A330075D07|Dspa2f|Fgls5|fragilis5|-|7 F5|7|protein-coding	47.371	94.90700000000001	115.76700000000001	21.53	322.423	68.054	105.603	199.197	110.368	390.86199999999997	369.209	37.236999999999995	22.296999999999997	451.728	440.49	Ifitm6
NM_008410	chr14	73362232	73385271	-	1764.0	1	Itm2b|AI256040|Bri|Bri2|Bricd2b|D14Sel6|E25BMM|imBRI2|-|14 D3|14 38.88 cM|protein-coding	126.721	176.97299999999998	221.166	107.51	567.17	137.19299999999998	163.166	265.778	163.503	451.13800000000003	412.481	116.439	107.84299999999999	580.865	518.419	Itm2b
NM_013759	chr17	24736642	24742778	+	880.0	1	Msrb1|D17Wsu82e|SELX|SelR|Sepr|Sepx1|-|17 A3.3|17 12.53 cM|protein-coding	46.765	82.255	98.251	41.138999999999996	261.905	66.907	101.098	219.519	102.46600000000001	376.532	320.121	60.537	43.044	549.826	458.12699999999995	Msrb1
NM_010730	chr19	20373434	20390671	-	1380.0	1	Anxa1|Anx-1|Anx-A1|C430014K04Rik|Lpc-1|Lpc1|-|19 B|19 13.83 cM|protein-coding	29.214000000000002	69.86	99.61	19.06	294.275	32.703	66.206	144.93	61.102	344.30400000000003	328.836	21.104	12.407	418.75	397.791	Anxa1
NM_009921	chr9	109847377	109849456	-	593.0	1	Camp|CAP18|Cnlp|Cramp|FALL39|MCLP|-|9 F2|9 59.8 cM|protein-coding	128.409	212.333	230.843	80.303	827.7139999999999	81.191	106.73200000000001	206.138	116.181	327.045	302.572	63.897	55.574	476.529	453.65	Camp
NM_013599	chr2	164948219	164955849	+	3159.0	1	Mmp9|AW743869|B/MMP9|Clg4b|MMP-9|pro-MMP-9|RP23-61O3.10-001|2 H1-H2|2 85.27 cM|protein-coding	22.579	46.489	59.43899999999999	9.87	219.35	28.186999999999998	54.778	129.298	57.153	312.939	280.397	19.639	10.999	436.98800000000006	377.29	Mmp9
NM_010821	chr19	12460779	12465285	+	4332.0	1	Mpeg1|MPS1|Mpg-1|-|19 A|19|protein-coding	20.227999999999998	32.326	35.319	19.975	130.012	89.86399999999999	109.22	222.75400000000002	109.463	392.469	291.075	78.42399999999999	40.22	464.745	431.467	Mpeg1
NM_010705	chr14	47373860	47386167	+	1371.0	1	Lgals3|GBP|L-34|Mac-2|gal3|-|14 C1|14|protein-coding	22.680999999999997	59.961000000000006	84.42399999999999	17.815	326.939	47.599	70.27600000000001	171.854	70.036	268.711	236.358	37.062	30.771	343.55300000000005	420.51800000000003	Lgals3
NM_009402	chr7	18884690	18890438	+	676.0	1	Pglyrp1|PGRP|PGRP-S|Pglyrp|Tag7|Tasg7|Tnfsf3l|-|7|7 A3|protein-coding	57.53	107.719	116.647	27.311	383.38599999999997	55.605	76.029	168.231	83.31	293.633	286.10400000000004	41.64	31.369	449.82099999999997	389.32300000000004	Pglyrp1
NM_010185	chr1	171229572	171234349	-	651.0	1	Fcer1g|AI573376|CD23|FcR-gamma|FcR[g]|FcRgamma|Fce1g|FcepsilonRI|Ly-50|-|1 H3|1 79.23 cM|protein-coding	55.105	75.015	88.081	33.855	296.378	95.34299999999999	115.425	212.852	123.8	303.909	271.959	75.373	53.717	420.099	381.954	Fcer1g
NM_009139	chr11	83587886	83593087	-	1430.0	1	Ccl6|MRP-1|Scya6|c10|RP23-320E6.4|11 C|11 50.85 cM|protein-coding	29.072	80.548	68.127	13.795	153.869	123.48	206.734	340.158	198.543	297.017	386.541	83.184	67.69	267.02299999999997	372.961	Ccl6
NM_001082960	chr7	128062640	128118491	+	4650.0	1	Itgam|CD11b/CD18|CR3|CR3A|Cd11b|F730045J24Rik|Ly-40|MAC1|Mac-1|Mac-1a|-|7|7 F4|protein-coding	18.232	36.367	46.256	10.101	145.537	50.673	79.058	150.6	76.63	266.39	260.848	34.777	24.45	312.749	294.514	Itgam
NM_023168	chr15	76246807	76249904	+	1684.0	1	Grina|1110025J15Rik|Lag|Tmbim3|-|15 E1|15|protein-coding	35.811	51.018	66.425	32.461	167.563	61.005	81.73100000000001	132.599	83.391	309.877	251.544	60.711000000000006	49.506	391.88800000000003	320.874	Grina
NM_001099217	chr15	75108161	75111949	-	795.0	1	Ly6c2|Ly-6C.2|Ly-6C2|-|15 D3|15|protein-coding	67.263	100.427	124.601	49.81	357.019	94.126	104.81	163.409	104.501	273.928	279.075	80.36	61.019	316.88599999999997	329.61699999999996	Ly6c2
NM_017370	chr8	109575128	109579172	-	1338.0	1	Hp|HP-1|preHP2|-|8 D3|8 57.11 cM|protein-coding	45.25899999999999	77.124	99.89399999999999	28.191	300.846	46.953	68.46	146.00799999999998	66.889	247.303	214.545	38.359	26.679000000000002	319.38	301.678	Hp
NM_009696	chr7	19696244	19699166	-	1245.0	1	Apoe|AI255918|-|7 A3|7 9.94 cM|protein-coding	36.623000000000005	52.69	85.609	25.48	344.12300000000005	28.328000000000003	41.433	104.459	39.58	163.148	115.405	23.186	20.134	289.334	329.017	Apoe
NM_133198	chr12	70190815	70227683	-	2799.0	1	Pygl|-|-|12 C2|12 29.01 cM|protein-coding	18.027	39.503	53.626000000000005	9.772	150.518	31.874000000000002	51.306000000000004	117.366	50.93	223.755	207.933	19.399	12.294	280.79	258.35	Pygl
NM_010344	chr8	33653238	33698162	+	2657.0	1	Gsr|AI325518|D8Ertd238e|Gr-1|Gr1|-|8 A4|8 20.69 cM|protein-coding	47.665	67.506	69.869	42.032	150.175	66.086	85.78	154.336	87.277	248.14	234.58900000000003	56.232	46.265	312.002	285.681	Gsr
NM_021281	chr3	95526786	95556405	+	1347.0	1	Ctss|-|-|3 F2.1|3 40.74 cM|protein-coding	60.575	105.484	105.48200000000001	54.37	235.699	86.0	85.353	164.52	89.07600000000001	169.456	157.275	81.039	56.575	202.06099999999998	332.97900000000004	Ctss
NM_026862	chr7	24743983	24760311	-	2695.0	1	Cd177|1190003K14Rik|Pdp3|-|7 A3|7|protein-coding	28.877	68.618	73.057	10.082	195.537	36.893	64.715	125.211	65.706	196.143	220.00400000000002	21.993000000000002	14.657	249.31400000000002	245.34099999999998	Cd177
NM_007585	chr9	69453683	69491785	+	1359.0	1	Anxa2|AW215814|Cal1h|CT009708.1|9 C|9 38.58 cM|protein-coding	104.816	133.375	117.70200000000001	122.986	223.15599999999998	102.99700000000001	131.483	205.322	137.423	273.672	242.34799999999998	111.148	102.88600000000001	320.497	350.69599999999997	Anxa2
NM_001170911	chr15	102459170	102462806	+	1105.0	1	Prr13|1110020C13Rik|2010324E22Rik|-|15 F3|15|protein-coding	65.194	80.428	80.762	74.64699999999999	207.921	85.883	96.215	143.869	103.946	242.106	222.768	85.09899999999999	78.63600000000001	302.92900000000003	303.969	Prr13
NM_008372	chr15	9506159	9529876	-	3200.0	1	Il7r|CD127|IL-7Ralpha|-|15 A1|15 4.16 cM|protein-coding	20.849	24.518	83.19200000000001	11.222999999999999	307.272	23.656	44.995	66.745	43.108000000000004	196.266	190.475	20.541	15.492	258.689	226.887	Il7r
NM_021293	chr7	43527456	43533171	-	2480.0	1	Cd33|Siglec-3|gp67|-|7 B4|7 28.25 cM|protein-coding	9.193	20.678	25.726999999999997	4.428999999999999	70.315	25.706	46.662	97.36	45.626000000000005	205.08599999999998	200.63400000000001	15.505999999999998	8.957	226.68200000000002	216.09	Cd33
NM_023665	chr4	134923625	134927370	+	1408.0	1	Rsrp1|2700043I21Rik|D4Ucla2|D4Wsu53e|RP23-79J18.3|4 D3|4 67.15 cM|protein-coding	90.691	85.785	176.959	87.118	438.30699999999996	114.45	133.753	147.895	134.332	286.857	271.732	101.81700000000001	106.22	363.069	318.974	Rsrp1
NM_010876	chr5	134220259	134229625	-	2709.0	1	Ncf1|NCF-47K|NOXO2|Ncf-1|p47-phox|p47<phox>|p47phox|-|5 G2|5 74.47 cM|protein-coding	61.415	133.017	128.012	59.684	218.172	71.006	95.65899999999999	169.636	100.84899999999999	235.757	209.021	69.84	52.626000000000005	285.128	282.55	Ncf1
NM_012032	chr2	163623273	163645143	-	3682.0	1	Serinc3|AA959945|AA960047|AIGP1|DIFF33|TMS-1|Tde1|RP23-144O20.3|2 H3|2|protein-coding	128.05700000000002	161.536	202.05200000000002	115.59299999999999	256.18	146.579	171.245	219.74200000000002	167.011	323.335	312.809	140.395	122.449	335.01199999999994	325.001	Serinc3
NM_009911	chr1	128588199	128592299	-	1810.0	1	Cxcr4|CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo|-|1 E4|1 56.43 cM|protein-coding	31.049	42.258	61.756	27.108	180.234	44.483000000000004	61.103	96.23	60.885	201.235	182.4	40.678000000000004	37.650999999999996	256.475	243.597	Cxcr4
NM_001271509	chr7	142460812	142494868	+	1699.0	1	Lsp1|Lsp-1|WP34|p50|pp52|AL603651.4|7 F5|7 87.93 cM|protein-coding	195.87400000000002	267.767	293.637	218.46099999999998	325.01599999999996	202.567	223.128	303.325	226.761	318.909	318.687	206.63099999999997	206.253	391.50800000000004	423.056	Lsp1
NM_023402	chr17	70973963	70990516	-	933.0	1	Myl12b|1500001M02Rik|C77744|Mylc2b|RLC-B|-|17 E1.3|17|protein-coding	84.669	103.5	132.561	81.012	239.82299999999998	95.499	128.82	184.044	122.887	230.968	231.952	94.632	79.34	295.26099999999997	285.843	Myl12b
NM_027521	chr10	80019675	80031471	+	3456.0	1	Hmha1|6330406L22Rik|AW539505|Ha-1|-|10 C1|10|protein-coding	61.31	68.07300000000001	145.502	54.802	348.103	86.559	99.882	139.995	101.068	237.203	215.817	84.045	83.652	310.655	276.079	Hmha1
NM_011528	chr7	141392160	141402976	+	1266.0	1	Taldo1|-|-|7|7 F3-F4|protein-coding	65.709	96.061	106.965	64.41199999999999	246.042	62.818999999999996	72.61399999999999	122.79299999999999	75.803	214.09400000000002	179.90900000000002	51.192	60.901	284.978	257.348	Taldo1
NM_026414	chr6	86628174	86629704	+	1528.0	1	Asprv1|2300003P22Rik|AA986851|SASP|SASPase|Taps|-|6 D1|6|protein-coding	11.19	18.846	22.618000000000002	5.935	75.756	20.69	39.266999999999996	97.824	44.106	148.232	149.255	16.543	9.63	222.61599999999999	205.459	Asprv1
NM_026985	chr8	3665762	3668905	+	1123.0	1	Mcemp1|1810033B17Rik|-|8 A1|8 1.92 cM|protein-coding	19.592	32.632	38.641	10.134	133.829	30.320999999999998	44.25899999999999	103.838	48.536	181.8	146.79399999999998	24.29	14.299000000000001	229.048	213.05599999999998	Mcemp1
NM_001081274	chr4	149149985	149166707	-	2209.0	1	Pgd|0610042A05Rik|AU019875|C78335|RP23-249G3.4|4 E2|4 78.96 cM|protein-coding	58.053000000000004	68.536	84.057	55.74100000000001	202.468	62.997	67.351	111.98	70.04	182.516	169.47400000000002	56.031000000000006	50.75899999999999	266.029	239.893	Pgd
NM_173869	chr16	36156811	36161948	+	409.0	1	Stfa2l1|-|-|16 B3|16|protein-coding	9.427	12.827	24.9	3.534	56.629	12.339	24.373	55.405	22.021	150.15	135.281	7.898	2.736	210.243	172.56099999999998	Stfa2l1
NM_010188	chr1	171051169	171059403	-	1346.0	1	Fcgr3|CD16|-|1 H3|1 78.8 cM|protein-coding	12.392000000000001	25.643	32.33	7.382000000000001	107.662	26.073	39.966	93.693	41.148	167.889	149.10399999999998	18.132	11.472999999999999	212.627	185.101	Fcgr3
NM_009656	chr5	121567687	121593824	-	2192.0	1	Aldh2|Ahd-5|Ahd5|-|5|5 F-G1|protein-coding	20.113	36.513000000000005	55.303000000000004	16.746	171.608	25.114	37.412	84.95	38.208	147.15200000000002	132.067	22.291999999999998	16.847	213.968	194.832	Aldh2
NM_001287217	chr7	31032723	31042331	-	1018.0	1	Fxyd5|EF-8|Oit2|RIC|-|7 B1|7|protein-coding	118.80799999999999	123.958	152.91	130.32399999999998	311.77099999999996	147.47	148.735	185.199	146.94799999999998	249.234	243.9	148.178	138.505	326.002	310.186	Fxyd5
NM_022410	chr15	77760585	77842175	-	7392.0	1	Myh9|Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6|AL583886.1|15 E1|15 36.81 cM|protein-coding	90.506	109.321	135.811	90.736	256.721	94.294	104.87799999999999	156.333	106.59200000000001	199.916	193.935	95.53299999999999	94.43299999999999	258.534	266.663	Myh9
NM_007695	chr1	134182404	134190031	+	1677.0	1	Chil1|AW208766|Brp39|Chi3l1|Gp39|-|1 E4|1 58.15 cM|protein-coding	26.689	30.249000000000002	31.973000000000003	18.851	87.306	42.511	56.163000000000004	103.652	57.442	177.623	138.241	37.514	24.623	214.467	197.873	Chil1
NM_008404	chr10	77530348	77565674	+	2844.0	1	Itgb2|2E6|AI528527|Cd18|LAD|LCAMB|Lfa1|MF17|-|10 C1|10 39.72 cM|protein-coding	60.386	90.738	93.936	63.673	185.52900000000002	71.266	89.23299999999999	135.032	92.38600000000001	201.003	182.782	67.444	62.75899999999999	255.90599999999998	228.62900000000002	Itgb2
NM_013737	chr17	43568451	43612201	+	1901.0	1	Pla2g7|R75400|-|17|17 C|protein-coding	21.206999999999997	33.927	32.96	16.041	129.099	50.868	56.348	97.954	60.258	139.05100000000002	122.03	45.69	26.107	179.428	205.392	Pla2g7
NM_010819	chr6	123262107	123275268	+	1328.0	1	Clec4d|Clecsf8|Mpcl|mcl|-|6 F3|6 58.33 cM|protein-coding	8.836	19.189	24.7	5.605	78.95100000000001	26.339000000000002	36.896	78.959	31.962	137.65200000000002	116.891	19.266	11.039000000000001	165.53799999999998	175.812	Clec4d
NM_001164059	chr1	164062076	164080785	+	2203.0	1	Sell|AI528707|CD62L|L-selectin|LECAM-1|Lnhr|Ly-22|Ly-m22|Lyam-1|Lyam1|-|1 H2.2|1 71.37 cM|protein-coding	50.391999999999996	59.34	109.68299999999999	35.015	176.80599999999998	70.91	93.36200000000001	137.52200000000002	94.666	195.96099999999998	205.33599999999998	61.931999999999995	51.126000000000005	190.356	203.125	Sell
NM_001291894	chr10	51490898	51496611	+	1489.0	1	Lilrb4|CD85K|Gp49b|HM18|ILT3|LIR-5|gp49|-|10 25.5 cM|protein-coding	29.665	35.844	34.994	19.97	88.33	83.993	96.476	151.004	98.13600000000001	180.981	171.378	58.952	40.658	187.729	210.641	Lilrb4
NM_011355	chr2	91096797	91115756	+	1326.0	1	Spi1|Dis-1|Dis1|PU.1|Sfpi-1|Sfpi1|Spi-1|Tcfpu1|Tfpu.1|RP23-20F9.1|2 E3|2 50.44 cM|protein-coding	19.816	32.247	41.485	14.632	153.539	24.673000000000002	35.285	71.542	36.928000000000004	112.76299999999999	103.943	23.394000000000002	18.397000000000002	159.444	177.084	Spi1
NM_007782	chr4	126024659	126044975	+	3888.0	1	Csf3r|Cd114|Csfgr|G-CSF-R|G-CSFR|RP23-140F18.1|4 D2.2|4 59.77 cM|protein-coding	3.805	7.031000000000001	11.402999999999999	1.868	37.578	10.548	25.215999999999998	68.817	26.973000000000003	142.558	121.626	8.44	4.015	191.005	147.128	Csf3r
NM_028608	chr10	111985448	111997264	-	1073.0	1	Glipr1|2410114O14Rik|RTVP-1|RTVP1|mRTVP-1|-|10|10 D1|protein-coding	39.486	44.152	47.722	36.467	95.06299999999999	49.303999999999995	56.269	85.262	48.434	168.058	145.964	46.781000000000006	35.041	202.207	177.429	Glipr1
NM_009976	chr2	148871732	148875468	-	737.0	1	Cst3|CysC|RP23-250M11.9|2 G3|2 73.6 cM|protein-coding	217.44299999999998	275.698	178.96900000000002	237.665	442.56699999999995	190.86700000000002	208.06	313.77099999999996	202.62400000000002	182.292	180.35299999999998	208.153	191.085	244.003	399.348	Cst3
NM_019749	chr11	69991370	69994949	+	1116.0	1	Gabarap|-|RP23-172M21.5|11 B4|11 42.95 cM|protein-coding	126.512	187.018	179.502	145.298	226.625	162.796	190.07	247.31799999999998	196.38099999999997	256.759	244.96099999999998	162.41	144.14	277.553	314.436	Gabarap
NM_009909	chr1	74153994	74161246	+	3039.0	1	Cxcr2|CD128|CDw128|Cmkar2|Gpcr16|IL-8Rh|IL-8rb|IL8RA|Il8rb|mIL-8RH|-|1 C3|1 38.41 cM|protein-coding	5.0889999999999995	12.642999999999999	17.132	1.985	54.03	9.315	22.018	52.265	22.892	119.83200000000001	122.421	6.917000000000001	3.3139999999999996	143.548	136.75799999999998	Cxcr2
NM_011311	chr3	90603770	90606045	+	494.0	1	S100a4|18A2|42a|Capl|FSp1|Mts1|PeL98|metastasin|pk9a|-|3 F1-F2|3 39.27 cM|protein-coding	24.432	71.068	93.306	26.11	226.47299999999998	23.133000000000003	43.405	68.38	36.988	103.22200000000001	88.619	21.796	23.671999999999997	117.811	184.389	S100a4
NM_011407	chr11	83116845	83122659	+	1853.0	1	Slfn1|AV316259|RP23-308N3.1|11 C|11 50.3 cM|protein-coding	85.21799999999999	98.435	153.797	57.91	248.34099999999998	91.62899999999999	108.35700000000001	145.268	107.156	190.872	199.385	83.785	68.935	208.52200000000002	209.885	Slfn1
NM_010686	chr4	130913334	130936148	+	2388.0	1	Laptm5|E3|RP23-412B2.5|4 D2.3|4|protein-coding	86.30799999999999	104.976	140.784	82.655	294.003	124.12899999999999	136.597	176.31799999999998	138.596	219.014	230.08	122.406	118.25299999999999	254.88099999999997	252.398	Laptm5
NM_028071	chr8	119809214	119840579	-	1633.0	1	Cotl1|1810074P22Rik|2010004C08Rik|Clp|-|8 E1|8|protein-coding	102.83200000000001	150.92600000000002	150.82399999999998	98.103	273.947	80.955	107.55	148.031	109.67399999999999	187.91299999999998	170.14	82.671	88.15899999999999	231.34900000000002	236.25400000000002	Cotl1
NM_145634	chr11	115116214	115133992	-	1855.0	1	Cd300lf|CLIM1|CLM-1|CLM1|Digr2|F730004D16Rik|IREM1|IgSF13|LMIR3|Pigr3|RP23-342L24.3|11 E2|11|protein-coding	9.376	19.266	24.230999999999998	5.999	63.489	30.739	48.163000000000004	91.391	47.214	124.98100000000001	126.79299999999999	20.785999999999998	15.383	154.351	155.945	Cd300lf
NM_007807	chrX	9435254	9469324	-	4735.0	1	Cybb|C88302|CGD91-phox|Cgd|Cyd|Nox2|gp91-1|gp91phox|RP23-243O4.1|X A1.1|X|protein-coding	24.463	39.596	41.435	20.373	117.462	46.847	53.795	83.26	53.151	135.707	134.056	43.443999999999996	25.666	148.547	163.47	Cybb
NM_011580	chr2	118111922	118127133	+	5778.0	1	Thbs1|TSP-1|TSP1|Thbs-1|tbsp1|RP23-234E8.1|2 F1-F3|2 59.34 cM|protein-coding	19.54	37.064	48.657	9.136000000000001	141.373	50.027	61.769	109.958	66.32	123.789	159.47	38.663000000000004	23.134	108.791	155.491	Thbs1
NM_010751	chr6	86647045	86669159	-	4653.0	1	Mxd1|AW122478|Mad|Mad1|-|6 D1|6 37.75 cM|protein-coding	34.063	48.467	56.413000000000004	26.859	89.899	67.98100000000001	81.301	127.09100000000001	83.46700000000001	154.97799999999998	166.488	59.758	47.967	185.916	184.578	Mxd1
NM_001001806	chr17	84183928	84187947	-	3529.0	1	Zfp36l2|Brf2|ERF2|Tis11d|-|17 E4|17|protein-coding	51.574	45.147	88.90299999999999	44.72	256.768	69.383	76.96300000000001	108.78200000000001	85.63	202.40099999999998	177.298	70.102	67.082	226.203	191.18400000000003	Zfp36l2
NM_025347	chr7	126776975	126780514	+	946.0	1	Ypel3|0610043B10Rik|1190001G19Rik|Suap|-|7 F3|7|protein-coding	46.382	50.538000000000004	92.65	45.602	226.08900000000003	55.065	71.329	89.939	67.958	181.051	153.453	57.614	60.861000000000004	229.946	190.12	Ypel3
NM_145429	chr11	70432580	70440828	+	1938.0	1	Arrb2|AI326910|AW122872|DN-491F10.4|11 B3|11 42.99 cM|protein-coding	38.383	54.36600000000001	71.985	42.096000000000004	148.189	38.762	51.244	76.547	52.75	151.619	131.238	39.5	38.6	197.512	170.94400000000002	Arrb2
NM_007725	chr10	79988600	79995400	+	1773.0	1	Cnn2|AA408047|AI324678|Calpo2|-|10 C1|10|protein-coding	100.55	153.58100000000002	148.326	101.931	259.226	98.806	116.959	168.93	122.06299999999999	195.15	179.16	103.992	108.053	240.037	250.24200000000002	Cnn2
