id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name
NM_012032	NM_012032	chr2	163623273	163645143	-	3682.0	1	Serinc3|AA959945|AA960047|AIGP1|DIFF33|TMS-1|Tde1|RP23-144O20.3|2 H3|2|protein-coding	128.05700000000002	161.536	202.05200000000002	115.59299999999999	256.18	146.579	171.245	219.74200000000002	167.011	323.335	312.809	140.395	122.449	335.01199999999994	325.001	Serinc3
NM_001177370	NM_001177370	chr19	46305930	46312090	+	2949.0	1	Nfkb2|NF-kappaB2|lyt|p49|p49/p100|p50B|p52|-|19 C3-D2|19 38.8 cM|protein-coding	284.388	375.99300000000005	400.99	289.262	100.839	190.44799999999998	230.584	238.398	228.13	117.726	145.71	206.169	242.305	50.542	72.904	Nfkb2
NM_016740	NM_016740	chr3	93520496	93526288	+	499.0	1	S100a11|EMAPI|Emap1|S100a14|S100c|cal|-|3|3 E-F|protein-coding	62.568000000000005	103.794	129.009	58.648	339.103	82.536	122.88	254.136	132.77700000000002	543.565	499.662	73.15899999999999	62.118	686.797	570.802	S100a11
NM_133810	NM_133810	chr1	53755512	53785215	-	3268.0	1	Stk17b|3110009A03Rik|AI120141|Drak2|-|1 C1.1|1|protein-coding	52.346000000000004	90.505	118.155	49.983000000000004	125.831	56.606	69.584	95.354	71.197	117.53299999999999	128.953	53.611000000000004	44.806000000000004	117.45299999999999	112.066	Stk17b
NM_001281968	NM_001281968	chr11	46325148	46389515	-	4252.0	1	Itk|Emt|Tcsk|Tsk|RP23-273O7.1|11 B1.1|11 27.75 cM|protein-coding	172.392	296.23900000000003	237.142	183.498	135.14600000000002	174.146	198.59599999999998	207.77900000000002	195.97099999999998	106.507	133.42600000000002	185.55700000000002	191.514	90.389	80.09899999999999	Itk
NM_019777	NM_019777	chr1	131254602	131279563	-	3179.0	1	Ikbke|AW558201|IKK-i|IKKepsilon|Ikki|-|1 E4|1|protein-coding	44.505	63.468999999999994	97.906	48.678000000000004	54.528999999999996	56.147	65.334	72.278	67.084	52.34	63.24100000000001	57.015	55.053999999999995	32.93	27.394000000000002	Ikbke
NM_011521	NM_011521	chr2	164424247	164443188	-	2453.0	1	Sdc4|AA959608|AW108331|Synd4|ryudocan|syndecan-4|RP23-462O16.6|2 H3|2 85.16 cM|protein-coding	32.375	87.882	106.375	39.547	12.625	30.553	54.173	84.48899999999999	57.354	38.655	47.638000000000005	38.042	39.597	10.008	14.789000000000001	Sdc4
NM_021293	NM_021293	chr7	43527456	43533171	-	2480.0	1	Cd33|Siglec-3|gp67|-|7 B4|7 28.25 cM|protein-coding	9.193	20.678	25.726999999999997	4.428999999999999	70.315	25.706	46.662	97.36	45.626000000000005	205.08599999999998	200.63400000000001	15.505999999999998	8.957	226.68200000000002	216.09	Cd33
NM_026862	NM_026862	chr7	24743983	24760311	-	2695.0	1	Cd177|1190003K14Rik|Pdp3|-|7 A3|7|protein-coding	28.877	68.618	73.057	10.082	195.537	36.893	64.715	125.211	65.706	196.143	220.00400000000002	21.993000000000002	14.657	249.31400000000002	245.34099999999998	Cd177
NM_001033632	NM_001033632	chr7	141015812	141016892	-	537.0	1	Ifitm6|A330075D07|Dspa2f|Fgls5|fragilis5|-|7 F5|7|protein-coding	47.371	94.90700000000001	115.76700000000001	21.53	322.423	68.054	105.603	199.197	110.368	390.86199999999997	369.209	37.236999999999995	22.296999999999997	451.728	440.49	Ifitm6
NM_183031	NM_183031	chr14	121952331	121965193	-	2938.0	1	Gpr183|Ebi2|-|14 E5|14|protein-coding	72.661	150.455	141.727	70.625	40.666	58.62	74.423	93.39299999999999	73.186	43.955	55.08	59.964	51.99	20.785	27.151	Gpr183
NM_001082960	NM_001082960	chr7	128062640	128118491	+	4650.0	1	Itgam|CD11b/CD18|CR3|CR3A|Cd11b|F730045J24Rik|Ly-40|MAC1|Mac-1|Mac-1a|-|7|7 F4|protein-coding	18.232	36.367	46.256	10.101	145.537	50.673	79.058	150.6	76.63	266.39	260.848	34.777	24.45	312.749	294.514	Itgam
NM_008091	NM_008091	chr2	9857078	9878600	-	3207.0	1	Gata3|Gata-3|jal|RP23-276D17.1|2 A1|2 6.69 cM|protein-coding	36.694	89.041	93.225	38.158	18.474	36.393	56.802	73.753	61.156000000000006	30.581999999999997	42.946999999999996	39.858000000000004	45.257	10.764000000000001	10.171	Gata3
NM_008572	NM_008572	chr14	56082164	56085197	-	831.0	1	Mcpt8|BB139338|MMCP-8|-|14 C3|14 28.19 cM|protein-coding	40.395	38.07	49.068999999999996	30.869	45.416000000000004	26.456	30.839000000000002	37.092	37.249	38.635	58.528	27.271	25.046999999999997	32.768	31.225	Mcpt8
NM_009008	NM_009008	chr15	78559169	78572783	-	3027.0	1	Rac2|AI323801|AI452260|-|15 E1|15|protein-coding	91.583	134.186	182.297	90.22399999999999	238.94099999999997	98.06	128.065	167.78599999999997	129.44799999999998	228.76	223.227	97.634	105.156	238.088	221.583	Rac2
NM_153511	NM_153511	chr2	24186476	24193567	+	1640.0	1	Il1f9|Il36g|RP23-176J12.3|2 A3|2 16.24 cM|protein-coding	6.4910000000000005	13.253	15.761	3.767	43.913000000000004	23.131999999999998	35.295	81.531	36.865	128.42	127.93700000000001	19.477	6.38	132.563	130.491	Il1f9
NM_009122	NM_009122	chr17	51736187	51832647	-	6205.0	1	Satb1|2610306G12Rik|AW413156|-|17 C|17|protein-coding	174.345	262.985	254.419	195.30700000000002	144.917	181.671	193.387	185.298	193.643	103.82	128.13	195.324	202.81400000000002	76.91199999999999	73.033	Satb1
NM_009743	NM_009743	chr2	152780664	152831728	-	2416.0	1	Bcl2l1|Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1|RP23-106A3.4|2 H1|2 75.41 cM|protein-coding	214.136	294.559	263.526	205.805	46.628	121.65799999999999	144.94	158.371	150.423	50.406000000000006	82.84299999999999	134.97299999999998	156.414	20.22	28.599	Bcl2l1
NM_011407	NM_011407	chr11	83116845	83122659	+	1853.0	1	Slfn1|AV316259|RP23-308N3.1|11 C|11 50.3 cM|protein-coding	85.21799999999999	98.435	153.797	57.91	248.34099999999998	91.62899999999999	108.35700000000001	145.268	107.156	190.872	199.385	83.785	68.935	208.52200000000002	209.885	Slfn1
NM_178407	NM_178407	chr5	62602446	62766177	-	7327.0	1	Arap2|Centd1|Gm148|mKIAA0580|-|5 C3.1|5|protein-coding	30.697	62.074	73.308	39.671	25.105	45.167	52.25899999999999	56.975	52.052	36.352	46.493	48.873000000000005	42.137	15.308	18.381	Arap2
NM_001278269	NM_001278269	chr15	6579847	6665608	+	4840.0	1	Fyb|ADAP|B630013F22Rik|FYB-120/130|Slap130|p120/130|p120/p130|-|15 A1|15|protein-coding	19.162	32.755	75.393	13.855	110.321	31.725	42.20399999999999	60.879	41.57	95.70700000000001	92.40700000000001	23.401	19.294	92.656	85.542	Fyb
NM_009627	NM_009627	chr7	110627669	110629819	+	1375.0	1	Adm|AM|-|7 F1|7 57.7 cM|protein-coding	15.635	48.656000000000006	76.117	17.159000000000002	12.633	8.648	20.553	33.728	21.345	20.366	30.252	7.682	11.068	6.027	6.506	Adm
NM_177643	NM_177643	chr1	136624901	136630391	+	5267.0	1	Zfp281|Znf281|-|1 E4|1|protein-coding	60.748999999999995	72.437	79.244	61.937	28.721	115.3	110.499	99.58200000000001	111.573	48.295	61.317	119.56200000000001	102.682	23.660999999999998	26.226999999999997	Zfp281
NM_001025245	NM_001025245	chr18	82475123	82558703	+	4814.0	1	Mbp|C76307|Hmbpr|R75289|golli-mbp|mld|shi|-|18 E2-E4|18 55.84 cM|protein-coding	191.859	200.895	178.618	138.892	51.184	101.85700000000001	113.32700000000001	115.765	116.01899999999999	54.43600000000001	70.012	94.11	111.264	34.184	33.644	Mbp
NM_177584	NM_177584	chr16	45224337	45252895	+	3224.0	1	Btla|A630002H24|-|16 B5|16|protein-coding	77.758	97.35600000000001	99.07700000000001	80.486	26.924	73.805	77.753	67.777	67.545	45.065	57.191	83.78	69.818	25.57	26.429000000000002	Btla
NM_152839	NM_152839	chr5	88519809	88527897	-	2096.0	1	Igj|9530090F24Rik|AI323815|Jch|-|5 E1|5|protein-coding	50.006	63.724	77.07600000000001	30.683000000000003	138.819	54.078	64.925	68.36	65.123	91.595	122.125	34.345	26.134	96.88600000000001	131.766	Igj
NM_146145	NM_146145	chr4	101151974	101265282	-	5272.0	1	Jak1|AA960307|C130039L05Rik|RP23-336G7.2|4 C6|4 46.19 cM|protein-coding	63.528999999999996	83.353	112.566	60.123000000000005	189.793	71.839	83.208	102.09	81.92399999999999	150.542	145.65200000000002	70.306	64.187	159.832	141.85	Jak1
NM_008522	NM_008522	chr9	111019292	111042766	+	2723.0	1	Ltf|Csp82|Lf|MMS10R|Ms10r|-|9 F|9 60.79 cM|protein-coding	88.633	197.812	239.102	38.625	649.955	76.75399999999999	129.774	277.103	126.83	487.00199999999995	490.416	52.271	34.582	636.316	599.15	Ltf
NM_008039	NM_008039	chr17	17887824	17893952	+	1292.0	1	Fpr2|E330010I07Rik|Fpr-rs2|-|17 A3.2|17|protein-coding	27.214000000000002	29.401999999999997	31.529	16.527	81.87100000000001	50.69	53.06399999999999	71.028	55.928999999999995	116.335	120.60799999999999	39.288000000000004	19.444000000000003	133.063	130.56	Fpr2
NM_010493	NM_010493	chr9	21015960	21028796	+	2530.0	1	Icam1|CD54|Icam-1|Ly-47|MALA-2|-|9 A3|9 7.69 cM|protein-coding	80.47	109.016	152.879	101.90700000000001	55.99100000000001	76.557	85.57	96.382	93.54	61.88	70.997	88.745	86.979	30.269000000000002	41.2	Icam1
NM_008491	NM_008491	chr2	32384637	32387739	-	845.0	1	Lcn2|24p3|AW212229|Sip24|RP23-161B9.11-003|2 A3|2 22.09 cM|protein-coding	257.151	442.642	516.83	139.86	1600.6629999999998	320.107	447.68699999999995	828.832	466.473	1467.473	1350.829	236.21900000000002	158.121	1948.1670000000001	1709.192	Lcn2
NM_010431	NM_010431	chr12	73907867	73947530	+	4744.0	1	Hif1a|AA959795|HIF1alpha|MOP1|bHLHe78|-|12 C3|12 31.99 cM|protein-coding	132.55200000000002	161.254	146.64700000000002	148.001	70.226	154.178	146.737	121.07799999999999	150.519	63.31100000000001	82.58200000000001	159.179	146.424	42.452	45.726000000000006	Hif1a
NM_013614	NM_013614	chr12	17544873	17551502	+	2533.0	1	Odc1|ODC|-|12 A1.1|12 8.11 cM|protein-coding	80.623	136.809	112.913	70.164	29.677	58.214	72.938	84.09899999999999	75.242	32.652	38.598	56.17100000000001	61.562	11.365	15.140999999999998	Odc1
NM_001130176	NM_001130176	chr1	135840861	135852261	+	1094.0	1	Tnnt2|Tnt|cTnT|-|1 E4|1 59.32 cM|protein-coding	21.26	63.028	89.275	20.938000000000002	4.773	11.082	26.09	42.778	28.625	17.561	21.119	11.857000000000001	15.497	2.335	3.117	Tnnt2
NM_001082547	NM_001082547	chr16	36184212	36188110	+	408.0	1	Gm5483|EG433016|-|16 B3|16|protein-coding	9.039	19.143	15.838	3.985	51.446000000000005	18.909000000000002	24.779	56.23	29.307	92.897	100.251	7.791	4.937	107.212	105.147	Gm5483
NM_001110211	NM_001110211	chr11	54978962	55033471	-	2616.0	1	Anxa6|AW107198|Anx6|AnxVI|Cabm|Camb|-|11 B1.3|11 32.13 cM|protein-coding	73.563	166.517	167.912	96.32	73.34	71.778	94.26100000000001	112.34	85.00399999999999	49.016999999999996	63.982	85.27799999999999	83.521	38.349000000000004	39.146	Anxa6
NM_001160379	NM_001160379	chr9	85320439	85327150	-	5445.0	1	Fam46a|D930050G01Rik|-|9 E3.1|9|protein-coding	16.848	40.468	42.303999999999995	21.38	12.172	21.136	31.59	36.227	30.354	23.561999999999998	27.89	22.609	21.116999999999997	10.048	10.175	Fam46a
NM_011770	NM_011770	chr1	69531210	69685960	-	9411.0	1	Ikzf2|A730095J18Rik|Helios|Zfpn1a2|Znfn1a2|-|1 C3|1|protein-coding	4.912	17.219	22.680999999999997	5.809	5.388999999999999	11.989	17.438	23.144000000000002	18.415	20.947	23.554000000000002	11.823	9.501	7.032	6.5120000000000005	Ikzf2
NM_011613	NM_011613	chr14	78277446	78308043	-	2228.0	1	Tnfsf11|Ly109l|ODF|OPG|OPGL|RANKL|Trance|-|14 D3|14 41.26 cM|protein-coding	252.65099999999998	212.176	160.238	200.435	22.671	125.102	119.751	80.482	119.53200000000001	28.499000000000002	53.583999999999996	119.851	127.875	6.796	11.202	Tnfsf11
NM_010511	NM_010511	chr10	19591958	19610225	+	2090.0	1	Ifngr1|CD119|IFN-gammaR|Ifgr|Ifngr|Nktar|-|10 A3|10 8.49 cM|protein-coding	45.617	54.848	93.95100000000001	24.358	227.774	48.405	63.333999999999996	89.971	65.384	124.60700000000001	132.415	37.461	34.187	143.077	143.33	Ifngr1
NM_172435	NM_172435	chrX	107089335	107104970	+	2822.0	1	P2ry10|5830408N17Rik|Lypsr2|P2Y10|RP23-35H8.1|X D|X|protein-coding	27.680999999999997	47.568000000000005	54.43600000000001	23.160999999999998	65.128	45.818000000000005	55.053999999999995	65.012	51.065	58.27	73.63	36.592	30.87	53.7	69.933	P2ry10
NM_001146196	NM_001146196	chr12	40059771	40134228	-	2979.0	1	Scin|AW545522|adseverin|-|12 B1|12|protein-coding	14.898	46.465	41.915	14.324000000000002	13.398	13.455	25.508000000000003	37.16	27.054000000000002	19.784000000000002	26.861	12.323	10.8	6.631	14.6	Scin
NM_001077509	NM_001077509	chr4	150927999	150946102	+	2105.0	1	Tnfrsf9|4-1BB|A930040I11Rik|AA408498|AI325004|CDw137|Cd137|ILA|Ly63|RP23-272N19.6|4 E2|4 81.52 cM|protein-coding	121.78200000000001	232.856	160.391	126.07	34.679	126.90100000000001	135.505	156.361	139.82	41.858000000000004	55.608000000000004	116.941	116.103	14.800999999999998	32.049	Tnfrsf9
NM_178372	NM_178372	chr17	25298394	25300161	+	1209.0	1	Prss34|C130091P12|Mcp11|mMcp-11|-|17 A3.3|17 12.53 cM|protein-coding	25.859	36.314	50.473	16.137999999999998	88.133	16.649	22.519000000000002	36.321999999999996	25.346	65.07	77.915	14.08	14.763	75.093	71.417	Prss34
NM_001164074	NM_001164074	chr17	70844205	70853532	-	1375.0	1	Tgif1|AA959811|AI462167|Tgif|-|17 E1.3|17|protein-coding	145.717	146.139	128.914	111.491	61.626000000000005	105.806	107.758	96.93700000000001	111.39200000000001	72.749	77.631	97.512	99.45100000000001	41.511	55.678000000000004	Tgif1
NM_010751	NM_010751	chr6	86647045	86669159	-	4653.0	1	Mxd1|AW122478|Mad|Mad1|-|6 D1|6 37.75 cM|protein-coding	34.063	48.467	56.413000000000004	26.859	89.899	67.98100000000001	81.301	127.09100000000001	83.46700000000001	154.97799999999998	166.488	59.758	47.967	185.916	184.578	Mxd1
NM_025840	NM_025840	chr12	36091835	36156825	-	1857.0	1	Bzw2|1110001I24Rik|Bdm2|HSPC028|-|12|12 B2|protein-coding	106.29299999999999	153.963	126.684	108.819	46.911	59.538999999999994	69.331	70.26	68.877	32.684	39.941	62.98	62.128	14.663	16.954	Bzw2
NM_007901	NM_007901	chr3	115710433	115715055	-	3025.0	1	S1pr1|AI849002|Edg1|Lpb1|S1p|S1p1|-|3 G1|3|protein-coding	18.660999999999998	36.251999999999995	78.932	10.594000000000001	154.808	20.212	28.369	45.038999999999994	30.51	76.10300000000001	69.295	14.187000000000001	11.579	81.139	67.445	S1pr1
NM_001171001	NM_001171001	chr6	29859596	29912310	+	4899.0	1	Ahcyl2|4631427C17Rik|AI227036|Adohcyase3|mKIAA0828|-|6 A3.3|6|protein-coding	48.828	91.34100000000001	88.277	40.650999999999996	19.302	44.82899999999999	58.166000000000004	75.416	59.739	31.505	40.268	41.215	44.245	17.934	25.726	Ahcyl2
NM_001271477	NM_001271477	chr17	32412461	32420975	-	2671.0	1	Pglyrp2|C730002N09Rik|PGRP-L|Pglyrpl|tagL|-|17 B1|17|protein-coding	5.0680000000000005	19.332	37.73	4.586	10.742	4.018	11.285	17.732	13.255	13.873	19.36	4.127	4.567	6.042000000000001	5.513999999999999	Pglyrp2
NM_010824	NM_010824	chr11	87793784	87804412	+	2530.0	1	Mpo|mKIAA4033|RP23-449P23.5|11 C|11 52.22 cM|protein-coding	5.052	21.500999999999998	35.468	2.742	87.419	2.7969999999999997	10.613	20.973000000000003	10.823	30.116	40.192	2.452	1.482	32.461	31.92	Mpo
NM_026641	NM_026641	chr3	68892499	69004570	-	4068.0	1	Ift80|4921524P20Rik|Wdr56|mKIAA1374|-|3|3 E2|protein-coding	18.43	20.421	24.089000000000002	17.15	15.784	23.272	23.557	23.7	21.924	21.916	24.607	20.33	18.375	10.63	8.019	Ift80
NM_007720	NM_007720	chr9	120092133	120094906	+	1152.0	1	Ccr8|C-C|C-C CKR-8|CC-CKR-8|CCR-8|CKR-8|Cmkbr8|mCCR8|-|9 F4|9|protein-coding	51.583999999999996	159.156	99.195	85.935	9.065	61.684	76.167	87.54	79.845	22.217	31.589000000000002	83.585	72.611	4.706	6.435	Ccr8
NM_177363	NM_177363	chr7	3489076	3502552	-	949.0	1	Tarm1|9930022N03Rik|ENSMUSG00000053338|Gm9904|OLT-2|-|7 A1|7|protein-coding	9.847999999999999	16.959	11.248	5.064	22.39	37.714	46.626000000000005	73.934	49.253	46.732	49.213	23.448	14.681	54.169	53.486000000000004	Tarm1
NM_010330	NM_010330	chr13	117220573	117274415	+	2611.0	1	Emb|AL022799|Gp70|-|13 D2.3|13|protein-coding	49.724	67.804	91.181	39.936	202.145	38.946	45.96	60.778999999999996	48.174	124.435	128.362	33.128	30.921999999999997	139.84799999999998	135.94899999999998	Emb
NM_001168230	NM_001168230	chrX	136732948	136743686	-	1720.0	1	Morf4l2|2410017O14Rik|Mrgx|Sid393p|mKIAA0026|RP23-197O15.4|X F1|X|protein-coding	96.68	110.565	89.051	107.214	33.214	72.105	74.142	70.08800000000001	69.367	34.681999999999995	47.071000000000005	71.03699999999999	67.467	15.397	26.177	Morf4l2
