id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h-1	100uM-K99A-24h-1	10uM-K99A-24h-1	10uM-PCC-24h-1	No-Peptide-24h-1	0-1uM-PCC-24h-MEKi	0-1uM-PCC-24h-2	100uM-K99A-24h-MEKi	100uM-K99A-24h-2	10uM-K99A-24h-MEKi	10uM-K99A-24h-2	10uM-PCC-24h-MEKi	10uM-PCC-24h-2	No-Peptide-24h-MEKi	No-Peptide-24h-2	No-Peptide-24h	No-Peptide-24h-std	10uM-K99A-24h	10uM-K99A-24h-std	100uM-K99A-24h	100uM-K99A-24h-std	0-1uM-PCC-24h	0-1uM-PCC-24h-std	10uM-PCC-24h	10uM-PCC-24h-std	gene_name
NM_011659	chr4	156013695	156016589	+	1146.0	1	Tnfrsf4|ACT35|CD134|Ly-70|Ox40|TXGP1L|Txgp1|RP23-118E21.5|4 E2|4 87.68 cM|protein-coding	338.444	562.44	495.573	367.009	82.69200000000002	218.567	267.322	277.136	257.682	88.991	132.037	271.263	281.661	27.73	31.31	57.00100000000001	36.33256063092718	313.805	257.0587708054328	410.061	215.4964484208498	302.8830000000001	50.29084849154918	324.3350000000001	60.35014956070919	Tnfrsf4
NM_009400	chr4	156026342	156028891	+	1000.0	1	Tnfrsf18|AITR|Gitr|RP23-118E21.6|4|4 E|protein-coding	239.503	450.046	454.963	281.744	111.567	175.18400000000003	225.52	285.508	227.029	89.675	130.342	202.682	219.05	34.52	36.722	74.14450000000002	52.923407037907154	292.6525000000001	229.54171041555816	338.5375	157.69683301988016	232.5115	9.887474121330596	250.397	44.33135253970937	Tnfrsf18
NM_011498	chr6	108660629	108666925	+	3106.0	1	Bhlhe40|Bhlhb2|C130042M06Rik|CR8|Clast5|Dec1|Sharp2|Stra13|Stra14|-|6|6 E-F1|protein-coding	242.353	382.426	384.052	241.477	71.291	174.565	224.06	254.262	225.614	119.071	147.22	174.107	189.741	42.45	63.268	67.2795	5.673117705459644	265.636	167.46551320197247	304.02	110.88282857142497	233.2065	12.935104348245053	215.609	36.58287643146733	Bhlhe40
NM_009331	chr11	52252604	52282571	-	2226.0	1	Tcf7|AI465550|TCF-1|Tcf1|RP23-223A11.3|11 B1.3|11 31.86 cM|protein-coding	266.113	347.665	579.755	217.593	601.604	238.885	281.966	349.5619999999999	285.483	368.301	414.9380000000001	226.236	225.289	333.418	286.175	443.8895	223.04198488289163	497.3465	116.54321835482328	316.574	43.969313867741775	274.0395	11.209763802152075	221.44099999999997	5.441893788011583	Tcf7
NM_001111267	chr10	30645582	30655867	-	2748.0	1	Ncoa7|9030406N13Rik|-|10 A4|10|protein-coding	85.35600000000002	234.024	207.071	83.67299999999999	20.845	72.024	115.28	148.994	121.193	47.966	75.45100000000002	70.60300000000002	58.354	11.156	16.942	18.8935	2.7598377669710894	141.261	93.06939453977337	177.6085	79.78356522805937	100.318	21.15946332022617	71.0135	17.90323659286218	Ncoa7
NM_001177370	chr19	46305930	46312090	+	2949.0	1	Nfkb2|NF-kappaB2|lyt|p49|p49/p100|p50B|p52|-|19 C3-D2|19 38.8 cM|protein-coding	284.388	375.99300000000005	400.99	289.262	100.839	190.448	230.584	238.398	228.13	117.726	145.71	206.169	242.305	50.542	72.904	86.8715	19.753027932446173	273.35	180.51021910130183	302.0615	104.55492998658646	257.486	38.04517325496075	265.7835	33.20361312417654	Nfkb2
NM_009743	chr2	152780664	152831728	-	2416.0	1	Bcl2l1|Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1|RP23-106A3.4|2 H1|2 75.41 cM|protein-coding	214.136	294.559	263.526	205.805	46.628	121.658	144.94	158.371	150.423	50.40600000000001	82.84299999999998	134.97299999999998	156.414	20.22	28.599	37.6135	12.748428158012267	173.1845	127.76217454512891	222.49099999999999	101.91954301310415	179.53799999999998	48.928960830984146	181.1095	34.924711029584884	Bcl2l1
NM_009403	chr4	63832824	63861284	-	2222.0	1	Tnfsf8|CD153|CD30LG|Cd30l|-|4 C1|4 34.06 cM|protein-coding	102.469	193.292	193.636	119.675	33.691	93.538	122.381	128.428	121.252	52.11	81.553	100.261	99.187	15.984000000000002	17.327	25.509	11.571095367336671	137.59449999999998	79.25464935573186	157.27200000000002	50.939972516678935	112.425	14.0799102269865	109.431	14.487203732949851	Tnfsf8
NM_008225	chr16	36934983	36963214	+	2002.0	1	Hcls1|AW213261|HS1|-|16|16 B|protein-coding	82.874	206.75	249.685	84.316	153.213	60.61600000000001	90.616	141.908	93.182	94.855	110.846	69.661	66.18	103.489	106.674	129.9435	32.90804248964067	180.2655	98.17399839315905	149.966	80.3047029257938	86.745	5.474420699946086	75.248	12.82408858359925	Hcls1
NM_007791	chr1	135729197	135752229	+	1762.0	1	Csrp1|AA408841|AA959891|AW545626|CRP1|Csrp|-|1 E4|1|protein-coding	56.416	142.137	187.807	70.928	50.056	51.16	76.191	106.4	77.02600000000002	57.029	72.37	59.944	54.395	23.199	38.372	44.214	8.261835631383647	130.0885	81.62628549983151	109.5815	46.04042962983729	66.3035	13.983036597963974	62.6615	11.690596413357136	Csrp1
NM_010807	chr4	129513581	129515981	+	1597.0	1	Marcksl1|AL022768|AW215397|AW536807|D4Bc1|F52|MacMARCKS|Macs2|Macs3|Mlp|Mrp|RP23-209C6.6|4 D2.2|4 63.26 cM|protein-coding	106.069	167.049	245.651	102.984	141.696	90.989	109.65	155.687	105.502	119.848	143.83100000000005	99.977	88.184	89.31200000000003	124.442	133.06900000000002	12.200420402592334	194.741	71.99761246041436	136.27550000000002	43.520301061688365	107.8595	2.532149383429491	95.584	10.465180361560753	Marcksl1
NM_001289915	chr13	43785112	43803133	+	2127.0	1	Cd83|-|-|13 A4-5|13 21.6 cM|protein-coding	49.848	154.856	157.944	49.51600000000001	52.429	45.435	71.517	115.404	78.556	64.78699999999999	69.415	49.465	41.773	33.192	74.914	63.6715	15.899295974979555	113.6795	62.599456231663844	116.706	53.952247404533615	60.6825	15.322296841531283	45.64450000000001	5.475127806727435	Cd83
NM_025359	chr12	36014555	36042478	-	1915.0	1	Tspan13|1100001I23Rik|NET-6|Tm4sf13|RP23-282B14.3|12|12 B2|protein-coding	64.645	153.19299999999996	146.362	63.563	48.46	47.89100000000001	64.063	87.279	68.764	46.488	54.86	52.478	48.18	28.601	38.842	43.651	6.800953021452282	100.611	64.70168469213148	110.9785	59.70031842879899	64.354	0.4115361466512349	55.8715	10.877423614992724	Tspan13
NM_183031	chr14	121952331	121965193	-	2938.0	1	Gpr183|Ebi2|-|14 E5|14|protein-coding	72.661	150.455	141.727	70.625	40.666	58.62	74.423	93.393	73.186	43.955	55.08	59.964	51.99	20.785	27.151	33.9085	9.5565481477362	98.4035	61.268681269470775	111.8205	54.63743387550333	73.542	1.245922148450516	61.30750000000001	13.176934867411289	Gpr183
NM_001281968	chr11	46325148	46389515	-	4252.0	1	Itk|Emt|Tcsk|Tsk|RP23-273O7.1|11 B1.1|11 27.75 cM|protein-coding	172.392	296.2390000000001	237.142	183.498	135.14600000000002	174.146	198.596	207.779	195.971	106.507	133.42600000000002	185.557	191.514	90.389	80.09899999999998	107.6225	38.92410698397586	185.28400000000002	73.33828691754394	246.105	70.90018273601271	185.494	18.529026094212814	187.50599999999997	5.6681679579923525	Itk
NM_021494	chr7	109893781	109960422	-	4930.0	1	Dennd5a|1500012B19Rik|AJ245569|AW496491|ORF37|Rab6ip1|mKIAA1091|-|7 F1|7|protein-coding	55.925	123.508	126.597	54.085	44.673	53.831	81.76899999999998	116.31	83.355	82.956	90.8	55.57899999999999	53.806	53.35	61.244	52.9585	11.717466471042266	108.6985	25.312301446134924	103.4315	28.39245858498344	68.847	18.274467652985148	53.9455	0.19728279195368414	Dennd5a
NM_009139	chr11	83587886	83593087	-	1430.0	1	Ccl6|MRP-1|Scya6|c10|RP23-320E6.4|11 C|11 50.85 cM|protein-coding	29.072	80.548	68.127	13.795	153.869	123.48	206.734	340.158	198.543	297.017	386.541	83.184	67.69	267.023	372.961	263.415	154.92143890372304	227.334	225.1526986247333	139.5455	83.43506464610665	117.90299999999999	125.6260049591644	40.7425	38.10951997204898	Ccl6
NM_001077509	chr4	150927999	150946102	+	2105.0	1	Tnfrsf9|4-1BB|A930040I11Rik|AA408498|AI325004|CDw137|Cd137|ILA|Ly63|RP23-272N19.6|4 E2|4 81.52 cM|protein-coding	121.782	232.856	160.391	126.07	34.679	126.901	135.505	156.361	139.82	41.858	55.608	116.941	116.103	14.800999999999998	32.049	33.364000000000004	1.8596908345205203	107.9995	74.09276985306998	186.338	65.78638649447164	128.64350000000002	9.703626358222222	121.0865	7.0477332880861105	Tnfrsf9
NM_011521	chr2	164424247	164443188	-	2453.0	1	Sdc4|AA959608|AW108331|Synd4|ryudocan|syndecan-4|RP23-462O16.6|2 H3|2 85.16 cM|protein-coding	32.375	87.882	106.375	39.547	12.625	30.553	54.173	84.48899999999998	57.354	38.655	47.63800000000001	38.042	39.597	10.008	14.789	13.707	1.5301790744876933	77.0065	41.533331006554256	72.618	21.58655581606295	43.273999999999994	15.413513616304352	39.571999999999996	0.0353553390500666	Sdc4
NM_009122	chr17	51736187	51832647	-	6205.0	1	Satb1|2610306G12Rik|AW413156|-|17 C|17|protein-coding	174.345	262.985	254.419	195.307	144.917	181.671	193.387	185.298	193.643	103.82	128.13	195.324	202.814	76.91199999999998	73.033	108.975	50.82966385881383	191.2745	89.2998082892679	228.314	49.03219842103749	183.866	13.46472732735434	199.0605	5.308250606366288	Satb1
NM_022018	chr1	151571373	151719347	+	3923.0	1	Fam129a|AI256368|AU019833|Niban|-|1 G2|1|protein-coding	84.63799999999998	142.49200000000005	151.722	98.076	44.359	69.808	87.656	110.396	90.976	74.785	77.509	77.844	79.584	49.096	49.462	46.9105	3.608365904394804	114.6155	52.47651555219728	116.734	36.42731293960618	86.14699999999998	2.134048265621511	88.83000000000001	13.075818597701526	Fam129a
NM_001110211	chr11	54978962	55033471	-	2616.0	1	Anxa6|AW107198|Anx6|AnxVI|Cabm|Camb|-|11 B1.3|11 32.13 cM|protein-coding	73.563	166.517	167.912	96.32	73.34	71.778	94.261	112.34	85.00399999999998	49.017	63.982	85.27799999999998	83.521	38.349	39.146	56.243	24.17880927589281	115.947	73.48960776871789	125.7605	57.63839505485904	83.912	14.635696156999211	89.9205	9.05025969240641	Anxa6
NM_146200	chr7	126546911	126566366	-	2859.0	1	Eif3c|110kDa|3230401O13Rik|Eif3s8|NIPIL(A3)|NipilA3|Xs|Xsl|-|7 F4|7 69.14 cM|protein-coding	441.755	470.889	373.271	437.43	101.319	294.747	288.96	253.312	290.441	89.792	130.649	312.73	342.03	52.438	59.174	80.2465	29.801015293107067	251.96	171.55966146504247	380.665	127.59600445155031	365.3575	108.04238063139879	389.73	67.4579869251959	Eif3c
NM_001025245	chr18	82475123	82558703	+	4814.0	1	Mbp|C76307|Hmbpr|R75289|golli-mbp|mld|shi|-|18 E2-E4|18 55.84 cM|protein-coding	191.859	200.895	178.618	138.892	51.184	101.857	113.327	115.765	116.019	54.43600000000001	70.012	94.11	111.264	34.184	33.644	42.413999999999994	12.402652942012026	124.315	76.79603907754621	158.457	60.016395159989436	152.59300000000005	55.530509740141895	125.07799999999999	19.53594615062188	Mbp
NM_008611	chr9	7558429	7568486	+	2441.0	1	Mmp8|BB138268|-|9 A1|9|protein-coding	40.826	109.096	156.778	20.826	459.132	68.892	142.994	371.013	142.076	981.68	865.6469999999998	47.89100000000001	21.386	1103.274	1006.844	732.9879999999998	387.2908693372464	511.2125	501.2460768729266	125.586	23.32038164353231	91.91	72.2436856202672	21.105999999999998	0.3959797974642923	Mmp8
NM_009637	chr6	140624298	140677418	+	902.0	1	Aebp2|AU023766|B230313N05Rik|-|6|6 G1|protein-coding	176.227	207.16	224.81	193.068	60.01	155.374	161.816	175.233	160.796	99.923	106.468	164.903	188.945	49.808	59.01300000000001	59.5115	0.7049854608436349	165.639	83.68043069917836	183.97799999999998	32.78429880293278	169.0215	10.190115823679117	191.0065	2.9154012588324316	Aebp2
NM_007651	chr3	106758861	106790149	-	2792.0	1	Cd53|AI323659|Ox-44|Tspan25|-|3 F2.3|3 46.53 cM|protein-coding	460.551	473.811	470.663	523.578	263.589	498.801	471.908	368.103	473.999	264.73900000000003	329.737	517.76	510.9380000000001	207.6	195.023	229.306	48.483483558837	400.2	99.64973024549542	473.905	0.1329360750339142	466.2295	8.030611713930607	517.258	8.93782971419795	Cd53
NM_001044741	chr15	98632328	98644536	+	2553.0	1	Cacnb3|Beta3|CAB3|Ca(v)beta3|Cchb3|-|15 F1|15 54.64 cM|protein-coding	37.591	110.969	139.03799999999998	53.905	54.636	53.532	74.245	115.168	78.079	75.811	77.64	55.892	47.777	55.038	96.583	75.6095	29.661008150432142	108.339	43.41494215129159	94.524	23.25674203322545	55.918000000000006	25.918291957611707	50.841	4.333150355111089	Cacnb3
NM_175329	chr10	75935573	75937734	+	942.0	1	Chchd10|1620401E04Rik|AI267078|Ndg2|-|10 C1|10|protein-coding	159.624	227.634	210.878	191.237	33.533	103.638	111.117	123.565	114.954	32.562	50.368	121.052	163.875	10.054	10.651	22.092	16.180017367110587	130.623	113.49770944825272	171.294	79.67679210410012	135.3705	34.29962863501596	177.55599999999995	19.347855746826557	Chchd10
NM_008416	chr8	84976909	84978748	-	1837.0	1	Junb|-|-|8 C2-D1|8 41.41 cM|protein-coding	302.617	370.673	345.25	320.078	181.046	181.539	209.975	225.871	217.587	98.802	126.524	215.67	236.02	74.658	97.261	139.1535	59.24494166171483	235.887	154.66263782180886	294.13	108.248148704724	256.296	65.50778642268415	278.04900000000004	59.437981812979096	Junb
NM_008091	chr2	9857078	9878600	-	3207.0	1	Gata3|Gata-3|jal|RP23-276D17.1|2 A1|2 6.69 cM|protein-coding	36.694	89.041	93.225	38.158	18.474	36.393	56.802	73.753	61.15600000000001	30.582	42.947	39.858	45.257	10.764	10.171	14.3225	5.871107604191903	68.086	35.551914744497225	75.0985	19.71767259338688	46.74800000000001	14.218503156099056	41.7075	5.01975103964333	Gata3
NM_001130176	chr1	135840861	135852261	+	1094.0	1	Tnnt2|Tnt|cTnT|-|1 E4|1 59.32 cM|protein-coding	21.26	63.028	89.275	20.938	4.773	11.082	26.09	42.778	28.625	17.561	21.119	11.857	15.497	2.335	3.117	3.945	1.170968829644923	55.196999999999996	48.19356977855035	45.8265	24.326594593160802	23.675	3.4153257531310226	18.2175	3.8473679964359953	Tnnt2
NM_078478	chr14	37120445	37135322	-	2894.0	1	Ghitm|1010001P14Rik|C77840|MICS1|PTD010|Tmbim5|-|14 B|14 21.29 cM|protein-coding	220.328	278.811	225.539	233.536	63.07899999999999	141.612	142.205	130.267	143.321	64.493	77.503	151.799	157.917	34.213	44.147	53.613	13.38694558142369	151.52100000000004	104.67725945973172	211.066	95.80589778296543	181.2665	55.24130306663666	195.7265	53.47070768654546	Ghitm
NM_001166402	chr10	19000910	19011963	-	4327.0	1	Tnfaip3|A20|Tnfip3|-|10 A3|10 8.08 cM|protein-coding	129.61700000000002	165.562	147.566	106.253	71.354	92.006	102.706	117.035	104.35	74.44	86.59899999999998	95.555	84.645	55.773	61.463	66.4085	6.9939931727160785	117.0825	43.110179128600244	134.95600000000002	43.28342028999092	116.16150000000002	19.028950588511087	95.44899999999998	15.279163327879006	Tnfaip3
NM_013614	chr12	17544873	17551502	+	2533.0	1	Odc1|ODC|-|12 A1.1|12 8.11 cM|protein-coding	80.623	136.809	112.913	70.164	29.677	58.214	72.938	84.09899999999998	75.242	32.652	38.598	56.17100000000001	61.562	11.365	15.140999999999998	22.409000000000002	10.278504171327654	75.7555	52.54864044387826	106.0255	43.53444319731222	76.7805	5.4341156134186575	65.863	6.08253253176672	Odc1
NM_010493	chr9	21015960	21028796	+	2530.0	1	Icam1|CD54|Icam-1|Ly-47|MALA-2|-|9 A3|9 7.69 cM|protein-coding	80.47	109.016	152.879	101.907	55.99100000000001	76.557	85.57	96.382	93.54	61.88	70.997	88.745	86.979	30.269	41.2	48.5955	10.45881640053024	111.938	57.89931745711689	101.27799999999999	10.943184545643003	83.02	3.606244584051281	94.443	10.555690029552734	Icam1
NM_007720	chr9	120092133	120094906	+	1152.0	1	Ccr8|C-C|C-C CKR-8|CC-CKR-8|CCR-8|CKR-8|Cmkbr8|mCCR8|-|9 F4|9|protein-coding	51.584	159.156	99.195	85.935	9.065	61.684	76.167	87.54	79.845	22.217	31.589	83.585	72.611	4.706	6.435	7.75	1.859690834520616	65.392	47.80466104889772	119.5005	56.08134592268628	63.8755	17.38280600190886	79.273	9.421490752529596	Ccr8
NM_009627	chr7	110627669	110629819	+	1375.0	1	Adm|AM|-|7 F1|7 57.7 cM|protein-coding	15.635	48.65600000000001	76.117	17.159000000000002	12.633	8.648	20.553	33.728	21.345	20.366	30.252	7.682	11.068	6.027	6.506	9.5695	4.332443248329977	53.1845	32.43145251912102	35.0005	19.31179330098581	18.094	3.4775511498754343	14.113500000000002	4.306987404207254	Adm
NM_001171001	chr6	29859596	29912310	+	4899.0	1	Ahcyl2|4631427C17Rik|AI227036|Adohcyase3|mKIAA0828|-|6 A3.3|6|protein-coding	48.828	91.341	88.277	40.651	19.302	44.82899999999999	58.166	75.416	59.739	31.505	40.268	41.215	44.245	17.934	25.726	22.514	4.542453962342389	64.27250000000001	33.94748945798493	75.54	22.345988499057235	53.497	6.6029631227200225	42.44799999999999	2.5413417715844844	Ahcyl2
NM_007837	chr10	127290793	127296288	+	865.0	1	Ddit3|CHOP-10|CHOP10|chop|gadd153|-|10 D3|10|protein-coding	158.378	176.301	163.077	129.15	42.555	71.152	72.3	75.255	72.766	24.769	31.696	64.373	77.685	25.069000000000006	24.969	33.762	12.435179853946615	97.3865	92.9003960190698	124.5335	73.2103005901492	115.339	60.8663375109756	103.4175	36.391250493765696	Ddit3
NM_026240	chr18	56432132	56503792	+	2589.0	1	Gramd3|9030613F08Rik|9130427A09Rik|AW061306|NS3TP2|-|18|18 D2|protein-coding	13.71	37.816	87.169	13.216	77.2	20.882	38.159	57.028	38.327	80.995	85.29299999999998	19.507	14.415	54.898	58.893	68.04650000000001	12.945003843182011	86.23100000000001	1.3265323215059994	38.0715	0.3613315651860131	25.9345	17.288053693229905	13.8155	0.8478210306426288	Gramd3
NM_025840	chr12	36091835	36156825	-	1857.0	1	Bzw2|1110001I24Rik|Bdm2|HSPC028|-|12|12 B2|protein-coding	106.293	153.963	126.684	108.819	46.911	59.539	69.331	70.26	68.877	32.684	39.941	62.98	62.128	14.663	16.954	31.9325	21.1827978440054	83.3125	61.336563520464686	111.42	60.1648875840386	87.81200000000001	26.136080846217165	85.4735	33.01552272038108	Bzw2
NM_133810	chr1	53755512	53785215	-	3268.0	1	Stk17b|3110009A03Rik|AI120141|Drak2|-|1 C1.1|1|protein-coding	52.346	90.505	118.155	49.983	125.831	56.606	69.584	95.354	71.197	117.533	128.953	53.611	44.806	117.453	112.066	118.9485	9.733324843032877	123.554	7.635339023252362	80.851	13.652817731149865	60.965	12.189106694093724	47.39450000000001	3.660691806202625	Stk17b
NM_012032	chr2	163623273	163645143	-	3682.0	1	Serinc3|AA959945|AA960047|AIGP1|DIFF33|TMS-1|Tde1|RP23-144O20.3|2 H3|2|protein-coding	128.05700000000002	161.536	202.052	115.593	256.18	146.579	171.245	219.742	167.011	323.335	312.809	140.395	122.449	335.01199999999994	325.001	290.5905	48.66379578803898	257.43050000000005	78.31702576387818	164.2735	3.871409626995821	149.651	30.53852766588469	119.021	4.847924091815479	Serinc3
NM_016959	chr3	86137940	86142668	-	935.0	1	Rps3a1|Rps3a|-|3 F1|3|protein-coding	211.735	212.083	215.257	185.752	110.2	103.422	92.737	90.32	90.57	53.352	57.108	101.613	98.379	46.65	38.958	74.57900000000002	50.375701305291976	136.1825	111.8282303378713	151.3265	85.92266630232088	152.23600000000005	84.14429274763675	142.0655	61.782040792612364	Rps3a1
NM_001142950	chr18	64499647	64516557	-	2633.0	1	Nars|3010001M15Rik|AA960128|ASNRS|C78150|-|18 E1|18|protein-coding	310.529	317.415	241.155	291.869	71.59	171.688	159.58700000000005	139.19799999999998	168.734	55.898	68.691	177.537	188.361	28.848000000000006	33.225	52.4075	27.128151660221924	154.923	121.95046391055672	243.0745	105.1333433335972	235.058	106.73211176585986	240.115	73.1912087070571	Nars
NM_178407	chr5	62602446	62766177	-	7327.0	1	Arap2|Centd1|Gm148|mKIAA0580|-|5 C3.1|5|protein-coding	30.697	62.074	73.308	39.671	25.105	45.167	52.25899999999999	56.975	52.052	36.352	46.493	48.87300000000001	42.137	15.308	18.381	21.743	4.754585996698333	59.90050000000001	18.96106833751727	57.063	7.086624161051537	41.478	15.246636415944351	40.904	1.7437253224063145	Arap2
NM_177584	chr16	45224337	45252895	+	3224.0	1	Btla|A630002H24|-|16 B5|16|protein-coding	77.758	97.356	99.077	80.486	26.924	73.805	77.753	67.777	67.545	45.065	57.191	83.78	69.818	25.57	26.429	26.6765	0.3500178566874616	78.13400000000001	29.617874636779703	82.4505	21.07956025395221	77.7555	0.0035355339898971608	75.152	7.5434151416982065	Btla
NM_001109745	chr6	87842615	87851106	-	2150.0	1	Cnbp|AA408710|Cnbp1|Znf9|-|6|6 D1-D2|protein-coding	522.094	491.687	377.05300000000005	452.989	163.611	295.462	286.443	237.733	286.883	101.199	131.764	285.578	319.626	82.62799999999999	80.96300000000002	122.287	58.44096125150575	254.40850000000003	173.44551525046703	389.285	144.81829721412961	404.2685	166.63042009339102	386.3075	94.30188165938135	Cnbp
NM_198411	chr12	112588784	112615557	+	4577.0	1	Inf2|2610204M08Rik|AA589465|AW125550|EG629699|-|12 F1|12|protein-coding	20.226	43.799	65.24	23.176	24.466	25.69	40.55	56.398	41.46	39.441	45.419	26.818	31.16	18.556	24.631	24.5485	0.11667261889538745	55.3295	14.015563509898536	42.6295	1.6539227611953482	30.388	14.371238220835394	27.168000000000003	5.645540540993411	Inf2
NM_011613	chr14	78277446	78308043	-	2228.0	1	Tnfsf11|Ly109l|ODF|OPG|OPGL|RANKL|Trance|-|14 D3|14 41.26 cM|protein-coding	252.651	212.176	160.238	200.435	22.671	125.102	119.751	80.482	119.532	28.499	53.584	119.851	127.875	6.796	11.202	16.9365	8.10980767342852	106.911	75.41576664067006	165.85399999999996	65.50920063624665	186.201	93.97449121969215	164.155	51.307668042895926	Tnfsf11
