id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h-1	100uM-K99A-24h-1	10uM-K99A-24h-1	10uM-PCC-24h-1	No-Peptide-24h-1	0-1uM-PCC-24h-MEKi	0-1uM-PCC-24h-2	100uM-K99A-24h-MEKi	100uM-K99A-24h-2	10uM-K99A-24h-MEKi	10uM-K99A-24h-2	10uM-PCC-24h-MEKi	10uM-PCC-24h-2	No-Peptide-24h-MEKi	No-Peptide-24h-2	No-Peptide-24h	No-Peptide-24h-std	10uM-K99A-24h	10uM-K99A-24h-std	100uM-K99A-24h	100uM-K99A-24h-std	0-1uM-PCC-24h	0-1uM-PCC-24h-std	10uM-PCC-24h	10uM-PCC-24h-std	gene_name	pc1	pc2
NM_173863	chr7	80586632	80688877	-	5093.0	1	Crtc3|2610312F20Rik|6332415K15Rik|AI429792|BC011210|TORC3|-|7 D3|7|protein-coding	8.377	9.41	11.845	7.357	21.906	9.18	11.689	13.804	11.068	13.425999999999998	13.872	8.92	9.854	16.505	15.488	18.697	4.538211321655265	12.8585	1.4333054454651386	10.238999999999999	1.1723830432072841	10.033	2.341937659289837	8.6055	1.765645632622816	Crtc3	-0.0004812493795392953	0.0012719028767702678
NM_025523	chr3	51405479	51408955	-	408.0	1	Ndufc1|2310016K22Rik|KFYI|-|3|3 D|protein-coding	37.08	47.278	32.579	44.012	25.47	27.867	25.816	22.078000000000007	26.642	10.056	18.714	27.27	23.725	8.857999999999997	10.781	18.1255	10.386691508849195	25.646500000000003	9.804035521151473	36.96	14.591855536565587	31.448	7.964850783285242	33.8685	14.34507526993151	Ndufc1	0.000848438304240098	-0.0024538459110062193
NM_001159556	chr5	17781690	17849792	-	3382.0	1	Cd36|FAT|GPIV|Scarb3|-|5 A3|5 8.11 cM|protein-coding	2.02	2.286	2.044	1.506	11.343	2.864	3.24	6.784	3.382	14.326	12.329	1.759	1.621	14.482	33.524	22.4335	15.684335513498807	7.1865000000000006	7.272593244503638	2.834	0.7749890321804568	2.63	0.8626702730475907	1.5635	0.08131727983645924	Cd36	-0.0010112214035496714	0.005199938735598146
NM_177305	chr1	88698226	88702191	-	3963.0	1	Arl4c|A630084M22Rik|Arl7|LAK|-|1 D|1|protein-coding	11.981	16.643	24.748	10.776	42.202	14.769	15.045	19.889	16.157	18.273	18.315	12.071	10.377	24.135	27.212	34.707	10.599530649986328	21.5315	4.548817923373063	16.4	0.34365389565670834	13.513	2.166575177555584	10.5765	0.28213560569347923	Arl4c	-0.0011450952518111204	0.0019169951780617738
NM_023059	chr7	141091175	141100546	-	1978.0	1	Sigirr|AI256711|TIR8|-|7 F5|7|protein-coding	9.301	7.459	13.151	7.379	28.071	8.827	9.034	9.926	9.656	11.787	10.778	8.632	11.541	14.743	11.694	19.8825	11.580287755492082	11.9645	1.6779643917556923	8.557500000000001	1.55351359826684	9.1675	0.1887975105767049	9.46	2.942978423298412	Sigirr	-0.000536756746858526	0.003137831049667533
NM_013701	chr1	88200611	88220002	+	3199.0	1	Ugt1a2|UDPGT 1-2|Ugt1|-|1 D|1|protein-coding	0.328	1.492	2.634	0.52	9.681	1.433	2.146	8.58	3.026	16.897000000000002	13.018	0.385	0.472	19.965	19.683	14.682	7.072482025427847	7.8260000000000005	7.342596815841109	2.2590000000000003	1.0847018023401636	1.237	1.2855201281971431	0.496	0.03394112549695572	Ugt1a2	-0.0007275692389537099	0.0008564349856968674
NM_011965	chr7	114264550	114276116	-	1243.0	1	Psma1|C2|HC2|Pros-30|alpha-type|-|7 F1|7 59.32 cM|protein-coding	122.082	123.639	95.717	141.81799999999996	58.562	93.942	92.267	74.96	90.615	55.11600000000001	56.12	108.733	96.328	36.394	43.619	51.0905	10.566296631270587	75.91850000000002	27.99930721464371	107.12700000000001	23.351494341904484	107.1745	21.082388681076967	119.07299999999998	32.16628747617606	Psma1	0.003405384225107907	0.0014957291932898038
NM_172574	chr12	16988648	17000118	-	1919.0	1	Pqlc3|C78076|E030024M05Rik|-|12 A1.1|12|protein-coding	6.747999999999998	11.140999999999998	11.061	6.5710000000000015	24.866	11.577	13.452	20.426	12.785	30.746	29.866	10.848	7.377000000000002	36.432	33.945	29.4055	6.419822466392668	20.4635	13.297143020213024	11.963	1.1624835482706997	10.1	4.740443861074616	6.974	0.569928065636364	Pqlc3	-0.001112767199653857	-0.00035011596602862793
NM_029094	chr9	99038402	99140211	-	4828.0	1	Pik3cb|1110001J02Rik|AI447572|p110beta|-|9|9 E4|protein-coding	3.889	5.768	5.921	3.457	7.9129999999999985	4.2410000000000005	5.122999999999998	8.075	4.921	14.649	12.004	4.556	3.361	14.39	15.581	11.747	5.422094798138441	8.9625	4.301330549957771	5.3445	0.5989194436650073	4.5059999999999985	0.8725697679841999	3.409	0.0678822509939425	Pik3cb	-0.00042183932571972373	-0.0005336734981371831
NM_008621	chrX	75109733	75130949	-	2444.0	1	Mpp1|55kDa|C130070C03Rik|p55|RP23-62O13.2|X A7.3|X 38.15 cM|protein-coding	11.849	17.044	17.488	12.241	33.909	16.757	20.279	33.171	19.676	44.659	44.507	16.699	14.4	65.498	54.985	44.446999999999996	14.902982520287676	30.9975	19.10531812087933	18.36	1.8611050480830202	16.064	5.9609101654025896	13.3205	1.5266435405817798	Mpp1	-0.001583704233640238	0.0005764225487489573
NM_001252506	chr16	23290470	23360350	+	4035.0	1	St6gal1|AW742324|Siat1|St6Gal-I|St6gal|St6galI|-|16 B1|16 14.03 cM|protein-coding	14.582	24.851	35.993	10.396	44.319	12.694	16.385	22.412	15.715	27.534	27.634	10.979	9.499	25.758000000000006	24.975	34.647	13.67827357527257	31.8135	5.910705583938322	20.283	6.46012755292029	15.4835	1.274913526479346	9.9475	0.634274782724344	St6gal1	-0.0012258140042968177	-0.006346188274187538
NM_001008705	chr5	145140397	145148074	+	698.0	1	Bud31|C77604|EDG-2|EDG2|G10|-|5 G2|5|protein-coding	156.584	172.141	149.3	148.403	70.661	84.76799999999999	91.215	75.718	83.279	43.664	50.36	95.2	99.959	49.188	43.901	57.28100000000001	18.922177464552	99.83	69.96114493059699	127.71	62.834922789799	123.8995	46.2228631793834	124.181	34.2550809078011	Bud31	0.0034990461847103967	-0.014020140060057607
NM_026396	chr15	10474779	10485937	-	2642.0	1	Brix1|1110064N10Rik|Bxdc2|C76935|-|15 A1|15|protein-coding	63.449	53.003	34.876999999999995	63.577	17.160999999999998	37.435	30.88	22.854	33.581	9.096	11.297	40.386	40.894	6.627000000000002	7.857	12.509	6.5789214921596395	23.087	16.673577900378795	43.292	13.733427904205113	47.1645	23.029760756464675	52.2355	16.03930311765443	Brix1	0.0020570534196468664	0.004348409369096274
NM_201645	chr1	88211959	88220002	+	3222.0	1	Ugt1a1|Gnt1|UDPGT 1-1|UGT1A01|Udpgt-1a|UgtBr1|-|1 D|1 44.55 cM|protein-coding	0.325	1.481	2.539	0.527	9.643	1.422	2.189	8.54	2.972	17.019000000000002	12.818	0.382	0.417	20.036	19.696	14.6695	7.108544471268358	7.6785	7.268350603816521	2.2265	1.0542962107491434	1.257	1.3180470401317244	0.472	0.07778174593052023	Ugt1a1	-0.0007255433734604027	0.0009544565427471065
NM_008889	chr19	6975048	6977324	+	913.0	1	Ppp1r14b|AOM172|PHI-1|PLCB3N|Png|-|19 A|19|protein-coding	71.422	61.265	46.633	69.688	28.879	30.306	32.086	23.432	32.656	9.13	11.132	36.728	43.695	8.052999999999999	12.342	20.6105	11.693424840481931	28.8825	25.10299783890364	46.9605	20.229617902965934	51.754	27.814752344754034	56.69150000000001	18.379826563381915	Ppp1r14b	0.001860215708826814	0.0052802783646919964
NM_172149	chr17	26781079	26792521	+	1077.0	1	Bnip1|2010005M06Rik|5930429G21Rik|Sec20|RP24-335I14.1|17 A3.3|17|protein-coding	17.549	16.372	14.203	19.256	5.088	11.365	11.876	7.252999999999999	11.630999999999998	3.87	5.846	13.33	15.118	5.091	6.2410000000000005	5.6645	0.8152941187080888	10.0245	5.909291370375977	14.0015	3.3523932496054134	14.7125	4.011416769671288	17.187	2.926007860549928	Bnip1	0.0005505203358424692	0.00041609419919617105
NM_007972	chr8	13037308	13056676	+	2492.0	1	F10|Cf10|fX|-|8 A1.1|8 5.73 cM|protein-coding	6.0710000000000015	12.299	11.685	5.495	38.526	21.834	23.115	40.186	23.742	39.879	28.768	17.468	13.651	38.082	50.118	44.321999999999996	8.196781807514418	20.2265	12.079505143009788	18.0205	8.091422897117662	14.593	12.05192797854351	9.573	5.7671629073574815	F10	-0.001556364912090203	0.006384191609652122
NM_010705	chr14	47373860	47386167	+	1371.0	1	Lgals3|GBP|L-34|Mac-2|gal3|-|14 C1|14|protein-coding	22.681	59.96100000000001	84.42399999999998	17.815	326.939	47.599	70.27600000000001	171.854	70.036	268.711	236.358	37.062	30.771	343.55300000000005	420.518	373.72850000000005	66.17034547665531	160.391	107.43356169279696	64.9985	7.1241008204543945	46.4785	33.65474725057375	24.293000000000003	9.161275457052907	Lgals3	-0.017216742726097536	0.05311454980257101
NM_024197	chr1	92439719	92473758	-	1197.0	1	Ndufa10|2900053E13Rik|-|1 D|1|protein-coding	75.483	64.789	56.787	74.524	38.569	54.713	50.362	43.33	53.75100000000001	23.122	28.041	63.481	64.318	14.992	22.09	30.329500000000003	11.652412647173117	42.413999999999994	20.326491531988488	59.27	7.805044650737133	62.9225	17.763229450187247	69.42099999999999	7.216731808789985	Ndufa10	0.0019525357499670178	0.0033199710129806865
NM_152822	chrX	95935313	95956974	-	2598.0	1	Las1l|1810030A06Rik|5830482G23Rik|RP23-476N7.1|X C3|X|protein-coding	50.247	42.924	35.011	52.304	21.332	32.264	28.778	25.083	30.284	11.405	15.973	33.511	34.674	9.69	9.873	15.6025	8.102736605616641	25.492	13.4618989002295	36.604	8.937829714197976	39.5125	15.18087548529396	43.489	12.466292552318828	Las1l	0.0013908272590684456	0.0014637649443630316
NM_146251	chr2	24976033	25054072	+	4552.0	1	Pnpla7|BC027342|E430013P11Rik|Nre|RP23-226M2.4|2 A3|2|protein-coding	8.037	6.603	11.168	4.937	36.73	9.468	11.89	19.031	11.917	39.558	32.969	6.95	7.215	56.945	44.896	40.813	5.774233975169307	22.0685	15.415634936647928	9.26	3.7575654352253123	9.9635	2.724482427911775	6.0760000000000005	1.6107892475429533	Pnpla7	-0.0017293469904033469	0.003995620612457982
NM_020578	chr17	73804841	73832093	+	3650.0	1	Ehd3|Ehd2|-|17 E2|17 45.2 cM|protein-coding	8.083	14.514	21.38	4.999	20.198	5.4670000000000005	8.825	13.458	8.977	15.487	14.303	4.06	4.829	10.823	10.982	15.59	6.516696095415223	17.8415	5.0041946904571795	11.7455	3.915250247429913	8.454	0.5246732316403953	4.914	0.12020815280172815	Ehd3	-0.0005285853620694502	-0.005675766703306114
NM_026981	chr2	126152141	126165277	+	1336.0	1	Dtwd1|1810033A06Rik|RP23-456N11.1|2|2 F2|protein-coding	13.018	9.005	9.245	13.711	2.902	9.161	5.948	5.689	5.462999999999999	2.242	2.301	8.673	10.261	2.612	2.294	2.5980000000000003	0.4299209229614209	5.773	4.9101494885593855	7.234	2.5045722189627506	9.483	4.999244942988893	11.986	2.4395183950935917	Dtwd1	0.00041564942944515834	0.0011388777361243808
NM_011239	chr16	18239979	18248694	-	844.0	1	Ranbp1|Htf9a|-|16 A3|16 11.3 cM|protein-coding	293.802	261.54400000000004	153.808	298.6740000000001	76.692	151.274	132.153	96.723	135.6	28.086	39.416	175.628	190.527	21.263	26.937	51.8145	35.18209789793668	96.61200000000001	80.88735891349154	198.572	89.0558564497586	212.9775	114.30310407202421	244.6005	76.47147706498164	Ranbp1	0.009915339079482083	0.025576700127060707
NM_001037747	chr2	26352312	26359547	-	1598.0	1	Card9|Gm782|RP23-306D20.2|2 A3|2|protein-coding	2.072	3.579	6.398	1.967	16.37	2.977	3.943	7.222	3.498	13.775	15.606	2.6630000000000003	1.085	19.341	18.403	17.386499999999998	1.4375480861522782	11.002	6.511039241165731	3.5385	0.05727564927613184	3.0075000000000003	1.3229967876000297	1.5259999999999998	0.6236681810065351	Card9	-0.0008201087876340433	0.00013047445914581487
NM_183263	chr11	76243736	76250622	+	1486.0	1	Rnmtl1|4833420N02Rik|AI255153|HC90|RP23-147P4.7|11 B5|11|protein-coding	29.64	22.59	15.385	20.472	3.897	8.822000000000003	8.892000000000003	7.151	9.37	2.849	1.868	9.627	10.317	2.097	1.364	2.6305	1.7911014767455242	8.6265	9.557962361298562	15.98	9.34795164728615	19.266	14.671051496058487	15.3945	7.18066936294939	Rnmtl1	0.0007708856826793334	-0.0007426814172437736
NM_026539	chr3	97560748	97610190	-	2964.0	1	Chd1l|4432404A22Rik|Alc1|Snf2p|-|3|3 F2|protein-coding	18.494	17.847	13.854	21.637	9.803	13.934	13.39	10.566	14.408	7.5139999999999985	8.648	15.136	17.405	7.82	7.153	8.478	1.873832970144348	11.251	3.6811979028571593	16.1275	2.4317402205005036	15.942	3.609073011176142	19.521	2.992475897981437	Chd1l	0.0005218004272041226	0.001332900357995388
NM_170758	chr11	114890041	114904651	+	4633.0	1	Cd300a|B230315M08Rik|Clm8|LMIR1|MAIR-I|MAIR-Ia|MMAC8|Pigr4|mcpir1|RP23-254J18.3|11 E2|11 80.54 cM|protein-coding	1.493	2.546	3.487	0.8340000000000001	10.869000000000002	3.105	4.354	10.116	4.257	16.544	12.82	1.959	1.208	17.820999999999994	23.96	17.4145	9.256734872513094	8.153500000000001	6.599427588814048	3.4014999999999995	1.209859702610184	2.9235	2.0230325009747125	1.021	0.2644579361637697	Cd300a	-0.0007965914064258302	0.0019398403222883817
NM_010848	chr10	21124930	21160984	-	3403.0	1	Myb|AI550390|M16449|c-myb|-|10 A3|10 9.75 cM|protein-coding	50.922	38.983	27.33	55.592	24.156	55.195	54.26300000000001	32.054	53.055	36.858	33.378	56.637	61.772	24.61	23.543000000000006	23.8495	0.4334564568677419	30.354	4.27658181261622	46.01900000000001	9.95040662485708	52.5925	2.3624437559443403	58.681999999999995	4.369919907732754	Myb	0.0017488882659938134	0.006875568494937925
NM_181406	chr4	34614958	34660167	+	1845.0	1	Rars2|1500002I10Rik|PRO1992|Rarsl|RP23-76M15.1|4 A5|4|protein-coding	15.355	12.720999999999998	9.576	17.311	6.249	11.57	11.24	8.353	9.735	5.4	3.87	12.533	9.886	4.526	2.411	4.33	2.713875826193969	6.723000000000001	4.03475129345044	11.227999999999998	2.1114208486230392	13.2975	2.9097444045826517	13.5985	5.25026785031011	Rars2	0.0004934619490341459	0.0012425316110744726
NM_027156	chr5	110653451	110660496	+	4829.0	1	Ddx51|2310061O04Rik|AA537002|C81583|R75505|-|5 F|5|protein-coding	13.53	10.309	7.809	12.248	5.3420000000000005	10.451	8.696	6.718	8.929	3.978	4.4460000000000015	9.206	10.857	3.587	3.265	4.3035000000000005	1.4686607845244597	6.1275	2.3780001051303583	9.619	0.9758073580374528	11.113	3.4181541802557693	11.5525	0.9835855326304924	Ddx51	0.00038179756524195574	0.0010039519824459578
NM_027410	chr5	144195347	144223578	-	4137.0	1	Tecpr1|2210010N04Rik|mKIAA1358|-|5 G2|5|protein-coding	23.897	28.567	45.565	23.196	77.63	32.951	35.02	42.425	34.533	41.165	47.026	30.427	36.178	56.919	46.473	62.0515	22.03132598142925	46.2955	1.0330830073135338	31.55	4.218599056558964	29.4585	7.865148727137969	29.686999999999998	9.179660233363766	Tecpr1	-0.0017232541238698521	0.0024129314047402805
NM_025606	chr19	11770415	11774946	+	1118.0	1	Mrpl16|2310039D06Rik|-|19|19 B|protein-coding	46.706	47.209	32.083	55.359	16.230999999999998	28.796	23.343000000000004	20.08	23.983	8.33	12.106	35.267	33.481	6.187	6.985	11.608	6.537909298850819	22.0945	14.125872167763653	35.596	16.42326209983876	35.0245	16.520135728861295	44.42	15.470082158799267	Mrpl16	0.001556731090245391	0.0021938742161628564
NM_001110192	chr1	87620312	87720510	+	4908.0	1	Inpp5d|SHIP|SHIP-1|SHIP1|SIP-145|p150Ship|s-SHIP|-|1 C5|1 44.44 cM|protein-coding	13.158	16.822	19.991	14.186	35.109	17.941	22.956	28.362	20.945	41.916	37.184	17.215999999999998	16.04	49.044	47.56100000000001	41.33500000000001	8.80489363933486	28.5875	12.157286888940305	18.8835	2.9154012588321585	18.057000000000002	6.9282322420658025	15.113	1.3109759723198608	Inpp5d	-0.0013076372655833743	0.0016692914239651217
NM_001160229	chrX	73342621	73359079	+	6276.0	1	Zfp275|5430431L06Rik|AI593314|DXBay20|DXHXS52|DXPas8|RP23-95K12.3|X A7.3|X 37.29 cM|protein-coding	12.327	13.733	13.62	12.734000000000002	7.282	14.4	14.251	12.873	14.062	8.156	9.827	15.114	14.657	5.917000000000002	6.371	6.8265	0.6441742776609388	11.7235	2.682056021040573	13.8975	0.2326381310103966	13.289000000000001	1.3604734470029165	13.6955	1.359766340221739	Zfp275	0.00034213281544714046	-0.0018038437869803538
NM_172394	chr11	70943058	70969973	-	2433.0	1	Nup88|Nup84|Prei2|DN-279H6.4|11 B4|11 43.21 cM|protein-coding	52.622	47.407	37.63800000000001	54.247	19.549	42.153	35.368	30.198	36.125	19.138	20.928	40.567	43.556	16.212	18.872	19.2105	0.4787112908633182	29.283	11.815754313627224	41.766000000000005	7.977578705346643	43.99500000000001	12.200420402592652	48.9015	7.5596785976654255	Nup88	0.001477953057021455	0.0017470443607775674
NM_028149	chr11	98082554	98149616	-	8590.0	1	Fbxl20|2610511F20Rik|4632423N09Rik|AI849362|AL117906|C86145|Fbl2|Scr|mKIAA4147|RP23-309H19.11-002|11 D|11|protein-coding	7.474	6.778	9.68	6.528	16.635	9.508	9.536	9.962	10.268	14.458	15.745	8.541	7.751	16.807000000000002	16.3	16.4675	0.2368807716973383	12.7125	4.288602627896417	8.523	2.467802666341049	8.504999999999999	1.4580541828066718	7.1395	0.8647915933911509	Fbxl20	-0.0004704538185415945	7.684788100991412e-05
NM_010194	chr7	80377758	80387946	-	2741.0	1	Fes|AI586313|BB137047|FPS|c-fes|-|7 D3|7 45.65 cM|protein-coding	5.55	9.973	13.295	5.312	47.11600000000001	10.349	15.970999999999998	30.142	14.465	52.341	45.129	7.3889999999999985	7.002000000000002	77.58800000000002	68.53699999999999	57.8265	15.146934359797068	29.212	22.510037272292546	12.219000000000001	3.1763236610899765	10.7605	7.368759766745012	6.157	1.195010460205271	Fes	-0.0025648742114529545	0.005956425789927446
NM_010748	chr13	13590409	13777440	+	11751.0	1	Lyst|D13Sfk13|beige|bg|-|13 A1|13 5.28 cM|protein-coding	4.979	5.754	9.589	4.231	21.65	10.87	13.065	19.368	12.893	40.329	33.272	9.303	6.999	45.31100000000001	43.002	32.32599999999999	15.098143991895173	21.4305	16.746409898840998	9.3235	5.048035310890762	9.022	5.717665432674424	5.615	1.9572715703243613	Lyst	-0.0013577748641580495	0.00033279671744031007
NM_023292	chr9	35559466	35567400	+	2006.0	1	Pus3|2610020J05Rik|5730412F04Rik|-|9|9 A5.3|protein-coding	27.388	25.721	20.898000000000003	23.432	10.644	16.859	16.596	13.612	19.275	9.512	9.936	20.729	16.875	6.15	5.322	7.983	3.763222289474805	15.417000000000002	7.751304535366937	22.498	4.5580103115285056	21.991999999999997	7.631096382565224	20.1535	4.636499164240172	Pus3	0.0006994349615364565	-0.002595434171332751
NM_027652	chr5	30232618	30272430	+	6757.0	1	Ept1|4933402G07Rik|AI448296|AI452230|C79563|D5Wsu178e|SELI|mKIAA1724|-|5 B1|5 16.22 cM|protein-coding	13.254	10.572	7.602	12.368	4.598	11.169	9.791	5.968	10.503	4.009	4.601	10.768	11.841	2.7110000000000003	3.16	3.8789999999999996	1.0168195513462557	6.1015	2.1220274503408323	10.5375	0.0487903679014452	11.5225	2.44871078324902	12.1045	0.3726452736852491	Ept1	0.0004379861534219254	0.0008517713380465868
NM_133810	chr1	53755512	53785215	-	3268.0	1	Stk17b|3110009A03Rik|AI120141|Drak2|-|1 C1.1|1|protein-coding	52.346	90.505	118.155	49.983	125.831	56.606	69.584	95.354	71.197	117.533	128.953	53.611	44.806	117.453	112.066	118.9485	9.733324843032877	123.554	7.635339023252362	80.851	13.652817731149865	60.965	12.189106694093724	47.39450000000001	3.660691806202625	Stk17b	-0.003741577630215483	-0.028511674343290102
