PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr15-26469	chr15	80485100	80754742	+	2911.7	49.920	intron (NM_001289442, intron 1 of 7)	intron (NM_001289442, intron 1 of 7)	-3562	NM_010815	17444	Mm.12947	NM_010815	ENSMUSG00000042351	Grap2	GRAP-2|GRB2L|GRBLG|GRID|Gads|GrbX|Grf40|GrpL|Mona|P38	GRB2-related adaptor protein 2	protein-coding
chr4-40794	chr4	59135670	59380597	+	2908.6	53.270	Intergenic	Intergenic	-1918	NR_105031	101055769	Mm.421401	NR_105031		LOC101055769	-	uncharacterized LOC101055769	ncRNA
chr6-18720	chr6	54698901	54975770	+	2905.1	43.932	intron (NM_199143, intron 1 of 4)	B3|SINE|B2	20419	NM_199143	387524	Mm.286149	NM_199143		Znrf2	1190002C14Rik|AU044205|D6Ertd365e	zinc and ring finger 2	protein-coding
chr14-21521	chr14	25439929	25663257	+	2866.2	38.754	intron (NM_183208, intron 3 of 23)	intron (NM_183208, intron 3 of 23)	17154	NR_037236	100526533		NR_037236	miRBase:MI0014038	Mir3075	mmu-mir-3075	microRNA 3075	ncRNA
chr7-53328	chr7	127073703	127323299	+	2825.0	31.046	3' UTR (NM_144522, exon 9 of 9)	3' UTR (NM_144522, exon 9 of 9)	-2424	NM_001285905	70233	Mm.28050	NM_027353	ENSMUSG00000042502	Cd2bp2	1500011B02Rik|2410024K20Rik|AW048183	CD2 antigen (cytoplasmic tail) binding protein 2	protein-coding
chr7-50201	chr7	75454022	75748149	+	2823.6	27.222	intron (NM_029332, intron 5 of 36)	intron (NM_029332, intron 5 of 36)	145551	NM_029332	75547	Mm.216107	NM_029332	ENSMUSG00000066406	Akap13	1700026G02Rik|5730522G15Rik|5830460E08Rik|AKAP-Lbc|BRX|Ht31|LBC|PROTO-LB|PROTO-LBC	A kinase (PRKA) anchor protein 13	protein-coding
chr6-48918	chr6	86428163	86670886	+	2804.9	30.358	intron (NR_037961, intron 3 of 4)	intron (NR_037961, intron 3 of 4)	22123	NR_037961	72012	Mm.349174	NR_037960	ENSMUSG00000097048	1600020E01Rik	-	RIKEN cDNA 1600020E01 gene	ncRNA
chr3-39976	chr3	21896053	22204756	+	2802.8	34.056	Intergenic	Intergenic	-26248	NM_030732	81004	Mm.202966	NM_030732	ENSMUSG00000027630	Tbl1xr1	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	transducin (beta)-like 1X-linked receptor 1	protein-coding
chr5-44848	chr5	105483701	105754903	+	2801.1	27.466	Intergenic	MTE2a|LTR|ERVL-MaLR	-80667	NM_001122768	231549	Mm.23837	NM_178701	ENSMUSG00000046079	Lrrc8d	2810473G09Rik|4930525N13Rik|A930019F03|Lrrc5	leucine rich repeat containing 8D	protein-coding
chr1-63068	chr1	91935044	92251366	+	2793.6	25.866	intron (NM_207225, intron 1 of 25)	L1Md_A|LINE|L1	55188	NM_207225	208727	Mm.318567	NM_207225	ENSMUSG00000026313	Hdac4	4932408F19Rik|AI047285	histone deacetylase 4	protein-coding
chr1-36856	chr1	138085128	138348655	+	2771.6	27.787	Intergenic	Intergenic	-41586	NM_001268286	19264	Mm.391573	NM_011210	ENSMUSG00000026395	Ptprc	B220|CD45R|Cd45|L-CA|Ly-5|Lyt-4|T200|loc	protein tyrosine phosphatase, receptor type, C	protein-coding
chr18-20044	chr18	75205162	75504623	+	2752.4	25.280	Intergenic	Intergenic	-12473	NM_001042660	17131	Mm.34407	NM_008543	ENSMUSG00000025880	Smad7	Madh7	SMAD family member 7	protein-coding
chr7-25797	chr7	68101278	68331086	+	2729.8	25.682	intron (NM_010513, intron 19 of 20)	intron (NM_010513, intron 19 of 20)	48051	NM_030101	78444	Mm.425468	NM_030101	ENSMUSG00000030553	Pgpep1l	C330024D12Rik	pyroglutamyl-peptidase I-like	protein-coding
chr19-23738	chr19	32129673	32342064	+	2724.8	29.462	intron (NM_144792, intron 4 of 9)	L1ME2|LINE|L1	-24855	NM_001168526	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
chr16-24296	chr16	10629181	10865069	+	2691.8	29.266	Intergenic	Intergenic	38411	NM_001271603	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding
chr6-35304	chr6	48645427	48845436	+	2680.6	28.146	promoter-TSS (NM_175035)	promoter-TSS (NM_175035)	-766	NM_175035	317757	Mm.455917	NM_175035	ENSMUSG00000043505	Gimap5	D630024P16|E230026N22Rik	GTPase, IMAP family member 5	protein-coding
chr11-70417	chr11	54917136	55158939	+	2674.8	27.898	Intergenic	ID_B1|SINE|B4	-4566	NM_001110211	11749	Mm.265347	NM_013472	ENSMUSG00000018340	Anxa6	AW107198|Anx6|AnxVI|Cabm|Camb	annexin A6	protein-coding
chr15-24734	chr15	36261092	36499960	+	2670.6	24.112	Intergenic	Intergenic	-97379	NM_013923	30945	Mm.5181	NM_013923	ENSMUSG00000022280	Rnf19a	AA032313|Dorfin|Rnf19|UIP117|Ubce7ip2|XYbp	ring finger protein 19A	protein-coding
chr15-42934	chr15	27660740	27887897	+	2649.5	28.310	intron (NM_001081302, intron 34 of 56)	intron (NM_001081302, intron 34 of 56)	-92776	NM_001242423	223433	Mm.266485	NM_198301	ENSMUSG00000056069	Fam105a	9830126M18	family with sequence similarity 105, member A	protein-coding
chr11-57955	chr11	118084028	118293728	+	2643.0	24.606	intron (NM_001112699, intron 3 of 12)	intron (NM_001112699, intron 3 of 12)	23864	NM_001112700	19157	Mm.86413	NM_011180	ENSMUSG00000017132	Cyth1	CLM1|CTH-1|CYTIP|Pscd1|mKIAA4240	cytohesin 1	protein-coding
chr1-22000	chr1	106514569	106714935	+	2626.8	28.502	intron (NM_009741, intron 1 of 1)	B3|SINE|B2	99538	NM_009741	12043	Mm.257460	NM_009741	ENSMUSG00000057329	Bcl2	AW986256|Bcl-2|C430015F12Rik|D630044D05Rik|D830018M01Rik	B cell leukemia/lymphoma 2	protein-coding
chr2-48065	chr2	166542930	166827275	+	2608.8	33.981	intron (NR_105783, intron 2 of 2)	B4A|SINE|B4	12384	NR_105783	102465188		NR_105783		Mir6364	mmu-mir-6364	microRNA mir-6364	ncRNA
chr15-16279	chr15	97311343	97538003	+	2605.7	34.141	Intergenic	Intergenic	-177386	NM_001164563	105827	Mm.24005	NM_178114	ENSMUSG00000048218	Amigo2	AI415330|AMIGO-2|AW208913|Ali1	adhesion molecule with Ig like domain 2	protein-coding
chr11-66567	chr11	117743312	118020202	+	2579.1	32.289	Intergenic	Intergenic	-8231	NM_027919	71776	Mm.3200	NM_027919	ENSMUSG00000017713	Tha1	1300017K07Rik|GLY1	threonine aldolase 1	protein-coding
chr2-63887	chr2	165787803	166056802	+	2565.2	33.584	Intergenic	Intergenic	-37464	NM_027230	228880	Mm.227598	NM_027230	ENSMUSG00000039671	Zmynd8	1110013E22Rik|2010005I16Rik|3632413B07Rik|AI316811|AL024039|Prkcbp1|RACK7	zinc finger, MYND-type containing 8	protein-coding
chr15-22267	chr15	62025269	62271880	+	2533.9	37.852	intron (NR_003368, intron 2 of 8)	intron (NR_003368, intron 2 of 8)	70877	NR_003523	67552	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo
chr7-34887	chr7	125465270	125661461	+	2499.9	39.961	intron (NM_001008700, intron 1 of 10)	intron (NM_001008700, intron 1 of 10)	11083	NM_001008700	16190	Mm.233802	NM_010557	ENSMUSG00000030748	Il4ra	CD124|Il4r	interleukin 4 receptor, alpha	protein-coding
chr10-8969	chr10	39291698	39547508	+	2494.9	40.593	intron (NM_001122892, intron 2 of 12)	intron (NM_001122892, intron 2 of 12)	49804	NM_008054	14360	Mm.4848	NM_008054	ENSMUSG00000019843	Fyn	AI448320|AW552119	Fyn proto-oncogene	protein-coding
chr1-67481	chr1	180222396	180434205	+	2483.3	35.507	non-coding (NR_003623, exon 1 of 1)	non-coding (NR_003623, exon 1 of 1)	-2176	NM_001081175	320404	Mm.132535	NM_001081175	ENSMUSG00000038855	Itpkb	1110033J02Rik|E130307H12Rik	inositol 1,4,5-trisphosphate 3-kinase B	protein-coding
chr1-68403	chr1	193103136	193388552	+	2470.1	33.011	intron (NM_008288, intron 1 of 6)	L1Md_T|LINE|L1	-3484	NM_001044751	15483	Mm.28328	NM_008288	ENSMUSG00000016194	Hsd11b1	-	hydroxysteroid 11-beta dehydrogenase 1	protein-coding
chr19-19347	chr19	4051958	4233409	+	2431.9	33.256	exon (NM_206973, exon 2 of 2)	exon (NM_206973, exon 2 of 2)	2884	NM_206973	269053	Mm.131677	NM_206973	ENSMUSG00000044724	Gpr152	A930009H15Rik|Gm673	G protein-coupled receptor 152	protein-coding
chr7-38476	chr7	80752822	81023479	+	2403.1	27.207	Intergenic	Intergenic	13119	NR_027976	71968	Mm.274226	NM_028026	ENSMUSG00000025722	Wdr73	1200011I23Rik|2410008B13Rik|AI848574|C85352	WD repeat domain 73	protein-coding
chr6-33472	chr6	134020527	134302704	+	2396.8	27.097	intron (NM_007961, intron 2 of 7)	intron (NM_007961, intron 2 of 7)	125908	NM_007961	14011	Mm.269995	NM_007961	ENSMUSG00000030199	Etv6	AW123102|AW557856|Tel	ets variant 6	protein-coding
chr12-43428	chr12	79608498	79858196	+	2396.4	25.517	intron (NM_009014, intron 8 of 10)	intron (NM_009014, intron 8 of 10)	379666	NM_007564	12192	Mm.235132	NM_007564	ENSMUSG00000021127	Zfp36l1	AW742437|AW743212|Berg36|Brf1|D530020L18Rik|ERF1|TIS11b|cMG1	zinc finger protein 36, C3H type-like 1	protein-coding
chr11-48436	chr11	88410735	88677786	+	2395.3	25.970	intron (NM_054043, intron 6 of 13)	intron (NM_054043, intron 6 of 13)	173969	NM_054043	76626	Mm.400451	NM_054043	ENSMUSG00000069769	Msi2	1700105C15Rik|AI451722|AI563628|AW489193|Msi2h	musashi RNA-binding protein 2	protein-coding
chr8-41484	chr8	84039043	84277554	+	2362.8	19.376	intron (NM_029045, intron 2 of 8)	intron (NM_029045, intron 2 of 8)	10260	NM_029045	74666	Mm.33625	NM_029045	ENSMUSG00000008129	4930432K21Rik	-	RIKEN cDNA 4930432K21 gene	protein-coding
chr17-16635	chr17	4979809	5338971	+	2359.8	18.506	intron (NM_001085355, intron 4 of 19)	MT2A|LTR|ERVL	164316	NM_001085355	239985	Mm.133401	NM_001085355	ENSMUSG00000069729	Arid1b	8030481M12|9330189K18Rik|AI836955|Ardi1b|B230217J03Rik|mKIAA1235	AT rich interactive domain 1B (SWI-like)	protein-coding
chr12-4488	chr12	100836644	101029347	+	2355.5	18.090	intron (NM_026681, intron 22 of 29)	intron (NM_026681, intron 22 of 29)	-24797	NM_175493	238377	Mm.32160	NM_175493	ENSMUSG00000047415	Gpr68	BB131428|Ogr1	G protein-coupled receptor 68	protein-coding
chr2-37924	chr2	11135438	11289879	+	2352.0	18.242	intron (NM_008859, intron 1 of 17)	intron (NM_008859, intron 1 of 17)	40276	NM_008859	18761	Mm.329993	NM_008859	ENSMUSG00000026778	Prkcq	A130035A12Rik|AW494342|PKC-0|PKC-theta|PKCtheta|Pkcq	protein kinase C, theta	protein-coding
chr7-45447	chr7	117376961	117644674	+	2336.5	23.752	intron (NM_175645, intron 2 of 11)	(CA)n|Simple_repeat|Simple_repeat	129838	NM_175645	233781	Mm.461427	NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding
chr19-22915	chr19	10686777	10844989	+	2332.2	23.760	intron (NR_027805, intron 1 of 3)	intron (NR_027805, intron 1 of 3)	24936	NR_027805	403202	Mm.34482	NM_207529	ENSMUSG00000067577	A430093F15Rik	Gm674	RIKEN cDNA A430093F15 gene	ncRNA
chr15-39429	chr15	74891764	75034412	+	2307.9	24.411	Intergenic	B1_Mus2|SINE|Alu	7982	NM_001164040	17069	Mm.788	NM_008529	ENSMUSG00000022587	Ly6e	9804|Ly67|RIG-E|Sca-2|TSA-1|Tsa1	lymphocyte antigen 6 complex, locus E	protein-coding
chr11-37989	chr11	99010315	99255864	+	2303.7	30.028	Intergenic	Intergenic	21988	NM_007719	12775	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding
chr15-45985	chr15	77773286	77971872	+	2302.5	30.273	Intergenic	Intergenic	-30404	NM_022410	17886	Mm.29677	NM_022410	ENSMUSG00000022443	Myh9	Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6	myosin, heavy polypeptide 9, non-muscle	protein-coding
chr11-51446	chr11	11620466	11788904	+	2273.1	29.657	intron (NM_001025597, intron 2 of 7)	intron (NM_001025597, intron 2 of 7)	18472	NM_001025597	22778	Mm.103545	NM_009578	ENSMUSG00000018654	Ikzf1	5832432G11Rik|Ikaros|LyF-1|Zfpn1a1|Znfn1a1|hlk-1|mKIAA4227	IKAROS family zinc finger 1	protein-coding
chr5-32350	chr5	64566714	64821633	+	2240.5	30.704	Intergenic	Intergenic	-83474	NR_045078	100042198	Mm.25191	NR_045078		Gm3716	Gm1683	predicted gene 3716	ncRNA
chr12-36150	chr12	69355267	69589057	+	2234.2	27.505	intron (NR_038060, intron 2 of 4)	intron (NR_038060, intron 2 of 4)	3388	NR_038060	76062	Mm.380755	NR_038060		5830428M24Rik	100040862|Gm3007	RIKEN cDNA 5830428M24 gene	ncRNA
chr7-50027	chr7	73456480	73640478	+	2200.9	29.792	intron (NR_037569, intron 4 of 4)	intron (NR_037569, intron 4 of 4)	-6733	NM_001081345	244059	Mm.34539	NM_001081345	ENSMUSG00000078671	Chd2	2810013C04Rik|2810040A01Rik|5630401D06Rik|AI851092|BC029703|CHD-2	chromodomain helicase DNA binding protein 2	protein-coding
chr16-16196	chr16	23127260	23329434	+	2196.2	29.660	intron (NM_001252505, intron 1 of 7)	intron (NM_001252505, intron 1 of 7)	2326	NM_001252505	20440	Mm.149029	NM_145933	ENSMUSG00000022885	St6gal1	AW742324|Siat1|St6Gal-I|St6gal|St6galI	beta galactoside alpha 2,6 sialyltransferase 1	protein-coding
chr15-25477	chr15	64133186	64346286	+	2183.8	24.798	intron (NM_001276462, intron 1 of 27)	intron (NM_001276462, intron 1 of 27)	72937	NM_001276462	13196	Mm.277236	NM_010026	ENSMUSG00000022377	Asap1	AV239055|DEF-1|Ddef1|PAP|mKIAA1249|s19	ArfGAP with SH3 domain, ankyrin repeat and PH domain1	protein-coding
chr5-30228	chr5	134165186	134374693	+	2174.2	20.164	intron (NM_001080749, intron 10 of 32)	intron (NM_001080749, intron 10 of 32)	-40314	NR_104383	17969	Mm.425296	NM_010876	ENSMUSG00000015950	Ncf1	NCF-47K|NOXO2|Ncf-1|p47-phox|p47<phox>|p47phox	neutrophil cytosolic factor 1	protein-coding
chr8-34978	chr8	72239065	72422116	+	2166.3	20.247	Intergenic	Intergenic	11528	NM_008452	16598	Mm.26938	NM_008452	ENSMUSG00000055148	Klf2	Lklf	Kruppel-like factor 2 (lung)	protein-coding
chr2-64829	chr2	173300043	173549178	+	2150.4	13.843	Intergenic	Intergenic	-97982	NM_028158	72221	Mm.46132	NM_028158	ENSMUSG00000027518	1700021F07Rik	-	RIKEN cDNA 1700021F07 gene	protein-coding
chr11-61744	chr11	63895166	64098940	+	2149.9	13.310	intron (NM_178379, intron 4 of 6)	MTD|LTR|ERVL-MaLR	-74769	NM_018805	54710	Mm.274426	NM_018805	ENSMUSG00000070407	Hs3st3b1	3-OST-3B|3OST3B1|3Ost3b|AU041882|AW536289|Hs3st3b|m3-OST-3B	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	protein-coding
chr10-19289	chr10	13964861	14132043	+	2145.4	12.269	intron (NM_010437, intron 1 of 8)	MER20|DNA|hAT-Charlie	82073	NM_010437	15273	Mm.42157	NM_010437	ENSMUSG00000015501	Hivep2	MIBP1|Schnurri-2|Shn-2	human immunodeficiency virus type I enhancer binding protein 2	protein-coding
chr7-28342	chr7	25606620	25852128	+	2136.7	15.687	intron (NM_144922, intron 10 of 14)	intron (NM_144922, intron 10 of 14)	-10321	NM_028771	52132	Mm.278798	NM_028771	ENSMUSG00000002608	Ccdc97	1200014H14Rik|2810446P04Rik|AA545218|D7Ertd462e	coiled-coil domain containing 97	protein-coding
chr15-20298	chr15	78447967	78626673	+	2130.0	16.110	3' UTR (NM_009218, exon 3 of 3)	3' UTR (NM_009218, exon 3 of 3)	7025	NM_009218	20607	Mm.211411	NM_009218	ENSMUSG00000044933	Sstr3	Smstr-3|Smstr3|sst3	somatostatin receptor 3	protein-coding
chr10-28295	chr10	19488005	19725722	+	2129.7	20.683	intron (NM_010511, intron 5 of 6)	Lx9|LINE|L1	14905	NM_010511	15979	Mm.549	NM_010511	ENSMUSG00000020009	Ifngr1	CD119|IFN-gammaR|Ifgr|Ifngr|Nktar	interferon gamma receptor 1	protein-coding
chr16-16995	chr16	51988128	52203006	+	2127.7	21.719	intron (NM_001033238, intron 3 of 17)	intron (NM_001033238, intron 3 of 17)	64018	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding
chr6-38600	chr6	129157268	129334285	+	2120.7	21.088	Intergenic	Intergenic	-7294	NR_040268	76432	Mm.261738	NR_040265	ENSMUSG00000097354	2310001H17Rik	AI646108	RIKEN cDNA 2310001H17 gene	ncRNA
chr12-41012	chr12	25134312	25414333	+	2093.5	23.435	Intergenic	Intergenic	145148	NR_045844	432641	Mm.112955	NR_045844		Gm17746	-	predicted gene, 17746	ncRNA
chr2-71107	chr2	103565379	103741606	+	2083.4	22.412	intron (NM_178890, intron 1 of 16)	intron (NM_178890, intron 1 of 16)	87182	NM_178890	99382	Mm.35850	NM_178890	ENSMUSG00000032724	Abtb2	AW539457|BPOZ-2	ankyrin repeat and BTB (POZ) domain containing 2	protein-coding
chr2-53978	chr2	132544809	132729244	+	2043.9	23.479	intron (NR_033468, intron 4 of 5)	RSINE1|SINE|B4	38830	NR_033469	767814	Mm.371752	NR_033468	ENSMUSG00000074783	AU019990	-	expressed sequence AU019990	ncRNA
chr19-21705	chr19	53387979	53573648	+	2038.1	24.638	Intergenic	Intergenic	-16017	NR_028427	381232	Mm.248624	NR_028427	ENSMUSG00000097636	5830416P10Rik	4833407H14Rik|5430437C04Rik|ENSMUSG00000074788|Gm10758	RIKEN cDNA 5830416P10 gene	ncRNA
chr9-40960	chr9	14860410	15076523	+	2036.9	24.225	Intergenic	RLTR20B1|LTR|ERVK	-64515	NM_176807	64931	Mm.86738	NM_022888	ENSMUSG00000031933	Folr4	0910001L11Rik|C86255|Folbp3|Juno	folate receptor 4 (delta)	protein-coding
chr2-25736	chr2	170103292	170267475	+	2016.1	19.055	Intergenic	Intergenic	-42708	NM_001159683	228913	Mm.22858	NM_001033299	ENSMUSG00000052056	Zfp217	4933431C08Rik|AW987152|Gm562|ZABC1|Znf217	zinc finger protein 217	protein-coding
chr9-42377	chr9	44474678	44622901	+	2014.7	20.850	Intergenic	ORR1B2|LTR|ERVL-MaLR	-22368	NM_007551	12145	Mm.6246	NM_007551	ENSMUSG00000047880	Cxcr5	Blr1|CXC-R5|CXCR-5|Gpcr6|MDR15	chemokine (C-X-C motif) receptor 5	protein-coding
chr5-32528	chr5	65813142	65974528	+	2008.8	13.522	3' UTR (NM_001081105, exon 3 of 3)	3' UTR (NM_001081105, exon 3 of 3)	30266	NM_001081105	74734	Mm.20323	NM_001081105	ENSMUSG00000029204	Rhoh	5830400A04Rik|AU019774|Arhh	ras homolog gene family, member H	protein-coding
