PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr12-60511	chr12	73561484	73855124	+	4603.9	157.082	intron (NM_008856, intron 9 of 13)	intron (NM_008856, intron 9 of 13)	123263	NM_008856	18755	Mm.341677	NM_008856	ENSMUSG00000021108	Prkch	Pkch	protein kinase C, eta	protein-coding
chr19-29536	chr19	11335891	11612049	+	4603.6	163.767	intron (NM_028595, intron 3 of 6)	intron (NM_028595, intron 3 of 6)	4602	NM_028595	73656	Mm.440755	NM_028595	ENSMUSG00000079419	Ms4a6c	2200009H22Rik|2210417N07Rik	membrane-spanning 4-domains, subfamily A, member 6C	protein-coding
chr10-37165	chr10	117709004	118121965	+	4592.8	137.272	Intergenic	Intergenic	-9975	NR_045342	71067	Mm.410793	NR_045342		4933411E08Rik	-	RIKEN cDNA 4933411E08 gene	ncRNA
chr15-22381	chr15	27488367	27887806	+	4527.3	87.202	Intergenic	Intergenic	-6544	NM_001242424	223433	Mm.266485	NM_198301	ENSMUSG00000056069	Fam105a	9830126M18	family with sequence similarity 105, member A	protein-coding
chr15-48608	chr15	63924853	64320378	+	4506.9	89.151	intron (NM_001276462, intron 20 of 27)	intron (NM_001276462, intron 20 of 27)	-62167	NM_144846	223601	Mm.246108	NM_144846	ENSMUSG00000022378	Fam49b	0910001A06Rik|AW122079	family with sequence similarity 49, member B	protein-coding
chr10-71035	chr10	18909049	19243896	+	4422.5	78.061	Intergenic	Intergenic	-61062	NM_009397	21929	Mm.116683	NM_009397	ENSMUSG00000019850	Tnfaip3	A20|Tnfip3	tumor necrosis factor, alpha-induced protein 3	protein-coding
chr13-21628	chr13	24359384	24712043	+	4379.1	111.584	Intergenic	Intergenic	-46476	NM_001286100	193385	Mm.217319	NM_029679	ENSMUSG00000036006	Fam65b	-	family with sequence similarity 65, member B	protein-coding
chr17-36646	chr17	72888938	73285807	+	4343.2	125.459	Intergenic	Intergenic	-20613	NM_001177968	225010	Mm.329194	NM_001081071	ENSMUSG00000054469	Lclat1	AI181996|Agpat8|Alcat1|Gm91|Lycat	lysocardiolipin acyltransferase 1	protein-coding
chr17-12207	chr17	51872875	52222629	+	4169.8	124.424	Intergenic	L1MB3|LINE|L1	165025	NR_045095	100504169	Mm.417731	NR_045095		Gm20098	-	predicted gene, 20098	ncRNA
chr3-59958	chr3	52429387	52907756	+	4156.5	121.988	Intergenic	Intergenic	-71153	NR_038079	329639	Mm.131245	NR_038079		Gm2447	100039832|A530017F20	predicted gene 2447	ncRNA
chr12-45614	chr12	15876016	16262413	+	4107.4	119.768	Intergenic	Intergenic	-252429	NM_144551	217410	Mm.491136	NM_144551	ENSMUSG00000020601	Trib2	AW319517|TRB-2|TRB2	tribbles homolog 2 (Drosophila)	protein-coding
chr3-30684	chr3	115640736	115908127	+	3893.8	112.998	Intergenic	Intergenic	-59376	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding
chr14-47429	chr14	27187366	27435206	+	3794.8	109.682	intron (NM_027871, intron 2 of 10)	intron (NM_027871, intron 2 of 10)	-24751	NM_001289687	71704	Mm.248606	NM_027871	ENSMUSG00000021895	Arhgef3	1200004I24Rik|9830169H03Rik|C76747|Xpln	Rho guanine nucleotide exchange factor (GEF) 3	protein-coding
chr1-54275	chr1	138090896	138349308	+	3735.8	82.462	Intergenic	L1M4c|LINE|L1	-44797	NM_011210	19264	Mm.391573	NM_011210	ENSMUSG00000026395	Ptprc	B220|CD45R|Cd45|L-CA|Ly-5|Lyt-4|T200|loc	protein tyrosine phosphatase, receptor type, C	protein-coding
chr7-55078	chr7	63852434	64106398	+	3731.0	95.675	Intergenic	PB1D7|SINE|Alu	-40501	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding
chr16-37703	chr16	10515900	10864291	+	3660.7	103.487	intron (NM_177562, intron 19 of 22)	intron (NM_177562, intron 19 of 22)	95441	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding
chr7-81955	chr7	126999511	127320117	+	3660.4	71.387	Intergenic	B2_Mm1a|SINE|B2	-21991	NM_001037810	20737	Mm.283714	NM_009259	ENSMUSG00000051457	Spn	A630014B01Rik|Cd43|Galgp|Ly-48|Ly48	sialophorin	protein-coding
chr15-44004	chr15	66677049	66911131	+	3645.5	56.887	intron (NM_001029841, intron 2 of 7)	intron (NM_001029841, intron 2 of 7)	37739	NM_001029841	20491	Mm.7601	NM_009192	ENSMUSG00000022372	Sla	Slap|Slap-1	src-like adaptor	protein-coding
chr19-33565	chr19	32104418	32363528	+	3645.3	49.198	intron (NM_144792, intron 4 of 9)	intron (NM_144792, intron 4 of 9)	-22960	NM_001168526	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
chr3-46876	chr3	21837064	22205620	+	3548.0	53.376	Intergenic	Intergenic	-55310	NM_030732	81004	Mm.202966	NM_030732	ENSMUSG00000027630	Tbl1xr1	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	transducin (beta)-like 1X-linked receptor 1	protein-coding
chr6-69013	chr6	48645385	48857739	+	3449.2	52.088	intron (NM_175035, intron 2 of 2)	(CAA)n|Simple_repeat|Simple_repeat	5365	NM_175035	317757	Mm.455917	NM_175035	ENSMUSG00000043505	Gimap5	D630024P16|E230026N22Rik	GTPase, IMAP family member 5	protein-coding
chr12-63608	chr12	107072152	107411630	+	3439.7	56.307	Intergenic	B1F|SINE|Alu	493597	NR_045973	74968	Mm.359821	NR_045973	ENSMUSG00000085641	4930465M20Rik	4930431H15Rik	RIKEN cDNA 4930465M20 gene	ncRNA
chr4-38792	chr4	59140547	59373529	+	3432.9	59.408	Intergenic	Intergenic	-3013	NR_105031	101055769	Mm.421401	NR_105031		LOC101055769	-	uncharacterized LOC101055769	ncRNA
chr1-53809	chr1	128529546	128833180	+	3422.9	62.772	Intergenic	Intergenic	-89064	NM_009911	12767	Mm.1401	NM_009911	ENSMUSG00000045382	Cxcr4	CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo	chemokine (C-X-C motif) receptor 4	protein-coding
chr9-36519	chr9	13890599	14314160	+	3391.5	60.133	Intergenic	Intergenic	-173922	NM_030261	75747	Mm.325126	NM_030261	ENSMUSG00000032009	Sesn3	5630400E15Rik|BC003348|SEST3	sestrin 3	protein-coding
chr7-77314	chr7	68057957	68330494	+	3329.4	48.049	intron (NM_010513, intron 11 of 20)	intron (NM_010513, intron 11 of 20)	70008	NM_030101	78444	Mm.425468	NM_030101	ENSMUSG00000030553	Pgpep1l	C330024D12Rik	pyroglutamyl-peptidase I-like	protein-coding
chr6-54941	chr6	54698976	54975000	+	3302.2	53.245	intron (NM_199143, intron 1 of 4)	intron (NM_199143, intron 1 of 4)	20072	NM_199143	387524	Mm.286149	NM_199143		Znrf2	1190002C14Rik|AU044205|D6Ertd365e	zinc and ring finger 2	protein-coding
chr1-72352	chr1	88539398	88722091	+	3267.7	58.177	Intergenic	B2_Mm2|SINE|B2	71447	NM_177305	320982	Mm.27968	NM_177305	ENSMUSG00000049866	Arl4c	A630084M22Rik|Arl7|LAK	ADP-ribosylation factor-like 4C	protein-coding
chr1-16831	chr1	106511540	106717342	+	3246.0	60.076	intron (NM_009741, intron 1 of 1)	intron (NM_009741, intron 1 of 1)	99849	NM_177410	12043	Mm.257460	NM_009741	ENSMUSG00000057329	Bcl2	AW986256|Bcl-2|C430015F12Rik|D630044D05Rik|D830018M01Rik	B cell leukemia/lymphoma 2	protein-coding
chr16-22597	chr16	23122673	23404690	+	3165.5	55.471	intron (NM_001252505, intron 2 of 7)	intron (NM_001252505, intron 2 of 7)	-26789	NM_001252506	20440	Mm.149029	NM_145933	ENSMUSG00000022885	St6gal1	AW742324|Siat1|St6Gal-I|St6gal|St6galI	beta galactoside alpha 2,6 sialyltransferase 1	protein-coding
chr2-93491	chr2	11133294	11296272	+	3143.5	47.239	intron (NM_008859, intron 1 of 17)	intron (NM_008859, intron 1 of 17)	42401	NM_008859	18761	Mm.329993	NM_008859	ENSMUSG00000026778	Prkcq	A130035A12Rik|AW494342|PKC-0|PKC-theta|PKCtheta|Pkcq	protein kinase C, theta	protein-coding
chr15-49381	chr15	74892998	75074628	+	3101.1	47.775	promoter-TSS (NM_020498)	promoter-TSS (NM_020498)	-383	NM_020498	57248	Mm.358339	NM_020498	ENSMUSG00000022586	Ly6i	AI789751|Ly-6I|Ly-6M	lymphocyte antigen 6 complex, locus I	protein-coding
chr16-19284	chr16	49748047	49988074	+	3062.9	44.752	exon (NM_010581, exon 2 of 10)	exon (NM_010581, exon 2 of 10)	12406	NM_010581	16423	Mm.31752	NM_010581	ENSMUSG00000055447	Cd47	9130415E20Rik|AA407862|AI848868|AW108519|B430305P08Rik|IAP|Itgp	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	protein-coding
chr6-37276	chr6	86437482	86684973	+	3040.8	41.614	intron (NR_037961, intron 3 of 4)	intron (NR_037961, intron 3 of 4)	33826	NR_037961	72012	Mm.349174	NR_037960	ENSMUSG00000097048	1600020E01Rik	-	RIKEN cDNA 1600020E01 gene	ncRNA
chr1-72559	chr1	91935091	92251025	+	3038.6	30.112	intron (NM_207225, intron 1 of 25)	L1Md_A|LINE|L1	55335	NM_207225	208727	Mm.318567	NM_207225	ENSMUSG00000026313	Hdac4	4932408F19Rik|AI047285	histone deacetylase 4	protein-coding
chr15-59471	chr15	36254778	36499934	+	3028.9	27.321	Intergenic	MLT1B|LTR|ERVL-MaLR	-94209	NM_013923	30945	Mm.5181	NM_013923	ENSMUSG00000022280	Rnf19a	AA032313|Dorfin|Rnf19|UIP117|Ubce7ip2|XYbp	ring finger protein 19A	protein-coding
chr18-26950	chr18	75197472	75514221	+	2998.3	21.093	Intergenic	Intergenic	-11519	NM_001042660	17131	Mm.34407	NM_008543	ENSMUSG00000025880	Smad7	Madh7	SMAD family member 7	protein-coding
chr6-58310	chr6	129145685	129336018	+	2983.0	16.255	Intergenic	Intergenic	-2369	NR_040268	76432	Mm.261738	NR_040265	ENSMUSG00000097354	2310001H17Rik	AI646108	RIKEN cDNA 2310001H17 gene	ncRNA
chr14-33878	chr14	25438164	25663247	+	2981.3	19.931	intron (NM_183208, intron 3 of 23)	intron (NM_183208, intron 3 of 23)	16266	NR_037236	100526533		NR_037236	miRBase:MI0014038	Mir3075	mmu-mir-3075	microRNA 3075	ncRNA
chr11-36468	chr11	54492194	54886627	+	2974.0	20.720	intron (NM_001252496, intron 26 of 28)	B4A|SINE|B4	93264	NM_001252498	192786	Mm.254404	NM_175258	ENSMUSG00000037533	Rapgef6	A530068K01|AI844632|BB085664|C030018K18Rik|PDZ-GEF2|Pdzgef2|RA-GEF-2|Ragef2|mKIAA4052	Rap guanine nucleotide exchange factor (GEF) 6	protein-coding
chr12-54032	chr12	79599509	79850761	+	2969.8	22.198	intron (NM_009014, intron 8 of 10)	intron (NM_009014, intron 8 of 10)	387878	NM_007564	12192	Mm.235132	NM_007564	ENSMUSG00000021127	Zfp36l1	AW742437|AW743212|Berg36|Brf1|D530020L18Rik|ERF1|TIS11b|cMG1	zinc finger protein 36, C3H type-like 1	protein-coding
chr2-100795	chr2	128151538	128477889	+	2966.9	19.113	intron (NR_028589, intron 2 of 2)	intron (NR_028589, intron 2 of 2)	114638	NR_028589	100043424	Mm.297222	NR_028589		Gm14005	OTTMUSG00000015351	predicted gene 14005	ncRNA
chr7-43066	chr7	125444034	125663800	+	2959.5	17.491	intron (NM_001008700, intron 1 of 10)	intron (NM_001008700, intron 1 of 10)	1635	NM_001008700	16190	Mm.233802	NM_010557	ENSMUSG00000030748	Il4ra	CD124|Il4r	interleukin 4 receptor, alpha	protein-coding
chr15-64681	chr15	97310997	97504749	+	2914.0	17.774	Intergenic	Intergenic	-160586	NM_001164563	105827	Mm.24005	NM_178114	ENSMUSG00000048218	Amigo2	AI415330|AMIGO-2|AW208913|Ali1	adhesion molecule with Ig like domain 2	protein-coding
chr12-39034	chr12	99195534	99583866	+	2906.8	16.931	intron (NM_183186, intron 1 of 5)	(CA)n|Simple_repeat|Simple_repeat	60374	NM_183186	71375	Mm.341972	NM_183186	ENSMUSG00000033713	Foxn3	5430426H20Rik|AA589593|AW556347|Ches1|Ches1l|HTLFL1	forkhead box N3	protein-coding
chr6-38809	chr6	134016545	134304395	+	2887.7	16.682	intron (NM_007961, intron 2 of 7)	intron (NM_007961, intron 2 of 7)	124763	NM_007961	14011	Mm.269995	NM_007961	ENSMUSG00000030199	Etv6	AW123102|AW557856|Tel	ets variant 6	protein-coding
chr11-75884	chr11	54923609	55159392	+	2876.8	18.161	Intergenic	B3|SINE|B2	-8029	NM_013472	11749	Mm.265347	NM_013472	ENSMUSG00000018340	Anxa6	AW107198|Anx6|AnxVI|Cabm|Camb	annexin A6	protein-coding
chr11-91997	chr11	11618869	11788948	+	2871.8	17.233	intron (NM_001025597, intron 2 of 7)	MIRb|SINE|MIR	17695	NM_009578	22778	Mm.103545	NM_009578	ENSMUSG00000018654	Ikzf1	5832432G11Rik|Ikaros|LyF-1|Zfpn1a1|Znfn1a1|hlk-1|mKIAA4227	IKAROS family zinc finger 1	protein-coding
chr5-70044	chr5	64556700	64866363	+	2868.3	10.960	Intergenic	Intergenic	-91992	NM_008453	16599	Mm.392759	NM_008453	ENSMUSG00000029178	Klf3	9930027G08Rik|AL024007|Bklf|Tef-2	Kruppel-like factor 3 (basic)	protein-coding
chr10-70706	chr10	13964082	14147600	+	2866.3	14.991	intron (NM_010437, intron 1 of 8)	intron (NM_010437, intron 1 of 8)	89462	NM_010437	15273	Mm.42157	NM_010437	ENSMUSG00000015501	Hivep2	MIBP1|Schnurri-2|Shn-2	human immunodeficiency virus type I enhancer binding protein 2	protein-coding
chr16-29534	chr16	92609323	92910489	+	2863.6	12.507	intron (NM_001111022, intron 2 of 6)	intron (NM_001111022, intron 2 of 6)	-62577	NM_001111023	12394	Mm.4081	NM_009821	ENSMUSG00000022952	Runx1	AML1|CBF-alpha-2|Cbfa2|Pebp2a2|Pebpa2b	runt related transcription factor 1	protein-coding
chr5-27665	chr5	65763074	65972622	+	2851.4	14.859	intron (NM_001081105, intron 1 of 2)	intron (NM_001081105, intron 1 of 2)	4279	NM_001081105	74734	Mm.20323	NM_001081105	ENSMUSG00000029204	Rhoh	5830400A04Rik|AU019774|Arhh	ras homolog gene family, member H	protein-coding
chr13-4893	chr13	30625366	30988098	+	2849.9	16.061	Intergenic	B3|SINE|B2	57474	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding
chr19-15731	chr19	10688147	10882324	+	2844.3	15.955	non-coding (NR_027805, exon 3 of 4)	non-coding (NR_027805, exon 3 of 4)	44288	NR_027805	403202	Mm.34482	NM_207529	ENSMUSG00000067577	A430093F15Rik	Gm674	RIKEN cDNA A430093F15 gene	ncRNA
chr13-56758	chr13	112306951	112516449	+	2811.5	18.757	Intergenic	ERVB3_1-LTR_MM|LTR|ERVK	-52370	NM_010560	16195	Mm.4364	NM_010560	ENSMUSG00000021756	Il6st	5133400A03Rik|AA389424|BB405851|CD130|D13Ertd699e|gp130	interleukin 6 signal transducer	protein-coding
chr8-29809	chr8	81686906	81909531	+	2808.1	24.146	intron (NM_001024617, intron 7 of 24)	intron (NM_001024617, intron 7 of 24)	455656	NM_001297591	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
chr1-96701	chr1	180223056	180432386	+	2782.2	25.055	non-coding (NR_003623, exon 1 of 1)	non-coding (NR_003623, exon 1 of 1)	-2755	NM_001081175	320404	Mm.132535	NM_001081175	ENSMUSG00000038855	Itpkb	1110033J02Rik|E130307H12Rik	inositol 1,4,5-trisphosphate 3-kinase B	protein-coding
chr16-21288	chr16	51986509	52202580	+	2769.6	28.682	intron (NM_001033238, intron 3 of 17)	intron (NM_001033238, intron 3 of 17)	62995	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding
chr11-41097	chr11	99010279	99255904	+	2766.8	29.643	Intergenic	Intergenic	21986	NM_007719	12775	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding
chr15-39482	chr15	62025304	62273563	+	2747.0	26.430	intron (NR_003368, intron 3 of 8)	intron (NR_003368, intron 3 of 8)	70018	NR_003523	67552	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo
chr8-30561	chr8	114766454	115024078	+	2710.1	37.445	intron (NM_019573, intron 8 of 8)	PB1D7|SINE|Alu	455614	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
chr4-53995	chr4	101146840	101361838	+	2692.0	34.238	intron (NM_146145, intron 1 of 24)	intron (NM_146145, intron 1 of 24)	10943	NM_146145	16451	Mm.289657	NM_146145	ENSMUSG00000028530	Jak1	AA960307|C130039L05Rik	Janus kinase 1	protein-coding
chr7-61674	chr7	73462386	73633337	+	2667.4	33.809	intron (NR_037569, intron 4 of 4)	intron (NR_037569, intron 4 of 4)	-6115	NM_001081345	244059	Mm.34539	NM_001081345	ENSMUSG00000078671	Chd2	2810013C04Rik|2810040A01Rik|5630401D06Rik|AI851092|BC029703|CHD-2	chromodomain helicase DNA binding protein 2	protein-coding
chr12-33906	chr12	69332330	69591932	+	2655.7	35.078	Intergenic	Intergenic	13419	NR_038060	76062	Mm.380755	NR_038060		5830428M24Rik	100040862|Gm3007	RIKEN cDNA 5830428M24 gene	ncRNA
chr12-51722	chr12	25132146	25439288	+	2643.4	33.389	Intergenic	L1_Mus3|LINE|L1	156543	NR_045844	432641	Mm.112955	NR_045844		Gm17746	-	predicted gene, 17746	ncRNA
chr8-17326	chr8	46686535	46951979	+	2570.0	27.786	intron (NM_008391, intron 6 of 8)	intron (NM_008391, intron 6 of 8)	79512	NM_008391	16363	Mm.1149	NM_008391	ENSMUSG00000031627	Irf2	9830146E22Rik|AI646973|Irf-2	interferon regulatory factor 2	protein-coding
chr1-94991	chr1	159896635	160079935	+	2564.5	25.382	Intergenic	Intergenic	-56095	NM_001162896	67647	Mm.171518	NM_001024470	ENSMUSG00000090394	4930523C07Rik	-	RIKEN cDNA 4930523C07 gene	protein-coding
chr11-63853	chr11	88397606	88649313	+	2554.5	22.536	intron (NM_054043, intron 6 of 13)	intron (NM_054043, intron 6 of 13)	170686	NR_039545	100628571		NR_039545	miRBase:MI0016973	Mir378b	mmu-mir-378b	microRNA 378b	ncRNA
chr2-98427	chr2	79036379	79304339	+	2543.7	22.349	Intergenic	B1_Mus2|SINE|Alu	-85067	NM_010576	16401	Mm.31903	NM_010576	ENSMUSG00000027009	Itga4	CD49D|Itga4B	integrin alpha 4	protein-coding
chr5-63556	chr5	105471022	105663220	+	2534.6	20.511	intron (NM_133897, intron 2 of 3)	intron (NM_133897, intron 2 of 3)	47650	NM_133897	100604	Mm.319847	NM_133897	ENSMUSG00000054720	Lrrc8c	AD158|AI326115|E430036I04Rik|fad158	leucine rich repeat containing 8 family, member C	protein-coding
chr19-28699	chr19	4036601	4233296	+	2533.3	12.967	TTS (NM_144532)	TTS (NM_144532)	4661	NM_144532	73660	Mm.379226	NM_144532	ENSMUSG00000024842	Cabp4	2410038D05Rik	calcium binding protein 4	protein-coding
chr8-14825	chr8	72239444	72444250	+	2530.6	15.786	intron (NM_001289859, intron 21 of 21)	PB1D10|SINE|Alu	22785	NM_008452	16598	Mm.26938	NM_008452	ENSMUSG00000055148	Klf2	Lklf	Kruppel-like factor 2 (lung)	protein-coding
chr4-53637	chr4	87859109	88224468	+	2524.1	16.454	Intergenic	Intergenic	-8381	NM_027326	70122	Mm.288898	NM_027326	ENSMUSG00000028496	Mllt3	2210011H10Rik|2610012I03Rik|3830408D16Rik|Af9|D4Ertd321e	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	protein-coding
chr4-51349	chr4	6676885	6991770	+	2513.6	15.382	intron (NM_145711, intron 2 of 8)	AT_rich|Low_complexity|Low_complexity	156396	NM_145711	252838	Mm.435828	NM_145711	ENSMUSG00000041272	Tox	1700007F02Rik	thymocyte selection-associated high mobility group box	protein-coding
chr11-90595	chr11	118106800	118274243	+	2512.9	15.945	intron (NM_001112699, intron 3 of 12)	intron (NM_001112699, intron 3 of 12)	22221	NM_001112700	19157	Mm.86413	NM_011180	ENSMUSG00000017132	Cyth1	CLM1|CTH-1|CYTIP|Pscd1|mKIAA4240	cytohesin 1	protein-coding
chr15-27925	chr15	80485583	80644370	+	2487.5	16.485	Intergenic	Intergenic	-4506	NM_001163189	383075	Mm.297626	NM_001163189	ENSMUSG00000050439	Enthd1	Gm1242|Gm86	ENTH domain containing 1	protein-coding
chr11-93772	chr11	46282264	46480621	+	2464.0	16.205	intron (NM_001281966, intron 1 of 16)	L1M2|LINE|L1	8073	NM_010583	16428	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding
chr3-29628	chr3	79059540	79288051	+	2449.9	16.347	Intergenic	(A)n|Simple_repeat|Simple_repeat	-27920	NM_001099624	76089	Mm.31220	NM_001099624	ENSMUSG00000062232	Rapgef2	5830453M24Rik|CNRasGEF|Pdzgef1|RA-GEF-1|mKIAA0313|nRapGEP	Rap guanine nucleotide exchange factor (GEF) 2	protein-coding
chr11-39960	chr11	63943724	64124014	+	2445.8	14.725	intron (NM_178379, intron 4 of 6)	intron (NM_178379, intron 4 of 6)	45603	NM_178379	70383	Mm.340211	NM_178379	ENSMUSG00000042148	Cox10	2410004F01Rik|AU042636	cytochrome c oxidase assembly protein 10	protein-coding
chr19-34842	chr19	53382677	53579024	+	2433.2	15.942	Intergenic	ID_B1|SINE|B4	-16054	NR_028427	381232	Mm.248624	NR_028427	ENSMUSG00000097636	5830416P10Rik	4833407H14Rik|5430437C04Rik|ENSMUSG00000074788|Gm10758	RIKEN cDNA 5830416P10 gene	ncRNA
chr7-5494	chr7	132656307	132870153	+	2428.5	13.602	intron (NM_175268, intron 3 of 4)	intron (NM_175268, intron 3 of 4)	23705	NM_175268	77938	Mm.225649	NM_175268	ENSMUSG00000030956	Fam53b	A930008G19Rik|mKIAA0140	family with sequence similarity 53, member B	protein-coding
chr9-11505	chr9	13414332	13684052	+	2427.5	11.263	Intergenic	Intergenic	-70797	NM_001013813	270118	Mm.116898	NM_173776	ENSMUSG00000031925	Maml2	5930431H10|BC032967	mastermind like 2 (Drosophila)	protein-coding
chr10-73124	chr10	42816170	42974558	+	2420.1	15.852	intron (NM_172938, intron 1 of 8)	RMER17C|LTR|ERVK	34852	NM_172938	268297	Mm.98731	NM_172938	ENSMUSG00000044770	Scml4	9330161D17|mFLJ00197	sex comb on midleg-like 4 (Drosophila)	protein-coding
chr17-55262	chr17	29341564	29565508	+	2419.9	16.035	Intergenic	B1_Mur3|SINE|Alu	-37509	NM_008842	18712	Mm.405293	NM_008842		Pim1	Pim-1	proviral integration site 1	protein-coding
chr2-31960	chr2	165843565	166056780	+	2411.5	14.381	Intergenic	B3|SINE|B2	-42465	NM_008679	17979	Mm.469663	NM_008679	ENSMUSG00000027678	Ncoa3	2010305B15Rik|AW321064|Actr|Aib1|KAT13B|Rac3|Src3|Tram-1|Tram1|bHLHe42|p/Cip|pCip	nuclear receptor coactivator 3	protein-coding
