PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr15-37564	chr15	66667857	66921347	+	4643.1	298.049	intron (NM_001029841, intron 2 of 7)	RLTR51A_Mm|LTR|ERVK?	37227	NM_001029841	20491	Mm.7601	NM_009192	ENSMUSG00000022372	Sla	Slap|Slap-1	src-like adaptor	protein-coding
chr12-36553	chr12	99185683	99701158	+	4623.6	255.847	intron (NM_183186, intron 1 of 5)	intron (NM_183186, intron 1 of 5)	6654	NM_183186	71375	Mm.341972	NM_183186	ENSMUSG00000033713	Foxn3	5430426H20Rik|AA589593|AW556347|Ches1|Ches1l|HTLFL1	forkhead box N3	protein-coding
chr17-36059	chr17	84056553	84368724	+	4120.7	214.406	intron (NM_183021, intron 36 of 37)	B3|SINE|B2	-24691	NM_001001806	12193	Mm.259321	NM_001001806	ENSMUSG00000045817	Zfp36l2	Brf2|ERF2|Tis11d	zinc finger protein 36, C3H type-like 2	protein-coding
chr17-35143	chr17	51872971	52187023	+	4106.2	221.829	Intergenic	Intergenic	147270	NR_045095	100504169	Mm.417731	NR_045095		Gm20098	-	predicted gene, 20098	ncRNA
chr14-24499	chr14	27188088	27437687	+	4017.8	217.151	intron (NM_027871, intron 2 of 10)	intron (NM_027871, intron 2 of 10)	-23150	NM_001289687	71704	Mm.248606	NM_027871	ENSMUSG00000021895	Arhgef3	1200004I24Rik|9830169H03Rik|C76747|Xpln	Rho guanine nucleotide exchange factor (GEF) 3	protein-coding
chr1-31053	chr1	106508038	106717388	+	3836.0	211.408	intron (NM_009741, intron 1 of 1)	intron (NM_009741, intron 1 of 1)	101577	NM_177410	12043	Mm.257460	NM_009741	ENSMUSG00000057329	Bcl2	AW986256|Bcl-2|C430015F12Rik|D630044D05Rik|D830018M01Rik	B cell leukemia/lymphoma 2	protein-coding
chr2-45841	chr2	11112986	11297283	+	3800.6	212.421	intron (NM_008859, intron 1 of 17)	MTD|LTR|ERVL-MaLR	32752	NM_008859	18761	Mm.329993	NM_008859	ENSMUSG00000026778	Prkcq	A130035A12Rik|AW494342|PKC-0|PKC-theta|PKCtheta|Pkcq	protein kinase C, theta	protein-coding
chr6-56210	chr6	48645371	48803936	+	3743.3	123.813	TTS (NM_146167)	TTS (NM_146167)	6032	NM_146167	231932	Mm.30479	NM_146167	ENSMUSG00000043931	Gimap7	IAN7|Ian3	GTPase, IMAP family member 7	protein-coding
chr1-55749	chr1	60743451	61003506	+	3706.3	122.828	Intergenic	MLT1E2|LTR|ERVL-MaLR	-35547	NM_009843	12477	Mm.390	NM_009843	ENSMUSG00000026011	Ctla4	Cd152|Ctla-4|Ly-56	cytotoxic T-lymphocyte-associated protein 4	protein-coding
chr10-54228	chr10	18914668	19210700	+	3667.8	111.648	Intergenic	Intergenic	-47274	NM_009397	21929	Mm.116683	NM_009397	ENSMUSG00000019850	Tnfaip3	A20|Tnfip3	tumor necrosis factor, alpha-induced protein 3	protein-coding
chr19-24111	chr19	11431168	11612606	+	3641.5	75.630	intron (NM_027209, intron 3 of 6)	intron (NM_027209, intron 3 of 6)	3328	NM_027209	69774	Mm.436639	NM_027209	ENSMUSG00000024677	Ms4a6b	1810027D10Rik	membrane-spanning 4-domains, subfamily A, member 6B	protein-coding
chr8-17413	chr8	46595570	46953567	+	3617.2	73.122	intron (NM_008391, intron 1 of 8)	intron (NM_008391, intron 1 of 8)	34823	NM_008391	16363	Mm.1149	NM_008391	ENSMUSG00000031627	Irf2	9830146E22Rik|AI646973|Irf-2	interferon regulatory factor 2	protein-coding
chr14-32320	chr14	25364071	25660307	+	3534.1	73.026	intron (NM_183208, intron 2 of 23)	intron (NM_183208, intron 2 of 23)	-22250	NR_037236	100526533		NR_037236	miRBase:MI0014038	Mir3075	mmu-mir-3075	microRNA 3075	ncRNA
chr12-10582	chr12	25092457	25400306	+	3524.3	67.971	Intergenic	Intergenic	117207	NR_045844	432641	Mm.112955	NR_045844		Gm17746	-	predicted gene, 17746	ncRNA
chr8-44270	chr8	81687132	81905789	+	3488.9	72.649	intron (NM_001024617, intron 7 of 24)	L1Md_F2|LINE|L1	453898	NM_001024617	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
chr6-53888	chr6	129176018	129334223	+	3477.7	77.476	Intergenic	Intergenic	-16638	NR_040266	76432	Mm.261738	NR_040265	ENSMUSG00000097354	2310001H17Rik	AI646108	RIKEN cDNA 2310001H17 gene	ncRNA
chr5-40376	chr5	105485533	105755033	+	3454.2	75.158	Intergenic	Intergenic	-79686	NM_001122768	231549	Mm.23837	NM_178701	ENSMUSG00000046079	Lrrc8d	2810473G09Rik|4930525N13Rik|A930019F03|Lrrc5	leucine rich repeat containing 8D	protein-coding
chr1-71853	chr1	138113177	138305327	+	3397.3	75.704	Intergenic	MT2B|LTR|ERVL	-33947	NM_001268286	19264	Mm.391573	NM_011210	ENSMUSG00000026395	Ptprc	B220|CD45R|Cd45|L-CA|Ly-5|Lyt-4|T200|loc	protein tyrosine phosphatase, receptor type, C	protein-coding
chr11-59015	chr11	11625469	11847516	+	3384.3	74.685	intron (NM_009578, intron 3 of 6)	intron (NM_009578, intron 3 of 6)	50279	NM_009578	22778	Mm.103545	NM_009578	ENSMUSG00000018654	Ikzf1	5832432G11Rik|Ikaros|LyF-1|Zfpn1a1|Znfn1a1|hlk-1|mKIAA4227	IKAROS family zinc finger 1	protein-coding
chr1-59409	chr1	180247142	180435998	+	3323.6	80.415	intron (NM_001081175, intron 2 of 7)	intron (NM_001081175, intron 2 of 7)	-11021	NR_003623	277333	Mm.389223	NM_199472		Gm5069	EG277333	glyceraldehyde-3-phosphate dehydrogenase pseudogene	pseudo
chr10-24957	chr10	96324718	96503256	+	3274.4	80.983	Intergenic	Intergenic	187780	NR_110448	74881	Mm.410819	NR_110448		4930459C07Rik	-	RIKEN cDNA 4930459C07 gene	ncRNA
chr7-58102	chr7	63875834	64065201	+	3261.1	79.136	Intergenic	MER46C|DNA|TcMar-Tigger	-31602	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding
chr5-21358	chr5	53354976	53614298	+	3175.4	74.290	Intergenic	MER68|LTR|ERVL	-71142	NM_001080928	19664	Mm.209292	NM_009035	ENSMUSG00000039191	Rbpj	AI843960|CBF1|Igkjrb|Igkrsbp|RBP-J|RBP-J kappa|RBPjk|Rbpsuh	recombination signal binding protein for immunoglobulin kappa J region	protein-coding
chr19-20739	chr19	32106931	32345507	+	3170.4	72.265	intron (NM_144792, intron 4 of 9)	ORR1B2|LTR|ERVL-MaLR	-15206	NM_001168526	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
chr11-73509	chr11	46292371	46488982	+	3107.9	65.476	intron (NR_105955, intron 2 of 4)	intron (NR_105955, intron 2 of 4)	-1161	NM_001281965	16428	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding
chr3-45534	chr3	37118930	37335908	+	3094.0	55.941	intron (NM_001291041, intron 3 of 3)	intron (NM_001291041, intron 3 of 3)	5217	NM_001291041	60505	Mm.157689	NM_021782	ENSMUSG00000027718	Il21	IL-21	interleukin 21	protein-coding
chr10-47428	chr10	117779118	118024367	+	3079.3	54.309	Intergenic	Lx9|LINE|L1	-23717	NR_045342	71067	Mm.410793	NR_045342		4933411E08Rik	-	RIKEN cDNA 4933411E08 gene	ncRNA
chr19-27921	chr19	53387423	53579355	+	3045.3	44.406	Intergenic	Intergenic	-18593	NR_028427	381232	Mm.248624	NR_028427	ENSMUSG00000097636	5830416P10Rik	4833407H14Rik|5430437C04Rik|ENSMUSG00000074788|Gm10758	RIKEN cDNA 5830416P10 gene	ncRNA
chr12-39365	chr12	69355441	69596089	+	3041.9	46.953	promoter-TSS (NR_038061)	promoter-TSS (NR_038061)	-215	NR_038060	76062	Mm.380755	NR_038060		5830428M24Rik	100040862|Gm3007	RIKEN cDNA 5830428M24 gene	ncRNA
chr7-17314	chr7	127076895	127321669	+	3013.4	41.020	intron (NM_144522, intron 8 of 8)	intron (NM_144522, intron 8 of 8)	-3205	NM_027353	70233	Mm.28050	NM_027353	ENSMUSG00000042502	Cd2bp2	1500011B02Rik|2410024K20Rik|AW048183	CD2 antigen (cytoplasmic tail) binding protein 2	protein-coding
chr9-51905	chr9	116058728	116271183	+	3009.4	46.204	intron (NM_009371, intron 1 of 7)	intron (NM_009371, intron 1 of 7)	10408	NM_009371	21813	Mm.172346	NM_009371	ENSMUSG00000032440	Tgfbr2	1110020H15Rik|AU042018|DNIIR|RIIDN|TBR-II|TbetaR-II|TbetaRII	transforming growth factor, beta receptor II	protein-coding
chr15-41282	chr15	62025325	62287681	+	3003.8	48.179	intron (NR_003368, intron 3 of 8)	intron (NR_003368, intron 3 of 8)	62948	NR_003523	67552	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo
chr15-37923	chr15	74892252	75034130	+	2965.1	41.161	Intergenic	MLTR14|LTR|ERV1	8085	NM_001164040	17069	Mm.788	NM_008529	ENSMUSG00000022587	Ly6e	9804|Ly67|RIG-E|Sca-2|TSA-1|Tsa1	lymphocyte antigen 6 complex, locus E	protein-coding
chr10-48430	chr10	13964221	14141165	+	2947.9	40.709	intron (NM_010437, intron 1 of 8)	intron (NM_010437, intron 1 of 8)	86314	NM_010437	15273	Mm.42157	NM_010437	ENSMUSG00000015501	Hivep2	MIBP1|Schnurri-2|Shn-2	human immunodeficiency virus type I enhancer binding protein 2	protein-coding
chr18-16821	chr18	75239844	75541498	+	2913.5	41.726	intron (NM_001042660, intron 3 of 3)	intron (NM_001042660, intron 3 of 3)	23306	NM_001042660	17131	Mm.34407	NM_008543	ENSMUSG00000025880	Smad7	Madh7	SMAD family member 7	protein-coding
chr11-76733	chr11	88448665	88721079	+	2875.1	44.528	intron (NM_054043, intron 6 of 13)	intron (NM_054043, intron 6 of 13)	133357	NM_054043	76626	Mm.400451	NM_054043	ENSMUSG00000069769	Msi2	1700105C15Rik|AI451722|AI563628|AW489193|Msi2h	musashi RNA-binding protein 2	protein-coding
chr13-42872	chr13	51675543	51900819	+	2851.0	45.289	intron (NM_013660, intron 1 of 15)	B4A|SINE|B4	5566	NM_013660	20354	Mm.33903	NM_013660	ENSMUSG00000021451	Sema4d	CD100|Semacl2|Semaj|Semcl2|coll-4	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	protein-coding
chr15-40359	chr15	36261153	36498746	+	2850.3	40.423	Intergenic	MLT1N2|LTR|ERVL-MaLR	-96802	NM_013923	30945	Mm.5181	NM_013923	ENSMUSG00000022280	Rnf19a	AA032313|Dorfin|Rnf19|UIP117|Ubce7ip2|XYbp	ring finger protein 19A	protein-coding
chr4-54463	chr4	59150719	59340876	+	2849.0	38.486	Intergenic	B3|SINE|B2	-14254	NR_105031	101055769	Mm.421401	NR_105031		LOC101055769	-	uncharacterized LOC101055769	ncRNA
chr2-73920	chr2	6538023	6737533	+	2815.7	31.653	intron (NM_001110232, intron 5 of 15)	T-rich|Low_complexity|Low_complexity	247218	NM_001160293	14007	Mm.398543	NM_010160	ENSMUSG00000002107	Celf2	B230218O03|B230345P09Rik|C88023|CELF-2|CUG-BP2|Cugbp2|D230046B21Rik|Etr-3|Napor|Napor-2|mETR-3	CUGBP, Elav-like family member 2	protein-coding
chr16-14124	chr16	49834210	50000225	+	2798.4	34.517	Intergenic	(CA)n|Simple_repeat|Simple_repeat	61563	NM_010581	16423	Mm.31752	NM_010581	ENSMUSG00000055447	Cd47	9130415E20Rik|AA407862|AI848868|AW108519|B430305P08Rik|IAP|Itgp	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	protein-coding
chr4-52867	chr4	8689321	8946740	+	2789.2	31.435	intron (NM_001277149, intron 7 of 37)	MTD-int|LTR|ERVL-MaLR	127624	NM_001277149	320790	Mm.138792	NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
chr1-32852	chr1	54740085	54945089	+	2773.5	31.741	intron (NM_001081433, intron 1 of 27)	intron (NM_001081433, intron 1 of 27)	83800	NM_001081433	329154	Mm.397910	NM_001081433	ENSMUSG00000052331	Ankrd44	4930444A19Rik|A130096K20|E130014H08Rik|PP6-ARS-B	ankyrin repeat domain 44	protein-coding
chr1-62831	chr1	88539312	88728499	+	2765.6	33.383	Intergenic	Intergenic	68286	NM_177305	320982	Mm.27968	NM_177305	ENSMUSG00000049866	Arl4c	A630084M22Rik|Arl7|LAK	ADP-ribosylation factor-like 4C	protein-coding
chr11-37618	chr11	99068248	99253518	+	2763.5	29.291	Intergenic	Intergenic	-5806	NM_007719	12775	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding
chr3-35640	chr3	115658397	115831874	+	2711.6	25.884	Intergenic	Intergenic	-30080	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding
chr9-13144	chr9	13414325	13667777	+	2702.1	25.291	Intergenic	Intergenic	-78938	NM_001013813	270118	Mm.116898	NM_173776	ENSMUSG00000031925	Maml2	5930431H10|BC032967	mastermind like 2 (Drosophila)	protein-coding
chr6-49882	chr6	31070240	31240486	+	2699.9	32.357	intron (NR_110471, intron 2 of 3)	intron (NR_110471, intron 2 of 3)	63111	NR_110471	232685	Mm.443019	NM_144555		Lincpint	MNCb-1768|Pint|linc-Pint	long intergenic non-protein coding RNA, Trp53 induced transcript	ncRNA
chr19-25782	chr19	4051933	4233155	+	2690.8	31.193	exon (NM_206973, exon 2 of 2)	exon (NM_206973, exon 2 of 2)	2745	NM_206973	269053	Mm.131677	NM_206973	ENSMUSG00000044724	Gpr152	A930009H15Rik|Gm673	G protein-coupled receptor 152	protein-coding
chr15-26591	chr15	80485694	80653991	+	2676.9	30.941	Intergenic	L2a|LINE|L2	-2755	NM_001289442	17444	Mm.12947	NM_010815	ENSMUSG00000042351	Grap2	GRAP-2|GRB2L|GRBLG|GRID|Gads|GrbX|Grf40|GrpL|Mona|P38	GRB2-related adaptor protein 2	protein-coding
chr9-10749	chr9	32815498	33037475	+	2675.8	20.374	Intergenic	Intergenic	230444	NM_001038642	23871	Mm.292415	NM_011808	ENSMUSG00000032035	Ets1	AI196000|AI448617|D230050P06|Ets-1|Tpl1	E26 avian leukemia oncogene 1, 5' domain	protein-coding
chr4-22102	chr4	63823247	63949883	+	2669.4	26.296	Intergenic	Intergenic	-25281	NM_009403	21949	Mm.4664	NM_009403		Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding
chr2-66242	chr2	3634733	3781574	+	2620.2	26.590	Intergenic	B2_Mm1t|SINE|B2	-5305	NM_025626	66540	Mm.277864	NM_025626	ENSMUSG00000026655	Fam107b	3110001A13Rik|AA589595|AA959793|AI132312	family with sequence similarity 107, member B	protein-coding
chr15-47666	chr15	80674646	80961428	+	2617.8	26.338	intron (NM_177124, intron 1 of 21)	intron (NM_177124, intron 1 of 21)	19427	NM_177124	213988	Mm.131328	NM_144812	ENSMUSG00000047888	Tnrc6b	2700090M07Rik|A730065C02Rik|AI848765|D230019K20Rik	trinucleotide repeat containing 6b	protein-coding
chr16-30192	chr16	92608309	92844062	+	2616.9	24.018	intron (NM_001111022, intron 2 of 6)	intron (NM_001111022, intron 2 of 6)	-28856	NM_009821	12394	Mm.4081	NM_009821	ENSMUSG00000022952	Runx1	AML1|CBF-alpha-2|Cbfa2|Pebp2a2|Pebpa2b	runt related transcription factor 1	protein-coding
chr10-9234	chr10	39358687	39542339	+	2615.0	27.584	intron (NM_001122892, intron 2 of 12)	L2a|LINE|L2	80714	NM_001122893	14360	Mm.4848	NM_008054	ENSMUSG00000019843	Fyn	AI448320|AW552119	Fyn proto-oncogene	protein-coding
chr2-63565	chr2	117283636	117448205	+	2577.5	28.812	Intergenic	Intergenic	-23043	NM_011246	19419	Mm.42150	NM_011246	ENSMUSG00000027347	Rasgrp1	Rasgrp	RAS guanyl releasing protein 1	protein-coding
chr11-78411	chr11	108074097	108344389	+	2574.0	18.903	intron (NM_011101, intron 2 of 16)	intron (NM_011101, intron 2 of 16)	134645	NM_011101	18750	Mm.222178	NM_011101	ENSMUSG00000050965	Prkca	AI875142|Pkca	protein kinase C, alpha	protein-coding
chr7-43126	chr7	73470978	73637726	+	2566.1	18.793	intron (NR_037569, intron 3 of 4)	intron (NR_037569, intron 3 of 4)	4043	NR_037569	69170	Mm.34539	NR_037569		1810026B05Rik	-	RIKEN cDNA 1810026B05 gene	ncRNA
chr18-22943	chr18	65297347	65446141	+	2563.1	19.878	intron (NM_001037294, intron 3 of 12)	ORR1E|LTR|ERVL-MaLR	22144	NM_001037294	225638	Mm.296528	NM_001037294	ENSMUSG00000032845	Alpk2	Gm549|Hak	alpha-kinase 2	protein-coding
chr16-37101	chr16	51988601	52161257	+	2545.1	22.700	intron (NM_001033238, intron 3 of 17)	intron (NM_001033238, intron 3 of 17)	43380	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding
chr11-63483	chr11	106601044	106790166	+	2532.9	16.244	intron (NM_001032378, intron 5 of 13)	PB1D10|SINE|Alu	19676	NM_008816	18613	Mm.343951	NM_008816	ENSMUSG00000020717	Pecam1	C85791|Cd31|PECAM-1|Pecam	platelet/endothelial cell adhesion molecule 1	protein-coding
chr4-55158	chr4	87815832	88127545	+	2530.7	15.925	intron (NM_027326, intron 2 of 10)	intron (NM_027326, intron 2 of 10)	61719	NM_027326	70122	Mm.288898	NM_027326	ENSMUSG00000028496	Mllt3	2210011H10Rik|2610012I03Rik|3830408D16Rik|Af9|D4Ertd321e	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	protein-coding
chr6-39151	chr6	108407621	108608538	+	2528.8	14.677	intron (NM_010585, intron 54 of 61)	intron (NM_010585, intron 54 of 61)	18336	NR_106121	102465766		NR_106121		Mir7661	mmu-mir-7661	microRNA mir-7661	ncRNA
chr19-10145	chr19	10715150	10845153	+	2522.8	14.191	intron (NR_027805, intron 1 of 3)	DNA1_Mam|DNA|TcMar	39204	NR_027805	403202	Mm.34482	NM_207529	ENSMUSG00000067577	A430093F15Rik	Gm674	RIKEN cDNA A430093F15 gene	ncRNA
chr2-55544	chr2	31024479	31187178	+	2507.5	16.929	intron (NM_001038700, intron 1 of 14)	B3A|SINE|B2	-9328	NM_001177650	14269	Mm.52297	NM_019406	ENSMUSG00000075415	Fnbp1	1110057E06Rik|2210010H06Rik|FBP1|Fbp17	formin binding protein 1	protein-coding
chr1-52116	chr1	130987834	131206713	+	2500.5	18.125	intron (NM_008551, intron 1 of 9)	CpG	270	NM_008551	17164	Mm.221235	NM_008551	ENSMUSG00000016528	Mapkapk2	AA960234|MAPKAP-K2|MK-2|MK2|Rps6kc1	MAP kinase-activated protein kinase 2	protein-coding
chr13-32076	chr13	5702787	5915809	+	2498.5	23.307	Intergenic	Intergenic	48794	NR_045891	71867	Mm.179181	NR_045891		1700016G22Rik	-	RIKEN cDNA 1700016G22 gene	ncRNA
chr2-70241	chr2	103565169	103726240	+	2496.5	28.559	intron (NM_178890, intron 1 of 16)	intron (NM_178890, intron 1 of 16)	79394	NM_178890	99382	Mm.35850	NM_178890	ENSMUSG00000032724	Abtb2	AW539457|BPOZ-2	ankyrin repeat and BTB (POZ) domain containing 2	protein-coding
chr5-36019	chr5	65822348	65969972	+	2495.9	30.005	3' UTR (NM_001081105, exon 3 of 3)	3' UTR (NM_001081105, exon 3 of 3)	32591	NM_001081105	74734	Mm.20323	NM_001081105	ENSMUSG00000029204	Rhoh	5830400A04Rik|AU019774|Arhh	ras homolog gene family, member H	protein-coding
chr2-62077	chr2	58090503	58202487	+	2464.9	27.886	intron (NM_139200, intron 5 of 7)	intron (NM_139200, intron 5 of 7)	13627	NM_139200	227929	Mm.273905	NM_139200	ENSMUSG00000026832	Cytip	A130053M09Rik|AI462064|C80816|Cbp|Cybr|Pscdbp	cytohesin 1 interacting protein	protein-coding
chr2-32712	chr2	166584646	166807200	+	2447.0	26.522	intron (NR_105783, intron 2 of 2)	intron (NR_105783, intron 2 of 2)	17909	NM_177782	277360	Mm.34420	NM_177782	ENSMUSG00000039621	Prex1	G630042G04|P-REX1|Setd6	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	protein-coding
chr17-42044	chr17	29339693	29534485	+	2420.2	27.481	Intergenic	Intergenic	-53956	NM_008842	18712	Mm.405293	NM_008842		Pim1	Pim-1	proviral integration site 1	protein-coding
chr15-34616	chr15	78422525	78618611	+	2393.5	29.315	Intergenic	Intergenic	9083	NM_028331	72709	Mm.34776	NM_028331	ENSMUSG00000022440	C1qtnf6	2810036M19Rik|CTRP6	C1q and tumor necrosis factor related protein 6	protein-coding
chr13-28648	chr13	112342026	112512030	+	2380.6	30.692	Intergenic	Intergenic	-37042	NM_010560	16195	Mm.4364	NM_010560	ENSMUSG00000021756	Il6st	5133400A03Rik|AA389424|BB405851|CD130|D13Ertd699e|gp130	interleukin 6 signal transducer	protein-coding
chr1-68359	chr1	53746011	53946079	+	2375.4	28.410	intron (NM_001001883, intron 21 of 28)	intron (NM_001001883, intron 21 of 28)	-3379	NR_106149	102465783		NR_106149	miRBase:MI0025029	Mir7681	mmu-mir-7681	microRNA mir-7681	ncRNA
chr7-3064	chr7	132656314	132825600	+	2374.8	26.854	intron (NM_175268, intron 4 of 4)	intron (NM_175268, intron 4 of 4)	45978	NM_175268	77938	Mm.225649	NM_175268	ENSMUSG00000030956	Fam53b	A930008G19Rik|mKIAA0140	family with sequence similarity 53, member B	protein-coding
chr1-64988	chr1	159968498	160090488	+	2368.3	29.205	Intergenic	Intergenic	-14887	NR_028111	67647	Mm.171518	NM_001024470	ENSMUSG00000090394	4930523C07Rik	-	RIKEN cDNA 4930523C07 gene	protein-coding
chr3-24068	chr3	60467810	60617841	+	2357.6	27.218	intron (NM_001253708, intron 2 of 8)	intron (NM_001253708, intron 2 of 8)	41573	NM_020007	56758	Mm.255723	NM_020007	ENSMUSG00000027763	Mbnl1	Mbnl|mKIAA0428	muscleblind-like 1 (Drosophila)	protein-coding
chr2-46410	chr2	29606660	29727299	+	2350.5	24.591	intron (NM_001039086, intron 1 of 25)	intron (NM_001039086, intron 1 of 25)	47259	NM_054050	107746	Mm.298274	NM_054050	ENSMUSG00000039844	Rapgef1	4932418O06Rik|C3G|Grf2	Rap guanine nucleotide exchange factor (GEF) 1	protein-coding
chr6-27063	chr6	41504808	41564093	+	2330.3	23.827	Intergenic	Intergenic	12674	NM_009430	22072	Mm.276926	NM_009430	ENSMUSG00000057163	Prss2	TRY8|TRYP|Ta|Tesp4|Try2	protease, serine 2	protein-coding
chr11-64329	chr11	118129279	118267311	+	2319.8	26.220	intron (NM_001112699, intron 1 of 12)	intron (NM_001112699, intron 1 of 12)	14447	NM_001112700	19157	Mm.86413	NM_011180	ENSMUSG00000017132	Cyth1	CLM1|CTH-1|CYTIP|Pscd1|mKIAA4240	cytohesin 1	protein-coding
