id	chr_name	start	end	chromosome_id	tag_count_100um_k99a	id_100um_k99a	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_10um_pcc	id_10um_pcc
43	chr3	89381474	89392026	4	520.9	43	1088.8	10.0	797.4	39.0	715.6	65.0	533.2	59.0
44	chr2	3714026	3724450	2	516.3	44	460.5	227.0	672.9	72.0	669.9	77.0	549.3	55.0
45	chr10	128739221	128751091	9	503.3	45	807.6	43.0	769.6	46.0	799.0	44.0	607.7	32.0
46	chr9	57637003	57644987	12	501.1	46	688.3	69.0	618.6	88.0	664.4	79.0	503.1	73.0
47	chr14	121953320	121964336	11	493.2	47	402.1	333.0	898.7	23.0	557.6	130.0	556.3	54.0
48	chr9	107297191	107309399	12	486.4	48	279.5	744.0	632.3	81.0	747.7	58.0	515.3	64.0
49	chr4	156025628	156033982	5	481.8	49	206.1	1447.0	533.3	137.0	580.4	111.0	487.0	78.0
51	chr15	78562579	78573219	16	472.8	51	610.7	103.0	527.4	140.0	580.4	112.0	238.0	570.0
52	chr16	92817832	92826812	17	466.6	52	411.3	311.0	575.7	107.0	581.0	110.0	362.8	190.0
56	chr7	30417132	30426222	8	457.5	56	540.6	144.0	593.1	101.0	651.4	85.0	426.3	124.0
57	chr7	68276371	68284923	8	457.0	57	1160.6	8.0	1158.3	7.0	629.2	90.0	424.0	127.0
59	chr17	35195737	35205475	18	451.9	59	311.2	588.0	738.1	52.0	624.9	93.0	492.7	76.0
60	chr7	19815331	19825109	8	450.7	60	732.5	58.0	707.6	59.0	687.2	73.0	463.8	90.0
62	chr2	173022770	173031212	2	446.2	62	841.0	38.0	762.3	47.0	821.2	38.0	571.3	48.0
63	chr19	10734719	10743171	21	445.7	63	334.6	496.0	682.0	69.0	770.6	50.0	648.1	25.0
65	chr1	36760399	36768633	1	443.4	65	494.8	187.0	552.5	118.0	610.7	98.0	582.8	42.0
66	chr9	119976895	119983741	12	443.4	66	634.9	89.0	627.7	84.0	634.1	89.0	478.9	81.0
68	chr4	149699266	149707234	5	436.6	68	911.1	29.0	896.4	24.0	874.3	30.0	486.4	79.0
71	chr14	79514945	79523195	11	431.5	71	670.8	72.0	635.0	80.0	582.3	109.0	432.1	119.0
72	chr7	45119635	45128403	8	429.8	72	216.9	1290.0	421.5	275.0	575.5	116.0	473.7	86.0
73	chr3	9825254	9833896	4	427.6	73	594.9	108.0	606.3	96.0	545.2	137.0	424.0	126.0
74	chr15	74954725	74962165	16	423.6	74	628.2	94.0	552.5	119.0	548.9	134.0	425.7	125.0
75	chr4	133623562	133633182	5	416.8	75	802.6	46.0	775.1	45.0	785.4	48.0	476.6	83.0
76	chr19	4184070	4192078	21	416.2	76	700.0	67.0	650.5	76.0	553.9	131.0	447.1	102.0
77	chr3	106482718	106489166	4	415.7	77	649.1	84.0	630.0	82.0	574.8	117.0	476.0	84.0
78	chr6	125348331	125356769	7	415.1	78	567.3	128.0	510.5	150.0	539.7	143.0	410.7	138.0
79	chr11	86576203	86586649	13	413.4	79	418.8	301.0	759.1	48.0	624.9	92.0	491.6	77.0
80	chr7	28374527	28384103	8	411.7	80	753.4	50.0	731.3	56.0	708.2	66.0	575.9	44.0
81	chr11	69411448	69420186	13	411.7	81	437.2	261.0	836.7	31.0	878.6	28.0	436.1	112.0
83	chr2	32076394	32082784	2	406.1	83	599.0	105.0	549.7	121.0	576.7	114.0	418.2	133.0
85	chr11	103260122	103266886	13	401.0	85	614.9	100.0	555.6	116.0	576.7	115.0	443.1	106.0
86	chr11	61653916	61662010	13	398.7	86	588.2	112.0	688.4	67.0	706.4	68.0	699.5	18.0
88	chr7	143004807	143011069	8	395.9	88	574.9	124.0	583.5	103.0	573.6	119.0	454.0	95.0
89	chr1	165787875	165795957	1	394.2	89	590.7	110.0	566.6	110.0	673.6	75.0	376.6	171.0
90	chr12	102694743	102704619	15	392.5	90	286.2	711.0	312.0	544.0	252.5	936.0	233.9	595.0
94	chr10	60346181	60353083	9	386.8	94	571.5	126.0	544.7	126.0	602.6	101.0	460.4	92.0
96	chr6	121242092	121249492	7	383.4	96	538.1	146.0	515.0	146.0	532.2	151.0	380.7	164.0
97	chr4	129568201	129576223	5	382.3	97	559.0	132.0	500.9	158.0	571.8	120.0	448.3	100.0
99	chr7	24371261	24380967	8	380.6	99	457.2	233.0	366.3	378.0	666.8	78.0	259.4	452.0
100	chr6	48764847	48772451	7	380.0	100	557.3	133.0	485.4	177.0	486.6	184.0	336.8	222.0
101	chr7	102243081	102249311	8	379.5	101	476.4	205.0	531.5	138.0	537.8	145.0	421.7	129.0
102	chr1	135128709	135136503	1	378.4	102	512.3	171.0	469.4	199.0	504.5	170.0	426.9	123.0
104	chr12	64965585	64969875	15	376.7	104	589.9	111.0	505.9	154.0	538.4	144.0	432.1	118.0
106	chr2	152820906	152830924	2	375.5	106	139.3	3507.0	439.8	242.0	406.3	296.0	396.3	145.0
108	chr7	24901268	24908872	8	375.5	108	439.7	256.0	542.0	128.0	496.4	175.0	439.0	109.0
109	chr11	70647625	70653581	13	373.8	109	639.1	88.0	609.5	92.0	550.1	133.0	511.2	68.0
112	chr15	100662691	100670803	16	372.1	112	541.5	143.0	477.2	184.0	435.9	245.0	320.6	259.0
113	chr1	87619824	87627324	1	371.0	113	443.9	247.0	335.3	471.0	455.7	216.0	369.7	180.0
115	chr11	96462004	96470650	13	370.4	115	508.1	174.0	472.2	194.0	412.5	289.0	366.8	185.0
117	chr10	80015857	80025589	9	368.7	117	667.5	75.0	606.3	97.0	550.8	132.0	363.9	189.0
119	chr5	123125674	123133464	6	365.9	119	400.5	337.0	467.6	201.0	487.8	182.0	448.3	101.0
120	chr15	78893956	78902314	16	365.3	120	581.5	119.0	548.8	123.0	492.7	179.0	202.8	870.0
121	chr1	184035238	184043786	1	364.8	121	576.5	122.0	540.1	130.0	505.7	169.0	346.0	203.0
122	chr11	68430401	68437699	13	364.8	122	519.0	162.0	467.6	202.0	494.0	176.0	369.1	182.0
123	chr8	88287873	88295203	10	363.6	123	596.5	107.0	475.8	186.0	458.1	213.0	371.4	179.0
124	chr3	89905096	89914036	4	363.1	124	505.6	178.0	422.9	273.0	480.4	188.0	333.9	228.0
125	chr11	6515418	6525286	13	363.1	125	255.3	904.0	372.7	362.0	639.7	87.0	511.8	67.0
126	chr11	60773939	60782019	13	363.1	126	455.5	235.0	224.0	1193.0	479.8	191.0	432.1	117.0
128	chr11	69093828	69100458	13	362.5	128	486.4	195.0	511.4	149.0	535.3	147.0	421.7	130.0
130	chr5	112276831	112285571	6	362.0	130	879.4	33.0	396.9	316.0	421.1	268.0	342.5	210.0
131	chr19	5723796	5732212	21	362.0	131	438.0	260.0	422.4	274.0	405.7	299.0	445.4	104.0
132	chr4	125122502	125128876	5	361.4	132	514.8	167.0	536.9	134.0	543.4	140.0	409.0	139.0
133	chr19	4215148	4222758	21	360.8	133	419.7	299.0	455.3	224.0	414.9	283.0	334.5	227.0
134	chr7	142460468	142466606	8	360.3	134	516.4	164.0	436.6	246.0	531.6	152.0	417.6	134.0
135	chr1	131274599	131281531	1	359.7	135	386.3	367.0	453.0	228.0	421.7	266.0	295.2	318.0
136	chr19	11515820	11523518	21	359.7	136	372.1	395.0	682.9	68.0	603.9	100.0	449.4	98.0
137	chr11	100817778	100825128	13	359.1	137	495.6	185.0	490.0	168.0	506.9	168.0	394.0	149.0
138	chr11	34047047	34054125	13	356.9	138	473.1	212.0	549.3	122.0	612.5	96.0	506.0	71.0
139	chr13	24613750	24621108	14	356.9	139	564.0	130.0	435.7	248.0	373.6	379.0	335.0	226.0
141	chr11	6557549	6564635	13	354.6	141	668.3	73.0	599.9	99.0	629.2	91.0	396.3	146.0
142	chr5	115150124	115157644	6	354.0	142	503.9	180.0	512.8	147.0	465.6	204.0	355.3	196.0
143	chr11	54956962	54964604	13	353.5	143	479.7	201.0	734.5	55.0	768.7	51.0	328.7	240.0
145	chr6	48735842	48742256	7	351.8	145	592.4	109.0	561.1	114.0	509.4	167.0	394.0	148.0
146	chr6	99260051	99266701	7	351.2	146	485.6	196.0	467.1	203.0	421.7	267.0	342.5	211.0
152	chr11	58210566	58219364	13	347.8	152	408.8	316.0	432.0	258.0	471.7	199.0	259.4	454.0
153	chr11	100841338	100850360	13	346.1	153	327.1	523.0	502.7	157.0	500.8	173.0	384.1	159.0
154	chr17	6776856	6782962	18	345.6	154	453.9	237.0	472.6	192.0	652.6	84.0	452.3	96.0
155	chr3	60501692	60509314	4	343.3	155	649.9	82.0	417.9	279.0	431.0	252.0	318.9	262.0
156	chr8	70802906	70810624	10	343.3	156	231.1	1119.0	466.2	204.0	557.6	129.0	456.3	94.0
157	chr15	101260920	101270280	16	342.7	157	226.9	1163.0	824.8	33.0	1043.5	11.0	887.8	8.0
158	chr13	24412795	24420335	14	342.2	158	515.6	165.0	509.6	151.0	434.7	247.0	343.1	207.0
159	chr2	91955895	91963183	2	341.6	159	387.1	366.0	397.3	314.0	426.0	256.0	199.9	891.0
160	chr3	115708872	115716018	4	341.6	160	403.8	329.0	455.3	223.0	451.4	222.0	351.8	198.0
161	chr11	83013331	83020935	13	337.1	161	272.0	792.0	273.3	741.0	522.4	159.0	366.2	186.0
162	chr4	139192903	139200509	5	336.5	162	404.6	326.0	360.8	389.0	443.3	231.0	321.2	256.0
163	chr11	34778921	34785079	13	336.5	163	426.3	287.0	381.4	343.0	359.4	417.0	328.7	239.0
164	chr2	117337053	117343747	2	335.9	164	582.4	117.0	487.7	174.0	592.1	105.0	383.6	160.0
165	chr4	59189370	59198378	5	334.2	165	932.8	22.0	511.4	148.0	765.6	53.0	323.5	252.0
167	chr10	77528677	77534941	9	333.1	167	346.2	461.0	438.4	243.0	449.5	224.0	314.2	272.0
171	chr16	46002115	46011109	17	330.8	171	304.5	620.0	387.8	332.0	411.8	290.0	512.4	66.0
172	chr2	167655808	167661452	2	328.6	172	498.9	182.0	381.8	341.0	473.0	198.0	365.1	188.0
173	chr3	131113339	131120323	4	327.5	173	520.6	159.0	539.2	131.0	458.8	211.0	332.7	232.0
175	chr2	29620180	29625120	2	325.8	175	435.5	266.0	373.2	359.0	407.5	295.0	357.0	193.0
177	chr3	103856910	103863638	4	322.9	177	399.6	338.0	428.8	265.0	424.2	258.0	277.8	381.0
179	chr9	116167378	116174596	12	322.9	179	476.4	206.0	464.9	209.0	423.0	262.0	327.5	244.0
180	chr7	38182763	38189795	8	322.4	180	527.3	152.0	488.6	172.0	474.2	196.0	238.0	567.0
181	chr9	101074726	101081928	12	321.8	181	616.6	98.0	453.5	226.0	442.7	232.0	316.5	270.0
182	chr12	108634694	108641430	15	321.8	182	616.6	99.0	473.5	190.0	569.9	122.0	433.8	115.0
184	chr3	88450873	88457413	4	320.1	184	317.9	558.0	356.7	403.0	371.7	381.0	236.8	575.0
186	chr11	83115424	83121104	13	318.4	186	648.3	85.0	539.2	133.0	527.9	155.0	320.6	258.0
187	chr18	80701378	80707762	20	318.4	187	520.6	160.0	411.5	291.0	470.5	200.0	318.3	265.0
189	chr15	74994010	75000182	16	317.3	189	465.6	221.0	618.1	89.0	661.3	81.0	376.6	174.0
190	chr17	35866775	35874101	18	317.3	190	493.9	190.0	499.1	159.0	537.8	146.0	346.0	204.0
191	chr15	76192726	76199970	16	316.1	191	495.6	186.0	503.6	155.0	494.0	177.0	381.8	163.0
194	chr4	134091856	134098344	5	315.0	194	372.9	389.0	565.2	111.0	569.9	121.0	340.2	216.0
195	chr2	24384667	24391495	2	314.4	195	525.6	155.0	496.8	162.0	439.0	238.0	397.4	142.0
196	chr6	48674284	48681316	7	312.2	196	1233.1	6.0	1084.4	9.0	1035.5	12.0	340.2	217.0
197	chr7	127088560	127095672	8	312.2	197	493.9	189.0	492.2	165.0	439.0	239.0	340.2	218.0
199	chr10	127322068	127326668	9	311.1	199	524.0	156.0	482.7	179.0	479.8	190.0	342.0	213.0
200	chr14	27232074	27239724	11	307.7	200	408.0	317.0	346.7	431.0	251.9	941.0	312.5	276.0
201	chr7	31145366	31150600	8	306.5	201	934.4	21.0	787.8	41.0	760.1	55.0	281.3	365.0
202	chr8	119836259	119841693	10	306.5	202	443.9	248.0	400.1	309.0	743.4	60.0	593.8	36.0
204	chr5	134227497	134237555	6	304.8	204	322.1	544.0	376.4	352.0	282.8	724.0	143.3	1835.0
205	chr2	129178559	129186717	2	303.7	205	241.1	1018.0	208.9	1406.0	370.5	387.0	318.9	261.0
206	chr7	126700547	126705869	8	303.7	206	478.9	202.0	420.2	277.0	453.8	220.0	333.9	229.0
208	chr1	74236579	74243775	1	302.6	208	427.2	283.0	453.0	227.0	459.4	209.0	340.8	214.0
209	chr4	145242277	145247971	5	302.6	209	261.1	862.0	294.7	630.0	315.5	575.0	388.2	157.0
211	chr1	69682369	69689327	1	301.4	211	405.5	321.0	406.9	299.0	298.8	646.0	72.8	7252.0
212	chr3	90080016	90085252	4	301.4	212	435.5	267.0	491.3	166.0	562.5	125.0	298.1	312.0
213	chr17	33946938	33955268	18	301.4	213	337.9	487.0	464.4	210.0	385.9	345.0	305.6	294.0
214	chr11	87732065	87738979	13	300.9	214	410.5	313.0	233.1	1086.0	423.0	263.0	376.6	173.0
215	chr17	28206766	28213166	18	300.9	215	381.3	375.0	427.5	268.0	364.3	406.0	325.8	248.0
216	chr18	62175264	62180430	20	300.9	216	539.0	145.0	457.1	221.0	440.2	237.0	362.8	191.0
217	chr4	101257567	101264437	5	300.3	217	413.8	306.0	334.8	476.0	373.6	376.0	283.0	361.0
218	chr4	156011230	156017946	5	300.3	218	14.2	27963.0	299.7	599.0	284.6	714.0	249.0	505.0
219	chr7	127133890	127138996	8	299.2	219	452.2	239.0	420.6	276.0	415.5	280.0	299.2	308.0
220	chr3	87844663	87851071	4	298.6	220	420.5	297.0	406.5	300.0	468.6	201.0	322.9	254.0
221	chr8	83736507	83742451	10	298.6	221	513.1	169.0	442.5	240.0	402.0	306.0	292.3	323.0
222	chr5	120773949	120779487	6	297.5	222	375.4	386.0	346.3	432.0	405.7	298.0	291.1	328.0
223	chr7	16840793	16846531	8	297.5	223	372.1	392.0	401.0	307.0	412.5	288.0	311.9	278.0
224	chr19	44293640	44299532	21	297.5	224	379.6	379.0	343.1	445.0	389.6	332.0	288.8	342.0
225	chr1	171766453	171773269	1	296.3	225	158.5	2619.0	228.6	1136.0	393.3	324.0	448.3	99.0
226	chr1	133132163	133136949	1	295.8	226	507.3	175.0	416.5	281.0	370.5	386.0	307.9	287.0
227	chr2	31134895	31141373	2	295.8	227	279.5	740.0	521.9	144.0	544.0	138.0	532.0	60.0
228	chr17	25218979	25225431	18	294.7	228	357.9	431.0	367.7	374.0	379.1	361.0	299.8	305.0
229	chr6	39375844	39382096	7	293.5	229	223.6	1197.0	209.4	1397.0	392.1	329.0	144.4	1807.0
230	chr13	49305533	49309975	14	293.5	230	348.7	453.0	333.5	480.0	326.6	512.0	260.5	447.0
231	chr2	173214092	173219986	2	293.0	231	446.4	244.0	326.2	504.0	423.0	261.0	312.5	275.0
233	chr13	55368961	55374605	14	293.0	233	393.0	353.0	337.6	464.0	334.7	482.0	239.1	561.0
235	chr11	115153896	115160998	13	292.4	235	378.8	381.0	299.7	600.0	347.0	449.0	412.4	136.0
236	chr17	57277705	57284971	18	292.4	236	252.8	926.0	234.5	1079.0	263.7	851.0	373.7	177.0
237	chr10	7831136	7836378	9	291.8	237	399.6	341.0	374.5	357.0	442.7	233.0	303.3	299.0
238	chr10	75589400	75593846	9	291.8	238	431.3	274.0	366.3	380.0	370.5	388.0	291.1	330.0
239	chr5	65862079	65867069	6	291.3	239	942.8	20.0	824.3	34.0	761.9	54.0	444.2	105.0
240	chr7	19266128	19273202	8	290.7	240	355.4	439.0	435.2	250.0	413.7	285.0	308.5	285.0
241	chr10	79854691	79858427	9	290.1	241	347.9	457.0	353.1	416.0	345.2	453.0	291.1	331.0
242	chr1	95663106	95668982	1	289.6	242	385.5	369.0	446.6	234.0	379.7	357.0	284.2	358.0
244	chr11	53770555	53775793	13	289.6	244	526.5	153.0	474.4	188.0	532.9	150.0	329.3	238.0
248	chr6	48681509	48687555	7	289.0	248	1233.1	6.0	1084.4	9.0	1035.5	12.0	290.6	334.0
249	chr6	87528201	87534011	7	289.0	249	407.2	318.0	539.2	132.0	540.3	142.0	421.7	128.0
250	chr17	31204745	31210511	18	289.0	250	584.9	116.0	494.1	164.0	466.8	203.0	378.9	167.0
251	chr11	109364211	109371235	13	288.4	251	292.0	687.0	360.8	391.0	427.9	255.0	319.4	260.0
254	chr2	73448953	73455099	2	286.7	254	418.8	300.0	463.9	212.0	434.7	246.0	333.3	231.0
255	chr2	164073960	164079774	2	286.7	255	440.5	253.0	365.0	381.0	403.8	301.0	306.2	291.0
259	chr2	79252975	79260769	2	285.0	259	406.3	319.0	373.2	360.0	387.8	339.0	256.5	461.0
260	chr6	136938238	136942714	7	285.0	260	542.3	141.0	401.0	306.0	410.0	292.0	292.9	321.0
262	chr11	49247222	49253770	13	282.8	262	302.9	625.0	322.5	511.0	354.4	432.0	385.9	158.0
263	chr11	119391025	119396651	13	282.2	263	461.4	226.0	406.5	301.0	446.4	227.0	263.4	435.0
264	chr3	88143197	88148187	4	281.6	264	731.7	59.0	607.6	94.0	392.7	327.0	505.4	72.0
266	chr3	101597848	101603872	4	281.1	266	109.3	5808.0	248.6	938.0	272.9	784.0	243.8	526.0
267	chr4	43557171	43561711	5	281.1	267	501.4	181.0	430.6	262.0	463.7	205.0	253.0	483.0
268	chr5	142402357	142408717	6	281.1	268	304.5	617.0	333.0	481.0	342.7	462.0	309.6	281.0
269	chr8	13672169	13677327	10	281.1	269	488.9	192.0	476.3	185.0	406.3	297.0	269.2	412.0
271	chr19	11487075	11494399	21	281.1	271	932.8	24.0	792.4	40.0	838.5	35.0	307.3	288.0
275	chr17	47504369	47509949	18	280.5	275	434.7	269.0	639.6	78.0	611.3	97.0	296.3	317.0
277	chr15	99391786	99397450	16	279.9	277	299.5	642.0	343.1	443.0	379.1	360.0	276.1	391.0
278	chr19	57355271	57361179	21	279.4	278	403.0	332.0	369.1	371.0	366.8	401.0	303.3	300.0
280	chr3	88137088	88142304	4	278.8	280	404.6	325.0	358.6	395.0	366.1	403.0	254.2	476.0
281	chr9	63752958	63757076	12	278.8	281	523.1	157.0	462.1	214.0	389.0	334.0	255.9	466.0
283	chr9	107335027	107341677	12	277.7	283	128.5	4171.0	479.9	181.0	479.1	193.0	262.3	442.0
284	chr15	102230498	102236086	16	277.1	284	598.2	106.0	489.5	170.0	494.0	178.0	177.9	1159.0
286	chr5	137629685	137632955	6	276.6	286	424.7	291.0	432.0	257.0	343.3	460.0	273.8	396.0
288	chr7	45704170	45709198	8	276.0	288	405.5	322.0	376.8	350.0	410.0	293.0	287.1	347.0
289	chr2	43747857	43753349	2	275.4	289	414.7	304.0	410.6	293.0	399.5	311.0	292.3	322.0
290	chr10	128091252	128096814	9	275.4	290	317.9	560.0	375.4	354.0	185.2	1907.0	139.2	1977.0
291	chr10	79982403	79988507	9	274.9	291	388.0	365.0	473.1	191.0	377.3	367.0	277.3	383.0
293	chr17	34588050	34592166	18	273.7	293	412.2	310.0	362.2	388.0	409.4	294.0	279.6	374.0
294	chr4	63557067	63562921	5	273.2	294	248.6	950.0	318.0	521.0	271.1	800.0	131.7	2236.0
296	chr7	27223430	27228934	8	273.2	296	286.2	709.0	237.7	1041.0	290.8	684.0	259.9	449.0
297	chr7	31151682	31157136	8	273.2	297	934.4	21.0	787.8	41.0	760.1	55.0	268.0	420.0
298	chr9	106369049	106373345	12	273.2	298	388.0	364.0	343.1	442.0	393.3	326.0	285.9	352.0
299	chr16	91547565	91555121	17	273.2	299	253.6	919.0	447.1	233.0	347.6	446.0	144.4	1814.0
300	chr11	48868201	48873121	13	272.6	300	554.8	134.0	430.6	263.0	468.0	202.0	291.1	332.0
301	chr7	143622774	143629994	8	272.0	301	440.5	254.0	431.1	261.0	395.2	321.0	310.8	280.0
302	chr10	19007586	19013788	9	272.0	302	398.0	342.0	456.2	222.0	531.0	153.0	231.1	613.0
303	chr2	166706669	166713437	2	271.5	303	341.2	473.0	305.6	569.0	289.6	687.0	267.4	423.0
306	chr10	80755655	80760133	9	270.9	306	119.3	4889.0	256.4	871.0	321.7	540.0	306.7	289.0
307	chr11	46307474	46311728	13	270.9	307	632.4	90.0	370.4	367.0	516.8	163.0	256.5	463.0
309	chr11	100734544	100738864	13	270.3	309	342.9	472.0	372.3	363.0	301.3	639.0	221.8	686.0
311	chr5	105136425	105143623	6	269.8	311	498.1	183.0	407.8	296.0	586.6	108.0	355.8	194.0
312	chr1	9742474	9747888	1	269.2	312	378.8	380.0	395.1	320.0	416.8	275.0	290.0	336.0
313	chr5	72747657	72754161	6	269.2	313	514.8	168.0	337.1	465.0	389.0	333.0	262.3	440.0
314	chr7	132806359	132812909	8	269.2	314	438.0	259.0	434.8	251.0	419.9	272.0	332.7	234.0
315	chr10	54069630	54074958	9	268.1	315	319.5	552.0	292.9	645.0	351.9	438.0	255.3	469.0
316	chr19	5840837	5845779	21	268.1	316	744.2	52.0	701.6	64.0	661.9	80.0	267.4	425.0
318	chr11	60932557	60938313	13	267.5	318	171.9	2175.0	328.0	498.0	370.5	389.0	339.1	220.0
319	chr11	118206936	118213070	13	266.9	319	341.2	475.0	274.6	736.0	313.0	588.0	279.0	377.0
321	chr19	10825844	10831058	21	266.9	321	369.6	400.0	374.1	358.0	360.6	414.0	309.6	283.0
322	chr6	83435785	83442811	7	266.4	322	316.2	565.0	315.2	534.0	282.2	730.0	279.6	373.0
324	chr8	85079755	85085445	10	265.8	324	227.8	1148.0	328.0	497.0	314.9	580.0	267.4	424.0
326	chr11	78982869	78986403	13	265.2	326	392.1	356.0	350.4	427.0	349.5	443.0	288.2	344.0
328	chr6	120463676	120468356	7	264.1	328	380.5	376.0	572.5	109.0	525.5	157.0	428.0	122.0
329	chr11	88999935	89004165	13	264.1	329	431.3	275.0	413.3	289.0	415.5	281.0	303.8	298.0
330	chr8	25097942	25102278	10	263.5	330	417.2	302.0	431.6	259.0	422.3	265.0	282.5	363.0
332	chr13	24601097	24606129	14	262.4	332	567.3	129.0	378.2	347.0	371.7	383.0	255.3	470.0
334	chr17	46159573	46164637	18	261.8	334	325.4	531.0	342.6	447.0	353.8	436.0	269.8	410.0
335	chr8	117257673	117263747	10	261.3	335	372.1	393.0	341.7	451.0	346.4	451.0	269.2	413.0
336	chr6	124729176	124734178	7	260.2	336	347.9	455.0	377.3	349.0	335.3	477.0	274.4	393.0
338	chr2	11172784	11177786	2	259.6	338	847.7	37.0	629.1	83.0	560.0	127.0	412.4	135.0
339	chr6	129181415	129187349	7	259.6	339	392.1	355.0	386.9	335.0	377.3	366.0	286.5	349.0
340	chr7	25217383	25222589	8	259.6	340	306.2	611.0	307.0	563.0	353.8	434.0	268.0	419.0
344	chr6	108661663	108669115	7	258.5	344	166.0	2338.0	340.3	456.0	276.6	762.0	233.9	593.0
345	chr13	24637103	24642061	14	258.5	345	630.8	92.0	336.7	467.0	568.7	124.0	212.6	774.0
349	chr1	52007475	52013541	1	256.8	349	322.9	539.0	358.1	398.0	366.1	402.0	316.5	268.0
350	chr13	55445442	55449932	14	256.8	350	405.5	323.0	327.5	501.0	306.9	608.0	263.4	436.0
351	chr13	112464481	112469911	14	256.8	351	367.9	406.0	396.4	319.0	343.9	458.0	196.4	923.0
353	chr17	47593094	47599348	18	256.8	353	230.3	1125.0	443.4	238.0	280.9	736.0	367.4	184.0
354	chr2	144264067	144270671	2	256.2	354	339.6	479.0	377.3	348.0	418.6	273.0	292.9	320.0
355	chr11	70432596	70436542	13	256.2	355	450.5	242.0	401.5	305.0	423.6	260.0	292.3	325.0
357	chr14	120275029	120279895	11	255.6	357	332.1	507.0	362.7	384.0	324.8	526.0	242.6	539.0
358	chr16	8732216	8737874	17	255.6	358	308.7	605.0	304.3	581.0	316.8	566.0	266.9	426.0
359	chr10	75833322	75838086	9	255.1	359	356.3	434.0	401.9	304.0	432.8	248.0	343.1	206.0
360	chr19	47508038	47513490	21	255.1	360	203.6	1499.0	298.8	606.0	271.1	802.0	232.8	600.0
362	chr2	160732086	160736910	2	254.5	362	355.4	437.0	334.8	475.0	358.1	422.0	290.6	333.0
365	chr2	92455477	92460531	2	253.4	365	423.8	293.0	366.3	377.0	393.3	325.0	270.3	407.0
366	chr5	142906832	142910514	6	253.4	366	314.5	574.0	317.5	523.0	314.3	582.0	243.8	527.0
368	chr5	37048859	37054307	6	252.2	368	550.7	139.0	296.1	617.0	262.4	857.0	372.0	178.0
