PeakID (cmd=annotatePeaks.pl enhancers_only_100um_k99a.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
17629	chr16	23543675	23544301	+	0	NA	Intergenic	Intergenic	-23398	NM_008555	17174	Mm.1213	NM_008555	ENSMUSG00000022887	Masp1	AW048060|CCPII|Crarf|Masp1/3	mannan-binding lectin serine peptidase 1	protein-coding
17325	chr19	29264659	29265159	+	0	NA	intron (NM_008413, intron 3 of 24)	intron (NM_008413, intron 3 of 24)	13106	NM_001048177	16452	Mm.275839	NM_008413	ENSMUSG00000024789	Jak2	Fd17	Janus kinase 2	protein-coding
19590	chr11	79050874	79051374	+	0	NA	intron (NM_013571, intron 2 of 17)	intron (NM_013571, intron 2 of 17)	27527	NR_045873	790910	Mm.440410	NR_045873		Gm11201	ENSMUSG00000072637|OTTMUSG00000000169	predicted gene 11201	ncRNA
18878	chr9	13442067	13442567	+	0	NA	Intergenic	Intergenic	10956	NR_028271	18689	Mm.41972	NM_008835		Phxr4	Sp5	per-hexamer repeat gene 4	ncRNA
19836	chr3	95635836	95636336	+	0	NA	Intergenic	Intergenic	11106	NM_001026212	56205	Mm.241365	NM_019561	ENSMUSG00000038619	Ensa	1700020C18Rik|2610007F17Rik|AI451924	endosulfine alpha	protein-coding
19139	chr8	121967880	121968380	+	0	NA	intron (NM_001285981, intron 1 of 12)	intron (NM_001285981, intron 1 of 12)	-9894	NR_106096	102466915		NR_106096		Mir7237	mmu-mir-7237	microRNA mir-7237	ncRNA
19981	chr14	27261275	27261775	+	0	NA	intron (NM_027871, intron 1 of 10)	B3A|SINE|B2	23515	NM_027871	71704	Mm.248606	NM_027871	ENSMUSG00000021895	Arhgef3	1200004I24Rik|9830169H03Rik|C76747|Xpln	Rho guanine nucleotide exchange factor (GEF) 3	protein-coding
19357	chr2	154577043	154577543	+	0	NA	Intergenic	Intergenic	-7401	NM_007891	13555	Mm.18036	NM_007891	ENSMUSG00000027490	E2f1	E2F-1|mKIAA4009	E2F transcription factor 1	protein-coding
19630	chr13	5789716	5790216	+	0	NA	Intergenic	Intergenic	68126	NR_045891	71867	Mm.179181	NR_045891		1700016G22Rik	-	RIKEN cDNA 1700016G22 gene	ncRNA
20065	chr2	126464897	126465397	+	0	NA	intron (NM_001080944, intron 3 of 27)	intron (NM_001080944, intron 3 of 27)	26406	NM_001080944	241633	Mm.222235	NM_001080944	ENSMUSG00000060131	Atp8b4	A530043E15|Im	ATPase, class I, type 8B, member 4	protein-coding
17322	chr18	82522081	82522771	+	0	NA	intron (NM_001025245, intron 3 of 3)	B4A|SINE|B4	-32037	NM_001025255	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding
17566	chr7	72299919	72300419	+	0	NA	intron (NM_001024703, intron 1 of 22)	intron (NM_001024703, intron 1 of 22)	6426	NM_001024703	244049	Mm.217412	NM_001024703	ENSMUSG00000032776	Mctp2	Gm489	multiple C2 domains, transmembrane 2	protein-coding
19311	chr1	37497415	37497915	+	0	NA	intron (NM_001290801, intron 2 of 14)	intron (NM_001290801, intron 2 of 14)	-9060	NR_024017	77633	Mm.483177	NR_024017		4930594C11Rik	-	G1 to S phase transition pseudogene	pseudo
19050	chr4	44938207	44938707	+	0	NA	Intergenic	Intergenic	-42954	NM_080289	76238	Mm.196574	NM_080289	ENSMUSG00000035637	Grhpr	1110059D05Rik|6430629L09Rik	glyoxylate reductase/hydroxypyruvate reductase	protein-coding
18092	chr15	64107101	64107601	+	0	NA	intron (NM_001276461, intron 24 of 28)	B1_Mus1|SINE|Alu	-46903	NM_144846	223601	Mm.246108	NM_144846	ENSMUSG00000022378	Fam49b	0910001A06Rik|AW122079	family with sequence similarity 49, member B	protein-coding
18421	chr7	125704665	125705165	+	0	NA	intron (NM_207239, intron 1 of 36)	intron (NM_207239, intron 1 of 36)	2773	NM_207239	233863	Mm.294173	NM_207239	ENSMUSG00000032777	Gtf3c1	-	general transcription factor III C 1	protein-coding
20139	chr11	67501270	67501770	+	0	NA	Intergenic	Intergenic	-31478	NM_008088	14457	Mm.40338	NM_008088	ENSMUSG00000033066	Gas7	AW124766|B230343A10Rik|Gas7-cb	growth arrest specific 7	protein-coding
19437	chr5	113945221	113945721	+	0	NA	intron (NM_198109, intron 14 of 14)	intron (NM_198109, intron 14 of 14)	-36765	NM_011779	23790	Mm.260158	NM_011779	ENSMUSG00000004530	Coro1c	AL022675|AW455561|AW548837	coronin, actin binding protein 1C	protein-coding
18222	chr10	60741024	60741524	+	0	NA	intron (NM_023596, intron 2 of 5)	(TAAA)n|Simple_repeat|Simple_repeat	11508	NM_023596	71279	Mm.284462	NM_023596	ENSMUSG00000020100	Slc29a3	4933435C21Rik|AW987637|Ent3	solute carrier family 29 (nucleoside transporters), member 3	protein-coding
17354	chr5	23717647	23718299	+	0	NA	Intergenic	Intergenic	-5306	NR_015554	433855	Mm.205125	NR_015554		AI506816	-	expressed sequence AI506816	ncRNA
18666	chr10	61980853	61981353	+	0	NA	Intergenic	Intergenic	-1995	NM_007731	12817	Mm.300931	NM_007731	ENSMUSG00000058806	Col13a1	-	collagen, type XIII, alpha 1	protein-coding
17221	chr1	136709196	136709696	+	0	NA	intron (NR_037986, intron 2 of 4)	intron (NR_037986, intron 2 of 4)	13235	NR_037986	100503474	Mm.428276	NR_037986		Gm16880	-	predicted gene, 16880	ncRNA
18007	chr6	33618285	33618785	+	0	NA	intron (NM_009148, intron 10 of 17)	intron (NM_009148, intron 10 of 17)	369385	NM_009148	20336	Mm.265512	NM_009148		Exoc4	C78892|Sec8|Sec8l1	exocyst complex component 4	protein-coding
19927	chr9	108108439	108108939	+	0	NA	intron (NM_007567, intron 5 of 11)	intron (NM_007567, intron 5 of 11)	-14209	NM_146226	235606	Mm.219639	NM_146226	ENSMUSG00000032590	Apeh	-	acylpeptide hydrolase	protein-coding
18731	chr17	45766856	45767356	+	0	NA	Intergenic	Intergenic	-33262	NM_028164	72240	Mm.482897	NM_028164	ENSMUSG00000094690	1600014C23Rik	-	RIKEN cDNA 1600014C23 gene	protein-coding
18611	chr4	151152394	151152894	+	0	NA	intron (NM_001081557, intron 7 of 23)	GA-rich|Low_complexity|Low_complexity	-94691	NM_009498	22319	Mm.273930	NM_009498	ENSMUSG00000028955	Vamp3	D130027G05Rik|VAMP-3|ceb	vesicle-associated membrane protein 3	protein-coding
18871	chr8	46928542	46929042	+	0	NA	Intergenic	Intergenic	-58133	NM_177304	320981	Mm.211429	NM_177304	ENSMUSG00000038173	Enpp6	4833421B01Rik|B830047L21Rik|D8Ertd514e|E-NPP 6|Npp6	ectonucleotide pyrophosphatase/phosphodiesterase 6	protein-coding
19661	chr14	47652221	47652721	+	0	NA	intron (NM_001293636, intron 2 of 39)	intron (NM_001293636, intron 2 of 39)	3160	NM_001293636	16709	Mm.3110	NM_008477	ENSMUSG00000021843	Ktn1	-	kinectin 1	protein-coding
16267	chr14	21501763	21502263	+	0	NA	intron (NM_017479, intron 1 of 16)	intron (NM_017479, intron 1 of 16)	2228	NM_017479	54169	Mm.248967	NM_017479	ENSMUSG00000021767	Kat6b	AI507552|B130044K16Rik|MYST-4|Morf|Myst4|mKIAA0383|qkf|querkopf	K(lysine) acetyltransferase 6B	protein-coding
18760	chr1	164144364	164144864	+	0	NA	intron (NM_011347, intron 12 of 15)	intron (NM_011347, intron 12 of 15)	-7245	NM_007976	14067	Mm.12900	NM_007976	ENSMUSG00000026579	F5	AI173222|Cf-5|Cf5	coagulation factor V	protein-coding
17061	chr4	137854058	137854746	+	0	NA	Intergenic	Intergenic	-7835	NM_199307	230857	Mm.401062	NM_199307	ENSMUSG00000057530	Ece1	AW322500|ECE-1|ECE-1a|ECE-1b|ECE-1d	endothelin converting enzyme 1	protein-coding
18803	chr4	32961129	32961629	+	0	NA	Intergenic	Intergenic	-10553	NM_001012451	140577	Mm.214766	NM_080471	ENSMUSG00000040183	Ankrd6	-	ankyrin repeat domain 6	protein-coding
17189	chr13	100866590	100867090	+	0	NA	Intergenic	Intergenic	-33413	NM_022885	69048	Mm.402215	NM_022885	ENSMUSG00000021629	Slc30a5	1810010K08Rik|AF233321|ZNT5|ZTL1|ZnT-5|Zntl1	solute carrier family 30 (zinc transporter), member 5	protein-coding
17326	chr19	32185865	32186365	+	0	NA	intron (NM_144792, intron 5 of 9)	intron (NM_144792, intron 5 of 9)	24898	NM_001168526	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
19706	chr15	100714891	100715391	+	0	NA	intron (NM_001161767, intron 3 of 11)	intron (NM_001161767, intron 3 of 11)	5336	NM_001161768	207839	Mm.22969	NM_172451		Galnt6	4632410F13|AW047994|GalNAc-T6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6	protein-coding
18170	chr5	107971720	107972466	+	0	NA	intron (NM_026062, intron 1 of 4)	(GGGTG)n|Simple_repeat|Simple_repeat	14984	NM_026062	67266	Mm.277897	NM_026062	ENSMUSG00000029270	Fam69a	2900024C23Rik|AI315274	family with sequence similarity 69, member A	protein-coding
16711	chr9	77496987	77497487	+	0	NA	intron (NM_172528, intron 2 of 13)	intron (NM_172528, intron 2 of 13)	46822	NM_172528	214345	Mm.28534	NM_172528	ENSMUSG00000032352	Lrrc1	A430093J20Rik|AU016091|D030059I21|mKIAA4018	leucine rich repeat containing 1	protein-coding
18223	chr10	70060401	70060901	+	0	NA	Intergenic	Intergenic	-36470	NM_001111121	76551	Mm.281741	NM_001111121	ENSMUSG00000048701	Ccdc6	2810012H18Rik|AA536681|AA960498|AW061011	coiled-coil domain containing 6	protein-coding
19975	chr13	93186507	93187007	+	0	NA	intron (NM_133905, intron 1 of 14)	intron (NM_133905, intron 1 of 14)	5526	NM_133905	100715	Mm.242865	NM_133905	ENSMUSG00000042167	Papd4	8030446C20Rik|AI649009|GLD-2|Gld2	PAP associated domain containing 4	protein-coding
19366	chr2	180734766	180735266	+	0	NA	intron (NM_183161, intron 4 of 12)	intron (NM_183161, intron 4 of 12)	9677	NM_183161	228993	Mm.87189	NM_183161	ENSMUSG00000023393	Slc17a9	1700019H03Rik|BC019537|Vnut	solute carrier family 17, member 9	protein-coding
19573	chr10	128045137	128045637	+	0	NA	intron (NM_001113199, intron 3 of 8)	intron (NM_001113199, intron 3 of 8)	10041	NM_013608	17938	Mm.3746	NM_013608	ENSMUSG00000061315	Naca	AL022831|AL024382|Gm1878|mKIAA0363|skNAC	nascent polypeptide-associated complex alpha polypeptide	protein-coding
19220	chr13	111249518	111250018	+	0	NA	Intergenic	Intergenic	-5245	NM_175497	238880	Mm.107293	NM_175497	ENSMUSG00000055194	Actbl2	4732495G21Rik	actin, beta-like 2	protein-coding
18264	chr13	30153785	30154285	+	0	NA	intron (NM_153546, intron 1 of 12)	intron (NM_153546, intron 1 of 12)	17545	NM_153546	218121	Mm.89682	NM_153546	ENSMUSG00000038732	Mboat1	9130215M02Rik|BC023845|LPEAT1|Moact1|Oact1	membrane bound O-acyltransferase domain containing 1	protein-coding
17213	chr19	59337216	59337716	+	0	NA	intron (NM_001033222, intron 1 of 4)	(CAAAAA)n|Simple_repeat|Simple_repeat	8314	NM_001033222	107368	Mm.268797	NM_001033222	ENSMUSG00000074746	Pdzd8	A630041P07Rik|AV329468|AW228944|Pdzk8	PDZ domain containing 8	protein-coding
18387	chr5	121740219	121740719	+	0	NA	intron (NM_009125, intron 1 of 24)	intron (NM_009125, intron 1 of 24)	28860	NM_009125	20239	Mm.260900	NM_009125	ENSMUSG00000042605	Atxn2	9630045M23Rik|ATX2|AW544490|Sca2	ataxin 2	protein-coding
18504	chr13	24645264	24645764	+	0	NA	intron (NM_029679, intron 1 of 22)	intron (NM_029679, intron 1 of 22)	6866	NM_001080381	193385	Mm.217319	NM_029679	ENSMUSG00000036006	Fam65b	-	family with sequence similarity 65, member B	protein-coding
17769	chr13	24509371	24509871	+	0	NA	Intergenic	Intergenic	-72568	NM_001286100	193385	Mm.217319	NM_029679	ENSMUSG00000036006	Fam65b	-	family with sequence similarity 65, member B	protein-coding
18568	chr19	17264200	17264700	+	0	NA	Intergenic	Intergenic	75055	NM_001136484	14537	Mm.244825	NM_010265	ENSMUSG00000038843	Gcnt1	5630400D21Rik|B130048E03|C2 GlcNAcT|C2GNT|IGnT	glucosaminyl (N-acetyl) transferase 1, core 2	protein-coding
19399	chr4	46447842	46448342	+	0	NA	Intergenic	B2_Mm2|SINE|B2	-3025	NM_130889	67628	Mm.263913	NM_130889	ENSMUSG00000028333	Anp32b	2410015B15Rik|PAL31|PHAPI2a|Ssp29	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	protein-coding
19062	chr4	143148422	143148922	+	0	NA	intron (NM_001256380, intron 6 of 7)	intron (NM_001256380, intron 6 of 7)	-12510	NR_105988	102465618		NR_105988		Mir7021	mmu-mir-7021	microRNA mir-7021	ncRNA
17107	chr16	92939174	92939808	+	0	NA	Intergenic	Intergenic	-113417	NM_001111022	12394	Mm.4081	NM_009821	ENSMUSG00000022952	Runx1	AML1|CBF-alpha-2|Cbfa2|Pebp2a2|Pebpa2b	runt related transcription factor 1	protein-coding
19901	chr7	141579983	141580483	+	0	NA	intron (NM_007459, intron 1 of 21)	intron (NM_007459, intron 1 of 21)	18053	NM_007459	11772	Mm.253090	NM_007459	ENSMUSG00000002957	Ap2a2	2410074K14Rik|AF006990|AW146353|Adtab|C78001|L25	adaptor-related protein complex 2, alpha 2 subunit	protein-coding
20120	chr8	83178073	83178573	+	0	NA	intron (NM_027758, intron 1 of 17)	intron (NM_027758, intron 1 of 17)	12971	NM_001111304	71310	Mm.24031	NM_027758	ENSMUSG00000031709	Tbc1d9	4933431N12Rik|AI847101|AW490653|C76116	TBC1 domain family, member 9	protein-coding
18461	chr9	117873201	117873701	+	0	NA	Intergenic	Intergenic	-167071	NM_001048146	27215	Mm.92705	NM_013727	ENSMUSG00000039285	Azi2	AA410145|AZ2	5-azacytidine induced gene 2	protein-coding
18981	chr19	18590266	18590766	+	0	NA	intron (NM_017375, intron 5 of 9)	intron (NM_017375, intron 5 of 9)	41297	NM_017375	20409	Mm.172222	NM_017375		Ostf1	C78236|SH3P2|Sh3d3	osteoclast stimulating factor 1	protein-coding
18351	chr3	9815854	9816354	+	0	NA	intron (NM_001195031, intron 1 of 8)	AT_rich|Low_complexity|Low_complexity	17575	NM_053182	94212	Mm.23897	NM_053182	ENSMUSG00000027508	Pag1	Cbp|F730007C19Rik|Pag	phosphoprotein associated with glycosphingolipid microdomains 1	protein-coding
18901	chr11	31747403	31747903	+	0	NA	Intergenic	Intergenic	-75791	NM_001024919	69556	Mm.34183	NM_001024919	ENSMUSG00000044502	Bod1	2310022M17Rik|BOD2.1|Fam44b	biorientation of chromosomes in cell division 1	protein-coding
17802	chr17	51884451	51884951	+	0	NA	intron (NR_045095, intron 1 of 2)	intron (NR_045095, intron 1 of 2)	1974	NR_045095	100504169	Mm.417731	NR_045095		Gm20098	-	predicted gene, 20098	ncRNA
19240	chr16	4961772	4962272	+	0	NA	intron (NM_028301, intron 1 of 16)	G-rich|Low_complexity|Low_complexity	2215	NM_028301	72615	Mm.290628	NM_028301	ENSMUSG00000022515	Anks3	2700067D09Rik|C81345|mKIAA1977	ankyrin repeat and sterile alpha motif domain containing 3	protein-coding
17187	chr13	49303756	49304256	+	0	NA	intron (NM_015759, intron 1 of 17)	intron (NM_015759, intron 1 of 17)	5202	NM_015759	30938	Mm.291089	NM_015759	ENSMUSG00000037946	Fgd3	5830461L01Rik|ZFYVE5	FYVE, RhoGEF and PH domain containing 3	protein-coding
17937	chr15	62167186	62167686	+	0	NA	intron (NR_003368, intron 4 of 8)	intron (NR_003368, intron 4 of 8)	52015	NR_003523	67552	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo
18417	chr7	99532682	99533182	+	0	NA	Intergenic	Intergenic	-2554	NM_177231	109689	Mm.260193	NM_177231	ENSMUSG00000018909	Arrb1	1200006I17Rik|AW208571|G430100A01Rik	arrestin, beta 1	protein-coding
18091	chr15	64052504	64053004	+	0	NA	intron (NM_144846, intron 1 of 11)	B4|SINE|B4	7694	NM_144846	223601	Mm.246108	NM_144846	ENSMUSG00000022378	Fam49b	0910001A06Rik|AW122079	family with sequence similarity 49, member B	protein-coding
18411	chr7	19558374	19558874	+	0	NA	intron (NM_199149, intron 1 of 12)	intron (NM_199149, intron 1 of 12)	3774	NM_199149	232947	Mm.219662	NM_199149	ENSMUSG00000051403	Ppp1r37	Gm158|Lrrc68	protein phosphatase 1, regulatory subunit 37	protein-coding
18442	chr9	14925111	14925611	+	0	NA	Intergenic	Intergenic	-21410	NM_176807	64931	Mm.86738	NM_022888	ENSMUSG00000031933	Folr4	0910001L11Rik|C86255|Folbp3|Juno	folate receptor 4 (delta)	protein-coding
19677	chr14	122120383	122120883	+	0	NA	intron (NM_080556, intron 1 of 16)	intron (NM_080556, intron 1 of 16)	13551	NM_080556	68059	Mm.275191	NM_080556	ENSMUSG00000025544	Tm9sf2	1500001N15Rik|AA536814|D14Ertd64e|P76	transmembrane 9 superfamily member 2	protein-coding
19806	chr1	172302077	172302577	+	0	NA	Intergenic	Intergenic	-4263	NM_178405	98660	Mm.207432	NM_178405	ENSMUSG00000007097	Atp1a2	AW060654|Atpa-3|mKIAA0778	ATPase, Na+/K+ transporting, alpha 2 polypeptide	protein-coding
16844	chr11	52332333	52332833	+	0	NA	Intergenic	B1F|SINE|Alu	-28532	NM_011694	22333	Mm.3555	NM_011694	ENSMUSG00000020402	Vdac1	AL033343|Vdac5	voltage-dependent anion channel 1	protein-coding
17863	chr6	129704812	129705312	+	0	NA	intron (NM_001012520, intron 1 of 5)	intron (NM_001012520, intron 1 of 5)	12070	NM_001012520	503550	Mm.376476	NM_001012520	ENSMUSG00000067610	Klri1	-	killer cell lectin-like receptor family I member 1	protein-coding
18573	chr19	53435952	53436452	+	0	NA	Intergenic	MTE2a|LTR|ERVL-MaLR	28594	NR_028427	381232	Mm.248624	NR_028427	ENSMUSG00000097636	5830416P10Rik	4833407H14Rik|5430437C04Rik|ENSMUSG00000074788|Gm10758	RIKEN cDNA 5830416P10 gene	ncRNA
18632	chr7	66243081	66243581	+	0	NA	Intergenic	ORR1B1|LTR|ERVL-MaLR	133816	NM_001081163	269941	Mm.333916	NM_001081163	ENSMUSG00000032640	Chsy1	mKIAA0990	chondroitin sulfate synthase 1	protein-coding
19505	chr7	142069037	142069537	+	0	NA	Intergenic	MT2A|LTR|ERVL	-8253	NM_028308	101513	Mm.53259	NM_028308	ENSMUSG00000025147	Mob2	1110017M21Rik|2700078K21Rik|AI256456|Mmh	MOB kinase activator 2	protein-coding
18015	chr6	135227954	135228454	+	0	NA	intron (NM_028982, intron 9 of 12)	MER2|DNA|TcMar-Tigger	19680	NM_001080552	14840	Mm.272306	NM_010352	ENSMUSG00000030206	Gsg1	-	germ cell-specific gene 1	protein-coding
18875	chr8	111297566	111298066	+	0	NA	intron (NM_146218, intron 1 of 12)	PB1D7|SINE|Alu	2406	NM_146218	234736	Mm.334816	NM_146218	ENSMUSG00000033596	Rfwd3	BC027246	ring finger and WD repeat domain 3	protein-coding
18532	chr15	86020060	86020560	+	0	NA	intron (NM_009886, intron 1 of 34)	intron (NM_009886, intron 1 of 34)	13467	NM_009886	12614	Mm.22680	NM_009886	ENSMUSG00000016028	Celsr1	Crsh|Scy|crash	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	protein-coding
