PeakID (cmd=annotatePeaks.pl enhancers_only_10um_k99a.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
14890	chr15	66679956	66680456	+	0	NA	intron (NM_009375, intron 8 of 47)	intron (NM_009375, intron 8 of 47)	9436	NM_009375	21819	Mm.441333	NM_009375	ENSMUSG00000053469	Tg	Tgn|cog	thyroglobulin	protein-coding
14590	chr15	27803774	27804274	+	0	NA	intron (NM_001081302, intron 34 of 56)	intron (NM_001081302, intron 34 of 56)	-122482	NM_001242423	223433	Mm.266485	NM_198301	ENSMUSG00000056069	Fam105a	9830126M18	family with sequence similarity 105, member A	protein-coding
13241	chr11	83173211	83173711	+	0	NA	Intergenic	Intergenic	-1725	NM_011410	20558	Mm.38192	NM_011410	ENSMUSG00000000204	Slfn4	AI450778	schlafen 4	protein-coding
12066	chr11	104646495	104646995	+	0	NA	intron (NM_016780, intron 10 of 14)	intron (NM_016780, intron 10 of 14)	38745	NM_016780	16416	Mm.87150	NM_016780	ENSMUSG00000020689	Itgb3	CD61|GP3A|INGRB3	integrin beta 3	protein-coding
13476	chrX	51076797	51077423	+	0	NA	Intergenic	Intergenic	-59092	NM_172413	72065	Mm.43152	NM_172413	ENSMUSG00000050029	Rap2c	2010200P20Rik|AI194294|AL022976	RAP2C, member of RAS oncogene family	protein-coding
13446	chr10	118758302	118758802	+	0	NA	Intergenic	Intergenic	110351	NM_001014390	69181	Mm.45565	NM_001014390	ENSMUSG00000028630	Dyrk2	1810038L18Rik	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	protein-coding
15221	chr9	49533712	49534212	+	0	NA	intron (NM_010875, intron 13 of 15)	(G)n|Simple_repeat|Simple_repeat	15674	NR_029465	100036537	Mm.437541	NR_029465		Gm11149	ENSMUSG00000060603|ENSMUSG00000079564	predicted gene 11149	ncRNA
15131	chr2	92971360	92971860	+	0	NA	Intergenic	Intergenic	56509	NM_030725	80976	Mm.33490	NM_030725	ENSMUSG00000027220	Syt13	5730409J20Rik|AI549909|mKIAA1427	synaptotagmin XIII	protein-coding
13842	chr7	31158526	31159026	+	0	NA	Intergenic	B4|SINE|B4	-3582	NR_046062	100038516	Mm.387223	NR_046062		Gm10640	EG668322|ENSMUSG00000074193	predicted gene 10640	ncRNA
15029	chr9	122733287	122733787	+	0	NA	Intergenic	MLTR31E_MM|LTR|ERVK	-13809	NM_001199736	671232	Mm.296421	NM_001199736	ENSMUSG00000094985	Topaz1	Gm9524	testis and ovary specific PAZ domain containing 1	protein-coding
14485	chr6	31203860	31204360	+	0	NA	intron (NR_110469, intron 1 of 3)	MLT1A0|LTR|ERVL-MaLR	14364	NR_110470	232685	Mm.443019	NM_144555		Lincpint	MNCb-1768|Pint|linc-Pint	long intergenic non-protein coding RNA, Trp53 induced transcript	ncRNA
12844	chr12	101000716	101001348	+	0	NA	intron (NM_026681, intron 3 of 29)	intron (NM_026681, intron 3 of 29)	20736	NR_035421	100316805		NR_035421		Mir1190	Mirn1190|mmu-mir-1190	microRNA 1190	ncRNA
12692	chr6	86478318	86478818	+	0	NA	Intergenic	Intergenic	9659	NR_040292	381792	Mm.333223	NR_040292		2310040G24Rik	-	RIKEN cDNA 2310040G24 gene	ncRNA
12631	chr12	33306445	33306945	+	0	NA	intron (NM_001033436, intron 1 of 7)	(GGGGA)n|Simple_repeat|Simple_repeat	4180	NM_001033436	380753	Mm.41540	NM_028139	ENSMUSG00000020564	Atxn7l1	2810423G08Rik|Atxn7l4	ataxin 7-like 1	protein-coding
14571	chr12	99831914	99832414	+	0	NA	intron (NM_030172, intron 5 of 5)	intron (NM_030172, intron 5 of 5)	51278	NM_030172	78767	Mm.235920	NM_030172	ENSMUSG00000021176	Efcab11	2610021K21Rik|2610110A13Rik	EF-hand calcium binding domain 11	protein-coding
15245	chr11	53443206	53443706	+	0	NA	Intergenic	B3A|SINE|B2	10170	NM_008110	14566	Mm.9714	NM_008110	ENSMUSG00000018238	Gdf9	Gdf-9	growth differentiation factor 9	protein-coding
14573	chr12	116305640	116306140	+	0	NA	intron (NM_028731, intron 1 of 21)	Lx8b|LINE|L1	24668	NM_028731	52635	Mm.273755	NM_028731	ENSMUSG00000021171	Esyt2	2410017M09Rik|4921504I16Rik|CHR2SYT|D12Ertd551e|Fam62b	extended synaptotagmin-like protein 2	protein-coding
13636	chr4	107201442	107201942	+	0	NA	TTS (NM_029565)	TTS (NM_029565)	-7488	NM_001081272	546840	Mm.331755	NM_001081272	ENSMUSG00000070877	Ldlrad1	OTTMUSG00000008594	low density lipoprotein receptor class A domain containing 1	protein-coding
14026	chr9	44501997	44502497	+	0	NA	intron (NM_030256, intron 4 of 8)	intron (NM_030256, intron 4 of 8)	3111	NM_030256	80288	Mm.370270	NM_030256	ENSMUSG00000063382	Bcl9l	B9L|BC003321|BCL9-2|DLNB11	B cell CLL/lymphoma 9-like	protein-coding
14219	chr2	166399114	166399614	+	0	NA	Intergenic	Intergenic	-48087	NR_015558	319684	Mm.399746	NR_015558		5031425F14Rik	-	RIKEN cDNA 5031425F14 gene	ncRNA
13434	chr7	80799217	80799717	+	0	NA	intron (NM_016721, intron 2 of 37)	intron (NM_016721, intron 2 of 37)	3864	NM_016721	29875	Mm.207619	NM_016721	ENSMUSG00000030536	Iqgap1	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	IQ motif containing GTPase activating protein 1	protein-coding
14801	chr9	59585228	59585728	+	0	NA	intron (NM_175235, intron 2 of 11)	intron (NM_175235, intron 2 of 11)	7141	NM_175235	76183	Mm.265415	NM_175235	ENSMUSG00000032297	Celf6	6330569O16Rik|Brunol6	CUGBP, Elav-like family member 6	protein-coding
14785	chr8	107505522	107506022	+	0	NA	intron (NM_025830, intron 6 of 23)	intron (NM_025830, intron 6 of 23)	-45472	NR_029553	387158		NR_029553		Mir140	Mirn140|mmu-mir-140	microRNA 140	ncRNA
12885	chr4	145224212	145224836	+	0	NA	intron (NM_011610, intron 5 of 9)	intron (NM_011610, intron 5 of 9)	22346	NM_011610	21938	Mm.235328	NM_011610		Tnfrsf1b	CD120b|TNF-R-II|TNF-R2|TNF-R75|TNF-alphaR2|TNFBR|TNFR80|TNFRII|TNFalpha-R2|Tnfr-1|Tnfr2|p75	tumor necrosis factor receptor superfamily, member 1b	protein-coding
13216	chr7	116246626	116247126	+	0	NA	Intergenic	Intergenic	-57035	NM_172743	233765	Mm.3741	NM_172743	ENSMUSG00000045659	Plekha7	A430081P20Rik|AI414265	pleckstrin homology domain containing, family A member 7	protein-coding
14793	chr9	14207685	14208185	+	0	NA	Intergenic	Intergenic	-68366	NM_030261	75747	Mm.325126	NM_030261	ENSMUSG00000032009	Sesn3	5630400E15Rik|BC003348|SEST3	sestrin 3	protein-coding
13001	chr13	110048880	110049380	+	0	NA	Intergenic	Intergenic	145321	NR_035442	100316683		NR_035442		Mir1904	Mirn1904|mmu-mir-1904	microRNA 1904	ncRNA
14791	chr8	128647935	128648435	+	0	NA	Intergenic	Intergenic	-37469	NM_010578	16412	Mm.263396	NM_010578	ENSMUSG00000025809	Itgb1	4633401G24Rik|AA409975|AA960159|CD29|ENSMUSG00000051907|Fnrb|Gm9863|gpIIa	integrin beta 1 (fibronectin receptor beta)	protein-coding
14828	chr10	122681978	122682478	+	0	NA	intron (NM_176919, intron 1 of 8)	intron (NM_176919, intron 1 of 8)	2913	NR_106182	102466884		NR_106182		Mir8104	mmu-mir-8104	microRNA mir-8104	ncRNA
13776	chr1	164512617	164513117	+	0	NA	Intergenic	Intergenic	-54512	NM_009721	11931	Mm.4550	NM_009721	ENSMUSG00000026576	Atp1b1	Atp4b|Atpb|Atpb-1|NKbeta1	ATPase, Na+/K+ transporting, beta 1 polypeptide	protein-coding
13231	chr10	5524575	5525203	+	0	NA	intron (NM_153399, intron 2 of 31)	intron (NM_153399, intron 2 of 31)	25803	NM_153399	64009	Mm.331626	NM_022027	ENSMUSG00000019769	Syne1	8B|A330049M09Rik|BE692247|C130039F11Rik|CPG2|Myne1|mKIAA1756	spectrin repeat containing, nuclear envelope 1	protein-coding
15262	chr12	101955072	101955572	+	0	NA	intron (NM_029705, intron 1 of 10)	B1_Mus1|SINE|Alu	2921	NM_029705	110616	Mm.271914	NM_029705	ENSMUSG00000021189	Atxn3	2210008M02Rik|AI463012|AI647473|ATX3|MJD1|Mjd|Sca3|ataxin-3	ataxin 3	protein-coding
13694	chr10	53435678	53436178	+	0	NA	Intergenic	Intergenic	-56077	NM_001204983	100038725	Mm.441403	NM_001204983	ENSMUSG00000038594	Cep85l	ENSMUSG00000038594|Gm9766	centrosomal protein 85-like	protein-coding
15075	chr15	79733633	79734133	+	0	NA	intron (NM_194342, intron 7 of 16)	intron (NM_194342, intron 7 of 16)	8653	NM_001205346	223697	Mm.202715	NM_194342	ENSMUSG00000042524	Sun2	B230369L08Rik|C030011B15|Unc84b	Sad1 and UNC84 domain containing 2	protein-coding
12642	chr15	97391024	97391524	+	0	NA	Intergenic	Intergenic	-143987	NM_001164563	105827	Mm.24005	NM_178114	ENSMUSG00000048218	Amigo2	AI415330|AMIGO-2|AW208913|Ali1	adhesion molecule with Ig like domain 2	protein-coding
13441	chr10	67760938	67761572	+	0	NA	Intergenic	Intergenic	151407	NM_178679	216049	Mm.268346	NM_178679	ENSMUSG00000037855	Zfp365	AI839779|AV340892|DBZ|Su48|Znf365|talanin	zinc finger protein 365	protein-coding
14556	chr11	85131489	85131989	+	0	NA	intron (NM_001029934, intron 1 of 33)	intron (NM_001029934, intron 1 of 33)	8216	NM_001029934	237898	Mm.178524	NM_001029934	ENSMUSG00000000804	Usp32	2900074J03Rik|6430526O11Rik|AW045245	ubiquitin specific peptidase 32	protein-coding
14242	chr4	144909394	144909894	+	0	NA	intron (NM_011303, intron 1 of 5)	intron (NM_011303, intron 1 of 5)	16507	NM_011303	20148	Mm.14063	NM_011303	ENSMUSG00000066026	Dhrs3	Rsdr1|retSDR1	dehydrogenase/reductase (SDR family) member 3	protein-coding
14987	chr4	135820441	135820941	+	0	NA	Intergenic	(TTTA)n|Simple_repeat|Simple_repeat	-35380	NM_010178	14105	Mm.10229	NM_010178	ENSMUSG00000028676	Srsf10	FUSIP2|Fusip1|NSSR1|NSSR2|Nssr|SRrp40|Sfrs13a|Srsf13a|TASR|TASR1|TASR2	serine/arginine-rich splicing factor 10	protein-coding
15565	chr2	18903796	18904296	+	0	NA	intron (NM_008845, intron 3 of 9)	intron (NM_008845, intron 3 of 9)	94075	NM_008845	18718	Mm.313977	NM_008845	ENSMUSG00000026737	Pip4k2a	AW742916|Pip5k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	protein-coding
13084	chr9	56152850	56153350	+	0	NA	intron (NM_019793, intron 1 of 6)	intron (NM_019793, intron 1 of 6)	7970	NM_019793	56434	Mm.28484	NM_019793	ENSMUSG00000032324	Tspan3	1700055K04Rik|TM4-A|Tm4sf8	tetraspanin 3	protein-coding
14151	chr12	106818891	106819391	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	-102817	NR_015512	71033	Mm.159404	NR_015512	ENSMUSG00000085820	4933406K04Rik	4930426M03Rik|4930485I22Rik|4933427G14Rik	RIKEN cDNA 4933406K04 gene	ncRNA
14855	chr12	114646631	114647131	+	0	NA	Intergenic	Intergenic	-133187	NR_106063	102465664		NR_106063	miRBase:MI0022945	Mir7094-2	mmu-mir-7094-2	microRNA mir-7094-2	ncRNA
14668	chr2	12413925	12414425	+	0	NA	intron (NM_024185, intron 1 of 14)	intron (NM_024185, intron 1 of 14)	5285	NM_024185	66960	Mm.34059	NM_024185	ENSMUSG00000026767	Fam188a	1810041E18Rik|2310047O13Rik|5830410F13Rik|AI447827|AW111958	family with sequence similarity 188, member A	protein-coding
14547	chr11	24395723	24396223	+	0	NA	Intergenic	Intergenic	-85936	NR_045857	71316	Mm.79162	NR_045857	ENSMUSG00000086892	4933430M04Rik	-	RIKEN cDNA 4933430M04 gene	ncRNA
15403	chr6	67368072	67368572	+	0	NA	intron (NM_008354, intron 1 of 15)	intron (NM_008354, intron 1 of 15)	7815	NM_008354	16162	Mm.188337	NM_008354	ENSMUSG00000018341	Il12rb2	A930027I18Rik|IL-12RB2|Ifnm	interleukin 12 receptor, beta 2	protein-coding
13437	chr8	34904747	34905415	+	0	NA	intron (NM_175091, intron 3 of 26)	intron (NM_175091, intron 3 of 26)	60609	NM_175091	21951	Mm.88364	NM_175091	ENSMUSG00000031529	Tnks	4930554K12Rik|AI662855|ARTD5|C86528|D130072O21Rik|TANK1|mTNKS1	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	protein-coding
11929	chr2	172412013	172412513	+	0	NA	intron (NM_001276422, intron 1 of 5)	intron (NM_001276422, intron 1 of 5)	18469	NM_001080820	320664	Mm.210195	NM_001033538	ENSMUSG00000074570	Cass4	F730031O20Rik	Cas scaffolding protein family member 4	protein-coding
14013	chr7	98103099	98103599	+	0	NA	intron (NM_001256083, intron 2 of 47)	(CACG)n|Simple_repeat|Simple_repeat	5899	NM_001256082	17921	Mm.1403	NM_008663	ENSMUSG00000030761	Myo7a	Hdb|Myo7|USH1B|nmf371|polka|sh-1|sh1	myosin VIIA	protein-coding
14545	chr11	11847703	11848203	+	0	NA	intron (NM_001190448, intron 6 of 14)	RMER15|LTR|ERVL	-20170	NR_045178	73321	Mm.443306	NR_045178	ENSMUSG00000086391	1700042O10Rik	-	RIKEN cDNA 1700042O10 gene	ncRNA
13415	chr5	86190497	86190997	+	0	NA	intron (NM_010323, intron 1 of 2)	L1MC4|LINE|L1	7123	NM_010323	14715	Mm.26791	NM_010323	ENSMUSG00000029255	Gnrhr	-	gonadotropin releasing hormone receptor	protein-coding
15048	chr11	108906545	108907045	+	0	NA	Intergenic	Intergenic	-13554	NM_015732	12006	Mm.71710	NM_015732	ENSMUSG00000000142	Axin2	Axi1|Axil|Conductin	axin2	protein-coding
13149	chr1	151488808	151489308	+	0	NA	intron (NM_011277, intron 1 of 6)	MLT1D|LTR|ERVL-MaLR	11765	NM_011277	19821	Mm.474038	NM_011277	ENSMUSG00000026484	Rnf2	AI326319|AI450156|AU019207|Ring1B|dinG	ring finger protein 2	protein-coding
14792	chr9	13613875	13614375	+	0	NA	Intergenic	Intergenic	-5864	NM_001013813	270118	Mm.116898	NM_173776	ENSMUSG00000031925	Maml2	5930431H10|BC032967	mastermind like 2 (Drosophila)	protein-coding
13847	chr7	110124379	110124879	+	0	NA	exon (NM_009516, exon 2 of 11)	exon (NM_009516, exon 2 of 11)	2570	NM_009516	22390	Mm.287173	NM_009516		Wee1	Wee1A	WEE 1 homolog 1 (S. pombe)	protein-coding
14040	chr11	61116135	61116871	+	0	NA	Intergenic	Intergenic	-24332	NM_021349	57916	Mm.265915	NM_021349	ENSMUSG00000010142	Tnfrsf13b	1200009E08Rik|Taci	tumor necrosis factor receptor superfamily, member 13b	protein-coding
14862	chr13	43750680	43751368	+	0	NA	Intergenic	Intergenic	-34088	NM_001289915	12522	Mm.57175	NM_009856	ENSMUSG00000015396	Cd83	-	CD83 antigen	protein-coding
14653	chr1	86579334	86579834	+	0	NA	intron (NM_008801, intron 1 of 4)	intron (NM_008801, intron 1 of 4)	2917	NM_008801	18582	Mm.12925	NM_008801	ENSMUSG00000026239	Pde6d	AI841218|PrBP/delta	phosphodiesterase 6D, cGMP-specific, rod, delta	protein-coding
15101	chr19	56770917	56771417	+	0	NA	Intergenic	Intergenic	42516	NM_170757	213993	Mm.469677	NM_170757	ENSMUSG00000035173	Ccdc186	1810028B20Rik|A630007B06Rik|AI159700|Otg1	coiled-coil domain containing 186	protein-coding
15500	chr14	55062534	55063034	+	0	NA	exon (NM_001039198, exon 10 of 10)	exon (NM_001039198, exon 10 of 10)	-10307	NR_004444	432855	Mm.490799	NR_004444	ENSMUSG00000093452	Zfhx2os	Zfhx2as	zinc finger homeobox 2, opposite strand	ncRNA
14781	chr8	35923276	35923776	+	0	NA	Intergenic	Intergenic	-40569	NR_046181	330737	Mm.381743	NR_046181		5430403N17Rik	5430403N17	RIKEN cDNA 5430403N17 gene	ncRNA
14806	chr9	106208081	106208581	+	0	NA	intron (NM_011876, intron 2 of 8)	intron (NM_011876, intron 2 of 8)	5223	NM_011876	23999	Mm.274346	NM_011876	ENSMUSG00000023277	Twf2	A6-related|AU014993|Ptk9l|Ptk9r	twinfilin, actin-binding protein, homolog 2 (Drosophila)	protein-coding
15226	chr9	118147217	118147717	+	0	NA	intron (NM_026442, intron 1 of 3)	intron (NM_026442, intron 1 of 3)	2729	NM_026442	67899	Mm.9953	NM_026442	ENSMUSG00000039163	Cmc1	2010110K16Rik|2010312P05Rik|AI596001	COX assembly mitochondrial protein 1	protein-coding
11568	chr9	61662253	61662753	+	0	NA	Intergenic	Intergenic	252007	NM_018853	56040	Mm.3158	NM_018853	ENSMUSG00000007892	Rplp1	2410042H16Rik|Arpp1|C430017H15Rik	ribosomal protein, large, P1	protein-coding
14908	chr16	76041574	76042074	+	0	NA	Intergenic	Intergenic	-80789	NR_040575	78215	Mm.243885	NR_040575		4930578N18Rik	-	RIKEN cDNA 4930578N18 gene	ncRNA
14009	chr7	4292943	4293443	+	0	NA	Intergenic	Intergenic	19004	NM_008848	18729	Mm.326531	NM_008848		Pira6	12M1|Pira10|p91B	paired-Ig-like receptor A6	protein-coding
12735	chr18	89209805	89210305	+	0	NA	intron (NM_178687, intron 3 of 6)	intron (NM_178687, intron 3 of 6)	12628	NM_001039149	225825	Mm.139293	NM_178687	ENSMUSG00000034028	Cd226	BC051526|DNAM-1|DNAM1|Pta1|TLiSA1	CD226 antigen	protein-coding
15201	chr7	90280385	90280885	+	0	NA	Intergenic	Intergenic	-15203	NR_111924	75338	Mm.487222	NM_029256	ENSMUSG00000030617	Ccdc83	4930549K11Rik|4930554C01Rik|4932423M01Rik	coiled-coil domain containing 83	protein-coding
15705	chr19	32377262	32377762	+	0	NA	intron (NM_144792, intron 1 of 9)	(GGA)n|Simple_repeat|Simple_repeat	10942	NM_144792	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
13560	chr12	79658550	79659050	+	0	NA	intron (NM_009014, intron 8 of 10)	intron (NM_009014, intron 8 of 10)	361449	NM_001252562	19363	Mm.341756	NM_009014	ENSMUSG00000059060	Rad51b	AI553500|R51H2|Rad51l1|mREC2	RAD51 homolog B	protein-coding
13048	chr3	32414164	32414664	+	0	NA	Intergenic	Intergenic	-21737	NM_008839	18706	Mm.260521	NM_008839	ENSMUSG00000027665	Pik3ca	6330412C24Rik|caPI3K|p110|p110alpha	phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	protein-coding
13794	chr3	94368024	94368524	+	0	NA	Intergenic	ID_B1|SINE|B4	-4520	NM_011281	19885	Mm.4372	NM_011281	ENSMUSG00000028150	Rorc	Nr1f3|RORgamma|TOR|Thor	RAR-related orphan receptor gamma	protein-coding
14969	chr2	59441770	59442270	+	0	NA	Intergenic	Intergenic	-42633	NM_029723	76747	Mm.275769	NM_029723	ENSMUSG00000026989	Dapl1	2310032F03Rik|EEDA	death associated protein-like 1	protein-coding
13013	chr16	33747342	33747842	+	0	NA	intron (NM_175256, intron 10 of 14)	L1MA6|LINE|L1	-46445	NM_010739	17063	Mm.3177	NM_010739	ENSMUSG00000022824	Muc13	114/A10|14/A10|AI159736|Lrrp|Ly64|NJ-1	mucin 13, epithelial transmembrane	protein-coding
14453	chr4	59526947	59527447	+	0	NA	intron (NM_178164, intron 1 of 13)	intron (NM_178164, intron 1 of 13)	22167	NM_178164	230257	Mm.331640	NM_144904	ENSMUSG00000028382	Ptbp3	5830471K22Rik|AA407443|AI462022|AW107884|C86549|Rod1	polypyrimidine tract binding protein 3	protein-coding
12694	chr8	18747639	18748139	+	0	NA	intron (NM_173189, intron 12 of 13)	intron (NM_173189, intron 12 of 13)	-6327	NM_007426	11601	Mm.439874	NM_007426	ENSMUSG00000031465	Angpt2	Agpt2|Ang-2|Ang2	angiopoietin 2	protein-coding
15358	chr3	95897946	95898446	+	0	NA	exon (NM_011797, exon 11 of 11)	exon (NM_011797, exon 11 of 11)	4275	NM_146104	226548	Mm.306954	NM_146104	ENSMUSG00000015750	Aph1a	6530402N02Rik|APH-1a	anterior pharynx defective 1a homolog (C. elegans)	protein-coding
14662	chr1	160031306	160031806	+	0	NA	Intergenic	Intergenic	-12824	NM_001162896	67647	Mm.171518	NM_001024470	ENSMUSG00000090394	4930523C07Rik	-	RIKEN cDNA 4930523C07 gene	protein-coding
13469	chr17	29023988	29024612	+	0	NA	Intergenic	ID_B1|SINE|B4	-8360	NR_036613	20383	Mm.6787	NM_013663	ENSMUSG00000071172	Srsf3	AL024116|Sfrs3|X16	serine/arginine-rich splicing factor 3	protein-coding
13798	chr3	122289863	122290505	+	0	NA	Intergenic	Intergenic	3519	NR_030439	791077		NR_030439	miRBase:MI0004605	Mir760	Mirn760|mir-760|mmu-mir-760	microRNA 760	ncRNA
13882	chr10	93126232	93126732	+	0	NA	Intergenic	ORR1A1|LTR|ERVL-MaLR	-34394	NM_146239	237459	Mm.217404	NM_146239	ENSMUSG00000020015	Cdk17	6430598J10Rik|Pctk2	cyclin-dependent kinase 17	protein-coding
14980	chr3	65598511	65599011	+	0	NA	Intergenic	Intergenic	-60527	NR_106200	102465905		NR_106200	miRBase:MI0026052	Mir8120	mmu-mir-8120	microRNA mir-8120	ncRNA
14962	chr1	119051089	119051589	+	0	NA	intron (NM_001081125, intron 1 of 13)	intron (NM_001081125, intron 1 of 13)	2280	NM_001081125	14633	Mm.273292	NM_001081125	ENSMUSG00000048402	Gli2	AW546128	GLI-Kruppel family member GLI2	protein-coding
15195	chr7	28487840	28488340	+	0	NA	Intergenic	Intergenic	-8851	NR_033605	70001	Mm.417851	NR_033605		1700028B04Rik	-	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8 pseudogene	pseudo
12865	chr1	106091218	106091718	+	0	NA	Intergenic	L1_Mur3|LINE|L1	80056	NR_040630	626049	Mm.247410	NR_040630		Gm20753	-	predicted gene, 20753	ncRNA
15336	chr1	92827594	92828094	+	0	NA	Intergenic	Intergenic	-3842	NM_016696	14733	Mm.297976	NM_016696	ENSMUSG00000034220	Gpc1	AI462976	glypican 1	protein-coding
15429	chr9	11373454	11373954	+	0	NA	Intergenic	RMER20B|LTR|ERVK	-468929	NM_001170787	244682	Mm.187021	NM_001033359	ENSMUSG00000039488	Cntn5	6720426O10Rik|A830025P08Rik|Gm507|NB-2	contactin 5	protein-coding
14099	chr4	120854976	120855476	+	0	NA	Intergenic	CpG	-22643	NM_182929	242662	Mm.192502	NM_182929	ENSMUSG00000032890	Rims3	A730060M23Rik|Nim3|Rim3|mKIAA0237	regulating synaptic membrane exocytosis 3	protein-coding
11910	chr14	75057403	75057903	+	0	NA	intron (NR_030568, intron 2 of 3)	L1Md_A|LINE|L1	41626	NM_198642	271221	Mm.320280	NM_198642	ENSMUSG00000034959	5031414D18Rik	Gm744|Gm911|Kiaa0226l	RIKEN cDNA 5031414D18 gene	protein-coding
14683	chr2	79545567	79546067	+	0	NA	Intergenic	Intergenic	-89181	NM_010894	18012	Mm.4636	NM_010894	ENSMUSG00000034701	Neurod1	BETA2|BHF-1|Neurod|bHLHa3	neurogenic differentiation 1	protein-coding
14972	chr2	119198238	119198738	+	0	NA	intron (NM_139139, intron 1 of 10)	intron (NM_139139, intron 1 of 10)	-10232	NM_001164827	72008	Mm.386807	NM_028054	ENSMUSG00000068580	Zfyve19	1500041L05Rik|ANCHR	zinc finger, FYVE domain containing 19	protein-coding
15148	chr3	95531162	95531662	+	0	NA	intron (NM_001267695, intron 2 of 7)	B3|SINE|B2	4626	NM_021281	13040	Mm.3619	NM_021281	ENSMUSG00000038642	Ctss	-	cathepsin S	protein-coding
14991	chr5	34581648	34582148	+	0	NA	intron (NM_001024458, intron 1 of 14)	intron (NM_001024458, intron 1 of 14)	7747	NR_106111	102466999		NR_106111	miRBase:MI0024991	Mir7036b	mmu-mir-7036b	microRNA mir-7036b	ncRNA
14576	chr13	28500899	28501399	+	0	NA	intron (NR_045054, intron 7 of 7)	intron (NR_045054, intron 7 of 7)	209724	NR_105787	102466635		NR_105787	miRBase:MI0021897	Mir6368	mmu-mir-6368	microRNA mir-6368	ncRNA
