PeakID (cmd=annotatePeaks.pl enhancers_only_no_peptide.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
6811	chr17	83962333	83962833	+	0	NA	Intergenic	Intergenic	-115793	NM_025325	107766	Mm.30100	NM_025325	ENSMUSG00000000673	Haao	0610007K21Rik|0610012J07Rik|3-HAO|3-HAOxase|3HAO	3-hydroxyanthranilate 3,4-dioxygenase	protein-coding
6351	chr3	38115701	38116343	+	0	NA	Intergenic	Intergenic	92097	NR_040541	71342	Mm.410782	NR_040541		5430434I15Rik	-	RIKEN cDNA 5430434I15 gene	ncRNA
8032	chr5	36362143	36362789	+	0	NA	intron (NM_030889, intron 1 of 26)	intron (NM_030889, intron 1 of 26)	35673	NM_030889	81840	Mm.34113	NM_030889	ENSMUSG00000029093	Sorcs2	N28137|mKIAA1329	sortilin-related VPS10 domain containing receptor 2	protein-coding
5225	chr1	62829298	62829798	+	0	NA	Intergenic	Intergenic	-34816	NR_040601	74992	Mm.401979	NR_040601		4930487H11Rik	-	RIKEN cDNA 4930487H11 gene	ncRNA
3160	chr11	46298475	46299869	+	0	NA	intron (NM_001252459, intron 1 of 30)	intron (NM_001252459, intron 1 of 30)	13186	NM_001252460	76884	Mm.154358	NM_133769	ENSMUSG00000020340	Cyfip2	1500004I01Rik|6430511D02Rik|AA930218|AU022376|Pir121|mKIAA1168	cytoplasmic FMR1 interacting protein 2	protein-coding
8891	chr19	29238281	29238781	+	0	NA	Intergenic	Intergenic	-13272	NM_001048177	16452	Mm.275839	NM_008413	ENSMUSG00000024789	Jak2	Fd17	Janus kinase 2	protein-coding
8738	chr6	85324913	85325413	+	0	NA	intron (NM_178639, intron 1 of 13)	intron (NM_178639, intron 1 of 13)	8259	NM_178639	94282	Mm.121485	NM_178639	ENSMUSG00000033720	Sfxn5	C230001H08Rik	sideroflexin 5	protein-coding
6447	chr11	18014240	18014880	+	0	NA	Intergenic	Intergenic	-60685	NM_026576	68145	Mm.178684	NM_026576	ENSMUSG00000016984	Etaa1	5730466H23Rik|AA672646	Ewing tumor-associated antigen 1	protein-coding
6456	chr11	86408825	86409325	+	0	NA	Intergenic	Intergenic	-6769	NR_030571	100124487		NR_030571		Mir467c	Mirn467c	microRNA 467c	ncRNA
8886	chr18	80461237	80461737	+	0	NA	intron (NM_026295, intron 1 of 12)	L1M5|LINE|L1	8180	NM_026295	67655	Mm.312893	NM_026295	ENSMUSG00000033323	Ctdp1	4930563P03Rik|AW553592	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	protein-coding
6865	chr3	122378265	122378909	+	0	NA	Intergenic	B1_Mur3|SINE|Alu	-41193	NM_013867	29815	Mm.45815	NM_013867	ENSMUSG00000028121	Bcar3	AI131758|AND-34	breast cancer anti-estrogen resistance 3	protein-coding
6340	chr2	70827325	70827825	+	0	NA	Intergenic	Intergenic	-2095	NM_172664	228012	Mm.136511	NM_172664	ENSMUSG00000041997	Tlk1	4930545J15Rik	tousled-like kinase 1	protein-coding
6677	chr7	128151496	128152150	+	0	NA	Intergenic	Lx8|LINE|L1	-22123	NM_001029872	381924	Mm.334257	NM_001029872	ENSMUSG00000070369	Itgad	Cd11d	integrin, alpha D	protein-coding
5318	chr15	100089308	100089808	+	0	NA	intron (NR_037311, intron 2 of 3)	intron (NR_037311, intron 2 of 3)	50894	NM_001159361	239667	Mm.243658	NM_172819	ENSMUSG00000023026	Dip2b	4932422C22|AI317237|AI854602|mKIAA1463	DIP2 disco-interacting protein 2 homolog B (Drosophila)	protein-coding
8813	chr12	116309219	116309719	+	0	NA	intron (NM_028731, intron 1 of 21)	MER21B|LTR|ERVL	28247	NM_028731	52635	Mm.273755	NM_028731	ENSMUSG00000021171	Esyt2	2410017M09Rik|4921504I16Rik|CHR2SYT|D12Ertd551e|Fam62b	extended synaptotagmin-like protein 2	protein-coding
4984	chr5	28242930	28243578	+	0	NA	Intergenic	Intergenic	-5381	NM_175651	269637	Mm.68286	NM_175651	ENSMUSG00000044681	Cnpy1	1500012D20Rik|9630008K15Rik|AI853839	canopy 1 homolog (zebrafish)	protein-coding
5839	chr5	38556177	38556985	+	0	NA	intron (NM_011715, intron 2 of 14)	intron (NM_011715, intron 2 of 14)	5014	NM_011715	22388	Mm.2654	NM_011715	ENSMUSG00000005103	Wdr1	Aip1|D5Wsu185e|rede	WD repeat domain 1	protein-coding
8089	chr10	53373636	53374136	+	0	NA	intron (NM_001204983, intron 1 of 12)	intron (NM_001204983, intron 1 of 12)	5965	NM_001204983	100038725	Mm.441403	NM_001204983	ENSMUSG00000038594	Cep85l	ENSMUSG00000038594|Gm9766	centrosomal protein 85-like	protein-coding
7759	chr4	120614060	120614560	+	0	NA	Intergenic	Intergenic	25565	NM_001101603	667063	Mm.90231	NM_001101603	ENSMUSG00000091297	Gm8439	EG667063|Gm1664	predicted gene 8439	protein-coding
4614	chr2	22788008	22788508	+	0	NA	intron (NM_019456, intron 1 of 13)	intron (NM_019456, intron 1 of 13)	13931	NM_019456	54519	Mm.14255	NM_019456	ENSMUSG00000026786	Apbb1ip	9930118P07Rik|Prp48	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	protein-coding
7352	chr3	84046437	84046937	+	0	NA	Intergenic	Intergenic	-6526	NM_172681	229473	Mm.28838	NM_172681	ENSMUSG00000033767	D930015E06Rik	Kiaa0922|mKIAA0922	RIKEN cDNA D930015E06 gene	protein-coding
8057	chr7	112204029	112204529	+	0	NA	Intergenic	Intergenic	-21557	NM_177282	320878	Mm.52312	NM_177282	ENSMUSG00000038244	Mical2	5330438E18Rik|9530064J02|MICAL-2|mKIAA0750	microtubule associated monooxygenase, calponin and LIM domain containing 2	protein-coding
6119	chr14	53361627	53362257	+	0	NA	Intergenic	Intergenic	-303998	NM_001205242	100568452	Mm.213248	NM_001205242		A430107P09Rik	Va10	RIKEN cDNA A430107P09 gene	protein-coding
7524	chr10	118893289	118893789	+	0	NA	Intergenic	Intergenic	-24636	NM_001014390	69181	Mm.45565	NM_001014390	ENSMUSG00000028630	Dyrk2	1810038L18Rik	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	protein-coding
2145	chr16	35764508	35766330	+	0	NA	intron (NM_153550, intron 1 of 8)	MTD|LTR|ERVL-MaLR	3937	NM_153550	224132	Mm.24094	NM_153550	ENSMUSG00000022848	Dirc2	RCC4	disrupted in renal carcinoma 2 (human)	protein-coding
4813	chr17	47371184	47372060	+	0	NA	intron (NM_183086, intron 1 of 6)	intron (NM_183086, intron 1 of 6)	2425	NM_183086	64657	Mm.216250	NM_183086	ENSMUSG00000034729	Mrps10	1110038B19Rik|AW743084|Rpms10	mitochondrial ribosomal protein S10	protein-coding
8093	chr10	118079104	118079604	+	0	NA	Intergenic	G-rich|Low_complexity|Low_complexity	-62433	NM_148922	17245	Mm.101191	NM_010785	ENSMUSG00000020212	Mdm1	Arrd2|Mdm-1	transformed mouse 3T3 cell double minute 1	protein-coding
4554	chr7	110824081	110824861	+	0	NA	intron (NM_025999, intron 4 of 5)	intron (NM_025999, intron 4 of 5)	19910	NM_025999	67150	Mm.96867	NM_025999		Rnf141	2610110L04Rik|AA792898|AU022812|ZFP36|ZNF230	ring finger protein 141	protein-coding
6471	chr12	101980461	101980961	+	0	NA	intron (NM_016856, intron 1 of 14)	intron (NM_016856, intron 1 of 14)	4737	NM_016856	51786	Mm.716	NM_016856	ENSMUSG00000041781	Cpsf2	100kDa|2610024B04Rik|AI662483|Cpsf|MCPSF|mKIAA1367	cleavage and polyadenylation specific factor 2	protein-coding
8404	chr13	96508936	96509436	+	0	NA	intron (NM_012048, intron 3 of 14)	intron (NM_012048, intron 3 of 14)	33299	NM_012048	27015	Mm.89926	NM_012048	ENSMUSG00000021668	Polk	Dinb1	polymerase (DNA directed), kappa	protein-coding
8744	chr6	127568910	127569410	+	0	NA	Intergenic	Intergenic	-8815	NM_001033464	381812	Mm.296093	NM_001033464	ENSMUSG00000061414	Cracr2a	Efcab4b|Gm1073|Gm462	calcium release activated channel regulator 2A	protein-coding
7176	chr9	95835571	95836253	+	0	NA	intron (NM_001033210, intron 1 of 15)	ORR1D1|LTR|ERVL-MaLR	9367	NM_001033210	102502	Mm.11869	NM_001033210	ENSMUSG00000049493	Pls1	AI427122	plastin 1 (I-isoform)	protein-coding
8933	chr6	123263834	123264334	+	0	NA	intron (NM_001163161, intron 1 of 5)	RSINE1|SINE|B4	1977	NM_001163161	17474	Mm.441101	NM_010819	ENSMUSG00000030144	Clec4d	Clecsf8|Mpcl|mcl	C-type lectin domain family 4, member d	protein-coding
8606	chr11	60229173	60229673	+	0	NA	3' UTR (NM_153080, exon 15 of 15)	3' UTR (NM_153080, exon 15 of 15)	-8819	NM_011480	20787	Mm.278701	NM_011480	ENSMUSG00000020538	Srebf1	ADD-1|ADD1|D630008H06|SREBP-1|SREBP-1a|SREBP-1c|SREBP1|SREBP1c|bHLHd1	sterol regulatory element binding transcription factor 1	protein-coding
7227	chr13	108169704	108170204	+	0	NA	intron (NM_028042, intron 4 of 11)	intron (NM_028042, intron 4 of 11)	11216	NM_028042	71991	Mm.212208	NM_028042	ENSMUSG00000021694	Ercc8	2410022P04Rik|2810431L23Rik|4631412O06Rik|B130065P18Rik|Ckn1|Csa	excision repaiross-complementing rodent repair deficiency, complementation group 8	protein-coding
2147	chr17	51898797	51900483	+	0	NA	intron (NR_045095, intron 1 of 2)	T-rich|Low_complexity|Low_complexity	16913	NR_045095	100504169	Mm.417731	NR_045095		Gm20098	-	predicted gene, 20098	ncRNA
8359	chr10	95246451	95246951	+	0	NA	intron (NM_009950, intron 2 of 2)	intron (NM_009950, intron 2 of 2)	77396	NM_009950	12905	Mm.473739	NM_009950	ENSMUSG00000045867	Cradd	RAIDD	CASP2 and RIPK1 domain containing adaptor with death domain	protein-coding
8946	chr13	63171606	63172106	+	0	NA	intron (NM_001289926, intron 7 of 15)	intron (NM_001289926, intron 7 of 15)	-68173	NR_110520	72061	Mm.188105	NM_028079	ENSMUSG00000021458	2010111I01Rik	2300006M17Rik|AP-O|Aopep	RIKEN cDNA 2010111I01 gene	protein-coding
8530	chr4	155122250	155122750	+	0	NA	intron (NM_001081100, intron 10 of 13)	intron (NM_001081100, intron 10 of 13)	35923	NM_001081100	76866	Mm.200590	NM_001081100	ENSMUSG00000029049	Morn1	2900057D20Rik|4930417P05Rik|AU042805	MORN repeat containing 1	protein-coding
8099	chr11	44525991	44526491	+	0	NA	intron (NM_028862, intron 2 of 10)	intron (NM_028862, intron 2 of 10)	6864	NM_001166553	74315	Mm.156771	NM_028862	ENSMUSG00000019189	Rnf145	3732413I11Rik|TMRF1	ring finger protein 145	protein-coding
8435	chr16	30384088	30384588	+	0	NA	intron (NM_001128096, intron 2 of 33)	intron (NM_001128096, intron 2 of 33)	4192	NM_001128096	224088	Mm.8924	NM_001128094	ENSMUSG00000022533	Atp13a3	AU022875|Gm1745|Gm541|Gm542	ATPase type 13A3	protein-coding
8838	chr14	102068868	102069368	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	339190	NM_201529	380928	Mm.218981	NM_201529	ENSMUSG00000033060	Lmo7	C78582|FBXO20|Gm914|mKIAA0858	LIM domain only 7	protein-coding
6845	chr1	193195170	193195888	+	0	NA	intron (NM_153137, intron 3 of 15)	ID2|SINE|ID	6017	NM_153137	215243	Mm.261259	NM_153137	ENSMUSG00000037318	Traf3ip3	6030423D04Rik|AI115021|T3jam	TRAF3 interacting protein 3	protein-coding
5735	chr9	114650479	114650979	+	0	NA	Intergenic	B1_Mm|SINE|Alu	-10529	NM_153585	78893	Mm.283708	NM_153585	ENSMUSG00000056167	Cnot10	2600001P13Rik	CCR4-NOT transcription complex, subunit 10	protein-coding
6501	chr15	63610889	63611389	+	0	NA	Intergenic	Intergenic	-131531	NR_045279	432958	Mm.255105	NR_045279		Gm20740	-	predicted gene, 20740	ncRNA
8758	chr7	132741652	132742152	+	0	NA	intron (NM_175268, intron 4 of 4)	intron (NM_175268, intron 4 of 4)	45033	NM_175268	77938	Mm.225649	NM_175268	ENSMUSG00000030956	Fam53b	A930008G19Rik|mKIAA0140	family with sequence similarity 53, member B	protein-coding
8862	chr16	96644793	96645293	+	0	NA	exon (NM_031174, exon 25 of 33)	exon (NM_031174, exon 25 of 33)	177437	NM_008791	18546	Mm.5023	NM_008791	ENSMUSG00000090223	Pcp4	P16Rimb19|Pcp-4|Pep19	Purkinje cell protein 4	protein-coding
5725	chr8	128223249	128223749	+	0	NA	Intergenic	Intergenic	54726	NR_105822	102465212		NR_105822	miRBase:MI0021932	Mir21c	mmu-mir-21c	microRNA mir-21c	ncRNA
8696	chr3	28326611	28327111	+	0	NA	intron (NM_001163007, intron 1 of 31)	RCHARR1|DNA|hAT-Charlie	63647	NM_001163009	665113	Mm.126193	NM_026910	ENSMUSG00000027692	Tnik	1500031A17Rik|4831440I19Rik|AI451411|C530008O15Rik|C630040K21Rik	TRAF2 and NCK interacting kinase	protein-coding
8713	chr4	130036632	130037132	+	0	NA	Intergenic	Intergenic	-10958	NM_028266	107581	Mm.41860	NM_028266	ENSMUSG00000040690	Col16a1	2700007F12Rik|A530052M23Rik|AI838662|CA1F	collagen, type XVI, alpha 1	protein-coding
6597	chr2	166169459	166170161	+	0	NA	Intergenic	Intergenic	-14127	NM_001252579	72043	Mm.1011	NM_028072	ENSMUSG00000006800	Sulf2	2010004N24Rik|AU020235|MSulf-2|mKIAA1247	sulfatase 2	protein-coding
8273	chr6	8770697	8771197	+	0	NA	intron (NM_010492, intron 1 of 13)	intron (NM_010492, intron 1 of 13)	7537	NM_010492	15893	Mm.275683	NM_010492	ENSMUSG00000062995	Ica1	69kDa|ICA69	islet cell autoantigen 1	protein-coding
6507	chr15	100072328	100073144	+	0	NA	intron (NM_001159361, intron 1 of 37)	intron (NM_001159361, intron 1 of 37)	34072	NM_001159361	239667	Mm.243658	NM_172819	ENSMUSG00000023026	Dip2b	4932422C22|AI317237|AI854602|mKIAA1463	DIP2 disco-interacting protein 2 homolog B (Drosophila)	protein-coding
5833	chr4	127235927	127236427	+	0	NA	exon (NM_198618, exon 12 of 12)	exon (NM_198618, exon 12 of 12)	-7607	NM_030252	80284	Mm.139607	NM_030252	ENSMUSG00000042380	Smim12	BC003266	small integral membrane protein 12	protein-coding
5681	chr2	49774885	49775591	+	0	NA	TTS (NM_008449)	TTS (NM_008449)	-12448	NM_027990	71897	Mm.41381	NM_027990	ENSMUSG00000026765	Lypd6b	2310010M24Rik|AW049525	LY6/PLAUR domain containing 6B	protein-coding
7341	chr2	168196977	168197477	+	0	NA	intron (NM_009628, intron 1 of 3)	intron (NM_009628, intron 1 of 3)	9835	NM_009628	11538	Mm.201322	NM_009628	ENSMUSG00000051149	Adnp	AA589558|mKIAA0784	activity-dependent neuroprotective protein	protein-coding
5800	chr1	151457373	151457873	+	0	NA	intron (NM_026876, intron 14 of 14)	intron (NM_026876, intron 14 of 14)	15230	NR_106150	102466847		NR_106150		Mir7682	mmu-mir-7682	microRNA mir-7682	ncRNA
4472	chr11	51931957	51932457	+	0	NA	Intergenic	RLTR10B2|LTR|ERVK	-35424	NM_029976	52626	Mm.289456	NM_029976	ENSMUSG00000020392	Cdkn2aipnl	A430101B06Rik|AA409260|D11Ertd497e|MNCb-1520	CDKN2A interacting protein N-terminal like	protein-coding
7813	chr7	80422659	80423159	+	0	NA	Intergenic	Intergenic	-17478	NM_001081454	18550	Mm.5241	NM_011046	ENSMUSG00000030530	Furin	9130404I01Rik|Fur|PACE|Pcsk3|SPC1	furin (paired basic amino acid cleaving enzyme)	protein-coding
7562	chr12	85181497	85181997	+	0	NA	Intergenic	Intergenic	-4434	NM_008827	18654	Mm.4809	NM_008827	ENSMUSG00000004791	Pgf	AI854365|PIGF|Plgf	placental growth factor	protein-coding
8545	chr6	34867881	34868381	+	0	NA	intron (NM_197986, intron 1 of 1)	intron (NM_197986, intron 1 of 1)	4985	NM_197986	68487	Mm.248440	NM_197986	ENSMUSG00000057137	Tmem140	1110007F12Rik	transmembrane protein 140	protein-coding
7250	chr16	11552579	11553079	+	0	NA	intron (NM_001290148, intron 7 of 13)	intron (NM_001290148, intron 7 of 13)	147181	NM_001290148	74478	Mm.325831	NM_028964	ENSMUSG00000071669	Snx29	4933437K13Rik|ENSMUSG00000079738|Gm11170|Gm1737|Gm930|Rundc2a	sorting nexin 29	protein-coding
7421	chr6	59423969	59424469	+	0	NA	intron (NM_183183, intron 1 of 1)	intron (NM_183183, intron 1 of 1)	2071	NM_183183	243385	Mm.138080	NM_183183	ENSMUSG00000045441	Gprin3	C030038J10Rik|C730021L23	GPRIN family member 3	protein-coding
6176	chr2	22997176	22997676	+	0	NA	intron (NM_145994, intron 1 of 9)	intron (NM_145994, intron 1 of 9)	42815	NM_001077192	11308	Mm.205647	NM_007380	ENSMUSG00000058835	Abi1	E3B1|NAP1|Ssh3bp1	abl-interactor 1	protein-coding
6856	chr2	174517479	174517979	+	0	NA	Intergenic	RLTR22_Mus|LTR|ERVK	-44788	NM_025531	66390	Mm.182294	NM_025531	ENSMUSG00000016257	Slmo2	2310042G06Rik|AA407013	slowmo homolog 2 (Drosophila)	protein-coding
8600	chr10	60737941	60738441	+	0	NA	intron (NM_023596, intron 2 of 5)	intron (NM_023596, intron 2 of 5)	14591	NM_023596	71279	Mm.284462	NM_023596	ENSMUSG00000020100	Slc29a3	4933435C21Rik|AW987637|Ent3	solute carrier family 29 (nucleoside transporters), member 3	protein-coding
6470	chr12	100508776	100509276	+	0	NA	intron (NM_001033213, intron 1 of 19)	intron (NM_001033213, intron 1 of 19)	11796	NM_001033213	104718	Mm.295441	NM_001033213	ENSMUSG00000033530	Ttc7b	AA408451|Ttc7l1	tetratricopeptide repeat domain 7B	protein-coding
5551	chr7	63907324	63907824	+	0	NA	intron (NM_021366, intron 1 of 1)	intron (NM_021366, intron 1 of 1)	-9283	NM_001256311	381994	Mm.425466	NM_001256311	ENSMUSG00000095061	E030018B13Rik	Gm1697	RIKEN cDNA E030018B13 gene	protein-coding
6152	chr18	9393889	9394527	+	0	NA	intron (NM_026484, intron 1 of 9)	intron (NM_026484, intron 1 of 9)	55942	NM_026484	67974	Mm.86523	NM_026484	ENSMUSG00000024286	Ccny	1700025H17Rik|3110050L10Rik|4631402G10Rik|5730405I09Rik	cyclin Y	protein-coding
4776	chr9	123960484	123961108	+	0	NA	Intergenic	Intergenic	7896	NM_009912	12768	Mm.274927	NM_009912	ENSMUSG00000025804	Ccr1	Cmkbr1|Mip-1a-R	chemokine (C-C motif) receptor 1	protein-coding
7625	chr15	64013620	64014120	+	0	NA	intron (NM_144846, intron 1 of 11)	intron (NM_144846, intron 1 of 11)	46578	NM_144846	223601	Mm.246108	NM_144846	ENSMUSG00000022378	Fam49b	0910001A06Rik|AW122079	family with sequence similarity 49, member B	protein-coding
8707	chr4	16213152	16213652	+	0	NA	intron (NR_045765, intron 3 of 6)	Lx8b|LINE|L1	49292	NR_045765	100415915	Mm.387180	NR_045765	ENSMUSG00000085112	A530072M11Rik	-	RIKEN cDNA gene A530072M11	ncRNA
8589	chr9	41433657	41434157	+	0	NA	Intergenic	Intergenic	57346	NR_040725	73144	Mm.482850	NR_040725		3110039I08Rik	-	RIKEN cDNA 3110039I08 gene	ncRNA
4022	chr15	37561573	37562365	+	0	NA	intron (NM_134094, intron 4 of 6)	intron (NM_134094, intron 4 of 6)	-102587	NM_001170868	52589	Mm.283370	NM_134094	ENSMUSG00000051359	Ncald	AI848120|D030020D09Rik|D15Ertd412e	neurocalcin delta	protein-coding
6906	chr7	67494104	67494756	+	0	NA	Intergenic	Intergenic	-121572	NM_001291196	17258	Mm.132788	NM_001033713	ENSMUSG00000030557	Mef2a	A430079H05Rik	myocyte enhancer factor 2A	protein-coding
7257	chr16	96158310	96158810	+	0	NA	TTS (NM_207301)	TTS (NM_207301)	13141	NM_207301	71446	Mm.255063	NM_207301	ENSMUSG00000023147	Wrb	5530402J05Rik|C030018G21Rik|Chd5	tryptophan rich basic protein	protein-coding
8778	chr9	74132219	74132719	+	0	NA	intron (NM_001033500, intron 1 of 19)	MTD|LTR|ERVL-MaLR	22135	NM_001033500	546144	Mm.335289	NM_177908	ENSMUSG00000044976	Wdr72	AW558070|D230040E23	WD repeat domain 72	protein-coding
7449	chr7	101064868	101065368	+	0	NA	Intergenic	MIRb|SINE|MIR	-43657	NM_001146010	207278	Mm.263041	NM_199012	ENSMUSG00000030691	Fchsd2	BC034086|R74866|Sh3md3|mKIAA0769	FCH and double SH3 domains 2	protein-coding
5856	chr7	72276061	72276697	+	0	NA	intron (NM_001024703, intron 1 of 22)	Tigger17a|DNA|TcMar-Tigger	30216	NM_001024703	244049	Mm.217412	NM_001024703	ENSMUSG00000032776	Mctp2	Gm489	multiple C2 domains, transmembrane 2	protein-coding
8669	chr1	37885925	37886425	+	0	NA	intron (NM_026913, intron 1 of 6)	B1_Mus1|SINE|Alu	4236	NM_026913	69028	Mm.63984	NM_026913	ENSMUSG00000026088	Mitd1	1500032H18Rik	MIT, microtubule interacting and transport, domain containing 1	protein-coding
7286	chr19	53204468	53204968	+	0	NA	intron (NM_013758, intron 2 of 15)	intron (NM_013758, intron 2 of 15)	50487	NR_036590	69319	Mm.57452	NR_036590		1700001K23Rik	-	RIKEN cDNA 1700001K23 gene	ncRNA
7803	chr6	135373552	135374052	+	0	NA	intron (NM_001288627, intron 1 of 4)	ID4|SINE|ID	6309	NM_001288627	13730	Mm.182785	NM_010128	ENSMUSG00000030208	Emp1	I-8-09|TMP	epithelial membrane protein 1	protein-coding
8794	chr11	24283131	24283631	+	0	NA	Intergenic	Intergenic	-198528	NR_045857	71316	Mm.79162	NR_045857	ENSMUSG00000086892	4933430M04Rik	-	RIKEN cDNA 4933430M04 gene	ncRNA
6785	chr15	93301832	93302332	+	0	NA	intron (NM_024189, intron 2 of 3)	intron (NM_024189, intron 2 of 3)	-26998	NM_001033275	223827	Mm.22819	NM_001033275	ENSMUSG00000036197	Gxylt1	Glt8d3|Gm1228|Gm87	glucoside xylosyltransferase 1	protein-coding
8495	chr1	134223733	134224233	+	0	NA	intron (NM_001291930, intron 1 of 1)	intron (NM_001291930, intron 1 of 1)	10873	NM_001291928	11539	Mm.298908	NM_009629	ENSMUSG00000042429	Adora1	A1-AR|A1AR|A1R|AA1R|AI848715|BB176431|Ri	adenosine A1 receptor	protein-coding
7476	chr8	95037072	95037572	+	0	NA	intron (NM_173036, intron 8 of 11)	intron (NM_173036, intron 8 of 11)	-17781	NM_001042715	330830	Mm.277112	NM_001042715	ENSMUSG00000031786	Ccdc135	Gm770|SRG-L|SRG-S	coiled-coil domain containing 135	protein-coding
6081	chr10	93402916	93403416	+	0	NA	Intergenic	Intergenic	-50230	NM_008517	16993	Mm.271071	NM_008517	ENSMUSG00000015889	Lta4h	-	leukotriene A4 hydrolase	protein-coding
8101	chr11	54770730	54771230	+	0	NA	intron (NM_178626, intron 1 of 5)	intron (NM_178626, intron 1 of 5)	16723	NM_178626	72729	Mm.29476	NM_178626	ENSMUSG00000052298	Cdc42se2	2810404F18Rik|AA408783|AA536669|SPEC2	CDC42 small effector 2	protein-coding
5321	chr16	23164593	23165315	+	0	NA	Intergenic	Intergenic	18418	NM_009605	11450	Mm.3969	NM_009605	ENSMUSG00000022878	Adipoq	30kDa|APN|Acdc|Acrp30|GBP28|adipo|apM1	adiponectin, C1Q and collagen domain containing	protein-coding
6169	chr1	88681493	88682119	+	0	NA	Intergenic	Intergenic	20385	NM_177305	320982	Mm.27968	NM_177305	ENSMUSG00000049866	Arl4c	A630084M22Rik|Arl7|LAK	ADP-ribosylation factor-like 4C	protein-coding
7357	chr4	6984147	6984647	+	0	NA	intron (NM_145711, intron 1 of 8)	intron (NM_145711, intron 1 of 8)	6326	NM_145711	252838	Mm.435828	NM_145711	ENSMUSG00000041272	Tox	1700007F02Rik	thymocyte selection-associated high mobility group box	protein-coding
8125	chr14	71298281	71298781	+	0	NA	Intergenic	Intergenic	47258	NR_046076	100043132	Mm.399336	NR_046075		Gm4251	-	predicted gene 4251	ncRNA
