PeakID (cmd=annotatePeaks.pl enhancers_only_10um_pcc.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
35076	chr15	57853385	57853885	+	0	NA	Intergenic	Intergenic	38783	NM_024207	67819	Mm.289387	NM_024207	ENSMUSG00000022365	Derl1	1110021N07Rik|AI195141|AW551338|Derlin-1	Der1-like domain family, member 1	protein-coding
34966	chr11	72810806	72811306	+	0	NA	intron (NM_001045536, intron 1 of 54)	intron (NM_001045536, intron 1 of 54)	14830	NM_001045536	195018	Mm.272030	NM_001045536	ENSMUSG00000055670	Zzef1	8430405D05Rik|BC051585|C130099L13Rik|C85424|mKIAA0399	zinc finger, ZZ-type with EF hand domain 1	protein-coding
33202	chr17	44713894	44714394	+	0	NA	intron (NR_073392, intron 4 of 7)	intron (NR_073392, intron 4 of 7)	22032	NM_001271631	12393	Mm.391013	NM_009820	ENSMUSG00000039153	Runx2	AML3|Cbf|Cbfa-1|Cbfa1|LS3|Osf2|PEBP2aA|Pebp2a1|Pebpa2a	runt related transcription factor 2	protein-coding
34161	chr8	120105519	120106153	+	0	NA	Intergenic	Intergenic	-4364	NM_133967	102193	Mm.240076	NM_133967	ENSMUSG00000031823	Zdhhc7	AL024087|Gramp2	zinc finger, DHHC domain containing 7	protein-coding
34263	chr18	55080830	55081330	+	0	NA	Intergenic	Intergenic	-90900	NM_175751	269023	Mm.192984	NM_175751	ENSMUSG00000052713	Zfp608	4932417D18Rik|D430007A19Rik|Znf608	zinc finger protein 608	protein-coding
32935	chr17	79970096	79970758	+	0	NA	Intergenic	Intergenic	-74304	NM_178050	56298	Mm.175403	NM_019717	ENSMUSG00000059811	Atl2	2010110I21Rik|AA407293|AV334690|Aip-2|Arl6ip2	atlastin GTPase 2	protein-coding
31378	chr1	80738838	80739622	+	0	NA	intron (NM_175291, intron 1 of 55)	intron (NM_175291, intron 1 of 55)	19323	NM_175291	210293	Mm.133473	NM_175291	ENSMUSG00000038608	Dock10	9330153B10Rik|A630054M16Rik|Jr4|Jr5|R75174|ZIZ3|Zizimin3|mKIAA0694	dedicator of cytokinesis 10	protein-coding
35555	chrX	50604244	50604744	+	0	NA	intron (NR_026976, intron 7 of 23)	intron (NR_026976, intron 7 of 23)	30764	NR_026976	103012	Mm.482523	NR_015505		Firre	5830467J12Rik|6720401G13Rik|AW048145	functional intergenic repeating RNA element	ncRNA
31728	chr12	28745328	28745968	+	0	NA	intron (NM_178811, intron 2 of 11)	B3A|SINE|B2	4746	NM_001161410	217449	Mm.132006	NM_178811	ENSMUSG00000020628	Trappc12	CGI-87|D930014A20Rik|Ttc15	trafficking protein particle complex 12	protein-coding
35145	chr18	50064236	50064736	+	0	NA	intron (NM_134131, intron 1 of 1)	G-rich|Low_complexity|Low_complexity	11204	NM_134131	106869	Mm.27740	NM_134131	ENSMUSG00000062210	Tnfaip8	AA987150|E130304C20Rik|ENSMUSG00000073567|Gg2-1|Gm10539|Nded|Ssc-2	tumor necrosis factor, alpha-induced protein 8	protein-coding
34150	chr8	69981109	69981609	+	0	NA	intron (NM_001286450, intron 1 of 12)	RMER15|LTR|ERVL	-6976	NM_001113346	234366	Mm.270044	NM_145596	ENSMUSG00000036180	Gatad2a	1110066C11Rik|BC031407|C80248	GATA zinc finger domain containing 2A	protein-coding
31772	chr17	80165881	80166637	+	0	NA	intron (NM_176963, intron 4 of 6)	intron (NM_176963, intron 4 of 6)	38788	NM_176963	319625	Mm.29098	NM_176963	ENSMUSG00000035473	Galm	A530057M15Rik|AU015645|AU020959	galactose mutarotase	protein-coding
35160	chr19	42017051	42017551	+	0	NA	intron (NM_145500, intron 1 of 2)	intron (NM_145500, intron 1 of 2)	-18737	NM_020033	56642	Mm.143737	NM_020033	ENSMUSG00000025172	Ankrd2	Arpp|mArpp	ankyrin repeat domain 2 (stretch responsive muscle)	protein-coding
32099	chr5	147071899	147072399	+	0	NA	intron (NM_080795, intron 1 of 9)	intron (NM_080795, intron 1 of 9)	4423	NM_080795	140887	Mm.272203	NM_080795	ENSMUSG00000016520	Lnx2	9630046H24|AW209022	ligand of numb-protein X 2	protein-coding
32673	chr10	13925341	13925841	+	0	NA	Intergenic	Lx9|LINE|L1	-40788	NM_010437	15273	Mm.42157	NM_010437	ENSMUSG00000015501	Hivep2	MIBP1|Schnurri-2|Shn-2	human immunodeficiency virus type I enhancer binding protein 2	protein-coding
31858	chr7	128184054	128184830	+	0	NA	intron (NM_001029872, intron 8 of 30)	intron (NM_001029872, intron 8 of 30)	10496	NM_001029872	381924	Mm.334257	NM_001029872	ENSMUSG00000070369	Itgad	Cd11d	integrin, alpha D	protein-coding
35004	chr12	84499202	84499702	+	0	NA	intron (NM_173756, intron 5 of 5)	B2_Mm2|SINE|B2	47944	NM_173756	217708	Mm.311904	NM_173756	ENSMUSG00000085793	Lin52	5830457H20Rik	lin-52 homolog (C. elegans)	protein-coding
31406	chr5	115700985	115701621	+	0	NA	intron (NM_001080808, intron 2 of 8)	intron (NM_001080808, intron 2 of 8)	30256	NM_001080808	75665	Mm.233914	NM_001080808	ENSMUSG00000041609	Ccdc64	2210403N09Rik|BICDR-1	coiled-coil domain containing 64	protein-coding
33619	chr2	90967207	90967707	+	0	NA	intron (NM_001244891, intron 2 of 14)	intron (NM_001244891, intron 2 of 14)	27060	NM_198683	13046	Mm.29495	NM_017368	ENSMUSG00000005506	Celf1	1600010O03Rik|AA407467|Brunol2|CUG-BP|CUG-BP1|CUGBP|Cugbp1|D2Wsu101e|HNAB50|NAB50	CUGBP, Elav-like family member 1	protein-coding
30967	chr9	124145134	124145634	+	0	NA	Intergenic	Intergenic	23841	NM_009917	12774	Mm.14302	NM_009917	ENSMUSG00000079227	Ccr5	AM4-7|CD195|Cmkbr5	chemokine (C-C motif) receptor 5	protein-coding
35345	chr13	109877651	109878151	+	0	NA	intron (NM_011056, intron 7 of 16)	intron (NM_011056, intron 7 of 16)	-25908	NR_035442	100316683		NR_035442		Mir1904	Mirn1904|mmu-mir-1904	microRNA 1904	ncRNA
33123	chr11	87472796	87473296	+	0	NA	intron (NM_031386, intron 2 of 30)	RSINE1|SINE|B4	45455	NM_001199293	83560	Mm.440758	NM_031386	ENSMUSG00000010342	Tex14	C85585	testis expressed gene 14	protein-coding
34376	chr5	23225011	23225511	+	0	NA	intron (NM_001081231, intron 3 of 3)	intron (NM_001081231, intron 3 of 3)	209092	NR_040469	269630	Mm.425231	NR_040469	ENSMUSG00000073147	5031425E22Rik	-	RIKEN cDNA 5031425E22 gene	ncRNA
35003	chr12	83848507	83849007	+	0	NA	intron (NR_073563, intron 3 of 10)	intron (NR_073563, intron 3 of 10)	-6399	NM_001136075	18222	Mm.4390	NM_010949	ENSMUSG00000021224	Numb	Nb	numb gene homolog (Drosophila)	protein-coding
35273	chr8	81791025	81791525	+	0	NA	intron (NM_001024617, intron 7 of 24)	intron (NM_001024617, intron 7 of 24)	448713	NM_001024617	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
35494	chr11	107572702	107573202	+	0	NA	intron (NM_198298, intron 2 of 31)	MT2A|LTR|ERVL	24992	NM_198298	78455	Mm.272047	NM_198298	ENSMUSG00000020721	Helz	3110078M01Rik|9430093I07Rik|9630002H22Rik|AI851979|DRHC	helicase with zinc finger domain	protein-coding
32529	chr12	80844040	80844540	+	0	NA	intron (NM_178682, intron 2 of 5)	intron (NM_178682, intron 2 of 5)	53758	NM_178682	217684	Mm.341776	NM_178682	ENSMUSG00000021133	4933426M11Rik	mKIAA0247	RIKEN cDNA 4933426M11 gene	protein-coding
34442	chr8	11573408	11573908	+	0	NA	Intergenic	Intergenic	17592	NM_011919	26356	Mm.25709	NM_011919	ENSMUSG00000045969	Ing1	2610028J21Rik|AA407184|AI875420|mING1h|p33Ing1|p37Ing1b	inhibitor of growth family, member 1	protein-coding
32805	chr5	53602203	53602703	+	0	NA	intron (NM_001277116, intron 3 of 12)	intron (NM_001277116, intron 3 of 12)	11967	NM_001080927	19664	Mm.209292	NM_009035	ENSMUSG00000039191	Rbpj	AI843960|CBF1|Igkjrb|Igkrsbp|RBP-J|RBP-J kappa|RBPjk|Rbpsuh	recombination signal binding protein for immunoglobulin kappa J region	protein-coding
35363	chr16	58475546	58476046	+	0	NA	intron (NM_018784, intron 7 of 10)	intron (NM_018784, intron 7 of 10)	47516	NM_018784	54613	Mm.212742	NM_018784	ENSMUSG00000022747	St3gal6	1700023B24Rik|AI930218|AW552396|Siat10|St3galVI	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	protein-coding
31395	chr3	138420477	138421611	+	0	NA	intron (NM_011996, intron 4 of 8)	(GGGA)n|Simple_repeat|Simple_repeat	5547	NM_011996	26876	Mm.158750	NM_011996	ENSMUSG00000037797	Adh4	Adh2	alcohol dehydrogenase 4 (class II), pi polypeptide	protein-coding
31661	chr5	115313992	115314492	+	0	NA	Intergenic	Intergenic	-12935	NM_025573	108014	Mm.287826	NM_025573	ENSMUSG00000029538	Srsf9	25kDa|2610029M16Rik|SRp30c|Sfrs9	serine/arginine-rich splicing factor 9	protein-coding
30869	chr5	36557603	36558103	+	0	NA	intron (NM_001113362, intron 3 of 14)	intron (NM_001113362, intron 3 of 14)	24544	NM_133910	100855	Mm.486203	NM_133910	ENSMUSG00000029192	Tbc1d14	2810413P16Rik|AU043625|C86258|D5Ertd110e|mKIAA1322	TBC1 domain family, member 14	protein-coding
33134	chr12	25390127	25390793	+	0	NA	Intergenic	Intergenic	261286	NR_045844	432641	Mm.112955	NR_045844		Gm17746	-	predicted gene, 17746	ncRNA
31908	chr14	55905774	55906274	+	0	NA	Intergenic	MLT1F1|LTR|ERVL-MaLR	-5792	NM_001082975	654795	Mm.486218	NM_001082975	ENSMUSG00000022223	Sdr39u1	2310014G06Rik	short chain dehydrogenase/reductase family 39U, member 1	protein-coding
34364	chr4	109460719	109461219	+	0	NA	intron (NM_013876, intron 1 of 2)	intron (NM_013876, intron 1 of 2)	15536	NM_013876	29864	Mm.392580	NM_013876	ENSMUSG00000028557	Rnf11	-	ring finger protein 11	protein-coding
30818	chr6	140679602	140680102	+	0	NA	Intergenic	RMER1B|Other|Other	55554	NM_009637	11569	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding
35111	chr17	24418293	24418793	+	0	NA	exon (NM_009070, exon 4 of 9)	exon (NM_009070, exon 4 of 9)	3868	NM_009070	19826	Mm.1951	NM_009070	ENSMUSG00000034681	Rnps1	-	ribonucleic acid binding protein S1	protein-coding
34353	chr3	144589727	144590227	+	0	NA	intron (NM_053102, intron 2 of 4)	intron (NM_053102, intron 2 of 4)	19550	NM_053102	93684	Mm.29812	NM_053102	ENSMUSG00000037072	Sep15	9430015P09Rik	selenoprotein	protein-coding
34136	chr7	110128305	110128805	+	0	NA	intron (NM_009516, intron 5 of 10)	B2_Mm1t|SINE|B2	6496	NM_009516	22390	Mm.287173	NM_009516		Wee1	Wee1A	WEE 1 homolog 1 (S. pombe)	protein-coding
34708	chr1	193132238	193132738	+	0	NA	Intergenic	Intergenic	-2237	NM_145415	215193	Mm.173758	NM_145415	ENSMUSG00000016181	Diexf	AA408296|AW045375|Def	digestive organ expansion factor homolog (zebrafish)	protein-coding
33252	chr2	4873060	4873560	+	0	NA	Intergenic	B1F|SINE|Alu	-8254	NM_175400	109079	Mm.34329	NM_175400	ENSMUSG00000026662	Sephs1	1110046B24Rik|AA589574|AI505014|AW111620|SELD|SPS|SPS1	selenophosphate synthetase 1	protein-coding
33003	chr3	153864051	153864681	+	0	NA	intron (NM_001282054, intron 18 of 20)	intron (NM_001282054, intron 18 of 20)	-11942	NR_040373	72317	Mm.440147	NR_040373	ENSMUSG00000086438	Asb17os	2510003D18Rik	ankyrin repeat and SOCS box-containing 17, opposite strand	ncRNA
34836	chr6	136968851	136969351	+	0	NA	Intergenic	Intergenic	14578	NM_023898	78600	Mm.290622	NM_023898		Pde6h	A930033D18Rik|PDEgamma	phosphodiesterase 6H, cGMP-specific, cone, gamma	protein-coding
33568	chr1	55057581	55058081	+	0	NA	intron (NM_026424, intron 1 of 3)	RMER6A|LTR|ERVK	5061	NM_001039710	67876	Mm.281019	NM_026424	ENSMUSG00000025981	Coq10b	1500041J02Rik|1700030I21Rik|9530077A17Rik|AV002237|AW742641	coenzyme Q10 homolog B (S. cerevisiae)	protein-coding
33485	chr14	10368479	10368979	+	0	NA	intron (NM_010210, intron 4 of 8)	intron (NM_010210, intron 4 of 8)	484634	NR_030680	100042415	Mm.235938	NR_030680		Mnd1-ps	Gm3833	Mnd1 retrotransposed pseudogene	pseudo
33106	chr10	80857268	80857768	+	0	NA	intron (NM_175195, intron 1 of 14)	intron (NM_175195, intron 1 of 14)	2243	NM_175195	73218	Mm.3285	NM_175195	ENSMUSG00000035206	Sppl2b	3110056O03Rik|AW550292|PSL1	signal peptide peptidase like 2B	protein-coding
34449	chr8	61925297	61925797	+	0	NA	Intergenic	Intergenic	-2540	NM_001293783	234311	Mm.275233	NM_144928	ENSMUSG00000037921	Ddx60	9830118M07	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60	protein-coding
33779	chr8	116554959	116555459	+	0	NA	Intergenic	ORR1C1-int|LTR|ERVL-MaLR	50194	NM_029297	75465	Mm.23114	NM_029297	ENSMUSG00000034467	Dynlrb2	1700009A04Rik|DNLC2B|Dncl2b	dynein light chain roadblock-type 2	protein-coding
31871	chr9	104408113	104408791	+	0	NA	Intergenic	Intergenic	-17661	NR_035516	100316725		NR_035516	miRBase:MI0010749	Mir2136	mmu-mir-2136	microRNA 2136	ncRNA
33004	chr4	11163993	11164493	+	0	NA	intron (NM_021897, intron 1 of 3)	A-rich|Low_complexity|Low_complexity	7802	NM_021897	60599	Mm.393018	NM_021897	ENSMUSG00000028211	Trp53inp1	2700057G22Rik|SIP|SIP18|SIP27|Stinp|Teap	transformation related protein 53 inducible nuclear protein 1	protein-coding
34600	chr15	81874825	81875325	+	0	NA	intron (NM_080633, intron 1 of 17)	intron (NM_080633, intron 1 of 17)	2612	NM_080633	11429	Mm.154581	NM_080633	ENSMUSG00000022477	Aco2	Aco-2|Aco3|D10Wsu183e	aconitase 2, mitochondrial	protein-coding
31260	chr19	43605679	43606431	+	0	NA	Intergenic	Intergenic	-6270	NM_008699	18089	Mm.56994	NM_008699	ENSMUSG00000044220	Nkx2-3	Nkx-2.3|Nkx2.3|tinman	NK2 homeobox 3	protein-coding
31028	chr3	37128658	37129450	+	0	NA	Intergenic	Intergenic	-3100	NM_008366	16183	Mm.14190	NM_008366	ENSMUSG00000027720	Il2	Il-2	interleukin 2	protein-coding
34466	chr9	48390331	48390831	+	0	NA	intron (NM_172921, intron 5 of 8)	(TG)n|Simple_repeat|Simple_repeat	28540	NM_172921	244853	Mm.325522	NM_172921	ENSMUSG00000044229	Nxpe4	C130036J11|D930028F11Rik|Fam55d	neurexophilin and PC-esterase domain family, member 4	protein-coding
35419	chr2	23025149	23025649	+	0	NA	intron (NM_145994, intron 1 of 9)	intron (NM_145994, intron 1 of 9)	14842	NM_001077193	11308	Mm.205647	NM_007380	ENSMUSG00000058835	Abi1	E3B1|NAP1|Ssh3bp1	abl-interactor 1	protein-coding
32361	chr18	33089684	33090184	+	0	NA	intron (NM_009793, intron 2 of 10)	intron (NM_009793, intron 2 of 10)	123882	NM_133774	170459	Mm.127058	NM_133774		Stard4	4632419C16Rik|9030213J02Rik|AA517649|AW324468	StAR-related lipid transfer (START) domain containing 4	protein-coding
34130	chr7	37999544	38000044	+	0	NA	intron (NM_011274, intron 1 of 10)	intron (NM_011274, intron 1 of 10)	19758	NM_011274	19777	Mm.387220	NM_011274	ENSMUSG00000030421	Uri1	C80913|NNX3|Rmp	URI1, prefoldin-like chaperone	protein-coding
32097	chr5	120088439	120089075	+	0	NA	Intergenic	Intergenic	-27756	NM_028762	74111	Mm.41022	NM_028762		Rbm19	1200009A02Rik|AV302714|NPO	RNA binding motif protein 19	protein-coding
35409	chr1	80327985	80328485	+	0	NA	intron (NM_016716, intron 1 of 15)	intron (NM_016716, intron 1 of 15)	12195	NM_016716	26554	Mm.12665	NM_016716	ENSMUSG00000004364	Cul3	AI467304|AW146203|mKIAA0617	cullin 3	protein-coding
33591	chr1	191910359	191910859	+	0	NA	3' UTR (NM_009579, exon 2 of 2)	3' UTR (NM_009579, exon 2 of 2)	-3082	NR_030669	98736	Mm.379232	NM_001024489	ENSMUSG00000055833	1700034H15Rik	4930557M11Rik|BB016121	RIKEN cDNA 1700034H15 gene	ncRNA
33672	chr4	137857951	137858451	+	0	NA	Intergenic	B4A|SINE|B4	-4036	NM_199307	230857	Mm.401062	NM_199307	ENSMUSG00000057530	Ece1	AW322500|ECE-1|ECE-1a|ECE-1b|ECE-1d	endothelin converting enzyme 1	protein-coding
34393	chr5	122977171	122977671	+	0	NA	intron (NM_001003953, intron 4 of 22)	L1ME3B|LINE|L1	11112	NM_001005866	30841	Mm.86406	NM_013910	ENSMUSG00000029475	Kdm2b	Cxxc2|E430001G17|Fbl10|Fbxl10|Jhdm1b|PCCX2|mKIAA3014	lysine (K)-specific demethylase 2B	protein-coding
30919	chr1	40444850	40445616	+	0	NA	intron (NM_001294171, intron 6 of 7)	intron (NM_001294171, intron 6 of 7)	5604	NM_001025602	17082	Mm.289824	NM_010743	ENSMUSG00000026069	Il1rl1	DER4|Fit-1|Ly84|ST2L|St2|St2-rs1|T1|T1/ST2	interleukin 1 receptor-like 1	protein-coding
32399	chr2	132605898	132606398	+	0	NA	intron (NR_033469, intron 2 of 3)	intron (NR_033469, intron 2 of 3)	7952	NR_033469	767814	Mm.371752	NR_033468	ENSMUSG00000074783	AU019990	-	expressed sequence AU019990	ncRNA
35040	chr13	103912373	103912873	+	0	NA	intron (NM_001289474, intron 1 of 23)	intron (NM_001289474, intron 1 of 23)	7963	NM_001289475	59079	Mm.277354	NM_021563	ENSMUSG00000021709	Erbb2ip	1700028E05Rik|Erbin|mKIAA1225	Erbb2 interacting protein	protein-coding
32979	chr2	18179813	18180313	+	0	NA	intron (NR_045538, intron 13 of 22)	ORR1A4|LTR|ERVL-MaLR	115478	NM_001252560	17354	Mm.209175	NM_010804	ENSMUSG00000026743	Mllt10	Af10|B130021D15Rik|D630001B22Rik|mKIAA4140	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	protein-coding
34574	chr13	112004236	112004736	+	0	NA	Intergenic	Lx9|LINE|L1	-195503	NM_011945	26401	Mm.15918	NM_011945	ENSMUSG00000021754	Map3k1	MAPKKK1|MEKK1|Mekk	mitogen-activated protein kinase kinase kinase 1	protein-coding
33203	chr17	50126105	50126739	+	0	NA	intron (NM_181397, intron 2 of 9)	RMER10B|LTR|ERVL	64075	NM_181397	76438	Mm.41854	NM_181397		Rftn1	2310015N21Rik|AI853526	raftlin lipid raft linker 1	protein-coding
34063	chr3	136730132	136730632	+	0	NA	intron (NM_008913, intron 1 of 13)	intron (NM_008913, intron 1 of 13)	60316	NM_008913	19055	Mm.331389	NM_008913	ENSMUSG00000028161	Ppp3ca	2900074D19Rik|CN|Caln|Calna|CnA	protein phosphatase 3, catalytic subunit, alpha isoform	protein-coding
34337	chr3	22111407	22111907	+	0	NA	intron (NM_030732, intron 1 of 15)	intron (NM_030732, intron 1 of 15)	35005	NM_030732	81004	Mm.202966	NM_030732	ENSMUSG00000027630	Tbl1xr1	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	transducin (beta)-like 1X-linked receptor 1	protein-coding
31149	chr17	51905218	51905718	+	0	NA	intron (NR_045095, intron 1 of 2)	intron (NR_045095, intron 1 of 2)	22741	NR_045095	100504169	Mm.417731	NR_045095		Gm20098	-	predicted gene, 20098	ncRNA
32686	chr11	86809660	86810160	+	0	NA	intron (NR_106195, intron 2 of 8)	intron (NR_106195, intron 2 of 8)	-2250	NM_026191	67487	Mm.260627	NM_026191	ENSMUSG00000018425	Dhx40	2410016C14Rik|ARG147|DDX40|PAD	DEAH (Asp-Glu-Ala-His) box polypeptide 40	protein-coding
33292	chr3	104814378	104814878	+	0	NA	intron (NM_008619, intron 1 of 19)	B1F|SINE|Alu	3677	NM_001163441	17454	Mm.1597	NM_008619	ENSMUSG00000002227	Mov10	C77703|Mov-10	Moloney leukemia virus 10	protein-coding
35541	chr19	31223440	31223940	+	0	NA	intron (NM_001013833, intron 3 of 17)	intron (NM_001013833, intron 3 of 17)	-7294	NR_002849	78103	Mm.445198	NR_002849		8430431K14Rik	-	RIKEN cDNA 8430431K14 gene	ncRNA
32095	chr5	107840811	107841311	+	0	NA	intron (NM_007964, intron 2 of 17)	B1_Mur4|SINE|Alu	10899	NM_001276397	73318	Mm.441500	NM_028502		Ube2d2b	1700013N18Rik	ubiquitin-conjugating enzyme E2D 2B	protein-coding
35448	chr5	123414975	123415475	+	0	NA	intron (NM_177582, intron 1 of 8)	intron (NM_177582, intron 1 of 8)	20427	NM_133917	208104	Mm.83277	NM_133917	ENSMUSG00000038342	Mlxip	AW228700|Mir|bHLHe36	MLX interacting protein	protein-coding
32104	chr6	65517281	65517911	+	0	NA	Intergenic	Intergenic	-72802	NM_001001495	414084	Mm.117558	NM_001001495	ENSMUSG00000044162	Tnip3	9030611K07Rik|ABIN-3|LIND	TNFAIP3 interacting protein 3	protein-coding
31846	chr6	43349312	43349812	+	0	NA	intron (NM_013861, intron 8 of 8)	intron (NM_013861, intron 8 of 8)	-40008	NM_130869	18291	Mm.17715	NM_130869	ENSMUSG00000029736	Nobox	OG2|Og2x	NOBOX oogenesis homeobox	protein-coding
35294	chr10	59992442	59992942	+	0	NA	intron (NM_025514, intron 2 of 3)	intron (NM_025514, intron 2 of 3)	-10113	NM_026937	69090	Mm.155839	NM_026937	ENSMUSG00000044475	Ascc1	1810015P09Rik|AI550520|ASC1p50|CGI-18	activating signal cointegrator 1 complex subunit 1	protein-coding
30365	chr10	85162830	85163572	+	0	NA	intron (NM_007771, intron 1 of 12)	intron (NM_007771, intron 1 of 12)	21853	NM_007771	12952	Mm.26237	NM_007771	ENSMUSG00000020038	Cry1	AU020726|AU021000|Phll1	cryptochrome 1 (photolyase-like)	protein-coding
33142	chr12	80126374	80126874	+	0	NA	intron (NR_033514, intron 2 of 2)	intron (NR_033514, intron 2 of 2)	6220	NR_033514	69548	Mm.269712	NR_033514	ENSMUSG00000097729	2310015A10Rik	5330419I17Rik	RIKEN cDNA 2310015A10 gene	ncRNA
33553	chr18	89608942	89609442	+	0	NA	intron (NM_001039173, intron 1 of 7)	B4A|SINE|B4	159944	NM_001039173	623279	Mm.447164	NM_001039173		Dok6	Dok-6	docking protein 6	protein-coding
32582	chr18	34787468	34788094	+	0	NA	intron (NM_001081256, intron 1 of 23)	B2_Mm2|SINE|B2	10773	NM_001081256	277250	Mm.277906	NM_029518	ENSMUSG00000038773	Kdm3b	5830462I21Rik|JHDM2B|Jmjd1b|mKIAA1082	KDM3B lysine (K)-specific demethylase 3B	protein-coding
33629	chr2	144239538	144240038	+	0	NA	Intergenic	Intergenic	26414	NR_030762	100313519	Mm.453538	NR_030762		Snord17	MBI-43	small nucleolar RNA, C/D box 17	snoRNA
33212	chr18	38408945	38409445	+	0	NA	Intergenic	Intergenic	-9780	NM_022996	65113	Mm.102496	NM_022996	ENSMUSG00000024425	Ndfip1	0610010M22Rik|N4wbp5	Nedd4 family interacting protein 1	protein-coding
35247	chr5	144733464	144733964	+	0	NA	Intergenic	Intergenic	27864	NM_177735	243339	Mm.126793	NM_177735	ENSMUSG00000043388	Tmem130	BC067004|C130036G08	transmembrane protein 130	protein-coding
32274	chr7	120695646	120696146	+	0	NA	intron (NM_001164580, intron 1 of 2)	(CCCCCA)n|Simple_repeat|Simple_repeat	18276	NM_001164580	233812	Mm.276479	NM_001164580	ENSMUSG00000046096	BC030336	-	cDNA sequence BC030336	protein-coding
33286	chr3	88540326	88540826	+	0	NA	3' UTR (NM_001029890, exon 2 of 2)	3' UTR (NM_001029890, exon 2 of 2)	-4194	NR_035434	100316808		NR_035434	miRBase:MI0008315	Mir1905	Mirn1905|mmu-mir-1905	microRNA 1905	ncRNA
30736	chr9	54676384	54676884	+	0	NA	Intergenic	Intergenic	-14749	NM_053178	94180	Mm.20592	NM_053178	ENSMUSG00000032281	Acsbg1	BG1|Bgm|E230019G03Rik|Lpd|R75185|mKIAA0631	acyl-CoA synthetase bubblegum family member 1	protein-coding
