PeakID (cmd=annotatePeaks.pl enhancers_only_0_1um_pcc.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
27491	chr4	115052475	115052975	+	0	NA	Intergenic	Intergenic	-3701	NM_011527	21349	Mm.439685	NM_011527	ENSMUSG00000028717	Tal1	SCL/tal-1|Scl|bHLHa17|tal-1	T cell acute lymphocytic leukemia 1	protein-coding
28281	chr10	20123269	20123769	+	0	NA	intron (NM_008580, intron 23 of 29)	intron (NM_008580, intron 23 of 29)	-25401	NM_001198635	17761	Mm.20928	NM_008635	ENSMUSG00000019996	Map7	E-MAP-115|MAP-7|Mtap7|R75000|mshi|mste|ste	microtubule-associated protein 7	protein-coding
26571	chr16	93018042	93018542	+	0	NA	Intergenic	Intergenic	-192218	NM_001111021	12394	Mm.4081	NM_009821	ENSMUSG00000022952	Runx1	AML1|CBF-alpha-2|Cbfa2|Pebp2a2|Pebpa2b	runt related transcription factor 1	protein-coding
26579	chr17	34368799	34369299	+	0	NA	3' UTR (NM_079835, exon 9 of 9)	3' UTR (NM_079835, exon 9 of 9)	-8083	NM_001111094	100038862	Mm.440426	NM_201405	ENSMUSG00000062638	Btnl1	Btnl3|Gm316|Gm33	butyrophilin-like 1	protein-coding
28633	chr16	29440705	29441205	+	0	NA	intron (NM_172613, intron 16 of 29)	intron (NM_172613, intron 16 of 29)	-62223	NM_001284375	268878	Mm.9823	NM_175650	ENSMUSG00000048939	Atp13a5	C630015F21Rik	ATPase type 13A5	protein-coding
27341	chr15	80715494	80715994	+	0	NA	intron (NM_144812, intron 1 of 24)	intron (NM_144812, intron 1 of 24)	4431	NM_144812	213988	Mm.131328	NM_144812	ENSMUSG00000047888	Tnrc6b	2700090M07Rik|A730065C02Rik|AI848765|D230019K20Rik	trinucleotide repeat containing 6b	protein-coding
26914	chr8	114539354	114540052	+	0	NA	intron (NM_019573, intron 5 of 8)	intron (NM_019573, intron 5 of 8)	100051	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
27450	chr2	167486583	167487083	+	0	NA	intron (NM_170756, intron 1 of 2)	intron (NM_170756, intron 1 of 2)	-5812	NM_030743	81018	Mm.22225	NM_030743	ENSMUSG00000006418	Rnf114	1110008J21Rik|AI225886|AW549494|Zfp228|Zfp313|Znf228	ring finger protein 114	protein-coding
28703	chr2	174906093	174906593	+	0	NA	Intergenic	Intergenic	145585	NM_007903	13616	Mm.9478	NM_007903	ENSMUSG00000027524	Edn3	114CH19|ET-3|PPET3|ls|tmgc48	endothelin 3	protein-coding
26564	chr16	31683774	31684274	+	0	NA	intron (NM_001252434, intron 3 of 24)	intron (NM_001252434, intron 3 of 24)	20089	NM_001252434	13383	Mm.382	NM_007862	ENSMUSG00000022770	Dlg1	B130052P05Rik|Dlgh1|E-dlg/SAP97|SAP-97|SAP97|mKIAA4187	discs, large homolog 1 (Drosophila)	protein-coding
24902	chr1	193344651	193345151	+	0	NA	Intergenic	ORR1C2|LTR|ERVL-MaLR	25381	NM_144817	215303	Mm.40329	NM_144817	ENSMUSG00000016179	Camk1g	CLICK-III|CaMKIgamma	calcium/calmodulin-dependent protein kinase I gamma	protein-coding
26684	chr7	102201164	102201664	+	0	NA	intron (NM_001287164, intron 1 of 32)	intron (NM_001287164, intron 1 of 32)	8453	NM_001287167	269966	Mm.439800	NM_022979	ENSMUSG00000063550	Nup98	4732457F17|AI849286|Nup96	nucleoporin 98	protein-coding
27672	chr11	117275723	117276405	+	0	NA	intron (NM_001113487, intron 1 of 10)	intron (NM_001113487, intron 1 of 10)	9818	NM_001113487	53860	Mm.38450	NM_017380	ENSMUSG00000059248	Sept9	MSF1|Msf|PNUTL4|Sint1	septin 9	protein-coding
27775	chr17	56590669	56591169	+	0	NA	intron (NM_001163300, intron 2 of 20)	intron (NM_001163300, intron 2 of 20)	5937	NM_001163300	224903	Mm.255066	NM_001163300	ENSMUSG00000071054	Safb	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	scaffold attachment factor B	protein-coding
26662	chr6	32328310	32328810	+	0	NA	intron (NM_175750, intron 3 of 31)	intron (NM_175750, intron 3 of 31)	-182581	NR_040277	319849	Mm.440860	NR_040277	ENSMUSG00000086763	Plxna4os1	B230378P21Rik	plexin A4, opposite strand 1	ncRNA
27207	chr7	83641329	83641829	+	0	NA	3' UTR (NM_023377, exon 6 of 6)	3' UTR (NM_023377, exon 6 of 6)	9562	NM_023377	170460	Mm.357953	NM_023377	ENSMUSG00000046027	Stard5	2310058G22Rik|AI607880|D7Ertd152e	StAR-related lipid transfer (START) domain containing 5	protein-coding
26600	chrX	106032287	106032913	+	0	NA	intron (NM_001109757, intron 1 of 22)	B1F|SINE|Alu	5376	NM_009726	11977	Mm.254297	NM_009726		Atp7a	MNK	ATPase, Cu++ transporting, alpha polypeptide	protein-coding
27401	chr1	85898928	85899428	+	0	NA	intron (NM_022417, intron 1 of 5)	intron (NM_022417, intron 1 of 5)	4668	NM_022417	64294	Mm.29870	NM_022417	ENSMUSG00000026223	Itm2c	3110038L02Rik|BRI3|Bricd2c|E25|E25C|ITM3	integral membrane protein 2C	protein-coding
26473	chr9	115583767	115584267	+	0	NA	Intergenic	B1_Mus2|SINE|Alu	247856	NR_040730	73856	Mm.399156	NR_040730		4930428G15Rik	-	RIKEN cDNA 4930428G15 gene	ncRNA
25094	chr9	114451434	114451934	+	0	NA	intron (NR_108101, intron 10 of 14)	intron (NR_108101, intron 10 of 14)	44860	NM_009916	12773	Mm.1337	NM_009916	ENSMUSG00000047898	Ccr4	C-C CKR-4|CHEMR1|Cmkbr4|LESTR|Sdf1r	chemokine (C-C motif) receptor 4	protein-coding
26639	chr3	105538894	105539394	+	0	NA	intron (NM_001039347, intron 2 of 6)	intron (NM_001039347, intron 2 of 6)	80328	NM_019931	56543	Mm.44530	NM_019931	ENSMUSG00000040896	Kcnd3	AW045978|Kncd3|Kv4.3	potassium voltage-gated channel, Shal-related family, member 3	protein-coding
24944	chr7	123135564	123136190	+	0	NA	intron (NM_144925, intron 2 of 23)	intron (NM_144925, intron 2 of 23)	11992	NM_144925	233833	Mm.102305	NM_144925	ENSMUSG00000052707	Tnrc6a	2010321I05Rik|3110054G10Rik|AW557223|CAGH26|D130023A07Rik|GW182|Tnrc6	trinucleotide repeat containing 6a	protein-coding
25160	chr1	64018886	64019386	+	0	NA	Intergenic	Intergenic	23365	NR_105864	102466760		NR_105864		Mir6899	mmu-mir-6899	microRNA mir-6899	ncRNA
25885	chr11	57660714	57661214	+	0	NA	intron (NM_134189, intron 1 of 11)	intron (NM_134189, intron 1 of 11)	15522	NM_134189	171212	Mm.271670	NM_134189	ENSMUSG00000020520	Galnt10	AU018154|C330012K04Rik|GalNAc-T10|GalNAc-T9|Galnt9|ppGaNTase	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
25744	chr15	61539106	61539606	+	0	NA	Intergenic	Intergenic	235095	NR_040350	432956	Mm.404918	NR_040350		D030024E09Rik	-	RIKEN cDNA D030024E09 gene	ncRNA
25205	chr9	63507406	63507906	+	0	NA	intron (NM_030068, intron 13 of 21)	intron (NM_030068, intron 13 of 21)	94792	NM_030068	78250	Mm.444612	NM_030068	ENSMUSG00000037801	Iqch	4921504K03Rik	IQ motif containing H	protein-coding
28887	chr16	48789404	48789904	+	0	NA	Intergenic	L1_Mus1|LINE|L1	-17698	NM_198297	77647	Mm.167298	NM_198297	ENSMUSG00000030775	Trat1	C030046M14Rik|Tcrim|Trim	T cell receptor associated transmembrane adaptor 1	protein-coding
26784	chr18	83937946	83938598	+	0	NA	Intergenic	Intergenic	148290	NM_001081300	110796	Mm.102136	NM_001081300	ENSMUSG00000046982	Tshz1	5730407I04Rik|D18Bwg1409e|Mtsh1|NY-CO-33|Sdccag33|Tsh1|mKIAA4206|teashirt1	teashirt zinc finger family member 1	protein-coding
26380	chr4	95232491	95232991	+	0	NA	Intergenic	Intergenic	-180519	NM_010591	16476	Mm.275071	NM_010591	ENSMUSG00000052684	Jun	AP-1|Junc|c-jun	jun proto-oncogene	protein-coding
28230	chr7	82244461	82244961	+	0	NA	Intergenic	Intergenic	-15197	NM_017400	20408	Mm.736	NM_017400		Sh3gl3	EEN-B2|SH3P13|Sh3d2c|Sh3d2c2	SH3-domain GRB2-like 3	protein-coding
24172	chr2	164540942	164541568	+	0	NA	Intergenic	Intergenic	-21461	NM_026323	67701	Mm.27289	NM_026323	ENSMUSG00000017723	Wfdc2	1600023A02Rik|HE4|WAP5	WAP four-disulfide core domain 2	protein-coding
28215	chr6	128350072	128350572	+	0	NA	intron (NM_011657, intron 1 of 10)	B2_Mm2|SINE|B2	5529	NM_011657	22158	Mm.291783	NM_011657	ENSMUSG00000001521	Tulp3	2310022L06Rik|AI316887	tubby-like protein 3	protein-coding
28816	chr10	91241649	91242149	+	0	NA	Intergenic	Intergenic	-70280	NM_001080131	21917	Mm.159684	NM_011605	ENSMUSG00000019961	Tmpo	5630400D24Rik|AI195756|AI606875|AW214352|AW547477|LAP2|TP	thymopoietin	protein-coding
24066	chr17	28487886	28488548	+	0	NA	Intergenic	Intergenic	-2068	NM_010220	14229	Mm.276405	NM_010220	ENSMUSG00000024222	Fkbp5	D17Ertd592e|Dit1|FKBP-5|FKBP51	FK506 binding protein 5	protein-coding
25472	chr6	128032176	128032676	+	0	NA	intron (NM_175414, intron 3 of 8)	intron (NM_175414, intron 3 of 8)	111152	NM_175414	109246	Mm.21814	NM_175414	ENSMUSG00000030352	Tspan9	6720474K14Rik|9430079M16Rik|AU018597	tetraspanin 9	protein-coding
23645	chr9	35546529	35547029	+	0	NA	intron (NM_013932, intron 9 of 11)	intron (NM_013932, intron 9 of 11)	11691	NM_013932	30959	Mm.291723	NM_013932	ENSMUSG00000032101	Ddx25	AW047046|GRTH	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	protein-coding
25916	chr16	22889460	22890106	+	0	NA	intron (NR_110508, intron 1 of 3)	intron (NR_110508, intron 1 of 3)	-2232	NM_001276450	11625	Mm.197554	NM_013465	ENSMUSG00000022868	Ahsg	-	alpha-2-HS-glycoprotein	protein-coding
26213	chr8	72265353	72266015	+	0	NA	Intergenic	(C)n|Simple_repeat|Simple_repeat	25552	NM_007456	11767	Mm.290086	NM_007456	ENSMUSG00000003033	Ap1m1	AA408894|AP47|Adtm1A|Cltnm|[m]1A|mu1A	adaptor-related protein complex AP-1, mu subunit 1	protein-coding
26783	chr18	76257497	76257997	+	0	NA	intron (NM_010754, intron 1 of 10)	intron (NM_010754, intron 1 of 10)	-3374	NM_001252481	17126	Mm.152699	NM_010754		Smad2	7120426M23Rik|Madh2|Madr2|Smad-2|mMad2	SMAD family member 2	protein-coding
27045	chr18	65599564	65600064	+	0	NA	intron (NR_106164, intron 3 of 5)	intron (NR_106164, intron 3 of 5)	19584	NM_207255	328977	Mm.286232	NM_207255	ENSMUSG00000042439	Zfp532	C530030I18Rik|Znf532|mKIAA1629	zinc finger protein 532	protein-coding
25291	chr3	123084241	123084867	+	0	NA	intron (NM_080451, intron 4 of 4)	(TG)n|Simple_repeat|Simple_repeat	-49567	NM_021503	59006	Mm.141157	NM_021503	ENSMUSG00000028116	Myoz2	1110012I24Rik|Fatz-2|Myozl2	myozenin 2	protein-coding
28869	chr14	53736868	53737368	+	0	NA	Intergenic	Intergenic	71178	NM_001205242	100568452	Mm.213248	NM_001205242		A430107P09Rik	Va10	RIKEN cDNA A430107P09 gene	protein-coding
28915	chr18	80412658	80413158	+	0	NA	intron (NM_026295, intron 12 of 12)	intron (NM_026295, intron 12 of 12)	-48654	NM_001190373	240444	Mm.279568	NM_001190373	ENSMUSG00000059852	Kcng2	AA591524	potassium voltage-gated channel, subfamily G, member 2	protein-coding
27639	chr10	68472940	68473576	+	0	NA	intron (NM_028491, intron 5 of 7)	intron (NM_028491, intron 5 of 7)	68617	NM_028491	73287	Mm.141830	NM_028491	ENSMUSG00000019945	1700040L02Rik	-	RIKEN cDNA 1700040L02 gene	protein-coding
27634	chr10	42615405	42615905	+	0	NA	Intergenic	Intergenic	-32067	NM_152229	21907	Mm.287100	NM_152229	ENSMUSG00000019803	Nr2e1	Mtl1|Mtll|TLL|Tlx|XTLL|fierce|frc|tailless	nuclear receptor subfamily 2, group E, member 1	protein-coding
25005	chr15	86290033	86290659	+	0	NA	intron (NM_145476, intron 4 of 12)	L1MB8|LINE|L1	75887	NM_145476	223754	Mm.28904	NM_145476	ENSMUSG00000051864	Tbc1d22a	BC023106|D15Ertd781e	TBC1 domain family, member 22a	protein-coding
25529	chr12	80465393	80466059	+	0	NA	intron (NM_133798, intron 1 of 8)	Lx6|LINE|L1	2631	NM_133798	97827	Mm.206631	NM_133798	ENSMUSG00000032705	Exd2	4930539P14Rik|C85658|Exdl2	exonuclease 3'-5' domain containing 2	protein-coding
27443	chr2	152102084	152102584	+	0	NA	Intergenic	Intergenic	-3190	NM_029688	76650	Mm.218639	NM_029688	ENSMUSG00000032802	Srxn1	1700127B04Rik|AI854065|AW488194|Npn3|Srx|Srx1|TX01	sulfiredoxin 1 homolog (S. cerevisiae)	protein-coding
27576	chr7	128529815	128530315	+	0	NA	intron (NM_013863, intron 1 of 3)	intron (NM_013863, intron 1 of 3)	6482	NM_013863	29810	Mm.84073	NM_013863	ENSMUSG00000030847	Bag3	AA407278|Bis|mg638	BCL2-associated athanogene 3	protein-coding
23711	chr6	134174538	134175268	+	0	NA	intron (NM_007961, intron 2 of 7)	intron (NM_007961, intron 2 of 7)	139196	NM_007961	14011	Mm.269995	NM_007961	ENSMUSG00000030199	Etv6	AW123102|AW557856|Tel	ets variant 6	protein-coding
24540	chr9	45057878	45058508	+	0	NA	intron (NM_001093749, intron 1 of 5)	intron (NM_001093749, intron 1 of 5)	3012	NM_001093749	319742	Mm.49611	NM_176993	ENSMUSG00000070305	Mpzl3	5430427F17Rik|A530065I17Rik|rc	myelin protein zero-like 3	protein-coding
25978	chr3	21914268	21914904	+	0	NA	Intergenic	Lx6|LINE|L1	-162066	NM_030732	81004	Mm.202966	NM_030732	ENSMUSG00000027630	Tbl1xr1	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	transducin (beta)-like 1X-linked receptor 1	protein-coding
26471	chr9	111059018	111059518	+	0	NA	Intergenic	ID4_|SINE|ID	-1998	NM_017466	54199	Mm.7336	NM_017466	ENSMUSG00000043953	Ccrl2	1810047I05Rik|Ackr5|CCR11|Cmkbr1l2|E01|L-CCR	chemokine (C-C motif) receptor-like 2	protein-coding
27984	chr11	113261947	113262447	+	0	NA	intron (NM_027216, intron 7 of 9)	intron (NM_027216, intron 7 of 9)	-52528	NR_040276	319871	Mm.383743	NR_040276	ENSMUSG00000085421	4732490B19Rik	-	RIKEN cDNA 4732490B19 gene	ncRNA
27203	chr7	58682244	58682744	+	0	NA	intron (NM_009728, intron 1 of 20)	intron (NM_009728, intron 1 of 20)	24292	NM_009728	11982	Mm.135129	NM_009728	ENSMUSG00000025324	Atp10a	Atp10c|pfatp	ATPase, class V, type 10A	protein-coding
26961	chr11	54598042	54598542	+	0	NA	intron (NM_001252497, intron 1 of 11)	intron (NM_001252497, intron 1 of 11)	2146	NM_001252497	192786	Mm.254404	NM_175258	ENSMUSG00000037533	Rapgef6	A530068K01|AI844632|BB085664|C030018K18Rik|PDZ-GEF2|Pdzgef2|RA-GEF-2|Ragef2|mKIAA4052	Rap guanine nucleotide exchange factor (GEF) 6	protein-coding
28261	chr9	59544714	59545214	+	0	NA	intron (NM_010421, intron 1 of 13)	intron (NM_010421, intron 1 of 13)	5297	NM_010421	15211	Mm.2284	NM_010421	ENSMUSG00000025232	Hexa	Hex-1	hexosaminidase A	protein-coding
27537	chr5	150654542	150655042	+	0	NA	intron (NM_201369, intron 2 of 5)	intron (NM_201369, intron 2 of 5)	10820	NM_201369	381695	Mm.246934	NM_201369	ENSMUSG00000029655	N4bp2l2	2700092H06Rik|zag1	NEDD4 binding protein 2-like 2	protein-coding
28531	chr6	103474194	103474694	+	0	NA	Intergenic	Intergenic	-36432	NM_007697	12661	Mm.251288	NM_007697	ENSMUSG00000030077	Chl1	A530023M13Rik|AI465420|CALL|LICAM2	cell adhesion molecule with homology to L1CAM	protein-coding
27483	chr4	32369010	32369510	+	0	NA	Intergenic	Intergenic	-48175	NM_001109661	12014	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding
23597	chr14	70279162	70279910	+	0	NA	intron (NM_008915, intron 1 of 13)	intron (NM_008915, intron 1 of 13)	9913	NM_008915	19057	Mm.439683	NM_008915	ENSMUSG00000022092	Ppp3cc	Calnc	protein phosphatase 3, catalytic subunit, gamma isoform	protein-coding
28897	chr17	31527665	31528165	+	0	NA	exon (NM_030087, exon 3 of 4)	exon (NM_030087, exon 3 of 4)	7800	NM_001083891	78330	Mm.28349	NM_030087	ENSMUSG00000024038	Ndufv3	1500032D16Rik	NADH dehydrogenase (ubiquinone) flavoprotein 3	protein-coding
27824	chr1	36298642	36299142	+	0	NA	Intergenic	Intergenic	-8841	NR_033310	214855	Mm.34316	NM_145996	ENSMUSG00000037447	Arid5a	D430024K22Rik|Mrf1	AT rich interactive domain 5A (MRF1-like)	protein-coding
27370	chr18	5269866	5270366	+	0	NA	intron (NM_178722, intron 2 of 4)	intron (NM_178722, intron 2 of 4)	64323	NM_178722	240186	Mm.118257	NM_178722	ENSMUSG00000050945	Zfp438	9430031G09|9430091M14Rik|B830013J05Rik	zinc finger protein 438	protein-coding
27394	chr1	36240183	36240683	+	0	NA	intron (NM_198899, intron 1 of 40)	intron (NM_198899, intron 1 of 40)	3869	NM_198899	320011	Mm.261022	NM_198899	ENSMUSG00000037470	Uggt1	0910001L17Rik|A930007H10Rik|AA589501|AI414429|AI448372|C820010P03Rik|GT|UGT1|Ugcgl1	UDP-glucose glycoprotein glucosyltransferase 1	protein-coding
25872	chr10	12957399	12957899	+	0	NA	intron (NM_029075, intron 1 of 2)	intron (NM_029075, intron 1 of 2)	6610	NM_001163591	74732	Mm.248648	NM_029075	ENSMUSG00000039232	Stx11	5830405C08Rik	syntaxin 11	protein-coding
26391	chr4	139556128	139556628	+	0	NA	intron (NM_183148, intron 4 of 11)	intron (NM_183148, intron 4 of 11)	-18342	NM_001205173	212632	Mm.30464	NM_183148	ENSMUSG00000041025	Iffo2	C79267	intermediate filament family orphan 2	protein-coding
25698	chr11	11567708	11568208	+	0	NA	Intergenic	Intergenic	78692	NM_028669	73862	Mm.159077	NM_028669	ENSMUSG00000020191	4930415F15Rik	-	RIKEN cDNA 4930415F15 gene	protein-coding
26155	chr3	115931259	115931959	+	0	NA	Intergenic	L1M4a1|LINE|L1	43426	NM_027193	69740	Mm.5915	NM_027193	ENSMUSG00000033554	Dph5	2410012M04Rik|AU045680|C80186	DPH5 homolog (S. cerevisiae)	protein-coding
25567	chr1	21335929	21336429	+	0	NA	Intergenic	Intergenic	-13498	NM_183322	368204	Mm.26006	NM_183322	ENSMUSG00000067750	Khdc1a	AU014713|C88118|Ndg1	KH domain containing 1A	protein-coding
29002	chr11	107510786	107511286	+	0	NA	Intergenic	Intergenic	31508	NM_025894	66997	Mm.491171	NM_025894	ENSMUSG00000020720	Psmd12	1500002F15Rik|AI480719|P55	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	protein-coding
26547	chr15	63657023	63657523	+	0	NA	Intergenic	Intergenic	151466	NM_031378	83492	Mm.335619	NM_031378	ENSMUSG00000079025	Gsdmc	Gsdmc1|Mlze	gasdermin C	protein-coding
26531	chr13	37312191	37312691	+	0	NA	Intergenic	Intergenic	-32904	NM_010745	17084	Mm.2639	NM_010745	ENSMUSG00000021423	Ly86	MD-1|MD1	lymphocyte antigen 86	protein-coding
26264	chr12	78976131	78976631	+	0	NA	intron (NM_001170401, intron 2 of 2)	intron (NM_001170401, intron 2 of 2)	7097	NM_001170401	268567	Mm.341747	NM_178745	ENSMUSG00000046157	Tmem229b	6330442E10Rik|9830138K24|AU019070	transmembrane protein 229B	protein-coding
27486	chr4	62456711	62457211	+	0	NA	intron (NM_001290522, intron 9 of 10)	intron (NM_001290522, intron 9 of 10)	13934	NM_023597	71354	Mm.155573	NM_023597	ENSMUSG00000028391	Wdr31	5430402I10Rik|spWD	WD repeat domain 31	protein-coding
27868	chr4	6057693	6058327	+	0	NA	Intergenic	Intergenic	-133095	NM_026534	68053	Mm.404043	NM_026534		Ubxn2b	3110003A22Rik|6430407D20Rik|AI451665|p37	UBX domain protein 2B	protein-coding
24798	chr1	80719950	80720450	+	0	NA	intron (NM_175291, intron 1 of 55)	Charlie22a|DNA|hAT-Charlie	38353	NM_175291	210293	Mm.133473	NM_175291	ENSMUSG00000038608	Dock10	9330153B10Rik|A630054M16Rik|Jr4|Jr5|R75174|ZIZ3|Zizimin3|mKIAA0694	dedicator of cytokinesis 10	protein-coding
28859	chr13	53309846	53310346	+	0	NA	Intergenic	Intergenic	-23987	NM_013846	26564	Mm.342774	NM_013846	ENSMUSG00000021464	Ror2	Ntrkr2|mRor2	receptor tyrosine kinase-like orphan receptor 2	protein-coding
27155	chr4	149400644	149401144	+	0	NA	intron (NM_022022, intron 1 of 26)	intron (NM_022022, intron 1 of 26)	25737	NM_022022	63958	Mm.415260	NM_022022	ENSMUSG00000028960	Ube4b	4930551I19Rik|4933406G05Rik|AU014668|D4Bwg0973e|UFD2|UFD2a|Ufd2p|mKIAA0684	ubiquitination factor E4B	protein-coding
24818	chr4	136463666	136464166	+	0	NA	Intergenic	Intergenic	-5845	NM_024452	269593	Mm.485824	NM_024452	ENSMUSG00000001089	Luzp1	2700072H04Rik|AI266952|Luzp|mFLJ00226	leucine zipper protein 1	protein-coding
26685	chr7	117098913	117099655	+	0	NA	Intergenic	Intergenic	-281695	NM_175645	233781	Mm.461427	NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding
27700	chr13	76578940	76579440	+	0	NA	intron (NM_030174, intron 1 of 20)	RLTR17B_Mm|LTR|ERVK	194229	NM_030174	78771	Mm.316249	NM_030174		Mctp1	2810465F10Rik	multiple C2 domains, transmembrane 1	protein-coding
26292	chr16	57319066	57319566	+	0	NA	intron (NM_025599, intron 2 of 9)	intron (NM_025599, intron 2 of 9)	-26465	NM_027651	71027	Mm.158563	NM_027651	ENSMUSG00000022753	Tmem30c	4933401B01Rik|4933409A18Rik|Cdc50c	transmembrane protein 30C	protein-coding
26529	chr13	12679874	12680624	+	0	NA	Intergenic	Intergenic	-29854	NR_003568	664862	Mm.415635	NR_003568		Gpr137b-ps	2310041G17Rik|ENSMUSG00000075118	G protein-coupled receptor 137B, pseudogene	pseudo
25140	chr16	58497905	58498405	+	0	NA	intron (NM_018784, intron 2 of 10)	intron (NM_018784, intron 2 of 10)	25157	NM_018784	54613	Mm.212742	NM_018784	ENSMUSG00000022747	St3gal6	1700023B24Rik|AI930218|AW552396|Siat10|St3galVI	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	protein-coding
28573	chr10	80350229	80350729	+	0	NA	intron (NR_038088, intron 1 of 4)	intron (NR_038088, intron 1 of 4)	-2031	NR_104340	66548	Mm.71891	NM_025629		Adamtsl5	2010109H09Rik|Thsd6	ADAMTS-like 5	protein-coding
28441	chr19	30052787	30053287	+	0	NA	intron (NM_144873, intron 2 of 15)	intron (NM_144873, intron 2 of 15)	22524	NM_144873	109113	Mm.313364	NM_144873	ENSMUSG00000024817	Uhrf2	2310065A22Rik|AI426270|AW214556|D130071B19Rik|Nirf	ubiquitin-like, containing PHD and RING finger domains 2	protein-coding
25713	chr12	33061115	33061615	+	0	NA	intron (NM_001024478, intron 7 of 19)	intron (NM_001024478, intron 7 of 19)	31510	NM_001024478	68764	Mm.60083	NM_001024478	ENSMUSG00000035860	Cdhr3	1110049B09Rik|BB172694|Cdh28	cadherin-related family member 3	protein-coding
25035	chr1	184064035	184064535	+	0	NA	intron (NM_022019, intron 2 of 3)	intron (NM_022019, intron 2 of 3)	29824	NM_022019	63953	Mm.404024	NM_022019	ENSMUSG00000039384	Dusp10	2610306G15Rik|AI158871|MKP-5|MKP5	dual specificity phosphatase 10	protein-coding
