PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr6-94814	chr6	99050094	99058736	+	234.3	23.93	intron (NM_053202, intron 5 of 18)	intron (NM_053202, intron 5 of 18)	-26117.0	NM_001197322	108655.0	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding	197.06	384.95	144.5
chr13-10010	chr13	30789570	30795950	+	233.1	38.383	Intergenic	Intergenic	43502.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	198.61	359.12	151.42
chr11-3458	chr11	79126309	79133527	+	229.1	22.943	intron (NM_013571, intron 1 of 17)	intron (NM_013571, intron 1 of 17)	16436.0	NM_013571	16706.0	Mm.4745	NM_013571	ENSMUSG00000018334	Ksr1	AW492498|B-KSR1|D11Bhm183e|D11Bhm184e|Ksr|RSU2|hb	kinase suppressor of ras 1	protein-coding	188.81	311.54	155.19
chr8-7137	chr8	46938814	46944262	+	227.6	41.09	Intergenic	LTR81B|LTR|Gypsy	-45387.0	NM_177304	320981.0	Mm.211429	NM_177304	ENSMUSG00000038173	Enpp6	4833421B01Rik|B830047L21Rik|D8Ertd514e|E-NPP 6|Npp6	ectonucleotide pyrophosphatase/phosphodiesterase 6	protein-coding	208.74	322.3	156.86
chr11-18472	chr11	34007435	34012273	+	223.2	99.81	Intergenic	Intergenic	-16661.0	NM_001190886	70357.0	Mm.252514	NM_027398	ENSMUSG00000053519	Kcnip1	KCHIP1|Kchip1.2	Kv channel-interacting protein 1	protein-coding	207.71	310.25	144.71
chr12-4225	chr12	118372742	118379874	+	222.0	73.597	Intergenic	Intergenic	-74868.0	NM_001166385	20688.0	Mm.34699	NM_009239	ENSMUSG00000025323	Sp4	5730497N03Rik|HF-1b|HF1-b	trans-acting transcription factor 4	protein-coding	216.82	304.43	152.04
chr6-2848	chr6	134364781	134369679	+	216.1	82.53299999999999	Intergenic	(A)n|Simple_repeat|Simple_repeat	-29099.0	NM_025778	66813.0	Mm.474472	NM_025778	ENSMUSG00000030200	Bcl2l14	4930452K23Rik|4933405K19Rik|9030625M01Rik|AI429211|Bclg	BCL2-like 14 (apoptosis facilitator)	protein-coding	195.86	301.2	135.08
chr9-7229	chr9	107302715	107310009	+	215.2	21.523000000000003	Intergenic	Intergenic	9673.0	NM_009895	12700.0	Mm.4592	NM_009895	0	Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding	167.85	363.21	148.48
chr6-13064	chr6	114903125	114909325	+	212.5	51.34	intron (NM_177683, intron 1 of 4)	intron (NM_177683, intron 1 of 4)	15527.0	NM_177683	232334.0	Mm.268357	NM_177683	0	Vgll4	BC048841|VGL-4	vestigial like 4 (Drosophila)	protein-coding	169.74	347.92	127.54
chr17-16115	chr17	51825895	51832597	+	209.8	22.35	intron (NM_001163632, intron 1 of 10)	intron (NM_001163632, intron 1 of 10)	-2658.0	NM_001163631	20230.0	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	186.24	309.82	141.99
chr1-14537	chr1	38661944	38666432	+	208.1	57.376999999999995	Intergenic	Intergenic	-36944.0	NM_001290814	16764.0	Mm.336679	NM_010678	ENSMUSG00000037138	Aff3	3222402O04Rik|A730046J16|LAF-4|Laf4	AF4/FMR2 family, member 3	protein-coding	195.0	291.73	132.99
chr13-17407	chr13	30829070	30836284	+	206.6	34.29	intron (NM_025588, intron 23 of 27)	intron (NM_025588, intron 23 of 27)	83419.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	162.53	364.07	111.42
chr2-16628	chr2	29644714	29651880	+	204.7	25.31	intron (NM_001039086, intron 1 of 25)	intron (NM_001039086, intron 1 of 25)	28577.0	NM_001039086	107746.0	Mm.298274	NM_054050	ENSMUSG00000039844	Rapgef1	4932418O06Rik|C3G|Grf2	Rap guanine nucleotide exchange factor (GEF) 1	protein-coding	174.9	300.13	147.86
chr2-37027	chr2	153234347	153241847	+	204.2	44.893	intron (NM_018807, intron 1 of 2)	intron (NM_018807, intron 1 of 2)	3261.0	NM_018807	54711.0	Mm.103199	NM_018807	ENSMUSG00000051413	Plagl2	AU018672|AW552839|mKIAA0198	pleiomorphic adenoma gene-like 2	protein-coding	135.73	330.91	130.05
chr2-124266	chr2	13555870	13561508	+	201.0	53.257	Intergenic	Intergenic	-14025.0	NM_010067	13434.0	Mm.6979	NM_010067	0	Trdmt1	Dnmt2|Rnmt2	tRNA aspartic acid methyltransferase 1	protein-coding	191.74	283.33	128.59
chr16-31642	chr16	49933774	49938888	+	199.7	44.793	Intergenic	Intergenic	-44129.0	NR_045001	628951.0	Mm.428032	NR_045001	0	Gm6936	-	predicted gene 6936	ncRNA	157.37	283.55	121.89
chr15-11239	chr15	80587115	80592569	+	195.5	27.546999999999997	intron (NM_001289442, intron 1 of 7)	intron (NM_001289442, intron 1 of 7)	17245.0	NM_001289442	17444.0	Mm.12947	NM_010815	ENSMUSG00000042351	Grap2	GRAP-2|GRB2L|GRBLG|GRID|Gads|GrbX|Grf40|GrpL|Mona|P38	GRB2-related adaptor protein 2	protein-coding	197.23	262.23	131.1
chr2-5690	chr2	73466773	73472359	+	194.2	23.833000000000002	intron (NM_153138, intron 1 of 7)	intron (NM_153138, intron 1 of 7)	-15677.0	NM_001289722	215280.0	Mm.223504	NM_153138	ENSMUSG00000075284	Wipf1	AI115543|D2Ertd120e|WIP|Waspip	WAS/WASL interacting protein family, member 1	protein-coding	149.64	285.7	125.45
chr1-24074	chr1	165800679	165807211	+	193.2	39.91	intron (NM_031162, intron 1 of 7)	intron (NM_031162, intron 1 of 7)	15264.0	NM_001113391	12503.0	Mm.217308	NM_031162	ENSMUSG00000005763	Cd247	4930549J05Rik|A430104F18Rik|AW552088|Cd3|Cd3-eta|Cd3-zeta|Cd3h|Cd3z|Cd3zeta|T3z|Tcrk|Tcrz	CD247 antigen	protein-coding	155.31	297.76	137.38
chr9-1679	chr9	61665990	61670648	+	192.3	31.35	Intergenic	Intergenic	246191.0	NM_018853	56040.0	Mm.3158	NM_018853	ENSMUSG00000007892	Rplp1	2410042H16Rik|Arpp1|C430017H15Rik	ribosomal protein, large, P1	protein-coding	180.91	273.0	126.08
chr17-17699	chr17	84417709	84424367	+	191.7	45.473	intron (NM_183021, intron 21 of 37)	intron (NM_183021, intron 21 of 37)	45170.0	NM_183021	240174.0	Mm.246767	NM_177826	ENSMUSG00000024251	Thada	6530405K19|A930021O22|AU019899|BC052885|GITA	thyroid adenoma associated	protein-coding	179.71	268.91	127.12
chr19-6566	chr19	29249725	29256483	+	191.5	31.366999999999997	intron (NM_008413, intron 2 of 24)	intron (NM_008413, intron 2 of 24)	1301.0	NM_008413	16452.0	Mm.275839	NM_008413	ENSMUSG00000024789	Jak2	Fd17	Janus kinase 2	protein-coding	165.11	279.89	134.24
chr9-3168	chr9	122230963	122235961	+	184.8	144.19299999999998	intron (NM_133979, intron 11 of 12)	intron (NM_133979, intron 11 of 12)	40566.0	NR_106185	102465896.0	0	NR_106185	0	Mir8106	mmu-mir-8106	microRNA mir-8106	ncRNA	142.94	308.09	104.09
chr9-19110	chr9	107332453	107336741	+	184.3	59.213	intron (NM_133984, intron 4 of 10)	intron (NM_133984, intron 4 of 10)	3753.0	NM_133984	69536.0	Mm.259467	NM_133984	ENSMUSG00000032579	Hemk1	2310008M14Rik|AW049265	HemK methyltransferase family member 1	protein-coding	159.26	301.85	100.94
chr12-60841	chr12	76371348	76377912	+	182.5	47.45	intron (NM_178744, intron 1 of 1)	intron (NM_178744, intron 1 of 1)	4364.0	NM_178744	268564.0	Mm.77065	NM_178744	0	Zbtb1	9430077A12|AI256369|Bsg2|C430003J21Rik	zinc finger and BTB domain containing 1	protein-coding	142.6	295.61	120.63
chr4-82466	chr4	32146233	32151345	+	181.7	136.743	Intergenic	Intergenic	184682.0	NM_172688	26409.0	Mm.258589	NM_009316	ENSMUSG00000028284	Map3k7	B430101B05|C87327|Tak1	mitogen-activated protein kinase kinase kinase 7	protein-coding	173.01	256.21	114.35
chr9-17024	chr9	115609194	115613210	+	179.0	52.766999999999996	Intergenic	MER113|DNA|hAT-Charlie	275041.0	NR_040730	73856.0	Mm.399156	NR_040730	0	4930428G15Rik	-	RIKEN cDNA 4930428G15 gene	ncRNA	174.04	257.5	114.35
chr6-62718	chr6	99023007	99029551	+	172.5	46.023	intron (NM_053202, intron 5 of 18)	intron (NM_053202, intron 5 of 18)	2019.0	NM_001197322	108655.0	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding	149.47	257.5	114.56
chr17-32158	chr17	51803375	51811553	+	171.7	14.217	intron (NM_001163631, intron 2 of 10)	intron (NM_001163631, intron 2 of 10)	4590.0	NM_001163630	20230.0	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	149.64	254.7	108.27
chr1-16700	chr1	177791661	177796867	+	170.0	27.593000000000004	intron (NM_007422, intron 1 of 12)	intron (NM_007422, intron 1 of 12)	2245.0	NM_007422	11566.0	Mm.338021	NM_007422	ENSMUSG00000015961	Adss	AI314886|AS|Adss2	adenylosuccinate synthetase, non muscle	protein-coding	139.33	262.02	109.95
chr2-88588	chr2	31058623	31064683	+	166.7	45.887	intron (NM_001038700, intron 6 of 14)	intron (NM_001038700, intron 6 of 14)	34847.0	NM_001177650	14269.0	Mm.52297	NM_019406	ENSMUSG00000075415	Fnbp1	1110057E06Rik|2210010H06Rik|FBP1|Fbp17	formin binding protein 1	protein-coding	133.49	278.6	98.43
chr4-76045	chr4	63840355	63844283	+	166.5	117.257	intron (NM_009403, intron 2 of 3)	intron (NM_009403, intron 2 of 3)	18965.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	146.89	268.26	105.97
chr1-31132	chr1	180361458	180367210	+	163.8	16.86	intron (NM_001081175, intron 2 of 7)	intron (NM_001081175, intron 2 of 7)	-33785.0	NR_003623	277333.0	Mm.389223	NM_199472	0	Gm5069	EG277333	glyceraldehyde-3-phosphate dehydrogenase pseudogene	pseudo	146.04	234.25	112.46
chr11-66277	chr11	21219292	21225164	+	163.8	29.19	Intergenic	AT_rich|Low_complexity|Low_complexity	-16804.0	NM_139061	245944.0	Mm.170103	NM_139061	ENSMUSG00000020128	Vps54	Hcc8|Vps54l|mSLP8|wr	vacuolar protein sorting 54 (yeast)	protein-coding	137.79	260.51	111.83
chr15-2686	chr15	103239313	103243057	+	160.0	27.587	non-coding (NR_104427, exon 2 of 11)	non-coding (NR_104427, exon 2 of 11)	731.0	NR_002883	434858.0	Mm.391346	NR_002883	0	Gm5643	EG434858	heterogeneous nuclear ribonucleoprotein A1 pseudogene	pseudo	155.14	229.51	103.25
chr8-12352	chr8	36180205	36184595	+	155.8	139.787	Intergenic	Intergenic	67116.0	NM_001081150	244421.0	Mm.324032	NM_001081150	ENSMUSG00000039633	Lonrf1	-	LON peptidase N-terminal domain and ring finger 1	protein-coding	128.34	259.65	88.59
chr12-9913	chr12	25187980	25190710	+	154.7	137.347	Intergenic	Intergenic	60171.0	NR_045844	432641.0	Mm.112955	NR_045844	0	Gm17746	-	predicted gene, 17746	ncRNA	135.38	246.09	109.32
chr5-41778	chr5	147055232	147061622	+	154.3	25.447	intron (NM_080795, intron 1 of 9)	intron (NM_080795, intron 1 of 9)	18145.0	NM_080795	140887.0	Mm.272203	NM_080795	ENSMUSG00000016520	Lnx2	9630046H24|AW209022	ligand of numb-protein X 2	protein-coding	124.04	231.66	113.93
chr17-6684	chr17	51818361	51825121	+	151.1	24.223000000000003	intron (NM_001163632, intron 1 of 10)	intron (NM_001163632, intron 1 of 10)	4847.0	NM_001163631	20230.0	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	114.42	264.17	81.68
chr9-9120	chr9	107311118	107314760	+	145.1	83.37299999999999	Intergenic	Intergenic	16250.0	NM_009895	12700.0	Mm.4592	NM_009895	0	Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding	118.55	254.05	86.91
chr7-2765	chr7	141095490	141098274	+	144.3	157.093	intron (NM_023059, intron 1 of 9)	intron (NM_023059, intron 1 of 9)	3664.0	NM_023059	24058.0	Mm.38017	NM_023059	ENSMUSG00000025494	Sigirr	AI256711|TIR8	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain	protein-coding	134.35	212.07	93.61
chr8-8093	chr8	35629441	35635421	+	142.2	25.53	intron (NM_001081279, intron 1 of 2)	intron (NM_001081279, intron 1 of 2)	-43411.0	NR_040376	100504714.0	Mm.381744	NR_040376	ENSMUSG00000097357	Gm16793	-	predicted gene, 16793	ncRNA	110.3	211.85	92.36
chr16-21520	chr16	75905006	75908880	+	140.7	32.36	intron (NM_023380, intron 1 of 7)	intron (NM_023380, intron 1 of 7)	2323.0	NM_023380	67742.0	Mm.131406	NM_023380	ENSMUSG00000022876	Samsn1	4930571B16Rik|930571B16Rik|Hacs1|SLy2	SAM domain, SH3 domain and nuclear localization signals, 1	protein-coding	108.75	152.43	65.55
chr10-113080	chr10	117907809	117913721	+	140.7	22.653000000000002	Intergenic	MER44B|DNA|TcMar-Tigger	-14694.0	NR_045342	71067.0	Mm.410793	NR_045342	0	4933411E08Rik	-	RIKEN cDNA 4933411E08 gene	ncRNA	122.5	207.98	90.47
chr9-14982	chr9	57970162	57974892	+	140.6	36.683	Intergenic	Intergenic	32392.0	NM_011352	20361.0	Mm.335187	NM_011352	ENSMUSG00000038264	Sema7a	2900057C09Rik|CDw108|H-Sema-L|M-Sema-L|Semal	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	protein-coding	114.59	219.6	99.69
chr4-13857	chr4	32373453	32378723	+	140.2	18.897000000000002	Intergenic	Intergenic	-41347.0	NM_001109661	12014.0	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding	115.28	214.22	95.71
chr6-39245	chr6	129279747	129285871	+	140.2	31.816999999999997	Intergenic	(T)n|Simple_repeat|Simple_repeat	-7440.0	NM_001033122	12515.0	Mm.74745	NM_001033122	ENSMUSG00000030156	Cd69	5830438K24Rik|AI452015|AIM|VEA	CD69 antigen	protein-coding	125.93	200.44	95.5
chr2-31651	chr2	61489390	61494554	+	137.8	46.53	Intergenic	Intergenic	-86614.0	NM_011529	21353.0	Mm.244393	NM_011529	ENSMUSG00000064289	Tank	C86182|E430026L09Rik|I-TRAF	TRAF family member-associated Nf-kappa B activator	protein-coding	108.58	242.86	94.87
chr9-18731	chr9	45297894	45301754	+	137.4	76.697	Intergenic	B3|SINE|B2	-19276.0	NM_001013373	214531.0	Mm.394987	NM_001013373	ENSMUSG00000037129	Tmprss13	BC010843|Tpmrss13	transmembrane protease, serine 13	protein-coding	121.64	200.87	94.45
chr17-4751	chr17	29497579	29503679	+	137.4	49.793	Intergenic	Intergenic	9584.0	NM_008842	18712.0	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	121.12	204.96	101.15
chr15-26708	chr15	62455259	62461053	+	136.9	33.89	Intergenic	Intergenic	-238705.0	NR_003523	67552.0	Mm.484027	NM_026230	0	H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo	113.22	217.67	89.43
chr18-1066	chr18	60499749	60502615	+	136.6	60.173	intron (NM_134133, intron 1 of 1)	intron (NM_134133, intron 1 of 1)	801.0	NM_134133	106878.0	Mm.273197	NM_134133	ENSMUSG00000038059	Smim3	2010002N04Rik|AI195350|AW561905|Nid67|cI-41	small integral membrane protein 3	protein-coding	116.14	207.76	94.03
chr4-10082	chr4	145220314	145222904	+	135.8	102.083	intron (NM_011610, intron 8 of 9)	intron (NM_011610, intron 8 of 9)	25261.0	NM_011610	21938.0	Mm.235328	NM_011610	0	Tnfrsf1b	CD120b|TNF-R-II|TNF-R2|TNF-R75|TNF-alphaR2|TNFBR|TNFR80|TNFRII|TNFalpha-R2|Tnfr-1|Tnfr2|p75	tumor necrosis factor receptor superfamily, member 1b	protein-coding	132.98	192.26	83.77
chr10-13365	chr10	12961073	12965835	+	134.3	77.54	intron (NM_029075, intron 1 of 2)	intron (NM_029075, intron 1 of 2)	805.0	NM_029075	74732.0	Mm.248648	NM_029075	ENSMUSG00000039232	Stx11	5830405C08Rik	syntaxin 11	protein-coding	118.37	199.15	95.92
chr2-7579	chr2	3656745	3659831	+	133.0	99.24700000000001	Intergenic	C-rich|Low_complexity|Low_complexity	-55170.0	NM_025626	66540.0	Mm.277864	NM_025626	ENSMUSG00000026655	Fam107b	3110001A13Rik|AA589595|AA959793|AI132312	family with sequence similarity 107, member B	protein-coding	125.76	190.11	93.61
chr5-21930	chr5	139301799	139305961	+	129.3	65.21	intron (NM_172723, intron 2 of 10)	intron (NM_172723, intron 2 of 10)	21584.0	NM_172723	231821.0	Mm.297819	NM_172723	ENSMUSG00000056413	Adap1	4930431P11Rik|Centa1|GC1L|p42IP4	ArfGAP with dual PH domains 1	protein-coding	104.29	197.43	88.8
chr19-1036	chr19	53868901	53872147	+	126.9	43.1	Intergenic	Intergenic	-21707.0	NM_011050	18569.0	Mm.1605	NM_011050	ENSMUSG00000024975	Pdcd4	D19Ucla1|Ma3|Tis	programmed cell death 4	protein-coding	107.04	191.19	89.43
chr10-9172	chr10	59575911	59579847	+	126.0	65.62	intron (NM_001033259, intron 1 of 7)	intron (NM_001033259, intron 1 of 7)	38813.0	NM_001033259	215999.0	Mm.296470	NM_001033259	ENSMUSG00000009647	Mcu	2010012O16Rik|AV064928|C10orf42|Ccdc109a|D130073L02Rik|Gm64	mitochondrial calcium uniporter	protein-coding	106.18	197.86	81.89
chr5-17860	chr5	140614698	140619080	+	124.9	40.473	Intergenic	Intergenic	9548.0	NM_008494	16848.0	Mm.12834	NM_008494	ENSMUSG00000029570	Lfng	AW061165	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein-coding	110.99	175.04	87.12
chr15-4874	chr15	61439747	61443703	+	123.6	37.233000000000004	Intergenic	Intergenic	332726.0	NR_040350	432956.0	Mm.404918	NR_040350	0	D030024E09Rik	-	RIKEN cDNA D030024E09 gene	ncRNA	112.02	185.37	83.98
chr11-8781	chr11	95412876	95416604	+	123.2	152.373	intron (NM_025287, intron 2 of 10)	intron (NM_025287, intron 2 of 10)	657.0	NM_025287	20747.0	Mm.285454	NM_025287	ENSMUSG00000057522	Spop	AI315626|Pcif1|TEF2	speckle-type POZ protein	protein-coding	117.52	177.19	87.33
