PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr11-13431	chr11	53762015	53774187	+	439.8	26.05	Intergenic	(TAAA)n|Simple_repeat|Simple_repeat	-1913.0	NM_008390	16362.0	Mm.105218	NM_008390	ENSMUSG00000018899	Irf1	AU020929|Irf-1	interferon regulatory factor 1	protein-coding	421.27	546.43	353.51
chr11-52204	chr11	61643568	61656914	+	417.5	27.853	Intergenic	B1_Mur3|SINE|Alu	-3080.0	NM_027817	71520.0	Mm.202760	NM_027817	ENSMUSG00000004837	Grap	8430435N19Rik|BB233594	GRB2-related adaptor protein	protein-coding	383.47	554.39	313.93
chr11-41204	chr11	99146974	99158074	+	416.3	26.093000000000004	intron (NM_007719, intron 1 of 2)	intron (NM_007719, intron 1 of 2)	2553.0	NM_007719	12775.0	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding	376.94	577.22	295.29
chr11-62285	chr11	49079525	49090743	+	414.4	31.663	intron (NM_001271677, intron 1 of 2)	intron (NM_001271677, intron 1 of 2)	-1883.0	NM_008330	15953.0	Mm.24769	NM_008330	ENSMUSG00000078920	Ifi47	47kDa|IRG-47|Ifggc1|Igrd|Iigp4|Iipg4|Irgd	interferon gamma inducible protein 47	protein-coding	431.92	465.05	339.27
chr1-19302	chr1	52110961	52122953	+	414.3	82.67299999999999	Intergenic	Intergenic	-2481.0	NM_001205314	20846.0	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding	399.79	517.15	332.15
chr7-12345	chr7	125602771	125612395	+	388.8	47.507	intron (NM_021887, intron 1 of 8)	L2b|LINE|L2	4154.0	NM_021887	60504.0	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	356.67	520.16	287.12
chr18-2381	chr18	82503743	82515217	+	365.9	34.85	intron (NM_001025245, intron 2 of 3)	intron (NM_001025245, intron 2 of 3)	34357.0	NM_010777	17196.0	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	363.03	411.44	316.24
chr2-8778	chr2	93452770	93462440	+	363.9	14.5	TTS (NR_040533)	TTS (NR_040533)	4246.0	NM_001271461	12521.0	Mm.4261	NM_007656	ENSMUSG00000027215	Cd82	AA682076|AL023070|C33|IA4|Kai1|Tspan27	CD82 antigen	protein-coding	339.15	458.8	301.78
chr18-3271	chr18	82522868	82535830	+	343.3	27.76	intron (NM_001025245, intron 3 of 3)	intron (NM_001025245, intron 3 of 3)	-25114.0	NM_001025258	17196.0	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	365.09	332.42	325.45
chr16-5023	chr16	10768461	10776173	+	320.5	143.957	Intergenic	Intergenic	13219.0	NM_009896	12703.0	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	311.66	404.55	243.56
chr9-2852	chr9	107293954	107299734	+	319.9	46.977	5' UTR (NM_009895, exon 1 of 3)	5' UTR (NM_009895, exon 1 of 3)	155.0	NM_009895	12700.0	Mm.4592	NM_009895	0	Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding	273.0	506.81	180.74
chr16-11510	chr16	10779659	10789115	+	308.4	23.12	exon (NM_009896, exon 2 of 2)	exon (NM_009896, exon 2 of 2)	1149.0	NM_009896	12703.0	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	268.53	438.78	230.58
chr2-88241	chr2	11638083	11647929	+	292.3	28.01	exon (NM_008367, exon 1 of 8)	exon (NM_008367, exon 1 of 8)	214.0	NM_008367	16184.0	Mm.915	NM_008367	ENSMUSG00000026770	Il2ra	CD25|Il2r|Ly-43	interleukin 2 receptor, alpha chain	protein-coding	210.81	531.79	159.58
chr16-10265	chr16	52030674	52039138	+	287.5	21.686999999999998	intron (NM_001033238, intron 2 of 17)	intron (NM_001033238, intron 2 of 17)	3357.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	264.75	407.35	203.98
chr6-19127	chr6	140612543	140622981	+	283.5	19.587	Intergenic	LTR82B|LTR|ERVL	-4901.0	NM_178803	11569.0	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	212.87	454.28	178.64
chr4-49201	chr4	129030536	129037204	+	272.4	45.76	Intergenic	Intergenic	-24401.0	NM_029219	75234.0	Mm.259672	NM_029219	ENSMUSG00000028793	Rnf19b	4930534K13Rik|4930555L03Rik|Ibrdc3	ring finger protein 19B	protein-coding	248.78	382.8	189.32
chr16-14297	chr16	10662375	10670689	+	266.2	22.84	intron (NM_177562, intron 18 of 22)	MIRb|SINE|MIR	119004.0	NM_009896	12703.0	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	213.9	404.98	190.16
chr19-5127	chr19	10825692	10830974	+	257.7	34.063	intron (NM_009852, intron 1 of 12)	intron (NM_009852, intron 1 of 12)	1725.0	NM_001037801	12511.0	Mm.290897	NM_009852	ENSMUSG00000024670	Cd6	-	CD6 antigen	protein-coding	270.42	271.71	219.48
chr4-23669	chr4	156006921	156015431	+	246.1	19.903	3' UTR (NM_011341, exon 7 of 7)	3' UTR (NM_011341, exon 7 of 7)	-2519.0	NM_011659	22163.0	Mm.13885	NM_011659	ENSMUSG00000029075	Tnfrsf4	ACT35|CD134|Ly-70|Ox40|TXGP1L|Txgp1	tumor necrosis factor receptor superfamily, member 4	protein-coding	193.28	385.39	160.0
chr18-3176	chr18	82474595	82481577	+	244.0	12.523	intron (NM_001025245, intron 1 of 3)	intron (NM_001025245, intron 1 of 3)	2963.0	NM_010777	17196.0	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	236.41	284.19	211.1
chr12-10784	chr12	55486187	55494167	+	243.0	40.26	intron (NM_010907, intron 5 of 5)	tRNA-Ala-GCY_|tRNA|tRNA	2470.0	NM_010907	18035.0	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding	220.94	351.8	168.8
chr13-10010	chr13	30789570	30795950	+	233.1	38.383	Intergenic	Intergenic	43502.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	198.61	359.12	151.42
chr9-20640	chr9	66911479	66920237	+	229.1	27.86	intron (NM_173413, intron 1 of 7)	intron (NM_173413, intron 1 of 7)	3847.0	NM_173413	235442.0	Mm.260376	NM_173413	ENSMUSG00000036943	Rab8b	5930437D16|D330025I23Rik	RAB8B, member RAS oncogene family	protein-coding	233.48	263.31	189.95
chr1-14552	chr1	51473613	51480277	+	220.2	26.276999999999997	intron (NM_028696, intron 2 of 5)	intron (NM_028696, intron 2 of 5)	1454.0	NM_028696	109019.0	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	227.3	265.68	174.45
chr9-7229	chr9	107302715	107310009	+	215.2	21.523000000000003	Intergenic	Intergenic	9673.0	NM_009895	12700.0	Mm.4592	NM_009895	0	Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding	167.85	363.21	148.48
chr18-19061	chr18	38404659	38410271	+	213.2	81.78699999999999	Intergenic	Intergenic	-11510.0	NM_022996	65113.0	Mm.102496	NM_022996	ENSMUSG00000024425	Ndfip1	0610010M22Rik|N4wbp5	Nedd4 family interacting protein 1	protein-coding	213.38	264.82	161.47
chr6-33295	chr6	129271294	129277186	+	210.6	52.243	intron (NM_001033122, intron 1 of 4)	intron (NM_001033122, intron 1 of 4)	1129.0	NM_001033122	12515.0	Mm.74745	NM_001033122	ENSMUSG00000030156	Cd69	5830438K24Rik|AI452015|AIM|VEA	CD69 antigen	protein-coding	209.95	274.51	148.07
chr17-16115	chr17	51825895	51832597	+	209.8	22.35	intron (NM_001163632, intron 1 of 10)	intron (NM_001163632, intron 1 of 10)	-2658.0	NM_001163631	20230.0	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	186.24	309.82	141.99
chr13-17407	chr13	30829070	30836284	+	206.6	34.29	intron (NM_025588, intron 23 of 27)	intron (NM_025588, intron 23 of 27)	83419.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	162.53	364.07	111.42
chr2-37027	chr2	153234347	153241847	+	204.2	44.893	intron (NM_018807, intron 1 of 2)	intron (NM_018807, intron 1 of 2)	3261.0	NM_018807	54711.0	Mm.103199	NM_018807	ENSMUSG00000051413	Plagl2	AU018672|AW552839|mKIAA0198	pleiomorphic adenoma gene-like 2	protein-coding	135.73	330.91	130.05
chr19-1689	chr19	10782979	10789027	+	203.7	47.79	TTS (NR_027805)	TTS (NR_027805)	44055.0	NM_001037801	12511.0	Mm.290897	NM_009852	ENSMUSG00000024670	Cd6	-	CD6 antigen	protein-coding	223.69	222.19	157.7
chr10-18144	chr10	79849339	79855993	+	198.2	23.366999999999997	non-coding (NR_029447, exon 1 of 1)	non-coding (NR_029447, exon 1 of 1)	-1766.0	NM_008956	19205.0	Mm.265610	NM_008956	ENSMUSG00000006498	Ptbp1	AA407203|AL033359|HNRPI|PTB-1|PTB2|PTB3|PTB4|Ptb|pPTB	polypyrimidine tract binding protein 1	protein-coding	193.8	218.31	171.31
chr11-33800	chr11	97656524	97662662	+	186.7	34.273	Intergenic	Intergenic	-3819.0	NM_139311	246198.0	Mm.23685	NM_139311	ENSMUSG00000038437	Mllt6	AI315037|Af17	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	protein-coding	164.42	246.95	143.46
chr11-52168	chr11	58196962	58202912	+	186.2	36.283	intron (NM_018738, intron 1 of 2)	intron (NM_018738, intron 1 of 2)	381.0	NM_018738	16145.0	Mm.33902	NM_018738	ENSMUSG00000078853	Igtp	AW558444|Irgm3	interferon gamma induced GTPase	protein-coding	190.88	233.6	153.3
chr7-26960	chr7	114314200	114318900	+	175.5	34.213	intron (NR_029437, intron 3 of 3)	intron (NR_029437, intron 3 of 3)	-40434.0	NM_011965	26440.0	Mm.121265	NM_011965	ENSMUSG00000030751	Psma1	C2|HC2|Pros-30|alpha-type	proteasome (prosome, macropain) subunit, alpha type 1	protein-coding	204.96	152.86	160.21
chr1-40396	chr1	160244151	160249009	+	173.2	39.38	intron (NM_001038621, intron 4 of 8)	MTD|LTR|ERVL-MaLR	-33688.0	NM_009786	12301.0	Mm.10702	NM_009786	ENSMUSG00000014226	Cacybp	SIP	calcyclin binding protein	protein-coding	201.7	164.92	141.99
chr12-12317	chr12	55462990	55467276	+	172.2	52.373000000000005	intron (NR_035430, intron 1 of 3)	intron (NR_035430, intron 1 of 3)	27514.0	NM_010907	18035.0	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding	163.9	217.24	132.78
chr17-32158	chr17	51803375	51811553	+	171.7	14.217	intron (NM_001163631, intron 2 of 10)	intron (NM_001163631, intron 2 of 10)	4590.0	NM_001163630	20230.0	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	149.64	254.7	108.27
chr4-15769	chr4	48041317	48046965	+	170.5	31.34	Intergenic	GC_rich|Low_complexity|Low_complexity	-7107.0	NM_015743	18124.0	Mm.247261	NM_015743	ENSMUSG00000028341	Nr4a3	AI573420|CHN|CSMF|MINOR|NOR-1|Nor1|TEC	nuclear receptor subfamily 4, group A, member 3	protein-coding	171.46	194.2	138.22
chr3-82280	chr3	135717177	135722079	+	168.4	46.707	Intergenic	Intergenic	-28081.0	NM_008689	18033.0	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	152.91	232.95	122.31
chr15-31819	chr15	61983197	61987935	+	168.4	65.133	5' UTR (NM_001177352, exon 1 of 3)	5' UTR (NM_001177352, exon 1 of 3)	225.0	NM_001177354	17869.0	Mm.2444	NM_010849	ENSMUSG00000022346	Myc	AU016757|Myc2|Niard|Nird|bHLHe39	myelocytomatosis oncogene	protein-coding	155.48	183.43	135.71
chr17-24845	chr17	29491179	29497315	+	167.2	27.993000000000002	intron (NM_008842, intron 5 of 5)	intron (NM_008842, intron 5 of 5)	3202.0	NM_008842	18712.0	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	155.14	229.08	132.99
chr4-76045	chr4	63840355	63844283	+	166.5	117.257	intron (NM_009403, intron 2 of 3)	intron (NM_009403, intron 2 of 3)	18965.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	146.89	268.26	105.97
chr3-44842	chr3	135687099	135692685	+	162.9	45.933	intron (NM_008689, intron 1 of 24)	intron (NM_008689, intron 1 of 24)	1655.0	NM_008689	18033.0	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	136.93	238.98	122.31
chr14-27427	chr14	52098846	52105000	+	162.8	20.796999999999997	intron (NM_001170981, intron 1 of 8)	B2_Mm2|SINE|B2	2105.0	NM_001170981	15381.0	Mm.427321	NM_016884	ENSMUSG00000060373	Hnrnpc	AL022939|D14Wsu171e|Hnrpc|Hnrpc1|Hnrpc2|hnRNPC1|hnRNPC2|hnrnp-C	heterogeneous nuclear ribonucleoprotein C	protein-coding	151.36	199.8	140.32
chr4-10367	chr4	63845009	63850949	+	162.6	23.93	intron (NM_009403, intron 2 of 3)	(TCCC)n|Simple_repeat|Simple_repeat	13305.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	171.98	181.93	134.03
chr2-5664	chr2	11635520	11638596	+	159.4	58.383	Intergenic	CT-rich|Low_complexity|Low_complexity	-5734.0	NM_008367	16184.0	Mm.915	NM_008367	ENSMUSG00000026770	Il2ra	CD25|Il2r|Ly-43	interleukin 2 receptor, alpha chain	protein-coding	143.11	185.16	96.96
chr11-4123	chr11	57950756	57954938	+	156.5	40.743	Intergenic	Intergenic	-56217.0	NM_028451	73158.0	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	136.07	193.77	123.77
chr3-9509	chr3	135604333	135611583	+	155.5	43.427	intron (NM_008689, intron 13 of 24)	intron (NM_008689, intron 13 of 24)	83589.0	NM_008689	18033.0	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	149.81	183.43	135.08
chr11-23204	chr11	46368385	46373577	+	154.0	21.017	intron (NM_001281966, intron 1 of 16)	intron (NM_001281966, intron 1 of 16)	18534.0	NM_001281968	16428.0	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding	154.63	170.73	129.01
chr6-8451	chr6	86523226	86528776	+	153.2	38.393	5' UTR (NM_011865, exon 1 of 1)	5' UTR (NM_011865, exon 1 of 1)	164.0	NM_011865	23983.0	Mm.274146	NM_011865	ENSMUSG00000051695	Pcbp1	WBP17|[a]CP-1|alphaCP-1	poly(rC) binding protein 1	protein-coding	145.69	179.99	141.99
chr1-4720	chr1	51584085	51587637	+	152.7	41.74	Intergenic	B2_Mm2|SINE|B2	-107462.0	NM_028696	109019.0	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	171.46	165.13	116.65
chr19-16901	chr19	53533614	53540346	+	152.4	52.95	intron (NM_001085390, intron 2 of 3)	intron (NM_001085390, intron 2 of 3)	7662.0	NM_001085390	240672.0	Mm.482424	NM_001085390	0	Dusp5	Gm337	dual specificity phosphatase 5	protein-coding	148.78	192.91	121.89
chr17-6684	chr17	51818361	51825121	+	151.1	24.223000000000003	intron (NM_001163632, intron 1 of 10)	intron (NM_001163632, intron 1 of 10)	4847.0	NM_001163631	20230.0	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	114.42	264.17	81.68
chr18-17132	chr18	34928989	34933723	+	147.2	21.753	intron (NM_144866, intron 2 of 10)	intron (NM_144866, intron 2 of 10)	647.0	NM_144866	225363.0	Mm.329353	NM_144866	ENSMUSG00000024360	Etf1	AI463371|D6Ertd109e|ERF|ERF1|SUP45L1|TB3-1	eukaryotic translation termination factor 1	protein-coding	149.13	168.36	120.84
chr9-9120	chr9	107311118	107314760	+	145.1	83.37299999999999	Intergenic	Intergenic	16250.0	NM_009895	12700.0	Mm.4592	NM_009895	0	Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding	118.55	254.05	86.91
chr7-6674	chr7	114290778	114294188	+	144.3	31.82	Intergenic	Intergenic	-16367.0	NM_011965	26440.0	Mm.121265	NM_011965	ENSMUSG00000030751	Psma1	C2|HC2|Pros-30|alpha-type	proteasome (prosome, macropain) subunit, alpha type 1	protein-coding	142.94	162.55	125.45
chr1-17183	chr1	60977416	60981880	+	142.1	32.64	intron (NM_017480, intron 1 of 4)	L2b|LINE|L2	1734.0	NM_017480	54167.0	Mm.42044	NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding	151.36	172.24	111.21
chr1-3547	chr1	51594109	51598209	+	141.4	24.74	Intergenic	Intergenic	-117760.0	NM_028696	109019.0	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	126.62	183.87	106.18
chr6-39245	chr6	129279747	129285871	+	140.2	31.816999999999997	Intergenic	(T)n|Simple_repeat|Simple_repeat	-7440.0	NM_001033122	12515.0	Mm.74745	NM_001033122	ENSMUSG00000030156	Cd69	5830438K24Rik|AI452015|AIM|VEA	CD69 antigen	protein-coding	125.93	200.44	95.5
chr11-35619	chr11	48797961	48804023	+	139.9	24.51	intron (NM_008143, intron 1 of 7)	intron (NM_008143, intron 1 of 7)	632.0	NM_008143	14694.0	Mm.5305	NM_008143	ENSMUSG00000020372	Gnb2l1	AL033335|GB-like|Gnb2-rs1|Rack1|p205	guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1	protein-coding	125.59	173.53	126.49
chr17-4751	chr17	29497579	29503679	+	137.4	49.793	Intergenic	Intergenic	9584.0	NM_008842	18712.0	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	121.12	204.96	101.15
chr19-18750	chr19	8709922	8714222	+	136.8	65.57300000000001	intron (NM_008577, intron 2 of 8)	intron (NM_008577, intron 2 of 8)	1825.0	NM_008577	17254.0	Mm.4114	NM_008577	ENSMUSG00000010095	Slc3a2	4F2|4F2HC|AI314110|Cd98|Ly-10|Ly-m10|Ly10|Mdu1|Mgp-2hc|NACAE	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	protein-coding	125.07	162.34	104.29
chr10-26680	chr10	62597274	62604062	+	136.5	23.793000000000003	intron (NM_019553, intron 1 of 14)	intron (NM_019553, intron 1 of 14)	1630.0	NM_019553	56200.0	Mm.413275	NM_019553	ENSMUSG00000020075	Ddx21	AI255159|AL022742|D10Ertd645e|D10Wsu42e	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	protein-coding	149.13	131.33	128.8
chr15-6229	chr15	78492535	78494907	+	136.0	59.986999999999995	intron (NM_008368, intron 1 of 9)	intron (NM_008368, intron 1 of 9)	1345.0	NM_008368	16185.0	Mm.35287	NM_008368	ENSMUSG00000068227	Il2rb	CD122|IL-15Rbeta|IL15Rbeta|Il-2/15Rbeta|Il-2Rbeta|p70	interleukin 2 receptor, beta chain	protein-coding	124.39	138.87	98.85
chr7-4667	chr7	16781354	16784714	+	135.3	31.12	intron (NM_009201, intron 1 of 8)	intron (NM_009201, intron 1 of 8)	1688.0	NM_009201	20514.0	Mm.1056	NM_009201	ENSMUSG00000001918	Slc1a5	AAAT|ASCT2|ATBO|M7V1|M7VS1|R16|RDRC|Slc1a7	solute carrier family 1 (neutral amino acid transporter), member 5	protein-coding	118.03	183.87	98.64
chr17-16873	chr17	80173097	80177943	+	134.6	58.217	intron (NM_176963, intron 4 of 6)	intron (NM_176963, intron 4 of 6)	31785.0	NR_036615	225027.0	Mm.292016	NM_146083	ENSMUSG00000024097	Srsf7	35kDa|9430065L19Rik|9G8|NX-96|Sfrs7	serine/arginine-rich splicing factor 7	protein-coding	123.01	190.54	101.57
chr6-7119	chr6	140706687	140709927	+	134.3	35.657	Intergenic	Intergenic	84009.0	NM_009637	11569.0	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	149.13	127.89	122.31
chr1-66996	chr1	178334908	178339702	+	130.9	32.893	exon (NM_016805, exon 1 of 14)	exon (NM_016805, exon 1 of 14)	479.0	NM_016805	51810.0	Mm.86589	NM_016805	ENSMUSG00000039630	Hnrnpu	AA408410|AI256620|AL024194|AL024437|AW557595|C86794|Hnrpu|SAFA|Sp120|hnRNP U	heterogeneous nuclear ribonucleoprotein U	protein-coding	135.73	148.13	109.53
chr16-6070	chr16	52126571	52130917	+	130.2	53.17	intron (NM_001033238, intron 4 of 17)	intron (NM_001033238, intron 4 of 17)	97195.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	166.31	93.44	122.1
