PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K4me2/AND-CD4TCell-ChIP-H3K4me2-All-Conditions-KAA-14-10-20/regions.txt mm10 -size given -d AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	0.1uM PCC	100uM K99A	10uM K99A	10uM PCC	No Peptide
chr1-11488	chr1	164061311	164075245	+	639.4	9.537	intron (NM_011346, intron 5 of 8)	intron (NM_011346, intron 5 of 8)	6202	NM_011346	20343	Mm.1461	NM_011346	ENSMUSG00000026581	Sell	AI528707|CD62L|L-selectin|LECAM-1|Lnhr|Ly-22|Ly-m22|Lyam-1|Lyam1	selectin, lymphocyte	protein-coding	694.01	559.33	707.56	511.21	743.39
chr19-9770	chr19	4184091	4192049	+	547.2	44.923	exon (NM_178650, exon 8 of 10)	exon (NM_178650, exon 8 of 10)	2977	NM_178650	108995	Mm.288312	NM_178650	ENSMUSG00000040247	Tbc1d10c	1810062O14Rik|AI428527	TBC1 domain family, member 10c	protein-coding	555.09	412.29	646.43	440.74	694.16
chr15-6993	chr15	74924009	74936413	+	530.2	28.973000000000003	Intergenic	(GAA)n|Simple_repeat|Simple_repeat	-24840	NM_001164039	17069	Mm.788	NM_008529	ENSMUSG00000022587	Ly6e	9804|Ly67|RIG-E|Sca-2|TSA-1|Tsa1	lymphocyte antigen 6 complex, locus E	protein-coding	559.41	438.3	578.91	434.39	625.75
chr15-15813	chr15	78562361	78572885	+	529.5	10.463	intron (NM_009008, intron 2 of 6)	intron (NM_009008, intron 2 of 6)	5160	NM_009008	19354	Mm.1972	NM_009008	ENSMUSG00000033220	Rac2	AI323801|AI452260	RAS-related C3 botulinum substrate 2	protein-coding	542.74	444.52	521.89	435.54	579.86
chr10-9787	chr10	80015708	80025708	+	515.7	19.213	exon (NM_001142701, exon 3 of 23)	exon (NM_001142701, exon 3 of 23)	1033	NM_027521	70719	Mm.243954	NM_027521	ENSMUSG00000035697	Hmha1	6330406L22Rik|AW539505|Ha-1	histocompatibility (minor) HA-1	protein-coding	550.15	370.44	601.26	396.26	669.97
chr15-21901	chr15	74953518	74961316	+	513.7	32.39	intron (NM_001164039, intron 2 of 4)	intron (NM_001164039, intron 2 of 4)	2311	NM_001164040	17069	Mm.788	NM_008529	ENSMUSG00000022587	Ly6e	9804|Ly67|RIG-E|Sca-2|TSA-1|Tsa1	lymphocyte antigen 6 complex, locus E	protein-coding	551.38	426.99	556.1	422.26	625.75
chr19-4206	chr19	11515135	11524251	+	510.3	23.143	intron (NM_027209, intron 1 of 6)	intron (NM_027209, intron 1 of 6)	1134	NM_027209	69774	Mm.436639	NM_027209	ENSMUSG00000024677	Ms4a6b	1810027D10Rik	membrane-spanning 4-domains, subfamily A, member 6B	protein-coding	563.11	391.36	578.91	452.87	599.05
chr6-1152	chr6	120463573	120473761	+	507.2	22.037	intron (NM_008359, intron 1 of 12)	intron (NM_008359, intron 1 of 12)	5470	NM_008359	16172	Mm.4481	NM_008359	ENSMUSG00000002897	Il17ra	AW538159|Cdw217|Il17r|VDw217	interleukin 17 receptor A	protein-coding	533.48	432.65	569.79	427.46	592.37
chr12-1957	chr12	108634142	108643666	+	506.0	21.737	intron (NM_001163396, intron 2 of 14)	L2|LINE|L2	3151	NM_001163396	14026	Mm.238841	NM_007965	ENSMUSG00000021262	Evl	AI528774	Ena-vasodilator stimulated phosphoprotein	protein-coding	564.35	415.68	509.57	469.05	603.22
chr2-7807	chr2	32077482	32084080	+	502.1	29.27	intron (NM_175511, intron 1 of 1)	intron (NM_175511, intron 1 of 1)	2924	NM_175511	241303	Mm.250441	NM_175511	ENSMUSG00000050592	Fam78a	A130092J06Rik	family with sequence similarity 78, member A	protein-coding	536.56	386.84	520.06	389.91	545.65
chr10-19935	chr10	60346079	60353195	+	499.6	23.643	intron (NM_001159572, intron 1 of 6)	intron (NM_001159572, intron 1 of 6)	2786	NM_028732	74048	Mm.273584	NM_028732	ENSMUSG00000020101	4632428N05Rik	Dies1|PD-1H|VISTA	RIKEN cDNA 4632428N05 gene	protein-coding	566.82	387.97	549.26	459.23	543.98
chr6-14027	chr6	125348363	125356739	+	484.9	23.14	intron (NM_011609, intron 1 of 9)	(TCCC)n|Simple_repeat|Simple_repeat	2828	NM_011609	21937	Mm.1258	NM_011609	ENSMUSG00000030341	Tnfrsf1a	CD120a|FPF|TNF-R|TNF-R-I|TNF-R1|TNF-R55|TNF-alphaR1|TNFAR|TNFR60|TNFRI|TNFRp55|TNFalpha-R1|Tnfr-2|Tnfr1|p55|p55-R	tumor necrosis factor receptor superfamily, member 1a	protein-coding	542.12	416.25	511.85	416.48	569.01
chr11-12073	chr11	83115872	83124688	+	479.8	25.67	intron (NM_011407, intron 1 of 1)	intron (NM_011407, intron 1 of 1)	3435	NM_011407	20555	Mm.10948	NM_011407	ENSMUSG00000078763	Slfn1	AV316259	schlafen 1	protein-coding	505.07	379.48	501.36	388.75	559.83
chr2-9845	chr2	132017277	132024449	+	472.8	26.733	intron (NM_175445, intron 1 of 10)	intron (NM_175445, intron 1 of 10)	9125	NM_175445	215653	Mm.204737	NM_175445	ENSMUSG00000027339	Rassf2	3830431H01Rik|9030412M04Rik|AI852669|AW495050	Ras association (RalGDS/AF-6) domain family member 2	protein-coding	513.72	390.23	533.29	378.93	587.37
chr8-11235	chr8	15012035	15021635	+	461.2	11.43	intron (NM_029116, intron 1 of 1)	MTC|LTR|ERVL-MaLR	5810	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding	457.53	398.15	510.48	385.29	540.65
chr4-5171	chr4	59189035	59198731	+	458.5	23.053	intron (NM_011673, intron 1 of 8)	intron (NM_011673, intron 1 of 8)	4333	NM_011673	22234	Mm.198803	NM_011673	ENSMUSG00000028381	Ugcg	AU043821|C80537|Epcs21|GlcT-1|Ugcgl	UDP-glucose ceramide glucosyltransferase	protein-coding	463.71	329.15	505.92	339.08	576.52
chr11-17591	chr11	94992203	95001335	+	454.4	6.95	intron (NM_172261, intron 2 of 9)	intron (NM_172261, intron 2 of 9)	5557	NM_172261	217124	Mm.229087	NM_172261	ENSMUSG00000038976	Ppp1r9b	SPL|Spn	protein phosphatase 1, regulatory subunit 9B	protein-coding	463.71	377.22	484.93	370.27	594.04
chr3-26769	chr3	89904584	89914542	+	442.2	51.187	intron (NM_010559, intron 1 of 9)	RSINE1|SINE|B4	3599	NM_010559	16194	Mm.2856	NM_010559	ENSMUSG00000027947	Il6ra	CD126|IL-6R|Il6r	interleukin 6 receptor, alpha	protein-coding	478.52	377.79	494.06	361.03	518.12
chr1-25707	chr1	134058474	134068070	+	441.4	41.36	Intergenic	Intergenic	15883	NM_007570	12227	Mm.392646	NM_007570	ENSMUSG00000020423	Btg2	AA959598|APRO1|Pc3|TIS21	B cell translocation gene 2, anti-proliferative	protein-coding	458.77	389.1	458.93	378.36	547.32
chr3-10207	chr3	115708796	115717236	+	434.2	31.47	5' UTR (NM_007901, exon 2 of 2)	5' UTR (NM_007901, exon 2 of 2)	2039	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding	460.62	357.99	463.95	376.62	500.6
chr8-11003	chr8	13671622	13679056	+	432.9	51.08	intron (NM_009025, intron 1 of 23)	intron (NM_009025, intron 1 of 23)	2248	NM_009025	19414	Mm.18517	NM_009025	ENSMUSG00000031453	Rasa3	AI326412|C86362|E130011G04|GAPIII|scat	RAS p21 protein activator 3	protein-coding	484.7	359.12	470.79	354.1	498.93
chr8-6247	chr8	72347527	72357321	+	428.0	18.827	intron (NM_007944, intron 22 of 23)	intron (NM_007944, intron 22 of 23)	33362	NM_008452	16598	Mm.26938	NM_008452	ENSMUSG00000055148	Klf2	Lklf	Kruppel-like factor 2 (lung)	protein-coding	453.21	373.83	432.47	384.71	535.64
chr3-2850	chr3	96558315	96565233	+	414.2	25.95	TTS (NM_001009935)	TTS (NM_001009935)	3817	NM_023719	56338	Mm.410189	NM_023719	ENSMUSG00000038393	Txnip	1200008J08Rik|AA682105|Hyplip1|THIF|Tbp-2|VDUP1	thioredoxin interacting protein	protein-coding	442.71	341.59	437.03	369.11	517.28
chr7-5009	chr7	126699853	126706069	+	404.3	27.933000000000003	intron (NM_009898, intron 2 of 10)	intron (NM_009898, intron 2 of 10)	1259	NM_001301374	12721	Mm.290482	NM_009898	ENSMUSG00000030707	Coro1a	Clabp|Lmb3|TACO|p57	coronin, actin binding protein 1A	protein-coding	464.94	315.01	427.0	358.14	483.08
chr12-10568	chr12	102366283	102373451	+	400.7	70.03699999999999	intron (NM_177620, intron 6 of 9)	intron (NM_177620, intron 6 of 9)	69830	NM_011175	19141	Mm.17185	NM_011175	ENSMUSG00000021190	Lgmn	AEP|AI746452|AU022324|Prsc1	legumain	protein-coding	424.19	325.19	438.4	321.75	532.3
chr10-8557	chr10	19591238	19600464	+	391.3	20.573	intron (NM_010511, intron 1 of 6)	intron (NM_010511, intron 1 of 6)	3893	NM_010511	15979	Mm.549	NM_010511	ENSMUSG00000020009	Ifngr1	CD119|IFN-gammaR|Ifgr|Ifngr|Nktar	interferon gamma receptor 1	protein-coding	426.66	318.97	432.02	274.96	518.95
chr19-3201	chr19	57114578	57120732	+	389.1	21.487	intron (NM_001290813, intron 6 of 20)	intron (NM_001290813, intron 6 of 20)	1369	NM_001103178	226251	Mm.217161	NM_178688	ENSMUSG00000025085	Ablim1	2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|AV079770|AW060987|AW215784|Limab1|mKIAA0059	actin-binding LIM protein 1	protein-coding	417.4	321.23	413.77	326.37	441.36
chr8-9382	chr8	83736613	83743227	+	386.0	20.323	intron (NM_011925, intron 1 of 19)	MIRc|SINE|MIR	1391	NM_011925	26364	Mm.334648	NM_011925	ENSMUSG00000002885	Cd97	AA409984|TM7LN1	CD97 antigen	protein-coding	389.61	312.75	436.58	298.06	476.4
chr11-22646	chr11	70431662	70438436	+	380.9	31.053	intron (NM_001271360, intron 1 of 15)	B1_Mur1|SINE|Alu	2469	NM_001271359	216869	Mm.203747	NM_145429	ENSMUSG00000060216	Arrb2	AI326910|AW122872	arrestin, beta 2	protein-coding	427.89	324.06	401.45	315.97	453.04
chr7-5239	chr7	100491453	100497215	+	372.8	27.656999999999996	5' UTR (NM_011671, exon 2 of 8)	5' UTR (NM_011671, exon 2 of 8)	989	NM_011671	22228	Mm.171378	NM_011671	ENSMUSG00000033685	Ucp2	Slc25a8	uncoupling protein 2 (mitochondrial, proton carrier)	protein-coding	411.22	267.51	423.35	280.74	466.39
chr10-29093	chr10	60277599	60287215	+	369.7	15.907	intron (NM_001146121, intron 1 of 13)	intron (NM_001146121, intron 1 of 13)	-2054	NM_001146124	19156	Mm.277498	NM_011179	ENSMUSG00000004207	Psap	AI037048|SGP-1	prosaposin	protein-coding	400.11	279.95	376.82	351.21	418.83
chr6-3850	chr6	136936871	136941733	+	366.3	47.27	intron (NM_001301301, intron 1 of 5)	(TCTCCC)n|Simple_repeat|Simple_repeat	225	NM_001301303	11857	Mm.2241	NM_007486	ENSMUSG00000030220	Arhgdib	D4|Gdid4|Ly-GDI	Rho, GDP dissociation inhibitor (GDI) beta	protein-coding	413.69	297.48	395.52	304.42	412.99
chr10-12924	chr10	77528441	77534661	+	365.5	24.533	intron (NM_008404, intron 1 of 15)	intron (NM_008404, intron 1 of 15)	1203	NM_008404	16414	Mm.1137	NM_008404	ENSMUSG00000000290	Itgb2	2E6|AI528527|Cd18|LAD|LCAMB|Lfa1|MF17	integrin beta 2	protein-coding	406.9	333.67	401.91	317.13	373.78
chr5-18351	chr5	134227017	134238017	+	364.4	27.296999999999997	Intergenic	Intergenic	-2892	NM_010876	17969	Mm.425296	NM_010876	ENSMUSG00000015950	Ncf1	NCF-47K|NOXO2|Ncf-1|p47-phox|p47<phox>|p47phox	neutrophil cytosolic factor 1	protein-coding	400.11	320.67	374.53	317.13	417.16
chr8-4965	chr8	119836272	119841650	+	357.5	51.887	intron (NM_028071, intron 2 of 3)	intron (NM_028071, intron 2 of 3)	1618	NM_028071	72042	Mm.393405	NM_028071	ENSMUSG00000031827	Cotl1	1810074P22Rik|2010004C08Rik|Clp	coactosin-like 1 (Dictyostelium)	protein-coding	382.82	307.66	401.45	298.06	433.85
chr19-6943	chr19	5870546	5875762	+	357.4	37.34	intron (NM_026169, intron 3 of 10)	intron (NM_026169, intron 3 of 10)	2054	NM_026169	67457	Mm.202092	NM_026169	0	Frmd8	1200004M23Rik|2310035N23Rik|4931429L16Rik|AU018809	FERM domain containing 8	protein-coding	390.85	250.54	412.86	265.72	486.41
chr15-16019	chr15	77813792	77823382	+	357.0	16.37	intron (NM_022410, intron 1 of 40)	intron (NM_022410, intron 1 of 40)	23588	NM_022410	17886	Mm.29677	NM_022410	ENSMUSG00000022443	Myh9	Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6	myosin, heavy polypeptide 9, non-muscle	protein-coding	419.25	318.4	369.52	291.71	402.15
chr19-5848	chr19	53192843	53199661	+	356.5	27.033	intron (NM_013758, intron 1 of 15)	Charlie17|DNA|hAT-Charlie	52255	NM_013758	27360	Mm.426080	NM_013758	ENSMUSG00000025026	Add3	AI463285|R75380	adducin 3 (gamma)	protein-coding	385.91	271.46	413.77	289.98	421.34
chr8-9950	chr8	14992717	14999477	+	343.8	30.323	intron (NM_001037736, intron 26 of 27)	intron (NM_001037736, intron 26 of 27)	-14928	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding	352.56	272.6	380.47	291.13	407.99
chr1-8885	chr1	193196875	193202687	+	343.0	23.92	intron (NM_153137, intron 2 of 15)	intron (NM_153137, intron 2 of 15)	1765	NM_153137	215243	Mm.261259	NM_153137	ENSMUSG00000037318	Traf3ip3	6030423D04Rik|AI115021|T3jam	TRAF3 interacting protein 3	protein-coding	393.93	266.94	391.41	286.51	379.62
chr2-29256	chr2	32719292	32725426	+	341.6	37.01	intron (NR_045535, intron 1 of 12)	intron (NR_045535, intron 1 of 12)	1304	NM_013781	27387	Mm.9593	NM_013781	ENSMUSG00000059013	Sh2d3c	Chat|Nsp3|Shep1	SH2 domain containing 3C	protein-coding	374.17	266.94	329.83	296.91	451.37
chr2-10326	chr2	157128960	157136388	+	337.5	32.876999999999995	intron (NM_001139520, intron 1 of 16)	intron (NM_001139520, intron 1 of 16)	2548	NM_001139520	56045	Mm.248478	NM_018851	ENSMUSG00000027639	Samhd1	E330031J07Rik|Mg11	SAM domain and HD domain, 1	protein-coding	364.3	282.78	393.69	251.85	390.47
chr3-14686	chr3	88450893	88457513	+	337.4	58.016999999999996	intron (NM_001163489, intron 2 of 14)	intron (NM_001163489, intron 2 of 14)	1558	NM_013658	20351	Mm.439752	NM_013658	ENSMUSG00000028064	Sema4a	AI132332|SemB|Semab	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	protein-coding	361.83	321.8	361.31	294.6	343.74
chr2-24793	chr2	79254003	79260825	+	335.6	26.173000000000002	intron (NM_010576, intron 2 of 27)	intron (NM_010576, intron 2 of 27)	1988	NM_010576	16401	Mm.31903	NM_010576	ENSMUSG00000027009	Itga4	CD49D|Itga4B	integrin alpha 4	protein-coding	360.59	256.19	376.36	281.89	412.99
chr4-18507	chr4	101257527	101264475	+	333.4	51.677	intron (NM_146145, intron 1 of 24)	intron (NM_146145, intron 1 of 24)	4281	NM_146145	16451	Mm.289657	NM_146145	ENSMUSG00000028530	Jak1	AA960307|C130039L05Rik	Janus kinase 1	protein-coding	350.09	294.09	326.63	283.05	392.97
chr5-5084	chr5	122231313	122237449	+	329.0	35.783	intron (NM_001042489, intron 4 of 7)	intron (NM_001042489, intron 4 of 7)	24094	NM_028752	74096	Mm.28804	NM_028752	ENSMUSG00000064267	Hvcn1	0610039P13Rik|AI450555|BTS|HV1|Vsop.|mVSOP	hydrogen voltage-gated channel 1	protein-coding	336.51	240.92	343.97	261.1	370.44
chr17-7463	chr17	84179908	84185922	+	324.1	40.6	Intergenic	Intergenic	5032	NM_001001806	12193	Mm.259321	NM_001001806	ENSMUSG00000045817	Zfp36l2	Brf2|ERF2|Tis11d	zinc finger protein 36, C3H type-like 2	protein-coding	357.5	247.71	347.62	259.36	372.11
chr11-11905	chr11	52292191	52301441	+	321.6	10.16	Intergenic	B1F|SINE|Alu	-14245	NM_009331	21414	Mm.31630	NM_009331	ENSMUSG00000000782	Tcf7	AI465550|TCF-1|Tcf1	transcription factor 7, T cell specific	protein-coding	324.78	270.33	353.09	283.62	384.63
chr15-17933	chr15	77797092	77804366	+	318.5	52.523	intron (NM_022410, intron 3 of 40)	intron (NM_022410, intron 3 of 40)	41446	NM_022410	17886	Mm.29677	NM_022410	ENSMUSG00000022443	Myh9	Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6	myosin, heavy polypeptide 9, non-muscle	protein-coding	329.1	317.27	323.44	302.11	327.06
chr8-6508	chr8	119826489	119835039	+	316.1	17.707	intron (NM_028071, intron 2 of 3)	intron (NM_028071, intron 2 of 3)	9815	NM_028071	72042	Mm.393405	NM_028071	ENSMUSG00000031827	Cotl1	1810074P22Rik|2010004C08Rik|Clp	coactosin-like 1 (Dictyostelium)	protein-coding	313.66	293.52	331.65	275.54	383.79
chr6-16286	chr6	125479065	125485931	+	314.7	37.323	intron (NM_007657, intron 1 of 7)	intron (NM_007657, intron 1 of 7)	12257	NM_007657	12527	Mm.210676	NM_007657	ENSMUSG00000030342	Cd9	Tspan29	CD9 antigen	protein-coding	343.92	258.46	333.02	287.67	371.28
chr11-25689	chr11	80075931	80082507	+	312.7	29.717	intron (NM_001277106, intron 1 of 6)	B2_Mm2|SINE|B2	1772	NM_001277106	54394	Mm.272093	NM_018776	ENSMUSG00000017561	Crlf3	BB164954|Creme9|Cytor4	cytokine receptor-like factor 3	protein-coding	338.36	232.44	337.58	241.46	375.45
chr13-4067	chr13	117217492	117224670	+	310.0	29.456999999999997	intron (NM_010330, intron 1 of 8)	CpG	508	NM_010330	13723	Mm.274926	NM_010330	ENSMUSG00000021728	Emb	AL022799|Gp70	embigin	protein-coding	321.69	246.01	370.89	225.86	407.15
chr15-4600	chr15	9523554	9530392	+	297.5	45.54	intron (NM_008372, intron 1 of 7)	L1Md_A|LINE|L1	2903	NM_008372	16197	Mm.389	NM_008372	ENSMUSG00000003882	Il7r	CD127|IL-7Ralpha	interleukin 7 receptor	protein-coding	293.91	216.04	319.34	272.07	410.49
chr5-36990	chr5	64803733	64808809	+	295.4	60.883	intron (NM_008453, intron 1 of 5)	intron (NM_008453, intron 1 of 5)	2748	NM_008453	16599	Mm.392759	NM_008453	ENSMUSG00000029178	Klf3	9930027G08Rik|AL024007|Bklf|Tef-2	Kruppel-like factor 3 (basic)	protein-coding	317.37	239.23	333.48	248.39	315.38
chr18-3185	chr18	56468035	56473639	+	293.0	48.34	intron (NM_026240, intron 2 of 13)	intron (NM_026240, intron 2 of 13)	38705	NM_026240	107022	Mm.24356	NM_026240	ENSMUSG00000001700	Gramd3	9030613F08Rik|9130427A09Rik|AW061306|NS3TP2	GRAM domain containing 3	protein-coding	322.93	230.18	319.34	253.01	360.43
chr1-38042	chr1	36269793	36275539	+	291.6	28.27	intron (NM_153408, intron 1 of 3)	intron (NM_153408, intron 1 of 3)	759	NM_153408	214854	Mm.389110	NM_153408	ENSMUSG00000047180	Neurl3	2010300P06Rik|Lincr	neuralized homolog 3 homolog (Drosophila)	protein-coding	332.19	235.83	300.63	235.68	389.63
chr2-1488	chr2	22772591	22777621	+	289.0	24.79	intron (NM_019456, intron 1 of 13)	(CCA)n|Simple_repeat|Simple_repeat	779	NM_019456	54519	Mm.14255	NM_019456	ENSMUSG00000026786	Apbb1ip	9930118P07Rik|Prp48	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	protein-coding	296.38	201.9	304.74	218.93	314.54
chr8-10706	chr8	34153507	34158679	+	286.7	24.006999999999998	intron (NM_026432, intron 1 of 5)	intron (NM_026432, intron 1 of 5)	1530	NM_026432	67887	Mm.290353	NM_026432	ENSMUSG00000031532	Saraf	1810045K07Rik|Tmem66	store-operated calcium entry-associated regulatory factor	protein-coding	279.71	209.82	334.39	227.01	344.58
chr16-12395	chr16	19978908	19984080	+	285.6	25.38	intron (NM_183390, intron 1 of 6)	AT_rich|Low_complexity|Low_complexity	1555	NM_183390	239743	Mm.86699	NM_183390	ENSMUSG00000043008	Klhl6	-	kelch-like 6	protein-coding	295.76	234.14	323.44	225.86	370.44
chr1-13806	chr1	134075038	134079368	+	275.6	35.723	3' UTR (NM_007570, exon 2 of 2)	3' UTR (NM_007570, exon 2 of 2)	1952	NM_007570	12227	Mm.392646	NM_007570	ENSMUSG00000020423	Btg2	AA959598|APRO1|Pc3|TIS21	B cell translocation gene 2, anti-proliferative	protein-coding	297.61	207.56	297.44	222.39	301.19
chr17-15105	chr17	29003326	29009782	+	275.6	13.817	intron (NM_134115, intron 1 of 13)	B2_Mm2|SINE|B2	1383	NM_134115	106504	Mm.439986	NM_134115	ENSMUSG00000024006	Stk38	5830476G13Rik|9530097A09Rik|AA617404|Ndr1	serine/threonine kinase 38	protein-coding	251.92	192.29	308.39	202.75	331.23
chr15-12258	chr15	79738549	79742297	+	272.3	36.077	intron (NM_194342, intron 1 of 16)	B3|SINE|B2	2113	NM_194342	223697	Mm.202715	NM_194342	ENSMUSG00000042524	Sun2	B230369L08Rik|C030011B15|Unc84b	Sad1 and UNC84 domain containing 2	protein-coding	309.34	216.04	295.16	191.2	359.6
chr17-21883	chr17	70985294	70990444	+	264.6	21.263	intron (NM_023402, intron 1 of 3)	intron (NM_023402, intron 1 of 3)	2647	NM_023402	67938	Mm.261329	NM_023402	0	Myl12b	1500001M02Rik|C77744|Mylc2b|RLC-B	myosin, light chain 12B, regulatory	protein-coding	277.24	216.04	311.58	217.77	300.36
