PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K4me2/AND-CD4TCell-ChIP-H3K4me2-All-Conditions-KAA-14-10-20/regions.txt mm10 -size given -d AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	0.1uM PCC	100uM K99A	10uM K99A	10uM PCC	No Peptide
chr15-5149	chr15	61983524	61991870	+	353.4	49.277	exon (NM_001177352, exon 2 of 3)	exon (NM_001177352, exon 2 of 3)	2356	NM_001177352	17869	Mm.2444	NM_010849	ENSMUSG00000022346	Myc	AU016757|Myc2|Niard|Nird|bHLHe39	myelocytomatosis oncogene	protein-coding	374.79	251.1	406.47	267.45	495.59
chr19-10529	chr19	10824236	10830610	+	348.0	26.947	intron (NM_009852, intron 1 of 12)	intron (NM_009852, intron 1 of 12)	2635	NM_009852	12511	Mm.290897	NM_009852	ENSMUSG00000024670	Cd6	-	CD6 antigen	protein-coding	378.5	286.17	373.62	336.19	368.77
chr4-7046	chr4	63858178	63863828	+	305.9	47.857	exon (NM_009403, exon 1 of 4)	exon (NM_009403, exon 1 of 4)	281	NM_009403	21949	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	321.69	252.24	333.93	253.59	375.45
chr19-6110	chr19	10782416	10790196	+	302.0	12.263	TTS (NR_027805)	TTS (NR_027805)	43752	NM_009852	12511	Mm.290897	NM_009852	ENSMUSG00000024670	Cd6	-	CD6 antigen	protein-coding	294.52	259.02	329.83	276.69	336.23
chr15-6833	chr15	101265778	101272880	+	297.7	24.83	intron (NM_010444, intron 1 of 6)	B3A|SINE|B2	2483	NM_010444	15370	Mm.119	NM_010444	ENSMUSG00000023034	Nr4a1	GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|TIS1|TR3|nur77	nuclear receptor subfamily 4, group A, member 1	protein-coding	355.03	231.31	354.92	273.23	256.14
chr10-1810	chr10	127289296	127295088	+	295.7	21.316999999999997	intron (NM_001290183, intron 1 of 2)	intron (NM_001290183, intron 1 of 2)	1399	NM_001290183	13198	Mm.110220	NM_007837	ENSMUSG00000025408	Ddit3	CHOP-10|CHOP10|chop|gadd153	DNA-damage inducible transcript 3	protein-coding	350.71	254.5	348.08	250.12	250.3
chr16-10664	chr16	52031338	52037508	+	293.1	14.107000000000001	intron (NM_001033238, intron 2 of 17)	intron (NM_001033238, intron 2 of 17)	2874	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	288.97	245.45	305.19	224.13	277.83
chr3-27520	chr3	135684890	135691162	+	285.6	22.053	intron (NM_008689, intron 1 of 24)	intron (NM_008689, intron 1 of 24)	3521	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	360.59	217.17	307.02	265.14	255.3
chr1-6047	chr1	51472548	51479162	+	267.7	15.84	intron (NM_028696, intron 2 of 5)	B2_Mm2|SINE|B2	2544	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	316.75	217.74	322.53	242.61	241.12
chr17-1596	chr17	51813126	51818498	+	266.8	13.142999999999999	intron (NM_001163632, intron 1 of 10)	intron (NM_001163632, intron 1 of 10)	-3758	NM_001163630	20230	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	261.8	180.98	276.0	197.55	256.14
chr10-14281	chr10	80928957	80936359	+	266.2	18.35	TTS (NM_008655)	TTS (NM_008655)	2567	NM_008655	17873	Mm.1360	NM_008655	ENSMUSG00000015312	Gadd45b	AI323528|Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	289.58	199.64	317.05	200.44	362.1
chr3-5986	chr3	101597799	101603825	+	265.8	23.566999999999997	intron (NM_144900, intron 1 of 22)	intron (NM_144900, intron 1 of 22)	3895	NM_144900	11928	Mm.280103	NM_144900	ENSMUSG00000033161	Atp1a1	Atpa-1|BC010319	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein-coding	300.7	277.69	264.14	272.07	185.22
chr16-10144	chr16	10780195	10784523	+	265.5	33.037	Intergenic	Intergenic	3177	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	301.32	199.64	291.05	224.13	297.02
chr7-12273	chr7	16781356	16785706	+	261.9	42.757	intron (NM_009201, intron 1 of 8)	intron (NM_009201, intron 1 of 8)	2185	NM_009201	20514	Mm.1056	NM_009201	ENSMUSG00000001918	Slc1a5	AAAT|ASCT2|ATBO|M7V1|M7VS1|R16|RDRC|Slc1a7	solute carrier family 1 (neutral amino acid transporter), member 5	protein-coding	309.96	216.04	277.82	207.37	317.05
chr1-2546	chr1	52120139	52125667	+	258.5	26.67	intron (NM_009283, intron 3 of 24)	intron (NM_009283, intron 3 of 24)	3281	NM_001205313	20846	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding	316.75	208.69	285.58	226.44	308.7
chr10-17053	chr10	127165343	127170359	+	257.1	22.47	exon (NM_001244617, exon 6 of 6)	exon (NM_001244617, exon 6 of 6)	2020	NM_027739	14421	Mm.386762	NM_008080	ENSMUSG00000006731	B4galnt1	4933429D13Rik|Gal-NAc-T|GalNAc-T|GalNAcT|Galgt1|Ggm-2|Ggm2	beta-1,4-N-acetyl-galactosaminyl transferase 1	protein-coding	242.66	201.34	262.77	214.31	242.79
chr11-36972	chr11	58198662	58204158	+	253.7	16.717	intron (NM_018738, intron 1 of 2)	intron (NM_018738, intron 1 of 2)	1854	NM_018738	16145	Mm.33902	NM_018738	ENSMUSG00000078853	Igtp	AW558444|Irgm3	interferon gamma induced GTPase	protein-coding	282.79	203.6	303.37	205.06	315.38
chr4-40768	chr4	156010943	156017413	+	253.5	15.972999999999999	TTS (NM_011341)	TTS (NM_011341)	483	NM_011659	22163	Mm.13885	NM_011659	ENSMUSG00000029075	Tnfrsf4	ACT35|CD134|Ly-70|Ox40|TXGP1L|Txgp1	tumor necrosis factor receptor superfamily, member 4	protein-coding	280.94	283.34	299.26	255.9	97.62
chr6-22218	chr6	87845611	87850689	+	252.3	24.41	intron (NM_001109746, intron 1 of 4)	intron (NM_001109746, intron 1 of 4)	2956	NM_001109746	12785	Mm.290251	NM_013493	ENSMUSG00000030057	Cnbp	AA408710|Cnbp1|Znf9	cellular nucleic acid binding protein	protein-coding	295.76	213.21	265.96	236.26	226.94
chr12-5648	chr12	55487216	55491388	+	250.0	22.686999999999998	TTS (NM_010907)	TTS (NM_010907)	3345	NM_010907	18035	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding	282.79	182.67	256.84	217.19	320.38
chr19-5195	chr19	46303704	46309674	+	248.9	27.163	intron (NM_001177369, intron 4 of 22)	intron (NM_001177369, intron 4 of 22)	759	NM_001177370	18034	Mm.102365	NM_019408	ENSMUSG00000025225	Nfkb2	NF-kappaB2|lyt|p49|p49/p100|p50B|p52	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100	protein-coding	287.73	203.03	253.64	263.98	205.24
chr3-15314	chr3	142495339	142501473	+	248.2	50.597	intron (NM_153564, intron 1 of 10)	(TATATG)n|Simple_repeat|Simple_repeat	1472	NM_153564	229898	Mm.459245	NM_153564	ENSMUSG00000040264	Gbp5	5330409J06Rik|Gbp5a	guanylate binding protein 5	protein-coding	316.75	173.62	251.82	229.9	257.81
chr2-11755	chr2	153235596	153240580	+	247.6	23.483	intron (NM_018807, intron 1 of 2)	intron (NM_018807, intron 1 of 2)	3270	NM_018807	54711	Mm.103199	NM_018807	ENSMUSG00000051413	Plagl2	AU018672|AW552839|mKIAA0198	pleiomorphic adenoma gene-like 2	protein-coding	294.52	206.43	244.98	252.43	130.99
chr14-4412	chr14	52098810	52103814	+	246.8	41.477	intron (NM_001170981, intron 1 of 8)	intron (NM_001170981, intron 1 of 8)	2716	NM_016884	15381	Mm.427321	NM_016884	ENSMUSG00000060373	Hnrnpc	AL022939|D14Wsu171e|Hnrpc|Hnrpc1|Hnrpc2|hnRNPC1|hnRNPC2|hnrnp-C	heterogeneous nuclear ribonucleoprotein C	protein-coding	272.3	198.51	264.59	224.13	252.8
chr6-24767	chr6	129270746	129276350	+	245.0	19.89	intron (NM_001033122, intron 1 of 4)	intron (NM_001033122, intron 1 of 4)	1821	NM_001033122	12515	Mm.74745	NM_001033122	ENSMUSG00000030156	Cd69	5830438K24Rik|AI452015|AIM|VEA	CD69 antigen	protein-coding	276.0	181.54	297.89	201.6	278.67
chr11-2239	chr11	100860643	100866235	+	240.2	11.417	intron (NM_001164062, intron 4 of 17)	T-rich|Low_complexity|Low_complexity	2955	NM_001164062	20850	Mm.277403	NM_011488	ENSMUSG00000004043	Stat5a	AA959963|STAT5	signal transducer and activator of transcription 5A	protein-coding	312.43	214.34	259.57	219.5	192.73
chr6-31322	chr6	140624862	140630372	+	239.7	52.626999999999995	intron (NM_001005605, intron 1 of 7)	(TTTA)n|Simple_repeat|Simple_repeat	3319	NM_009637	11569	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	267.97	220.0	269.15	233.37	257.81
chr19-4719	chr19	8709654	8714480	+	236.9	42.77	intron (NM_008577, intron 2 of 8)	intron (NM_008577, intron 2 of 8)	1830	NM_008577	17254	Mm.4114	NM_008577	ENSMUSG00000010095	Slc3a2	4F2|4F2HC|AI314110|Cd98|Ly-10|Ly-m10|Ly10|Mdu1|Mgp-2hc|NACAE	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	protein-coding	272.91	195.68	262.77	227.01	234.45
chr3-505	chr3	87907415	87911925	+	232.3	23.753	intron (NM_008231, intron 1 of 5)	intron (NM_008231, intron 1 of 5)	3349	NM_008231	15191	Mm.292208	NM_008231	ENSMUSG00000004897	Hdgf	AI118077|D3Ertd299e	hepatoma-derived growth factor	protein-coding	265.5	188.33	207.57	210.84	163.53
chr8-7093	chr8	120735145	120741029	+	229.4	24.94	intron (NM_008320, intron 1 of 8)	intron (NM_008320, intron 1 of 8)	1711	NM_008320	15900	Mm.334861	NM_008320	ENSMUSG00000041515	Irf8	AI893568|ICSBP|IRF-8|Icsbp1|Myls	interferon regulatory factor 8	protein-coding	304.4	186.63	241.78	232.79	153.52
chr1-13752	chr1	60977899	60982265	+	227.0	22.76	intron (NM_017480, intron 1 of 4)	intron (NM_017480, intron 1 of 4)	2168	NM_017480	54167	Mm.42044	NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding	255.62	179.85	238.13	220.08	247.8
chr12-9862	chr12	55463568	55467912	+	224.1	53.713	intron (NR_035430, intron 1 of 3)	intron (NR_035430, intron 1 of 3)	26907	NM_010907	18035	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding	266.12	205.29	245.89	194.09	209.42
chr11-18356	chr11	48798956	48803098	+	222.7	40.65	intron (NM_008143, intron 1 of 7)	intron (NM_008143, intron 1 of 7)	667	NM_008143	14694	Mm.5305	NM_008143	ENSMUSG00000020372	Gnb2l1	AL033335|GB-like|Gnb2-rs1|Rack1|p205	guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1	protein-coding	264.27	179.85	224.9	204.49	256.14
chr17-4798	chr17	29493883	29499107	+	219.5	14.117	Intergenic	Intergenic	5450	NM_008842	18712	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	201.29	163.44	225.82	203.33	184.39
chr2-18650	chr2	127331588	127336070	+	217.3	59.817	Intergenic	Intergenic	-2330	NM_010090	13537	Mm.4729	NM_010090	ENSMUSG00000027368	Dusp2	PAC1	dual specificity phosphatase 2	protein-coding	243.89	200.77	233.11	213.15	184.39
chr15-6999	chr15	78490682	78494148	+	217.2	16.987000000000002	intron (NM_008368, intron 1 of 9)	intron (NM_008368, intron 1 of 9)	2651	NM_008368	16185	Mm.35287	NM_008368	ENSMUSG00000068227	Il2rb	CD122|IL-15Rbeta|IL15Rbeta|Il-2/15Rbeta|Il-2Rbeta|p70	interleukin 2 receptor, beta chain	protein-coding	214.87	195.68	184.76	152.5	164.36
chr4-23784	chr4	129030737	129035751	+	216.5	21.953000000000003	Intergenic	Intergenic	-25027	NM_029219	75234	Mm.259672	NM_029219	ENSMUSG00000028793	Rnf19b	4930534K13Rik|4930555L03Rik|Ibrdc3	ring finger protein 19B	protein-coding	236.48	164.01	212.13	190.04	181.88
chr17-19252	chr17	71616168	71620742	+	214.9	20.693	intron (NM_175639, intron 1 of 17)	intron (NM_175639, intron 1 of 17)	2240	NM_175639	72515	Mm.257762	NM_175639	ENSMUSG00000041057	Wdr43	2610318G08Rik|AU020887|AV024208|Wrd43|mKIAA0007	WD repeat domain 43	protein-coding	210.55	159.49	211.67	201.02	211.92
chr3-11285	chr3	108440249	108445551	+	214.3	13.232999999999999	intron (NM_001204979, intron 1 of 10)	B2_Mm2|SINE|B2	2359	NM_001204979	20226	Mm.28688	NM_011319	ENSMUSG00000068739	Sars	Sars1|Strs|serRS	seryl-aminoacyl-tRNA synthetase	protein-coding	254.39	175.89	223.08	184.85	168.53
chr2-19695	chr2	127316242	127321654	+	206.8	16.297	Intergenic	MLT1A1|LTR|ERVL-MaLR	-17211	NM_010090	13537	Mm.4729	NM_010090	ENSMUSG00000027368	Dusp2	PAC1	dual specificity phosphatase 2	protein-coding	247.6	185.5	208.02	193.51	196.9
chr15-14760	chr15	66966661	66970997	+	205.1	45.043	intron (NM_008681, intron 1 of 15)	CpG	812	NM_008681	17988	Mm.30837	NM_008681	ENSMUSG00000005125	Ndrg1	CAP43|CMT4D|DRG1|HMSNL|NMSL|Ndr1|Ndrl|PROXY1|RTP|TDD5	N-myc downstream regulated gene 1	protein-coding	230.31	171.93	218.97	166.94	228.61
chr8-9917	chr8	121903432	121907518	+	204.6	30.663	intron (NM_011404, intron 1 of 9)	L1Md_T|LINE|L1	2211	NM_011404	20539	Mm.27943	NM_011404	ENSMUSG00000040010	Slc7a5	4F2LC|D0H16S474E|LAT1|TA1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	protein-coding	261.8	178.71	201.64	195.24	144.34
chr4-10406	chr4	48045313	48049665	+	203.8	47.743	Intergenic	CpG	-3759	NM_015743	18124	Mm.247261	NM_015743	ENSMUSG00000028341	Nr4a3	AI573420|CHN|CSMF|MINOR|NOR-1|Nor1|TEC	nuclear receptor subfamily 4, group A, member 3	protein-coding	227.22	130.08	229.92	148.45	271.16
chr11-2937	chr11	58010172	58014846	+	199.5	17.32	intron (NM_028451, intron 1 of 18)	intron (NM_028451, intron 1 of 18)	3445	NM_028451	73158	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	240.81	182.11	202.55	206.22	168.53
chr2-1413	chr2	151542346	151546262	+	194.6	14.103	intron (NM_008019, intron 2 of 4)	URR1B|DNA|hAT-Charlie	1805	NM_008019	14225	Mm.278458	NM_008019	ENSMUSG00000032966	Fkbp1a	12kDa|FKBP12|FKBP12-T1|FKBP12-T2|Fkbp|Fkbp1|mFKBP1|mFKBP12	FK506 binding protein 1a	protein-coding	211.17	162.31	172.9	195.82	166.03
chr3-2823	chr3	88591195	88593645	+	188.4	41.01	Intergenic	Intergenic	12749	NM_025448	66256	Mm.7091	NM_025448	ENSMUSG00000041355	Ssr2	1500032E05Rik|AI315033|AU020133|TLAP|TRAPB|TRAPbeta	signal sequence receptor, beta	protein-coding	190.79	155.53	182.02	156.54	200.24
chr1-22840	chr1	59683746	59688102	+	187.9	31.616999999999997	intron (NM_018868, intron 1 of 14)	PB1D9|SINE|Alu	918	NM_018868	55989	Mm.220367	NM_018868	ENSMUSG00000026020	Nop58	MSSP|Nol5|SIK|nop5	NOP58 ribonucleoprotein	protein-coding	222.28	148.74	204.37	172.72	162.69
chr7-3982	chr7	125635014	125639272	+	187.8	20.826999999999998	Intergenic	Intergenic	33714	NM_021887	60504	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	189.56	169.67	205.29	155.39	231.11
chr11-50189	chr11	99159883	99164673	+	185.2	23.256999999999998	Intergenic	B1_Mus2|SINE|Alu	-7201	NM_007719	12775	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding	200.67	183.8	185.21	171.56	198.57
chr6-24582	chr6	86522251	86525757	+	184.0	52.96	TTS (NM_011865)	TTS (NM_011865)	2161	NM_011865	23983	Mm.274146	NM_011865	ENSMUSG00000051695	Pcbp1	WBP17|[a]CP-1|alphaCP-1	poly(rC) binding protein 1	protein-coding	209.93	151.57	198.9	160.01	204.41
chr2-14534	chr2	34770394	34774556	+	183.3	20.55	intron (NM_001163434, intron 2 of 8)	CpG	385	NM_001163434	14828	Mm.330160	NM_022310	ENSMUSG00000026864	Hspa5	AL022860|AU019543|Bip|D2Wsu141e|D2Wsu17e|Grp78|Hsce70|SEZ-7|Sez7|baffled|mBiP	heat shock protein 5	protein-coding	209.93	132.34	184.76	167.52	193.56
chr13-3757	chr13	30752297	30757015	+	183.1	12.743	intron (NM_013674, intron 5 of 8)	intron (NM_013674, intron 5 of 8)	5398	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	301.93	178.15	137.31	263.98	56.73
chr17-2698	chr17	51832624	51836846	+	180.2	15.193	Intergenic	Intergenic	-1445	NM_001163632	20230	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	167.33	143.65	173.35	144.99	176.88
