PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K4me2/AND-CD4TCell-ChIP-H3K4me2-All-Conditions-KAA-14-10-20/regions.txt mm10 -size given -d AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	0.1uM PCC	100uM K99A	10uM K99A	10uM PCC	No Peptide
chr13-12154	chr13	43299430	43302732	+	220.1	32.89	intron (NM_001033399, intron 1 of 1)	intron (NM_001033399, intron 1 of 1)	3091	NM_001033399	328232	Mm.441399	NM_001033399	ENSMUSG00000051335	Gfod1	9630032O13|AI850995	glucose-fructose oxidoreductase domain containing 1	protein-coding	199.44	138.56	141.42	196.98	99.29
chr3-8770	chr3	31097437	31102437	+	206.5	16.593	intron (NM_011386, intron 2 of 6)	intron (NM_011386, intron 2 of 6)	4879	NM_001039090	20482	Mm.15406	NM_011386	ENSMUSG00000027660	Skil	Skir|SnoN|sno	SKI-like	protein-coding	221.66	203.03	218.06	224.7	112.63
chr1-26186	chr1	177790609	177795393	+	198.1	16.213	intron (NM_007422, intron 1 of 12)	intron (NM_007422, intron 1 of 12)	3508	NM_007422	11566	Mm.338021	NM_007422	ENSMUSG00000015961	Adss	AI314886|AS|Adss2	adenylosuccinate synthetase, non muscle	protein-coding	238.34	151.0	197.99	201.6	128.49
chr8-1226	chr8	116944414	116949098	+	193.5	24.413	intron (NM_177700, intron 1 of 3)	intron (NM_177700, intron 1 of 3)	3363	NM_177700	234776	Mm.259736	NM_177700	ENSMUSG00000047388	Atmin	Asciz|gpg6|mKIAA0431	ATM interactor	protein-coding	191.41	166.84	150.09	182.54	87.6
chr7-2574	chr7	24884948	24888012	+	183.3	20.153	intron (NM_023133, intron 3 of 5)	intron (NM_023133, intron 3 of 5)	1766	NM_023133	20085	Mm.300281	NM_023133	ENSMUSG00000040952	Rps19	Dsk3	ribosomal protein S19	protein-coding	206.85	162.88	187.95	199.86	131.82
chr13-3757	chr13	30752297	30757015	+	183.1	12.743	intron (NM_013674, intron 5 of 8)	intron (NM_013674, intron 5 of 8)	5398	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	301.93	178.15	137.31	263.98	56.73
chr18-1764	chr18	80708907	80712783	+	173.6	17.56	intron (NM_198429, intron 1 of 9)	L1MC4|LINE|L1	2226	NM_001164110	18018	Mm.329560	NM_016791	ENSMUSG00000033016	Nfatc1	2210017P03Rik|AI449492|AV076380|NF-ATc|NFAT2|NFATc|Nfatcb	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	protein-coding	227.22	147.04	138.68	220.66	85.1
chr2-10069	chr2	11644157	11648499	+	166.0	28.987	intron (NM_008367, intron 1 of 7)	(CATATA)n|Simple_repeat|Simple_repeat	3536	NM_008367	16184	Mm.915	NM_008367	ENSMUSG00000026770	Il2ra	CD25|Il2r|Ly-43	interleukin 2 receptor, alpha chain	protein-coding	204.38	145.35	199.81	183.69	56.73
chr16-6128	chr16	84705539	84709749	+	162.5	16.487000000000002	Intergenic	Intergenic	-6496	NR_029565	387173	0	NR_029565	miRBase:MI0000177	Mir155	Mirn155|mmu-mir-155	microRNA 155	ncRNA	193.26	145.35	191.6	179.07	35.04
chr17-6012	chr17	36023716	36027558	+	156.6	16.357	intron (NR_015618, intron 1 of 1)	intron (NR_015618, intron 1 of 1)	-5077	NM_008207	15042	Mm.439654	NM_008207	ENSMUSG00000053835	H2-T24	H-2T24	histocompatibility 2, T region locus 24	protein-coding	163.01	126.68	133.66	141.52	94.28
chr11-35545	chr11	69667433	69670971	+	156.3	24.07	exon (NM_001159375, exon 5 of 11)	exon (NM_001159375, exon 5 of 11)	-3032	NM_001291058	12514	Mm.15819	NM_009853	ENSMUSG00000018774	Cd68	Lamp4|Scard1|gp110	CD68 antigen	protein-coding	184.62	115.94	124.54	147.88	79.26
chr16-2537	chr16	92059255	92063085	+	154.5	18.32	intron (NM_080456, intron 1 of 2)	intron (NM_080456, intron 1 of 2)	2834	NM_080456	121022	Mm.217354	NM_080456	ENSMUSG00000039680	Mrps6	AW046321	mitochondrial ribosomal protein S6	protein-coding	163.62	126.68	159.67	164.63	95.95
chr4-10497	chr4	42948439	42952231	+	152.7	46.86	Intergenic	CpG	-2759	NM_019874	56323	Mm.20437	NM_019874	ENSMUSG00000036052	Dnajb5	1110058L06Rik|AI462558|Hsc40|Hsp40-3	DnaJ (Hsp40) homolog, subfamily B, member 5	protein-coding	155.6	124.99	141.88	178.49	105.13
chr2-18215	chr2	103657442	103662242	+	152.5	30.31	intron (NM_178890, intron 1 of 16)	intron (NM_178890, intron 1 of 16)	93532	NM_178890	99382	Mm.35850	NM_178890	ENSMUSG00000032724	Abtb2	AW539457|BPOZ-2	ankyrin repeat and BTB (POZ) domain containing 2	protein-coding	164.24	153.26	144.16	177.91	116.81
chr17-24479	chr17	27631320	27634908	+	150.7	22.537	intron (NM_025963, intron 3 of 5)	PB1D9|SINE|Alu	2128	NM_025963	67097	Mm.275810	NM_025963	ENSMUSG00000052146	Rps10	2210402A09Rik	ribosomal protein S10	protein-coding	187.7	145.35	137.31	168.09	109.3
chr3-5891	chr3	35762674	35767050	+	145.8	10.222999999999999	intron (NM_029570, intron 1 of 29)	intron (NM_029570, intron 1 of 29)	10724	NM_029570	76295	Mm.239416	NM_029570	ENSMUSG00000037400	Atp11b	1110019I14Rik|ATPIF|ATPIR|mKIAA0956	ATPase, class VI, type 11B	protein-coding	173.5	123.29	154.65	156.54	86.77
chr16-3012	chr16	10665814	10670614	+	142.4	10.94	intron (NM_177562, intron 18 of 22)	intron (NM_177562, intron 18 of 22)	117322	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	145.72	142.52	109.03	181.96	69.25
chr4-19873	chr4	132506458	132510778	+	138.9	20.767	intron (NM_144907, intron 1 of 9)	intron (NM_144907, intron 1 of 9)	1838	NM_144907	230784	Mm.23608	NM_144907	0	Sesn2	HI95|SEST2|Ses2	sestrin 2	protein-coding	166.09	117.63	131.84	154.81	89.27
chr11-15919	chr11	86590511	86594459	+	137.8	13.933	intron (NM_029478, intron 10 of 11)	intron (NM_029478, intron 10 of 11)	-8327	NR_029738	387140	0	NR_029738	miRBase:MI0000569	Mir21a	Mir21|Mirn21|mmu-mir-21|mmu-mir-21a	microRNA 21a	ncRNA	171.03	143.65	116.33	165.78	84.27
chr4-15498	chr4	135268222	135271576	+	133.5	10.537	intron (NM_013885, intron 1 of 5)	intron (NM_013885, intron 1 of 5)	2861	NM_013885	29876	Mm.257765	NM_013885	ENSMUSG00000037242	Clic4	D0Jmb3|TU-74|mc3s5|mtCLIC	chloride intracellular channel 4 (mitochondrial)	protein-coding	127.81	112.54	125.91	128.24	47.56
chr17-26080	chr17	45566982	45571790	+	131.6	8.533	exon (NM_008302, exon 8 of 11)	exon (NM_008302, exon 8 of 11)	3875	NM_008302	15516	Mm.2180	NM_008302	ENSMUSG00000023944	Hsp90ab1	90kDa|AL022974|C81438|Hsp84|Hsp84-1|Hsp90|Hspcb	heat shock protein 90 alpha (cytosolic), class B member 1	protein-coding	155.6	121.03	80.29	160.01	58.4
chr5-33076	chr5	3500134	3503680	+	125.7	25.666999999999998	intron (NM_009873, intron 4 of 6)	intron (NM_009873, intron 4 of 6)	-41926	NM_001042501	68152	Mm.240265	NM_026583	0	Fam133b	2900022K02Rik|5830415L20Rik	family with sequence similarity 133, member B	protein-coding	149.42	138.56	130.47	129.97	84.27
chr15-16320	chr15	98774891	98779077	+	125.5	25.197	5' UTR (NM_011718, exon 2 of 5)	5' UTR (NM_011718, exon 2 of 5)	1166	NM_011718	22410	Mm.4709	NM_011718	ENSMUSG00000022996	Wnt10b	Wnt12	wingless-type MMTV integration site family, member 10B	protein-coding	157.45	111.41	139.6	124.19	65.08
chr2-16063	chr2	167690825	167693869	+	125.3	14.333	intron (NR_015500, intron 1 of 1)	intron (NR_015500, intron 1 of 1)	1170	NR_015500	329562	Mm.123101	NM_177851	ENSMUSG00000006462	A530013C23Rik	-	RIKEN cDNA A530013C23 gene	ncRNA	150.66	103.5	103.1	129.97	37.54
chr2-16201	chr2	127322090	127325340	+	124.7	24.897	Intergenic	Intergenic	-12444	NM_010090	13537	Mm.4729	NM_010090	ENSMUSG00000027368	Dusp2	PAC1	dual specificity phosphatase 2	protein-coding	135.84	128.95	117.24	146.14	96.78
chr2-43016	chr2	101679530	101682560	+	124.6	9.433	intron (NM_009424, intron 2 of 7)	intron (NM_009424, intron 2 of 7)	2605	NM_009424	22034	Mm.292729	NM_009424	ENSMUSG00000027164	Traf6	2310003F17Rik|AI851288|C630032O20Rik	TNF receptor-associated factor 6	protein-coding	112.99	107.45	95.34	107.44	65.08
chr19-4493	chr19	29454360	29457648	+	123.9	21.156999999999996	intron (NM_021396, intron 5 of 5)	intron (NM_021396, intron 5 of 5)	45085	NM_021396	58205	Mm.116737	NM_021396	0	Pdcd1lg2	B7-DC|Btdc|F730015O22Rik|PD-L2	programmed cell death 1 ligand 2	protein-coding	140.78	132.9	138.23	123.62	62.57
chr4-6830	chr4	145220280	145223000	+	123.2	53.813	intron (NM_011610, intron 8 of 9)	intron (NM_011610, intron 8 of 9)	25230	NM_011610	21938	Mm.235328	NM_011610	0	Tnfrsf1b	CD120b|TNF-R-II|TNF-R2|TNF-R75|TNF-alphaR2|TNFBR|TNFR80|TNFRII|TNFalpha-R2|Tnfr-1|Tnfr2|p75	tumor necrosis factor receptor superfamily, member 1b	protein-coding	139.54	128.38	130.02	131.7	65.91
chr11-19793	chr11	97109520	97114512	+	118.3	13.807	intron (NM_019507, intron 1 of 5)	B2_Mm1a|SINE|B2	3315	NM_019507	57765	Mm.94519	NM_019507	ENSMUSG00000001444	Tbx21	TBT1|Tbet|Tblym	T-box 21	protein-coding	158.68	118.2	110.86	145.57	46.72
chr18-1688	chr18	80713765	80716209	+	114.3	48.04	Intergenic	(CGGGG)n|Simple_repeat|Simple_repeat	-1916	NM_198429	18018	Mm.329560	NM_016791	ENSMUSG00000033016	Nfatc1	2210017P03Rik|AI449492|AV076380|NF-ATc|NFAT2|NFATc|Nfatcb	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	protein-coding	124.11	86.53	90.33	113.8	70.92
chr10-36380	chr10	121622888	121626088	+	113.0	14.103	intron (NM_001081056, intron 1 of 24)	B1_Mur4|SINE|Alu	1828	NM_001081056	73192	Mm.25042	NM_001081056	ENSMUSG00000034667	Xpot	1110004L07Rik|3110065H13Rik|AI452076|C79645|EXPORTIN-T	exportin, tRNA (nuclear export receptor for tRNAs)	protein-coding	133.99	93.32	127.28	119.57	76.76
chr6-11187	chr6	83314231	83316597	+	112.0	16.49	intron (NM_008638, intron 1 of 7)	intron (NM_008638, intron 1 of 7)	2190	NM_008638	17768	Mm.443	NM_008638	ENSMUSG00000005667	Mthfd2	AW558851|NMDMC	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	protein-coding	111.76	70.69	100.36	106.86	32.54
chr15-13556	chr15	78474339	78477263	+	110.7	21.416999999999998	Intergenic	Intergenic	-7167	NM_027902	71753	Mm.34056	NM_027902	ENSMUSG00000016942	Tmprss6	1300008A22Rik	transmembrane serine protease 6	protein-coding	122.87	95.01	106.75	108.6	66.75
chr10-651	chr10	82630712	82633490	+	110.3	13.933	intron (NM_172552, intron 1 of 9)	intron (NM_172552, intron 1 of 9)	2259	NR_037190	624784	Mm.284252	NR_037190	ENSMUSG00000085666	Gm9855	ENSMUSG00000051559	thymine DNA glycosylase pseudogene	pseudo	97.56	85.4	73.45	120.15	32.54
chr13-4292	chr13	30759466	30761672	+	110.1	19.053	intron (NM_013674, intron 7 of 8)	intron (NM_013674, intron 7 of 8)	11311	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	152.51	110.85	111.31	123.62	78.43
chr5-24066	chr5	34525474	34528704	+	109.1	14.35	intron (NM_011893, intron 1 of 12)	intron (NM_011893, intron 1 of 12)	1305	NM_011893	24055	Mm.5012	NM_011893	ENSMUSG00000054520	Sh3bp2	3BP2	SH3-domain binding protein 2	protein-coding	151.89	113.68	95.34	109.17	68.41
chr1-2765	chr1	165801428	165804098	+	108.5	13.273	intron (NM_031162, intron 1 of 7)	intron (NM_031162, intron 1 of 7)	14082	NM_001113393	12503	Mm.217308	NM_031162	ENSMUSG00000005763	Cd247	4930549J05Rik|A430104F18Rik|AW552088|Cd3|Cd3-eta|Cd3-zeta|Cd3h|Cd3z|Cd3zeta|T3z|Tcrk|Tcrz	CD247 antigen	protein-coding	118.55	101.8	99.91	130.55	80.1
chr2-7464	chr2	145903972	145906606	+	106.4	12.713	intron (NM_001141965, intron 1 of 5)	intron (NM_001141965, intron 1 of 5)	2048	NM_001141965	67877	Mm.151168	NM_026425	ENSMUSG00000002728	Naa20	1500004D14Rik|2900026I01Rik|AU041458|D2Ertd186e|Nat5	N(alpha)-acetyltransferase 20, NatB catalytic subunit	protein-coding	119.79	93.32	95.8	108.6	48.39
chr6-15282	chr6	122292003	122296147	+	105.3	10.757	Intergenic	Intergenic	-11242	NM_016970	50928	Mm.20434	NM_016970	ENSMUSG00000030114	Klrg1	2F1-Ag|MAFA|MAFA-L	killer cell lectin-like receptor subfamily G, member 1	protein-coding	108.05	101.8	106.29	101.67	63.41
chr13-6082	chr13	30543728	30546176	+	101.8	38.18	intron (NM_025710, intron 1 of 1)	CpG	364	NM_025710	66694	Mm.181933	NM_025710	ENSMUSG00000038462	Uqcrfs1	4430402G14Rik|AI875505	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	protein-coding	111.14	80.87	112.68	103.4	67.58
chr2-8251	chr2	160646313	160649729	+	101.7	16.15	intron (NM_009408, intron 2 of 20)	intron (NM_009408, intron 2 of 20)	2124	NM_009408	21969	Mm.217233	NM_009408	ENSMUSG00000070544	Top1	AI467334|D130064I21Rik|Top-1	topoisomerase (DNA) I	protein-coding	104.97	82.0	115.87	99.93	58.4
chr9-18601	chr9	57941083	57943475	+	100.5	25.226999999999997	intron (NM_011352, intron 1 of 13)	intron (NM_011352, intron 1 of 13)	2144	NM_011352	20361	Mm.335187	NM_011352	ENSMUSG00000038264	Sema7a	2900057C09Rik|CDw108|H-Sema-L|M-Sema-L|Semal	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	protein-coding	155.6	105.19	85.76	133.44	27.53
chr10-19695	chr10	80761764	80765610	+	99.2	17.19	intron (NM_199322, intron 1 of 27)	RMER15|LTR|ERVL	8481	NM_199322	208266	Mm.152371	NM_199322	ENSMUSG00000061589	Dot1l	A630076O07|AW907654|Dot1|KMT4|mDot1	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	protein-coding	122.26	93.88	78.92	132.86	56.73
chr16-910	chr16	20536233	20538491	+	98.4	12.41	intron (NM_009679, intron 1 of 10)	intron (NM_009679, intron 1 of 10)	1858	NM_009679	11773	Mm.18946	NM_009679	ENSMUSG00000022841	Ap2m1	-	adaptor-related protein complex 2, mu 1 subunit	protein-coding	88.91	77.48	78.01	86.65	36.71
chr3-645	chr3	51417285	51419407	+	98.2	27.037	intron (NM_053089, intron 1 of 19)	intron (NM_053089, intron 1 of 19)	2330	NM_053089	74838	Mm.275281	NM_053089	ENSMUSG00000063273	Naa15	5730450D16Rik|6330400I15|ASTBDN|Narg1|Tbdn-1|mNAT1	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	protein-coding	98.79	69.0	77.55	76.83	44.22
chr1-16115	chr1	135820268	135823344	+	97.7	17.523	intron (NM_133664, intron 1 of 9)	intron (NM_133664, intron 1 of 9)	3208	NM_133664	16763	Mm.36726	NM_133664	ENSMUSG00000041782	Lad1	-	ladinin	protein-coding	93.24	97.84	132.3	94.16	20.86
chr10-18490	chr10	128433625	128436035	+	95.8	32.19	intron (NR_104290, intron 4 of 7)	intron (NR_104290, intron 4 of 7)	23214	NR_104289	67588	Mm.294120	NM_026259	ENSMUSG00000025373	Rnf41	2210404G21Rik|4930511A05Rik|4933415P08Rik|D10Ertd722e|FLRF|Nrdp1	ring finger protein 41	protein-coding	103.73	88.79	96.26	114.37	75.92
chr13-16111	chr13	98314222	98317006	+	95.1	25.243000000000002	intron (NM_001170540, intron 2 of 5)	(TAA)n|Simple_repeat|Simple_repeat	1353	NM_145455	218490	Mm.371688	NM_145455	ENSMUSG00000021660	Btf3	1700054E11Rik	basic transcription factor 3	protein-coding	98.17	73.52	97.17	93.0	60.91
chr11-27574	chr11	116408715	116412203	+	94.5	10.503	intron (NM_027258, intron 1 of 18)	B1_Mm|SINE|Alu	2573	NM_027258	217340	Mm.426344	NM_027258	ENSMUSG00000052949	Rnf157	2610036E23Rik|A130073L17Rik|mKIAA1917	ring finger protein 157	protein-coding	103.11	80.87	82.57	96.47	60.07
chr16-1063	chr16	32610057	32611863	+	94.4	19.512999999999998	intron (NM_011638, intron 1 of 18)	intron (NM_011638, intron 1 of 18)	2064	NM_011638	22042	Mm.28683	NM_011638	ENSMUSG00000022797	Tfrc	2610028K12Rik|AI195355|AI426448|AU015758|CD71|E430033M20Rik|Mtvr-1|Mtvr1|TFR|TFR1|TR|Trfr|p90	transferrin receptor	protein-coding	80.27	60.51	60.67	95.31	40.05
chr6-996	chr6	137735959	137737765	+	93.4	21.933000000000003	intron (NM_011499, intron 2 of 9)	intron (NM_011499, intron 2 of 9)	1780	NM_011499	20901	Mm.22584	NM_011499	ENSMUSG00000030224	Strap	AW557906|C78091|C79202|Unrip	serine/threonine kinase receptor associated protein	protein-coding	75.95	59.38	65.24	80.29	50.89
chr10-14623	chr10	80939365	80942191	+	91.1	35.653	Intergenic	Intergenic	10687	NM_008655	17873	Mm.1360	NM_008655	ENSMUSG00000015312	Gadd45b	AI323528|Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	94.47	88.23	93.98	102.24	59.24
chr17-11695	chr17	28329277	28331655	+	90.6	26.897	intron (NM_011287, intron 4 of 5)	T-rich|Low_complexity|Low_complexity	1995	NM_011287	19896	Mm.336955	NM_011287	ENSMUSG00000037805	Rpl10a	CsA-19|Nedd6	ribosomal protein L10A	protein-coding	114.85	84.27	90.78	105.13	65.08
chr10-27123	chr10	63241011	63243871	+	89.9	14.117	Intergenic	B1_Mm|SINE|Alu	-1356	NM_026101	67345	Mm.234437	NM_026101	ENSMUSG00000020064	Herc4	1700056O17Rik|4921531D01Rik|9530080M15Rik|mKIAA1593	hect domain and RLD 4	protein-coding	104.97	84.27	81.66	104.55	59.24
chr8-12711	chr8	121897500	121899844	+	89.4	22.346999999999998	intron (NM_011404, intron 1 of 9)	intron (NM_011404, intron 1 of 9)	9014	NM_011404	20539	Mm.27943	NM_011404	ENSMUSG00000040010	Slc7a5	4F2LC|D0H16S474E|LAT1|TA1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	protein-coding	111.76	95.01	72.08	120.73	40.88
chr9-3543	chr9	57969061	57971807	+	89.2	6.88	Intergenic	Intergenic	30299	NM_011352	20361	Mm.335187	NM_011352	ENSMUSG00000038264	Sema7a	2900057C09Rik|CDw108|H-Sema-L|M-Sema-L|Semal	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	protein-coding	84.59	67.3	60.67	95.89	41.72
chr10-21893	chr10	128562976	128565564	+	89.0	17.5	intron (NM_011119, intron 1 of 11)	intron (NM_011119, intron 1 of 11)	1664	NM_011119	18813	Mm.4742	NM_011119	ENSMUSG00000025364	Pa2g4	38kDa|AA672939|Ebp1|Plfap	proliferation-associated 2G4	protein-coding	102.5	76.35	98.08	107.44	51.73
chr10-12636	chr10	80397366	80399120	+	87.4	24.366999999999997	intron (NM_013595, intron 1 of 6)	intron (NM_013595, intron 1 of 6)	1236	NM_013595	17192	Mm.7142	NM_013595	ENSMUSG00000035478	Mbd3	AI181826|AU019209	methyl-CpG binding domain protein 3	protein-coding	99.41	79.18	74.36	89.53	55.9
chr2-52927	chr2	28517130	28519866	+	86.7	18.323	intron (NM_009058, intron 1 of 17)	intron (NM_009058, intron 1 of 17)	5331	NM_009058	19730	Mm.5236	NM_009058	ENSMUSG00000026821	Ralgds	Gnds|Rgds|mKIAA1308	ral guanine nucleotide dissociation stimulator	protein-coding	83.97	89.92	76.18	112.06	73.42
chr17-7320	chr17	7870235	7872083	+	86.1	29.307	Intergenic	Intergenic	-54841	NM_145968	72536	Mm.119680	NM_145968	ENSMUSG00000033450	Tagap	2610315E15Rik	T cell activation Rho GTPase activating protein	protein-coding	90.15	78.61	76.64	82.6	41.72
chr11-2945	chr11	74649256	74651180	+	85.8	14.677	intron (NM_001081158, intron 1 of 25)	intron (NM_001081158, intron 1 of 25)	723	NM_001081158	74148	Mm.214574	NM_001081158	ENSMUSG00000020741	Cluh	1300001I01Rik|Kiaa0664|mKIAA0664	clustered mitochondria (cluA/CLU1) homolog	protein-coding	79.65	65.04	66.6	87.8	49.23
chr4-34407	chr4	124694749	124697169	+	85.7	49.82	Intergenic	Intergenic	-2405	NM_026031	67205	Mm.259121	NM_026031	0	Utp11l	2700082D03Rik|CGI-94|Cgi94	UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)	protein-coding	100.64	78.05	83.03	97.62	59.24
chr10-2501	chr10	7682520	7684662	+	85.6	12.07	intron (NM_010690, intron 1 of 7)	intron (NM_010690, intron 1 of 7)	2382	NM_010690	16798	Mm.34083	NM_010690	ENSMUSG00000040021	Lats1	AW208599	large tumor suppressor	protein-coding	62.36	54.86	53.83	68.16	45.05
chr1-4974	chr1	151572337	151574289	+	85.4	26.89	intron (NM_022018, intron 1 of 13)	intron (NM_022018, intron 1 of 13)	1940	NM_022018	63913	Mm.157700	NM_022018	0	Fam129a	AI256368|AU019833|Niban	family with sequence similarity 129, member A	protein-coding	88.3	76.91	82.11	96.47	31.7
chr11-21177	chr11	115640427	115642183	+	84.0	41.086999999999996	Intergenic	Intergenic	-13010	NM_001252396	67283	Mm.383426	NM_026071	ENSMUSG00000020744	Slc25a19	2900089E13Rik|DNC|MUP1|TPC	solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19	protein-coding	96.32	76.91	90.78	86.07	55.07
